entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
2.089,0.1425,0.1767,0.04635,0.02718,0.1412,0.07794,0.02059,0.007203,0.09454,0.02678,0.1904,0.1911,
2.089,0.1391,0.1737,0.04582,0.02726,0.1403,0.07769,0.02073,0.00725,0.09517,0.02696,0.1916,0.1935,
2.096,0.1374,0.175,0.04591,0.02731,0.1396,0.07784,0.02077,0.007263,0.09535,0.03027,0.1897,0.191,
2.095,0.141,0.1739,0.04569,0.02687,0.1383,0.07761,0.02082,0.007283,0.09562,0.03035,0.1912,0.1924,
2.097,0.1587,0.1762,0.04586,0.02699,0.1369,0.07685,0.02089,0.007315,0.09606,0.03177,0.1908,0.1905,
2.097,0.155,0.1749,0.0459,0.02703,0.1361,0.07651,0.02092,0.007326,0.09622,0.03183,0.192,0.1912,
2.097,0.1523,0.174,0.04597,0.02708,0.1357,0.07566,0.02096,0.007336,0.09639,0.03188,0.1924,0.1927,
2.096,0.1526,0.1723,0.04603,0.02705,0.1341,0.07541,0.02104,0.00736,0.0968,0.03201,0.1932,0.1948,
2.098,0.1707,0.1724,0.04613,0.02719,0.1326,0.074,0.02115,0.007396,0.09735,0.03313,0.1933,0.1953,
2.098,0.1421,0.1703,0.04621,0.02724,0.1316,0.07412,0.02119,0.007407,0.09751,0.03319,0.1956,0.1956,
2.103,0.1493,0.1711,0.04626,0.02719,0.1321,0.07417,0.02128,0.007437,0.09793,0.03561,0.1942,0.1927,
2.107,0.1403,0.1738,0.04619,0.02721,0.1322,0.07373,0.02129,0.007442,0.09799,0.03803,0.1919,0.1903,
2.106,0.1437,0.1734,0.0461,0.02721,0.1322,0.07293,0.0213,0.007446,0.09805,0.03805,0.192,0.1912,
2.106,0.1372,0.1726,0.04607,0.02723,0.1323,0.07277,0.02133,0.007454,0.09817,0.0381,0.1922,0.1917,
2.106,0.1389,0.1725,0.04608,0.02724,0.1323,0.07278,0.02133,0.007456,0.09819,0.03811,0.1923,0.1918,
2.105,0.1364,0.1716,0.04608,0.02707,0.1323,0.07229,0.02135,0.00746,0.09825,0.03813,0.1924,0.1931,
2.104,0.132,0.1714,0.04606,0.02709,0.1322,0.0714,0.02133,0.007465,0.09831,0.03815,0.1925,0.1941,
2.105,0.1489,0.1708,0.04606,0.02711,0.132,0.07148,0.02135,0.007473,0.09841,0.0382,0.1927,0.1944,
2.104,0.1429,0.17,0.046,0.02708,0.1319,0.07139,0.02132,0.007463,0.09828,0.03815,0.1944,0.1941,
2.103,0.142,0.1698,0.04601,0.02708,0.1319,0.07048,0.02133,0.007465,0.0983,0.03815,0.1944,0.1951,
2.105,0.1399,0.1721,0.04593,0.02709,0.132,0.07051,0.02134,0.007469,0.09835,0.03917,0.1935,0.1926,
2.104,0.1419,0.1719,0.04594,0.02711,0.1318,0.06951,0.02135,0.007472,0.09839,0.03919,0.1936,0.1937,
2.102,0.1562,0.171,0.04581,0.02679,0.1317,0.06875,0.02134,0.007469,0.09837,0.03918,0.1945,0.1951,
2.101,0.1469,0.1709,0.04551,0.02674,0.1316,0.06814,0.02136,0.007476,0.09846,0.03921,0.1947,0.1959,
2.1,0.1454,0.1705,0.04549,0.02649,0.1312,0.06813,0.02136,0.007474,0.09844,0.03919,0.1957,0.1961,
2.101,0.1368,0.1696,0.04551,0.02651,0.1309,0.0682,0.02138,0.00748,0.09855,0.03923,0.1959,0.1967,
2.1,0.1411,0.1691,0.04544,0.0265,0.1307,0.06772,0.02138,0.007478,0.09852,0.03922,0.1968,0.1971,
2.103,0.1373,0.1696,0.04533,0.02647,0.1308,0.06727,0.02136,0.007481,0.09857,0.04155,0.1946,0.197,
2.103,0.1434,0.1723,0.0453,0.02646,0.1304,0.06661,0.02135,0.007478,0.09853,0.04195,0.195,0.1946,
2.104,0.1282,0.1748,0.04532,0.02647,0.1304,0.06629,0.02136,0.007482,0.09859,0.04251,0.1946,0.1922,
2.103,0.1354,0.1735,0.04505,0.0262,0.1306,0.06548,0.02137,0.007608,0.09852,0.04311,0.1951,0.1934,
2.104,0.1322,0.1742,0.04497,0.0261,0.1305,0.0657,0.02211,0.007034,0.0989,0.04346,0.1946,0.1924,
2.079,0.113,0.173,0.04503,0.02612,0.1303,0.08006,0.007772,0.007148,0.09985,0.04212,0.1964,0.1922,
2.081,0.1243,0.1717,0.04541,0.02617,0.1304,0.07941,0.007649,0.007756,0.0996,0.04228,0.1968,0.1929,
2.108,0.1356,0.1691,0.04571,0.0262,0.1323,0.07919,0.007815,0.02198,0.08578,0.04177,0.1968,0.1933,
2.111,0.1469,0.1688,0.04584,0.02628,0.1324,0.0792,0.00816,0.02273,0.08663,0.04092,0.1958,0.1933,
2.109,0.1441,0.1678,0.04598,0.02632,0.1325,0.07772,0.008278,0.02272,0.08699,0.04037,0.1967,0.1946,
2.108,0.1561,0.1668,0.0461,0.02643,0.133,0.07641,0.008184,0.02298,0.08707,0.0401,0.1968,0.1962,
2.107,0.1567,0.1663,0.04624,0.02586,0.133,0.07595,0.008189,0.02311,0.087,0.04013,0.1969,0.1974,
2.103,0.1575,0.1653,0.04639,0.0255,0.1326,0.0745,0.00807,0.02366,0.08872,0.03765,0.1986,0.199,
2.105,0.1602,0.1668,0.0464,0.02558,0.1328,0.07374,0.008076,0.02393,0.08921,0.03853,0.1972,0.1978,
2.107,0.1666,0.1698,0.04657,0.02567,0.1328,0.07221,0.008081,0.02467,0.08878,0.03909,0.1966,0.1957,
2.106,0.1765,0.17,0.04692,0.02584,0.1326,0.07158,0.007847,0.02519,0.0902,0.03787,0.1963,0.1957,
2.105,0.1837,0.1696,0.04691,0.02598,0.1325,0.07084,0.007852,0.02533,0.09149,0.03654,0.1964,0.1966,
2.105,0.186,0.1683,0.04726,0.02612,0.1328,0.0702,0.007979,0.02535,0.09179,0.03621,0.1966,0.1974,
2.108,0.1883,0.1698,0.04713,0.02626,0.1324,0.07028,0.007988,0.02537,0.09298,0.03699,0.195,0.1958,
2.107,0.1792,0.1689,0.04717,0.02634,0.1325,0.07025,0.007985,0.02536,0.09385,0.03606,0.1958,0.1957,
2.105,0.1658,0.1672,0.04734,0.02644,0.1331,0.06915,0.007965,0.0254,0.09486,0.03522,0.1961,0.1972,
2.104,0.1696,0.1655,0.04737,0.02641,0.134,0.06903,0.00795,0.02535,0.09515,0.0347,0.1977,0.1969,
2.105,0.1682,0.1644,0.04746,0.0265,0.1345,0.06907,0.007955,0.02537,0.09548,0.03445,0.1978,0.197,
2.105,0.1612,0.162,0.04837,0.02608,0.1353,0.06878,0.007963,0.02539,0.09581,0.03425,0.198,0.198,
2.105,0.1692,0.1608,0.04884,0.02626,0.1353,0.06789,0.00797,0.02554,0.09598,0.03407,0.1982,0.1991,
