R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,bead1,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pepEn,pepMHCIEn,povaEn,protonEn,solubleMarker,volume,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,0.0,3.8E-5,0.031,0.031,0.0,440.0,8.6,0.0,0.0,0.0,0.0,1.9E7,1.0,7.0E8,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,0.0,3.7E-5,0.031,0.031,0.0,430.0,8.6,0.0,0.0,0.0,0.0,1.9E7,1.0,7.0E8,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,0.0,3.4E-5,0.031,0.031,0.0,420.0,8.6,0.0,0.0,0.0,0.0,2.0E7,1.0,7.0E8,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,0.0,2.8E-5,0.031,0.031,0.0,390.0,8.6,0.0,0.0,0.0,0.0,2.1E7,1.0,7.0E8,
1.1E-36,0.1,2900.0,65000.0,4700.0,5100000.0,2400.0,1600.0,2100.0,240.0,2500.0,0.19,5100000.0,0.0,3.9E-5,0.14,0.14,0.0,440.0,15.0,0.0,3.6E-26,9.6E-32,0.0,2.2E7,1.0,7.2E8,
9.1E-37,0.062,12000.0,45000.0,22000.0,4900000.0,2400.0,1600.0,2000.0,240.0,2500.0,0.19,5000000.0,0.0,0.5,0.094,0.094,0.0,460.0,15.0,0.0,8.7E-26,8.3E-33,0.0,2.0E7,1.0,7.2E8,
1.4E-37,0.0098,4800.0,5000.0,2000.0,4500000.0,2400.0,1500.0,2000.0,230.0,2500.0,0.18,4500000.0,0.0,1.5E-5,0.058,0.058,0.0,430.0,3.6,0.0,1.0999999999999999E-25,7.2E-34,0.0,1.9E7,1.0,7.2E8,
1.4E-37,0.0093,4800.0,4900.0,2000.0,3999999.9999999995,2400.0,1500.0,2000.0,230.0,2400.0,0.18,3999999.9999999995,0.0,1.5E-5,0.054,0.054,0.0,430.0,3.3,0.0,1.3E-25,4.6E-34,0.0,1.9E7,1.0,7.1E8,
1.3000000000000001E-37,0.0091,4800.0,4900.0,2000.0,3799999.9999999995,2300.0,1500.0,2000.0,230.0,2400.0,0.18,3899999.9999999995,0.0,1.7E-5,0.053,0.053,0.0,420.0,3.2,0.0,2.4E-25,1.7E-34,0.0,1.8E7,1.0,7.1E8,
1.3000000000000001E-37,0.0091,4700.0,4900.0,2000.0,3799999.9999999995,2300.0,1500.0,2000.0,230.0,2400.0,0.18,3799999.9999999995,0.0,1.7E-5,0.052,0.052,0.0,400.0,3.2,0.0,4.3999999999999995E-25,6.699999999999999E-35,0.0,1.7E7,1.0,7.1E8,
1.3000000000000001E-37,0.0091,4700.0,4900.0,2000.0,3799999.9999999995,2300.0,1500.0,2000.0,230.0,2400.0,0.18,3799999.9999999995,0.0,1.8E-5,0.052,0.052,0.0,400.0,3.2,0.0,7.8E-25,3.1E-35,0.0,1.7E7,1.0,7.1E8,
1.3000000000000001E-37,0.0091,4700.0,4900.0,2000.0,3799999.9999999995,2300.0,1500.0,2000.0,230.0,2400.0,0.18,3799999.9999999995,0.0,1.6E-5,0.052,0.052,0.0,400.0,3.2,0.0,1.2999999999999998E-24,2.8E-35,0.0,1.8E7,1.0,7.1E8,
1.3000000000000001E-37,0.0091,4700.0,4900.0,2000.0,3799999.9999999995,2300.0,1500.0,2000.0,230.0,2400.0,0.18,3799999.9999999995,0.0,1.4E-5,0.052,0.052,0.0,400.0,3.2,0.0,2.1E-24,3.5E-35,0.0,1.9E7,1.0,7.1E8,
1.3000000000000001E-37,0.0091,4700.0,4900.0,2000.0,3799999.9999999995,2300.0,1500.0,2000.0,230.0,2400.0,0.18,3799999.9999999995,0.0,1.2E-5,0.052,0.052,0.0,390.0,3.2,0.0,3.0999999999999997E-24,4.4E-35,0.0,2.0E7,1.0,7.1E8,
1.3000000000000001E-37,0.0091,4700.0,4900.0,2000.0,3799999.9999999995,2300.0,1500.0,2000.0,230.0,2400.0,0.18,3799999.9999999995,0.0,9.7E-6,0.052,0.052,0.0,390.0,3.2,0.0,4.2E-24,5.2E-35,0.0,2.1E7,1.0,7.1E8,
1.3000000000000001E-37,0.0091,4700.0,4900.0,2000.0,3799999.9999999995,2300.0,1500.0,2000.0,230.0,2400.0,0.18,3799999.9999999995,0.0,8.0E-6,0.052,0.052,0.0,390.0,3.2,0.0,5.5E-24,5.799999999999999E-35,0.0,2.3E7,1.0,7.1E8,
1.3000000000000001E-37,0.0091,4700.0,4900.0,2000.0,3799999.9999999995,2300.0,1500.0,2000.0,230.0,2400.0,0.18,3799999.9999999995,0.0,6.7E-6,0.052,0.052,0.0,390.0,3.2,0.0,7.0E-24,6.299999999999999E-35,0.0,2.5E7,1.0,7.1E8,
1.3000000000000001E-37,0.0091,4700.0,4900.0,2000.0,3799999.9999999995,2300.0,1500.0,2000.0,230.0,2400.0,0.18,3799999.9999999995,0.0,5.6E-6,0.052,0.052,0.0,390.0,3.2,0.0,8.599999999999999E-24,6.6E-35,0.0,2.6E7,1.0,7.1E8,
1.3000000000000001E-37,0.0091,4700.0,4900.0,2000.0,3799999.9999999995,2300.0,1500.0,2000.0,230.0,2400.0,0.18,3799999.9999999995,0.0,6.6E-6,0.052,0.052,0.0,380.0,3.2,0.0,1.1E-23,8.099999999999999E-35,0.0,2.5E7,1.0,7.1E8,
1.3000000000000001E-37,0.0091,4700.0,4900.0,2000.0,3799999.9999999995,2300.0,1500.0,2000.0,230.0,2400.0,0.18,3799999.9999999995,0.0,7.2E-6,0.052,0.052,0.0,380.0,3.2,0.0,1.6000000000000002E-23,1.2E-34,0.0,2.4E7,1.0,7.1E8,
1.3000000000000001E-37,0.0091,4700.0,4900.0,2000.0,3799999.9999999995,2300.0,1500.0,2000.0,230.0,2400.0,0.18,3799999.9999999995,0.0,7.1E-6,0.052,0.052,0.0,380.0,3.2,0.0,2.3E-23,1.8E-34,0.0,2.4E7,1.0,7.1E8,
1.3000000000000001E-37,0.0091,4700.0,4900.0,2000.0,3799999.9999999995,2300.0,1500.0,2000.0,230.0,2400.0,0.18,3799999.9999999995,0.0,6.5E-6,0.052,0.052,0.0,380.0,3.2,0.0,3.1E-23,2.4E-34,0.0,2.5E7,1.0,7.1E8,
1.3000000000000001E-37,0.0091,4700.0,4900.0,2000.0,3799999.9999999995,2300.0,1500.0,2000.0,230.0,2400.0,0.17,3799999.9999999995,0.0,6.6E-6,0.052,0.052,0.0,380.0,3.2,0.0,4.0E-23,3.0E-34,0.0,2.4E7,1.0,7.0E8,
1.3000000000000001E-37,0.0091,4700.0,4900.0,2000.0,3799999.9999999995,2300.0,1500.0,2000.0,230.0,2400.0,0.17,3799999.9999999995,0.0,7.7E-6,0.052,0.052,0.0,380.0,3.2,0.0,5.0E-23,4.3E-34,0.0,2.3E7,1.0,7.0E8,
1.3000000000000001E-37,0.0091,4700.0,4900.0,2000.0,3799999.9999999995,2300.0,1500.0,2000.0,230.0,2400.0,0.17,3799999.9999999995,0.0,7.8E-6,0.052,0.052,0.0,380.0,3.2,0.0,6.400000000000001E-23,5.8E-34,0.0,2.3E7,1.0,7.0E8,
1.3000000000000001E-37,0.0091,4700.0,4900.0,2000.0,3799999.9999999995,2300.0,1500.0,2000.0,230.0,2400.0,0.17,3799999.9999999995,0.0,7.3E-6,0.052,0.052,0.0,380.0,3.2,0.0,8.2E-23,7.400000000000001E-34,0.0,2.4E7,1.0,7.0E8,
1.3000000000000001E-37,0.0091,4700.0,4900.0,2000.0,3799999.9999999995,2300.0,1500.0,2000.0,230.0,2400.0,0.17,3799999.9999999995,0.0,6.6E-6,0.052,0.052,0.0,380.0,3.2,0.0,9.999999999999999E-23,8.7E-34,0.0,2.4E7,1.0,7.0E8,
1.3000000000000001E-37,0.0091,4700.0,4900.0,2000.0,3799999.9999999995,2300.0,1500.0,2000.0,230.0,2400.0,0.17,3799999.9999999995,0.0,5.7E-6,0.052,0.052,0.0,380.0,3.2,0.0,1.3E-22,9.700000000000001E-34,0.0,2.6E7,1.0,7.0E8,
1.3000000000000001E-37,0.0091,4700.0,4900.0,2000.0,3799999.9999999995,2300.0,1500.0,2000.0,230.0,2400.0,0.17,3799999.9999999995,0.0,4.9E-6,0.052,0.052,0.0,380.0,3.2,0.0,1.6E-22,1.0E-33,0.0,2.7E7,1.0,7.0E8,
1.3000000000000001E-37,0.0091,4700.0,4900.0,2000.0,3799999.9999999995,2300.0,1500.0,2000.0,230.0,2400.0,0.17,3799999.9999999995,0.0,4.2E-6,0.052,0.052,0.0,380.0,3.2,0.0,1.8999999999999999E-22,1.1E-33,0.0,2.9E7,1.0,7.0E8,
1.3000000000000001E-37,0.0091,4700.0,4900.0,2000.0,3799999.9999999995,2300.0,1500.0,2000.0,230.0,2400.0,0.17,3799999.9999999995,0.0,3.7E-6,0.052,0.052,0.0,370.0,3.2,0.0,2.1999999999999996E-22,1.1E-33,0.0,3.0E7,1.0,7.0E8,
8.000000000000001E-38,0.024,2000.0,1100.0,4000.0,4400000.0,2300.0,1500.0,2000.0,230.0,2400.0,0.18,4400000.0,0.0,1.9E-5,0.05,0.05,0.0,430.0,14.0,0.0,2.6999999999999997E-22,9.2E-31,0.0,2.9E7,1.0,7.1E8,
7.700000000000001E-38,0.023,2000.0,1100.0,4000.0,4099999.9999999995,2300.0,1500.0,2000.0,230.0,2400.0,0.18,4099999.9999999995,0.0,2.2E-5,0.048,0.048,0.0,430.0,14.0,0.0,2.8E-22,4.1E-31,0.0,2.7E7,1.0,7.1E8,
7.700000000000001E-38,0.023,2000.0,1100.0,4000.0,3999999.9999999995,2300.0,1500.0,2000.0,230.0,2400.0,0.18,3999999.9999999995,0.0,2.7E-5,0.048,0.048,0.0,430.0,14.0,0.0,3.0999999999999997E-22,1.5999999999999999E-31,0.0,2.5E7,1.0,7.1E8,
7.600000000000001E-38,0.023,2000.0,1100.0,4000.0,3899999.9999999995,2300.0,1500.0,2000.0,230.0,2400.0,0.17,3899999.9999999995,0.0,3.1E-5,0.046,0.046,0.0,420.0,13.0,0.0,3.2999999999999996E-22,7.6E-32,0.0,2.4E7,1.0,7.1E8,
7.5E-38,0.023,2000.0,1100.0,4000.0,3799999.9999999995,2300.0,1500.0,2000.0,230.0,2400.0,0.17,3799999.9999999995,0.0,3.7E-5,0.046,0.046,0.0,410.0,13.0,0.0,3.6E-22,3.4000000000000003E-32,0.0,2.2E7,1.0,7.1E8,
7.5E-38,0.023,2000.0,1100.0,4000.0,3799999.9999999995,2300.0,1500.0,2000.0,230.0,2400.0,0.17,3799999.9999999995,0.0,3.9E-5,0.046,0.046,0.0,410.0,13.0,0.0,3.9999999999999997E-22,2.5E-32,0.0,2.2E7,1.0,7.1E8,
7.5E-38,0.023,2000.0,1100.0,4000.0,3799999.9999999995,2300.0,1500.0,2000.0,230.0,2400.0,0.17,3799999.9999999995,0.0,3.7E-5,0.046,0.046,0.0,410.0,13.0,0.0,4.6E-22,2.4E-32,0.0,2.2E7,1.0,7.1E8,
