RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
9128000.0,2654000.0,1522000.0,7340000.0,4168000.0,944600.0,1821000.0,2826000.0,1741000.0,9700000.0,9764000.0,
9136000.0,2654000.0,1521000.0,7241000.0,4145000.0,944600.0,1821000.0,2826000.0,1802000.0,9639000.0,9663000.0,
8972000.0,2649000.0,1519000.0,7158000.0,4132000.0,944400.0,1820000.0,2826000.0,1802000.0,9639000.0,9695000.0,
9067000.0,2641000.0,1517000.0,7025000.0,4124000.0,944200.0,1820000.0,2825000.0,1927000.0,9514000.0,9446000.0,
8844000.0,2632000.0,1506000.0,6881000.0,4089000.0,944100.0,1819000.0,2825000.0,1927000.0,9514000.0,9492000.0,
8670000.0,2626000.0,1506000.0,6871000.0,4089000.0,944000.0,1819000.0,2825000.0,1927000.0,9561000.0,9492000.0,
8574000.0,2622000.0,1489000.0,6817000.0,4050000.0,944000.0,1819000.0,2825000.0,1961000.0,9574000.0,9566000.0,
8426000.0,2616000.0,1455000.0,6817000.0,4003000.0,944000.0,1819000.0,2825000.0,1961000.0,9574000.0,9702000.0,
8285000.0,2615000.0,1455000.0,6797000.0,3949000.0,944000.0,1819000.0,2825000.0,1961000.0,9574000.0,9756000.0,
8244000.0,2615000.0,1455000.0,6782000.0,3936000.0,943900.0,1819000.0,2825000.0,1961000.0,9574000.0,9769000.0,
8260000.0,2615000.0,1455000.0,6698000.0,3923000.0,943900.0,1819000.0,2825000.0,1961000.0,9622000.0,9565000.0,
8219000.0,2615000.0,1455000.0,6696000.0,3876000.0,943900.0,1819000.0,2825000.0,1961000.0,9622000.0,9640000.0,
8360000.0,2615000.0,1455000.0,6686000.0,3876000.0,943900.0,1819000.0,2825000.0,2050000.0,9533000.0,9479000.0,
8331000.0,2614000.0,1455000.0,6670000.0,3876000.0,943900.0,1819000.0,2825000.0,2050000.0,9533000.0,9479000.0,
8301000.0,2604000.0,1454000.0,6655000.0,3876000.0,943900.0,1819000.0,2825000.0,2050000.0,9533000.0,9479000.0,
8265000.0,2604000.0,1454000.0,6636000.0,3843000.0,943900.0,1819000.0,2825000.0,2050000.0,9581000.0,9532000.0,
