bead1Er,bead1Pm,bead1RabA,bead1RabB,bead1RabC,bead1RabD,bead1RabE,bead1RabF,bead1RabG,bead1RabH,bead1RabI,cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,povaEnEr,povaEnPm,povaEnRabA,povaEnRabB,povaEnRabC,povaEnRabD,povaEnRabE,povaEnRabF,povaEnRabG,povaEnRabH,povaEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI
0,0,1,0,0,0,0,0,0,0,0,0,1278,152.9,164.2,120.9,0.0565,3.255,0.439,0.823,1.66,0.1361,0,344.3,0.1536,1.717,0.1181,0.1461,0.2416,0.451,0.6194,1.937,10.15,0,344.3,0.1536,1.717,0.1181,0.1461,0.2416,0.451,0.6194,1.937,10.15,0,0,0,0,0,0,0,0,0,0,0,0,0,740.7,103.6,26.73,1021,4.297,3.457,5.072,189.1,3.033,0,146.5,9.498,8.09,20.13,38.91,0.1905,0.02858,0.1568,0.1353,0.07641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,1.00E-04,0,0,2235000,104600,67940,2.35E+07,40290,33720,34560,62360,29330,0,2.93E-38,2.03E-38,9.47E-38,7.55E-38,6.45E-39,1.42E-39,2.49E-40,6.36E-40,1.60E-39,1.85E-40,2.08E-35,0,0.3659,0.8239,1.58,0.9691,0.09439,0.01884,0.002305,0.005194,0.009556,0.001816,0,0,4.71E-04,0.001204,0.001181,0.9925,8.84E-04,9.67E-04,2.83E-04,0.001855,6.81E-04,0,1.00E-05,0.0177,0.0019,0.001752,0.1759,0.003361,5.65E-04,8.04E-04,0.001632,3.02E-04
0,0,1,0,0,0,0,0,0,0,0,0,1275,155.3,164.9,125.8,0.05063,3.245,0.4352,0.8264,1.676,0.1425,0,344.3,0.1526,1.717,0.1243,0.1456,0.2411,0.4476,0.6262,2.034,10.05,0,344.3,0.1526,1.717,0.1243,0.1456,0.2411,0.4476,0.6262,2.034,10.05,0,0,0,0,0,0,0,0,0,0,0,0,0,761.1,101.6,26.38,960,3.208,2.38,5.523,192.4,4.424,0,145.3,9.274,6.873,15.97,39.04,0.189,0.02844,0.1539,0.1303,0.07586,1.21E-25,0,0,9.08E-05,0,0,0,0,0,0,0,0,6.85E-28,0,0,2.43E-28,4.68E-28,1.67E-29,1.17E-29,5.93E-28,5.49E-29,3.77E-27,1.86E-27,7.29E-27,0,0,8.44E-37,1.39E-36,8.16E-38,2.68E-40,1.17E-39,9.49E-41,5.74E-39,3.25E-38,1.56E-37,0,0,10000,0,0,0,0,0,0,0,0,1.00E-04,0,111.5,1955000,92410,62540,2.25E+07,37810,31650,31570,59250,27690,0,2.79E-38,2.01E-38,9.38E-38,7.60E-38,6.17E-39,1.41E-39,2.45E-40,6.38E-40,1.61E-39,1.86E-40,2.08E-35,0,0.349,0.8324,1.574,0.9778,0.09166,0.01879,0.002285,0.005204,0.009613,0.001849,0,0,4.71E-04,0.001204,0.001181,0.9925,8.84E-04,9.67E-04,2.83E-04,0.001855,6.81E-04,0,3.44E-05,0.01769,0.001903,0.001757,0.1757,0.003342,5.59E-04,8.07E-04,0.001628,3.12E-04
0,0,1,0,0,0,0,0,0,0,0,0,1269,166.9,158.4,128.4,0.2926,3.709,0.4357,0.8233,1.691,0.1392,0,344.3,0.1668,1.694,0.1168,0.1449,0.2408,0.4452,0.6216,0.6246,11.48,0,344.3,0.1668,1.694,0.1168,0.1449,0.2408,0.4452,0.6216,0.6246,11.48,0,0,0,0,0,0,0,0,0,0,0,0,0,777,105.7,26.61,926.4,3.143,2.275,4.011,196.2,1.776,0,143.1,9.24,6.411,14.09,38.65,0.1878,0.02841,0.1517,0.1273,0.0783,4.79E-25,0,0,1.84E-04,0,0,0,0,0,0,0,0,8.69E-27,0,1.05E-29,9.10E-27,1.30E-26,3.99E-28,4.32E-27,6.92E-27,1.42E-27,4.19E-26,1.37E-26,1.48E-25,0,1.03E-35,1.30E-34,6.90E-33,3.38E-36,4.51E-37,5.56E-37,1.13E-38,1.31E-37,6.39E-37,3.85E-36,0,0,10010,0,0,0,0,0,0,0,0,6.70E-04,0,365.1,1737000,89890,59780,2.17E+07,36310,30330,29850,57280,27350,0,2.54E-38,2.07E-38,9.23E-38,7.55E-38,6.39E-39,1.44E-39,2.45E-40,6.31E-40,1.62E-39,1.80E-40,2.08E-35,0,0.3212,0.886,1.533,0.9774,0.09447,0.02122,0.002289,0.005181,0.00967,0.001916,0,0,4.74E-04,0.001211,0.001188,0.9924,8.89E-04,9.73E-04,2.84E-04,0.001865,6.84E-04,0,4.86E-05,0.0177,0.001893,0.001752,0.1733,0.003339,5.59E-04,8.01E-04,0.001634,3.21E-04
0,0,1,0,0,0,0,0,0,0,0,0,1260,174.8,152.2,127,0.1183,3.651,0.4387,0.8261,1.673,0.1388,0,344.3,0.2119,1.655,0.1085,0.1429,0.2533,0.4487,0.6255,0.6403,11.44,0,344.3,0.2119,1.655,0.1085,0.1429,0.2533,0.4487,0.6255,0.6403,11.44,0,0,0,0,0,0,0,0,0,0,0,0,0,815.4,105.3,27.06,905.3,3.997,3.064,4.529,189.7,1.729,0,139.7,14.83,9.651,15,38.58,0.1854,0.0281,0.1478,0.1237,0.07769,9.16E-25,0,0,2.49E-04,0,0,0,0,0,0,0,0,1.62E-26,0,1.05E-29,5.79E-26,9.92E-26,3.22E-27,3.44E-26,5.02E-26,1.13E-26,1.94E-25,9.58E-26,1.62E-24,0,1.02E-35,2.90E-32,1.51E-31,3.00E-34,1.35E-33,4.21E-36,7.14E-38,9.47E-37,6.56E-36,9.60E-35,0,0,9518,0,0,0,0,0,0,0,0,1.00E-04,0,463.4,1515000,86080,58990,2.15E+07,35380,29600,28470,56350,26750,0,2.23E-38,2.61E-38,8.93E-38,7.55E-38,6.28E-39,1.45E-39,2.47E-40,6.31E-40,1.59E-39,1.72E-40,2.08E-35,0,0.2778,0.9515,1.497,0.9823,0.0938,0.02105,0.002303,0.005188,0.009566,0.001904,0,0,4.74E-04,0.001211,0.001188,0.9924,8.89E-04,9.73E-04,2.84E-04,0.001865,6.84E-04,0,6.74E-05,0.01693,0.001886,0.001745,0.1731,0.003327,5.59E-04,8.01E-04,0.001627,3.19E-04
0,0,1,0,0,0,0,0,0,0,0,0,1260,167.6,160.4,123.4,0.1572,3.36,0.4389,0.8268,1.673,0.1395,0,344.3,0.1801,1.681,0.1091,0.1458,0.25,0.4485,0.6251,0.4715,11.61,0,344.3,0.1801,1.681,0.1091,0.1458,0.25,0.4485,0.6251,0.4715,11.61,0,0,0,0,0,0,0,0,0,0,0,0,0,843.7,102,33.4,880.4,3.915,2.986,4.413,189.6,1.666,0,139.7,12.66,10.79,16.1,39.19,0.1845,0.02796,0.1464,0.1223,0.07716,1.72E-24,0,0,3.34E-04,7.92E-08,6.03E-09,0,0,0,0,0,0,3.32E-26,0,1.05E-29,2.31E-25,3.38E-25,1.12E-26,9.58E-26,1.48E-25,3.46E-26,4.81E-25,3.55E-25,6.81E-24,0,1.02E-35,1.97E-32,1.10E-30,4.38E-33,5.74E-33,3.53E-35,3.39E-37,3.36E-36,3.03E-35,6.07E-34,0,0,8877,0,0,0,0,0,0,0,0,1.03E-04,0,583.8,1268000,90560,62670,2.21E+07,35690,29980,28390,57500,27250,0,2.23E-38,2.07E-38,9.15E-38,7.30E-38,7.06E-39,1.43E-39,2.46E-40,6.28E-40,1.59E-39,1.66E-40,2.08E-35,0,0.2778,0.8993,1.548,0.9612,0.1041,0.01964,0.002304,0.005188,0.009566,0.001904,0,0,4.74E-04,0.001211,0.001188,0.9924,8.89E-04,9.73E-04,2.84E-04,0.001865,6.84E-04,0,8.47E-05,0.01592,0.001886,0.00177,0.1727,0.003314,5.59E-04,8.01E-04,0.001628,3.18E-04
0,0,1,0,0,0,0,0,0,0,0,0,1260,164.7,157,125,0.527,3.486,0.4392,0.8274,1.673,0.1408,0,344.3,0.1517,1.692,0.103,0.1464,0.2528,0.4485,0.625,0.4712,11.61,0,344.3,0.1517,1.692,0.103,0.1464,0.2528,0.4485,0.625,0.4712,11.61,0,0,0,0,0,0,0,0,0,0,0,0,0,880.3,105.2,36.82,842.7,3.805,2.908,4.252,189.5,1.601,0,139.7,13.6,10.04,16.23,39.95,0.1074,0.02786,0.1451,0.1212,0.07667,4.78E-24,0,0,4.16E-04,8.04E-08,6.03E-09,0,0,0,0,0,0,7.67E-26,0,1.32E-27,4.42E-24,4.27E-24,6.39E-25,1.98E-25,3.56E-25,7.30E-26,9.54E-25,9.71E-25,1.70E-23,0,1.03E-35,2.16E-29,6.32E-29,1.01E-29,2.51E-32,2.14E-33,1.08E-36,7.58E-36,1.08E-34,1.75E-33,0,0,8278,0,0,0,0,0,0,0,0,5.12E-04,0,624.5,1074000,94300,65990,2.32E+07,36380,30890,28460,59580,28130,0,2.23E-38,1.95E-38,9.09E-38,7.21E-38,7.11E-39,1.66E-39,2.46E-40,6.26E-40,1.59E-39,1.62E-40,2.08E-35,0,0.2779,0.8703,1.54,0.9664,0.1073,0.01987,0.002305,0.005189,0.009565,0.001907,0,0,4.74E-04,0.001211,0.001188,0.9924,8.89E-04,9.73E-04,2.84E-04,0.001865,6.84E-04,0,9.27E-05,0.01501,0.001866,0.001769,0.1726,0.003307,5.59E-04,8.00E-04,0.001628,3.18E-04
0,0,1,0,0,0,0,0,0,0,0,0,1262,165,155.5,123.7,0.27,3.667,0.4395,0.8278,1.673,0.1422,0,344.3,0.1572,1.687,0.1012,0.1409,0.2561,0.4486,0.6248,0.5701,11.51,0,344.3,0.1572,1.687,0.1012,0.1409,0.2561,0.4486,0.6248,0.5701,11.51,0,0,0,0,0,0,0,0,0,0,0,0,0,905.4,105.5,37.32,808.3,3.752,2.846,4.174,189.2,1.54,0,139.8,14.04,9.594,16.44,39.68,0.07724,0.02757,0.1427,0.1194,0.07605,9.81E-24,0,0,5.12E-04,1.03E-07,1.68E-08,0,0,0,0,0,0,2.21E-25,0,1.30E-26,1.97E-23,4.66E-22,2.95E-25,4.07E-25,9.23E-25,1.28E-25,1.85E-24,2.08E-24,3.49E-23,0,2.37E-32,1.53E-28,5.59E-27,5.52E-30,6.99E-32,1.42E-32,2.55E-36,1.40E-35,2.64E-34,4.08E-33,0,0,7568,0,0,0,0,0,0,0,0,1.00E-04,0,799.4,876900,96110,68300,2.44E+07,37130,31390,27980,61810,28650,0,2.30E-38,1.96E-38,9.00E-38,7.15E-38,6.61E-39,1.92E-39,2.45E-40,6.24E-40,1.58E-39,1.54E-40,2.08E-35,0,0.2926,0.8733,1.533,0.9586,0.1008,0.02182,0.002306,0.005188,0.009559,0.00191,0,0,4.74E-04,0.001211,0.001188,0.9924,8.89E-04,9.73E-04,2.84E-04,0.001865,6.84E-04,0,1.01E-04,0.01389,0.00186,0.001761,0.1723,0.00331,5.58E-04,7.98E-04,0.001626,3.17E-04
0,0,1,0,0,0,0,0,0,0,0,0,1265,165.9,156.7,120.6,0.1566,6.4,0.4376,0.8287,1.673,0.1429,0,344.3,0.1817,1.64,0.1128,0.1451,0.2569,0.4486,0.6242,0.5494,11.53,0,344.3,0.1817,1.64,0.1128,0.1451,0.2569,0.4486,0.6242,0.5494,11.53,0,0,0,0,0,0,0,0,0,0,0,0,0,919.6,113.4,37.32,764.7,3.67,2.785,4.053,189.1,1.45,0,139.8,13.95,8.842,11.57,39.61,0.07555,0.02727,0.1307,0.1114,0.06692,1.34E-23,0,0,5.35E-04,1.13E-07,1.68E-08,0,0,0,0,0,0,4.71E-25,0,2.39E-26,2.43E-21,1.79E-22,6.12E-25,7.96E-25,2.47E-24,2.12E-25,6.02E-24,3.90E-24,6.82E-23,0,2.41E-32,5.78E-26,8.37E-27,9.43E-30,1.49E-31,1.42E-32,1.74E-35,4.55E-35,6.82E-34,7.41E-33,0,0,7494,0,0,0,0,0,0,0,0,4.33E-04,0,897.3,850300,100100,70790,2.58E+07,38800,32380,27930,64410,29530,0,2.33E-38,2.12E-38,8.74E-38,6.93E-38,6.63E-39,4.11E-39,2.46E-40,6.15E-40,1.58E-39,1.43E-40,2.08E-35,0,0.3106,0.9041,1.493,0.9287,0.1016,0.0384,0.002306,0.005149,0.009534,0.001879,0,0,4.74E-04,0.001211,0.001188,0.9924,8.89E-04,9.73E-04,2.84E-04,0.001865,6.84E-04,0,1.25E-04,0.01377,0.00187,0.001746,0.1717,0.00329,5.55E-04,7.95E-04,0.001625,3.15E-04
0,0,1,0,0,0,0,0,0,0,0,0,1267,165.6,155.5,120.2,0.8842,3.884,0.4345,0.8476,1.691,0.1512,0,344.3,0.1859,1.608,0.1123,0.1575,0.2493,0.4479,0.6214,0.3351,11.76,0,344.3,0.1859,1.608,0.1123,0.1575,0.2493,0.4479,0.6214,0.3351,11.76,0,0,0,0,0,0,0,0,0,0,0,0,0,951.6,113.6,32.25,739.3,2.448,1.918,11.67,187.7,1.521,0,139.8,11.92,7.246,13.05,39.46,0.07329,0.02707,0.1313,0.101,0.06655,1.92E-23,0,0,6.56E-04,1.44E-07,9.34E-08,1.55E-07,0,0,0,0,0,7.17E-25,0,3.90E-26,2.49E-21,2.96E-22,6.30E-24,2.22E-24,4.96E-24,3.44E-25,1.04E-23,1.10E-23,1.21E-22,0,2.42E-32,4.69E-26,1.28E-26,4.53E-29,2.60E-30,3.43E-32,5.01E-35,2.40E-34,1.62E-33,1.18E-32,0,0,6785,0,0,0,0,0,0,0,0,1.02E-04,0,941.9,704500,126800,83170,2.73E+07,40000,34070,28800,67270,30840,0,2.42E-38,2.03E-38,8.56E-38,6.94E-38,8.98E-39,1.96E-39,2.44E-40,6.41E-40,1.58E-39,1.48E-40,2.08E-35,0,0.3221,0.8851,1.464,0.921,0.1346,0.02216,0.002295,0.005158,0.009719,0.00195,0,0,4.74E-04,0.001211,0.001188,0.9924,8.89E-04,9.73E-04,2.84E-04,0.001865,6.84E-04,0,1.37E-04,0.01273,0.001913,0.00176,0.1715,0.003274,5.54E-04,8.23E-04,0.001611,3.20E-04
0,0,1,0,0,0,0,0,0,0,0,0,1259,174.3,159.6,115.5,0.5028,14.51,0.3502,0.6432,1.435,0.1468,0,344.3,0.1636,1.521,0.1636,0.1613,0.6145,0.5183,0.6377,0.342,11.34,0,344.3,0.1636,1.521,0.1636,0.1613,0.6145,0.5183,0.6377,0.342,11.34,0,0,0,0,0,0,0,0,0,0,0,0,0,958.4,112.9,24.01,754.6,4.671,1.744,11.11,187.1,1.531,0,137.2,10.59,4.714,9.545,37.63,0.06287,0.02564,0.09655,0.07775,0.04892,2.34E-23,0,0,6.85E-04,1.44E-07,6.43E-08,9.50E-08,0,0,0,0,0,1.07E-24,0,9.28E-26,2.59E-21,6.62E-22,1.09E-23,5.01E-24,1.61E-23,9.31E-24,2.39E-23,1.80E-23,2.86E-22,0,2.41E-32,4.94E-26,1.36E-26,8.07E-29,1.07E-30,6.86E-31,8.00E-33,2.08E-32,2.95E-32,1.70E-32,0,0,6785,0,0,0,0,0,0,0,0,1.00E-04,0,1035,672900,115300,90270,2.90E+07,40080,35350,27540,68470,33510,0,2.12E-38,1.82E-38,8.45E-38,6.24E-38,8.28E-39,1.19E-38,1.81E-40,4.75E-40,1.38E-39,1.25E-40,2.08E-35,0,0.2833,0.8939,1.46,0.8886,0.1144,0.09645,0.001905,0.004136,0.008467,0.001843,0,0,4.74E-04,0.001211,0.001188,0.9924,8.89E-04,9.73E-04,2.84E-04,0.001865,6.84E-04,0,1.52E-04,0.0126,0.001909,0.001569,0.1717,0.00328,5.49E-04,8.11E-04,0.001599,3.23E-04
