R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,bead1,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pepEn,pepMHCIEn,povaEn,protonEn,solubleMarker,volume,
1.1E-39,0.014,1900.0,4700.0,4700.0,3899999.9999999995,3500.0,3800.0,1100.0,7300.0,2700.0,0.16,3899999.9999999995,0.0,4.2E-5,0.033,0.033,0.0,480.0,8.8,0.0,0.0,0.0,0.0,1.9E7,1.0,7.4E8,
1.1E-39,0.014,1900.0,4700.0,4600.0,3899999.9999999995,3500.0,3800.0,1100.0,7300.0,2700.0,0.16,3899999.9999999995,0.0,4.3E-5,0.033,0.033,0.0,470.0,8.8,0.0,2.4E-27,2.2E-38,0.0,1.9E7,1.0,7.3E8,
1.1E-39,0.014,1900.0,4700.0,4600.0,3899999.9999999995,3500.0,3800.0,1100.0,7300.0,2700.0,0.16,3899999.9999999995,0.0,4.4E-5,0.033,0.033,0.0,440.0,8.8,0.0,1.9E-26,4.9E-37,0.0,1.9E7,1.0,7.3E8,
1.1E-39,0.014,1800.0,4700.0,4600.0,3799999.9999999995,3500.0,3800.0,1100.0,7300.0,2700.0,0.16,3899999.9999999995,0.0,4.5E-5,0.033,0.033,0.0,420.0,8.7,0.0,3.5E-26,1.2E-36,0.0,1.8E7,1.0,7.1E8,
1.1E-39,0.014,1800.0,4700.0,4600.0,3799999.9999999995,3500.0,3800.0,1100.0,7300.0,2700.0,0.16,3899999.9999999995,0.0,4.6E-5,0.033,0.033,0.0,390.0,8.7,0.0,9.6E-26,3.4E-36,0.0,1.8E7,1.0,7.1E8,
1.1E-39,0.014,1800.0,4700.0,4600.0,3799999.9999999995,3500.0,3800.0,1100.0,7200.0,2700.0,0.15,3799999.9999999995,0.0,4.3E-5,0.033,0.033,0.0,370.0,8.7,0.0,1.8E-25,6.9E-36,0.0,1.8E7,1.0,7.1E8,
1.1E-39,0.014,1800.0,4700.0,4600.0,3799999.9999999995,3500.0,3800.0,1100.0,7200.0,2700.0,0.15,3799999.9999999995,0.0,4.6E-5,0.033,0.033,0.0,350.0,8.6,0.0,3.4E-25,1.4E-35,0.0,1.7E7,1.0,7.0E8,
1.1E-39,0.014,1800.0,4700.0,4600.0,3799999.9999999995,3500.0,3800.0,1100.0,7200.0,2700.0,0.15,3799999.9999999995,0.0,4.4E-5,0.033,0.033,0.0,320.0,8.6,0.0,6.8E-25,2.8E-35,0.0,1.8E7,1.0,7.0E8,
1.1E-39,0.014,1800.0,4700.0,4600.0,3799999.9999999995,3500.0,3800.0,1100.0,7200.0,2700.0,0.15,3799999.9999999995,0.0,3.9E-5,0.033,0.033,0.0,310.0,8.6,0.0,1.2E-24,4.7999999999999997E-35,0.0,1.9E7,1.0,7.0E8,
1.1E-39,0.014,1800.0,4700.0,4600.0,3799999.9999999995,3500.0,3800.0,1100.0,7200.0,2700.0,0.15,3799999.9999999995,0.0,3.3E-5,0.033,0.033,0.0,280.0,8.6,0.0,1.8999999999999998E-24,7.0E-35,0.0,2.0E7,1.0,7.0E8,
1.1E-39,0.014,1800.0,4700.0,4600.0,3799999.9999999995,3500.0,3800.0,1100.0,7200.0,2700.0,0.15,3799999.9999999995,0.0,2.7E-5,0.033,0.033,0.0,280.0,8.6,0.0,2.6999999999999997E-24,8.999999999999999E-35,0.0,2.1E7,1.0,7.0E8,
1.1E-39,0.014,1800.0,4700.0,4600.0,3799999.9999999995,3500.0,3800.0,1100.0,7200.0,2700.0,0.15,3799999.9999999995,0.0,2.3E-5,0.033,0.033,0.0,280.0,8.6,0.0,3.599999999999999E-24,1.1E-34,0.0,2.2E7,1.0,7.0E8,
1.1E-39,0.014,1800.0,4700.0,4600.0,3799999.9999999995,3500.0,3800.0,1100.0,7200.0,2700.0,0.15,3799999.9999999995,0.0,1.9E-5,0.033,0.033,0.0,280.0,8.6,0.0,4.8E-24,1.2E-34,0.0,2.4E7,1.0,7.0E8,
1.1E-39,0.014,1800.0,4700.0,4600.0,3799999.9999999995,3500.0,3800.0,1100.0,7200.0,2700.0,0.15,3799999.9999999995,0.0,1.6E-5,0.032,0.032,0.0,280.0,8.6,0.0,5.8E-24,1.3E-34,0.0,2.5E7,1.0,6.9E8,
1.1E-39,0.014,1800.0,4700.0,4600.0,3799999.9999999995,3400.0,3800.0,1100.0,7200.0,2700.0,0.15,3799999.9999999995,0.0,2.0E-5,0.032,0.032,0.0,290.0,8.6,0.0,3.1E-23,4.1E-34,0.0,2.3E7,1.0,6.9E8,
1.1E-39,0.014,1800.0,4700.0,4600.0,3799999.9999999995,3400.0,3800.0,1100.0,7200.0,2700.0,0.15,3799999.9999999995,0.0,2.1E-5,0.032,0.032,0.0,290.0,8.6,0.0,6.900000000000001E-23,1.2E-33,0.0,2.3E7,1.0,6.9E8,
1.1E-39,0.014,1800.0,4700.0,4600.0,3799999.9999999995,3400.0,3800.0,1100.0,7200.0,2700.0,0.15,3799999.9999999995,0.0,2.0E-5,0.032,0.032,0.0,280.0,8.6,0.0,1.2E-22,2.4E-33,0.0,2.3E7,1.0,6.9E8,
1.1E-39,0.014,1800.0,4700.0,4600.0,3799999.9999999995,3400.0,3800.0,1100.0,7200.0,2700.0,0.15,3799999.9999999995,0.0,1.8E-5,0.032,0.032,0.0,280.0,8.6,0.0,1.8E-22,3.7E-33,0.0,2.4E7,1.0,6.9E8,
1.1E-39,0.014,1800.0,4700.0,4600.0,3799999.9999999995,3400.0,3800.0,1100.0,7200.0,2700.0,0.15,3799999.9999999995,0.0,1.6E-5,0.032,0.032,0.0,280.0,8.6,0.0,2.5E-22,4.9000000000000005E-33,0.0,2.5E7,1.0,6.9E8,
1.1E-39,0.014,1800.0,4700.0,4600.0,3799999.9999999995,3400.0,3800.0,1100.0,7200.0,2700.0,0.15,3799999.9999999995,0.0,1.4E-5,0.032,0.032,0.0,280.0,8.6,0.0,3.2999999999999996E-22,5.9000000000000005E-33,0.0,2.7E7,1.0,6.9E8,
1.1E-39,0.014,1800.0,4700.0,4600.0,3799999.9999999995,3400.0,3800.0,1100.0,7200.0,2700.0,0.15,3799999.9999999995,0.0,1.2E-5,0.032,0.032,0.0,280.0,8.6,0.0,4.1999999999999997E-22,6.7E-33,0.0,2.8E7,1.0,6.9E8,
1.1E-39,0.014,1800.0,4700.0,4600.0,3799999.9999999995,3400.0,3800.0,1100.0,7200.0,2700.0,0.15,3799999.9999999995,0.0,1.0E-5,0.032,0.032,0.0,270.0,8.6,0.0,5.2E-22,7.3E-33,0.0,2.9E7,1.0,6.9E8,
1.1E-39,0.014,1800.0,4700.0,4600.0,3799999.9999999995,3400.0,3800.0,1100.0,7200.0,2700.0,0.15,3799999.9999999995,0.0,1.2E-5,0.032,0.032,0.0,270.0,8.6,0.0,6.1E-22,8.6E-33,0.0,2.8E7,1.0,6.9E8,
