entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
2.171,0.1367,0.2471,0.07185,0.04119,0.1987,0.1128,0.02557,0.04929,0.0765,0.04712,0.06496,0.06496,
2.14,0.1323,0.1761,0.05156,0.02955,0.1404,0.08083,0.01838,0.03542,0.05498,0.03505,0.1894,0.1882,
2.141,0.1336,0.1737,0.05175,0.02969,0.1395,0.08081,0.01847,0.0356,0.05526,0.03523,0.1904,0.1896,
2.141,0.1399,0.172,0.05184,0.02934,0.1396,0.08063,0.0185,0.03567,0.05536,0.0353,0.1907,0.191,
2.142,0.1621,0.1714,0.052,0.02944,0.1388,0.08034,0.01857,0.03579,0.05556,0.036,0.1918,0.1903,
2.142,0.1476,0.17,0.05218,0.02953,0.1379,0.07927,0.01863,0.03592,0.05575,0.03612,0.1925,0.1922,
2.142,0.1327,0.1683,0.05234,0.02961,0.1374,0.07852,0.01869,0.03603,0.05593,0.03623,0.1931,0.1939,
2.147,0.1376,0.1703,0.05243,0.02963,0.1368,0.07874,0.01874,0.03613,0.05608,0.03854,0.1924,0.1902,
2.147,0.1325,0.1684,0.05215,0.02971,0.1369,0.07854,0.0188,0.03624,0.05626,0.03867,0.193,0.1912,
2.147,0.1363,0.1661,0.0513,0.02986,0.1368,0.07837,0.01875,0.03643,0.05655,0.03886,0.194,0.193,
2.147,0.1476,0.1634,0.05102,0.02998,0.1357,0.07777,0.01886,0.03665,0.05691,0.03911,0.1953,0.1953,
2.15,0.1352,0.164,0.05101,0.03,0.1356,0.07692,0.01888,0.03667,0.05695,0.04162,0.1929,0.1954,
2.15,0.1356,0.1638,0.05102,0.03001,0.1353,0.07651,0.01889,0.0367,0.05699,0.04166,0.1931,0.196,
2.148,0.1434,0.1633,0.05095,0.02999,0.1349,0.07488,0.01889,0.03669,0.05697,0.04162,0.194,0.1979,
2.149,0.1403,0.1638,0.05101,0.03001,0.1346,0.07497,0.01891,0.03673,0.05704,0.04264,0.1932,0.1971,
2.15,0.1453,0.1643,0.05097,0.03003,0.1337,0.0748,0.01894,0.0368,0.05714,0.04272,0.1936,0.197,
2.148,0.1288,0.1656,0.05083,0.02995,0.1333,0.07363,0.0189,0.03671,0.05701,0.04262,0.197,0.1944,
2.147,0.1211,0.1646,0.05056,0.02993,0.133,0.07358,0.01889,0.03669,0.05698,0.0426,0.1989,0.1943,
2.147,0.1204,0.168,0.05052,0.02996,0.133,0.0723,0.01891,0.03673,0.05704,0.04342,0.1983,0.1918,
2.147,0.1218,0.1673,0.05053,0.02999,0.133,0.07191,0.01893,0.03677,0.0571,0.04346,0.1985,0.1925,
2.147,0.1421,0.1665,0.05053,0.03004,0.1326,0.07119,0.01896,0.03683,0.0572,0.04354,0.1989,0.1938,
2.149,0.1248,0.1661,0.0505,0.03002,0.1324,0.06957,0.01894,0.03681,0.05717,0.0466,0.1967,0.1952,
2.153,0.1251,0.1702,0.05053,0.03005,0.1324,0.06886,0.01894,0.03682,0.05719,0.04921,0.1942,0.1916,
2.153,0.1257,0.1698,0.05046,0.03007,0.1324,0.06864,0.01895,0.03685,0.05723,0.04924,0.1944,0.192,
2.151,0.1207,0.1696,0.05049,0.02972,0.1322,0.06786,0.01897,0.03687,0.05726,0.04927,0.1945,0.1933,
2.15,0.1198,0.1693,0.05031,0.02975,0.1322,0.06693,0.01898,0.03689,0.0573,0.04931,0.1946,0.1944,
2.148,0.1171,0.1685,0.05,0.02975,0.132,0.06563,0.01899,0.03691,0.05733,0.04933,0.1957,0.1958,
2.148,0.1113,0.1678,0.04998,0.02979,0.1318,0.06538,0.01902,0.03697,0.05742,0.04941,0.196,0.1965,
2.147,0.1156,0.1667,0.04994,0.02977,0.1314,0.06487,0.019,0.03694,0.05738,0.04937,0.1978,0.1968,
2.147,0.1203,0.1663,0.04962,0.02979,0.1306,0.06492,0.01902,0.03697,0.05743,0.04941,0.199,0.1969,
2.146,0.1151,0.165,0.04935,0.02955,0.1302,0.06497,0.01903,0.037,0.05747,0.04945,0.2001,0.1978,
2.151,0.1135,0.1661,0.04961,0.02964,0.1303,0.06515,0.01893,0.03728,0.05765,0.05251,0.197,0.1958,
2.151,0.1188,0.1652,0.04967,0.02974,0.1308,0.06493,0.01894,0.03736,0.05799,0.05192,0.1971,0.1964,
2.15,0.1172,0.1636,0.0497,0.02981,0.1318,0.06385,0.01883,0.03818,0.05788,0.05131,0.1972,0.1978,
2.152,0.1299,0.1621,0.04988,0.02978,0.132,0.06371,0.0188,0.04837,0.04898,0.04957,0.1989,0.1979,
2.13,0.1349,0.1632,0.04978,0.02989,0.1318,0.07571,0.00654,0.04836,0.05004,0.0486,0.1995,0.1967,
2.131,0.1316,0.1613,0.04991,0.02993,0.1329,0.07577,0.006669,0.04883,0.05049,0.04768,0.1997,0.1968,
2.13,0.1296,0.1603,0.05007,0.03,0.1328,0.07525,0.006667,0.04926,0.05103,0.04668,0.2006,0.1973,
2.13,0.1377,0.1579,0.05035,0.03011,0.1336,0.07514,0.006547,0.04984,0.05133,0.04585,0.2017,0.1976,
2.131,0.1445,0.1593,0.05072,0.03016,0.1335,0.07532,0.006552,0.05026,0.05389,0.04328,0.2015,0.1956,
2.131,0.1523,0.1574,0.05106,0.03034,0.1343,0.07538,0.006312,0.05061,0.05467,0.04229,0.2017,0.196,
2.132,0.1459,0.1565,0.05111,0.03051,0.1343,0.07505,0.006567,0.05083,0.05525,0.04138,0.2019,0.1966,
2.134,0.1475,0.1567,0.05099,0.03056,0.1351,0.07358,0.006684,0.05066,0.0569,0.042,0.2014,0.1955,
2.131,0.1398,0.1558,0.05072,0.03063,0.1351,0.07138,0.006685,0.05067,0.05691,0.04201,0.2024,0.1977,
2.131,0.1495,0.155,0.05044,0.03072,0.1351,0.07138,0.006808,0.05067,0.05699,0.0418,0.2034,0.1977,
2.13,0.1516,0.1542,0.05038,0.03082,0.1355,0.07049,0.006812,0.0507,0.05703,0.04183,0.2035,0.1988,
2.133,0.1478,0.1528,0.05032,0.03067,0.1383,0.07024,0.007061,0.05046,0.05729,0.04289,0.2033,0.1967,
2.13,0.1572,0.1519,0.05049,0.02986,0.1387,0.06989,0.00694,0.05048,0.05796,0.04226,0.2034,0.1982,
2.131,0.1681,0.1507,0.05092,0.02997,0.1386,0.06972,0.007274,0.05034,0.06009,0.04012,0.2036,0.1987,
2.13,0.1573,0.1497,0.05121,0.03003,0.1387,0.06942,0.00727,0.05043,0.06071,0.03931,0.2045,0.1988,
2.134,0.1551,0.1505,0.05126,0.03016,0.1387,0.06932,0.00715,0.05058,0.06111,0.04139,0.2021,0.1978,
2.134,0.157,0.1483,0.05131,0.0302,0.14,0.0688,0.007148,0.05081,0.06085,0.04138,0.203,0.1982,
2.142,0.1554,0.1514,0.05143,0.03026,0.1397,0.06843,0.007394,0.05056,0.06195,0.04544,0.1988,0.1946,
2.145,0.1734,0.15,0.05174,0.03031,0.1401,0.06851,0.007402,0.05111,0.06206,0.04611,0.1979,0.1948,
2.143,0.1686,0.149,0.05185,0.03039,0.1399,0.06756,0.007401,0.05123,0.06316,0.04488,0.1988,0.1958,
2.149,0.1743,0.1481,0.05219,0.03048,0.1399,0.06761,0.007407,0.05127,0.06487,0.04697,0.1953,0.1959,
2.149,0.1708,0.1469,0.05219,0.03051,0.1406,0.06731,0.007624,0.05145,0.06464,0.04668,0.1961,0.196,
2.147,0.17,0.1459,0.0525,0.03051,0.1402,0.0666,0.007614,0.05138,0.06617,0.04501,0.1978,0.1964,
2.146,0.1636,0.1453,0.05223,0.03056,0.14,0.0666,0.007736,0.05145,0.06662,0.04435,0.1988,0.1964,
2.153,0.1729,0.1446,0.05223,0.03063,0.14,0.06666,0.007867,0.05193,0.06637,0.04869,0.1944,0.1966,
2.164,0.1718,0.1453,0.05259,0.03067,0.14,0.06637,0.01486,0.045,0.06645,0.04874,0.1946,0.1953,
2.164,0.1711,0.1447,0.05289,0.03078,0.1395,0.06595,0.01488,0.04506,0.06684,0.0485,0.1949,0.1961,
2.163,0.2139,0.1437,0.05326,0.03086,0.1399,0.06958,0.04166,0.0148,0.06727,0.04797,0.1949,0.1961,
2.162,0.1912,0.1427,0.05333,0.0309,0.1401,0.06919,0.04177,0.01467,0.06724,0.04795,0.1958,0.1964,
2.16,0.167,0.1415,0.05344,0.03093,0.1404,0.06831,0.04176,0.01466,0.06969,0.04546,0.1967,0.1972,
2.159,0.1733,0.1407,0.05347,0.03097,0.1401,0.06766,0.04151,0.01466,0.07035,0.0448,0.1977,0.1981,
2.161,0.1785,0.1418,0.05332,0.03075,0.1402,0.06759,0.04149,0.01506,0.07004,0.04639,0.1969,0.1964,
2.16,0.1873,0.1403,0.05357,0.03093,0.1412,0.06651,0.04164,0.01504,0.07175,0.04459,0.1969,0.1976,
2.161,0.1906,0.1419,0.05344,0.03105,0.1412,0.0656,0.04173,0.01527,0.07133,0.04524,0.198,0.1952,
2.159,0.1913,0.1406,0.05346,0.03113,0.1417,0.063,0.0419,0.01529,0.07202,0.04561,0.1972,0.1981,
2.16,0.1819,0.1389,0.05402,0.0312,0.1424,0.06276,0.0418,0.0153,0.07219,0.04551,0.1973,0.1986,
2.159,0.185,0.1385,0.05416,0.03129,0.1423,0.06278,0.04182,0.01531,0.07338,0.04436,0.1974,0.1987,
2.157,0.1975,0.1373,0.05399,0.03135,0.1428,0.06125,0.04181,0.01553,0.07343,0.04406,0.1983,0.2002,
2.157,0.1923,0.1369,0.05417,0.03143,0.1428,0.061,0.04181,0.01565,0.07332,0.04406,0.1984,0.2005,
2.156,0.1835,0.1365,0.05399,0.03146,0.1427,0.06058,0.04179,0.01565,0.07353,0.04379,0.1993,0.2008,
2.154,0.1999,0.1359,0.05396,0.03149,0.1424,0.05995,0.04172,0.01555,0.07421,0.04287,0.2009,0.2011,
2.152,0.1892,0.1352,0.05376,0.03122,0.1426,0.05854,0.04198,0.01546,0.07415,0.0429,0.2011,0.2031,
2.154,0.1841,0.1381,0.0536,0.03125,0.1435,0.0571,0.04191,0.01637,0.07357,0.04373,0.2001,0.2009,
2.157,0.1795,0.1403,0.05353,0.03136,0.1438,0.05619,0.04193,0.01637,0.0736,0.04587,0.198,0.199,
2.161,0.179,0.1455,0.05372,0.03137,0.1438,0.05472,0.04201,0.01623,0.07353,0.04836,0.1963,0.1944,
2.158,0.1868,0.1449,0.05381,0.03148,0.1441,0.05375,0.0423,0.01596,0.07563,0.04628,0.1964,0.1954,
2.157,0.1756,0.1439,0.05412,0.03115,0.1445,0.05351,0.04267,0.01561,0.0761,0.04582,0.1964,0.1962,
2.156,0.1997,0.1431,0.05435,0.03122,0.1448,0.05201,0.04256,0.01594,0.07617,0.04547,0.1965,0.1979,
2.155,0.1973,0.1424,0.05425,0.03146,0.1449,0.0508,0.04259,0.01628,0.07603,0.04538,0.1966,0.1993,
2.153,0.1857,0.1416,0.05438,0.03151,0.1447,0.05001,0.04258,0.01627,0.07636,0.04501,0.1976,0.2,
2.157,0.1832,0.1442,0.05451,0.03154,0.1451,0.05029,0.04263,0.01601,0.07705,0.04628,0.1958,0.1966,
2.143,0.179,0.1436,0.0546,0.03164,0.1453,0.04941,0.05132,0.007392,0.07782,0.04537,0.1958,0.1977,
2.142,0.1874,0.1431,0.05479,0.03167,0.1453,0.0487,0.05134,0.007518,0.07854,0.04456,0.1959,0.1985,
2.143,0.1745,0.1424,0.05493,0.03172,0.1456,0.04872,0.05136,0.00777,0.07876,0.04416,0.196,0.1986,
2.141,0.1832,0.142,0.0552,0.03177,0.146,0.04908,0.05132,0.007531,0.08157,0.04144,0.1962,0.1979,
2.138,0.191,0.141,0.05507,0.03184,0.1468,0.05227,0.04738,0.007435,0.08349,0.03945,0.1962,0.199,
2.136,0.1943,0.1386,0.05537,0.0319,0.1478,0.05111,0.04739,0.007435,0.08375,0.03919,0.1972,0.2002,
2.131,0.1788,0.1379,0.0554,0.03198,0.148,0.05127,0.04729,0.007439,0.09041,0.03261,0.1973,0.2003,
2.129,0.1805,0.1361,0.05532,0.03203,0.1487,0.0512,0.04723,0.007429,0.0908,0.03206,0.1991,0.2001,
2.128,0.1679,0.1348,0.05564,0.03208,0.1491,0.0511,0.04704,0.007435,0.09205,0.0309,0.1992,0.2006,
2.125,0.172,0.1337,0.05567,0.03216,0.1488,0.05079,0.04692,0.007434,0.09359,0.02935,0.2002,0.2013,
2.12,0.1707,0.1325,0.05594,0.03232,0.1489,0.05037,0.04684,0.007317,0.09744,0.02565,0.2004,0.2023,
2.119,0.1638,0.1316,0.05586,0.03242,0.1489,0.05056,0.04678,0.007325,0.09818,0.02506,0.2007,0.2026,
2.118,0.1864,0.1304,0.05604,0.03251,0.1488,0.05081,0.04653,0.007525,0.09861,0.02444,0.2017,0.2026,
2.118,0.16,0.1338,0.05612,0.03258,0.1484,0.05098,0.04863,0.005381,0.09899,0.02534,0.2009,0.1989,
2.119,0.1766,0.1351,0.05623,0.03262,0.1482,0.05115,0.04867,0.005261,0.09921,0.02569,0.2006,0.1972,
2.126,0.1703,0.1345,0.05628,0.0327,0.1483,0.05092,0.0487,0.005469,0.09919,0.02891,0.1974,0.1976,
2.125,0.1819,0.1337,0.05643,0.03277,0.1481,0.05111,0.04863,0.005676,0.1007,0.02737,0.1976,0.1978,
2.125,0.1711,0.1303,0.05655,0.03289,0.1504,0.05118,0.04883,0.005559,0.1008,0.02741,0.1979,0.1981,
2.123,0.1753,0.1299,0.05669,0.03293,0.15,0.05116,0.04869,0.005285,0.1014,0.02676,0.1988,0.1984,
2.124,0.1692,0.1296,0.0568,0.03302,0.1497,0.05131,0.04859,0.005494,0.1012,0.02678,0.1989,0.1985,
2.124,0.1742,0.1293,0.05692,0.0331,0.1493,0.05136,0.04864,0.005623,0.1014,0.02661,0.1991,0.1987,
2.125,0.1599,0.1286,0.0568,0.03322,0.1497,0.05161,0.04854,0.005994,0.1012,0.02638,0.1992,0.1988,
2.148,0.1774,0.1283,0.05698,0.03333,0.1488,0.05168,0.04861,0.01613,0.09123,0.02642,0.1995,0.1991,
2.146,0.1751,0.1277,0.05684,0.03301,0.1488,0.05214,0.04822,0.01635,0.09118,0.026,0.2003,0.1994,
2.162,0.1907,0.1269,0.05709,0.03311,0.1488,0.05218,0.04841,0.02841,0.07957,0.02549,0.2005,0.1996,
2.161,0.1949,0.1257,0.05728,0.03259,0.1487,0.05223,0.04849,0.02847,0.07908,0.02545,0.2022,0.1998,
2.17,0.2481,0.1253,0.05725,0.03268,0.1486,0.05985,0.04095,0.0612,0.04746,0.02444,0.2023,0.2,
2.17,0.2708,0.1249,0.05739,0.03274,0.1483,0.06001,0.04085,0.06161,0.04761,0.02397,0.2025,0.2001,
2.173,0.2342,0.1255,0.05719,0.03282,0.1484,0.06007,0.04089,0.06205,0.04794,0.02477,0.2012,0.1992,
2.179,0.2211,0.1267,0.05703,0.03215,0.1486,0.06012,0.04093,0.06211,0.04833,0.0279,0.198,0.1982,
2.178,0.249,0.1263,0.05711,0.03223,0.1486,0.05979,0.04094,0.06213,0.04909,0.02703,0.198,0.1987,
2.177,0.2335,0.1258,0.05699,0.03236,0.1488,0.05946,0.04096,0.06266,0.04907,0.02659,0.1981,0.1992,
