bead1Er,bead1Pm,bead1RabA,bead1RabB,bead1RabC,bead1RabD,bead1RabE,bead1RabF,bead1RabG,bead1RabH,bead1RabI,cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,povaEnEr,povaEnPm,povaEnRabA,povaEnRabB,povaEnRabC,povaEnRabD,povaEnRabE,povaEnRabF,povaEnRabG,povaEnRabH,povaEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI
0,0,1,0,0,0,0,0,0,0,0,0,1605,164.5,183.8,154.6,0.04902,5.632,0.2397,0.1645,0.9829,0.4028,0,343.6,0.137,0.6699,0.6161,0.06893,0.1893,0.05927,0.08164,4.769,11.01,0,343.6,0.137,0.6699,0.6161,0.06893,0.1893,0.05927,0.08164,4.769,11.01,0,0,0,0,0,0,0,0,0,0,0,0,0,308.6,90.58,37.71,793.3,165.2,3.317,3.693,30.57,4.163,0,45.19,10.41,11.02,64.07,39.86,0.1306,0.01362,0.01546,0.0119,0.01397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,1.00E-04,0,0,211600,57180,47750,2.23E+07,45540,21470,24240,13490,24790,0,4.68E-36,4.19E-36,1.37E-35,1.68E-35,8.44E-37,3.98E-37,1.25E-38,7.80E-39,4.85E-38,2.18E-38,2.08E-35,0,0.6631,1.321,3.005,1.58,0.1316,0.0437,0.003975,0.002625,0.01634,0.009706,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,1.00E-05,0.01505,0.008867,0.006466,0.2415,0.01391,0.001641,6.99E-04,0.005386,9.76E-04
0,0,1,0,0,0,0,0,0,0,0,0,1588,181,186.1,146.4,0.04914,4.894,0.2234,0.1636,0.9837,0.4031,0,343.6,0.1638,0.6736,0.5092,0.09061,0.2064,0.05941,0.08115,4.747,11.04,0,343.6,0.1638,0.6736,0.5092,0.09061,0.2064,0.05941,0.08115,4.747,11.04,0,0,0,0,0,0,0,0,0,0,0,0,0,363.6,93.01,42.31,775.3,166.4,3.246,3.567,30.6,4.099,0,46.76,2.073,11.92,51.96,49.46,2.463,0.01336,0.01527,0.01179,0.01377,2.50E-27,0,0,2.36E-05,0,0,0,0,0,0,0,0,9.10E-30,0,0,2.42E-30,2.84E-30,1.10E-29,4.73E-30,9.31E-31,3.69E-30,8.43E-31,3.92E-29,2.83E-28,0,0,2.93E-39,1.46E-37,1.50E-37,4.13E-38,6.25E-39,1.65E-42,3.82E-43,5.93E-41,1.93E-39,0,0,10000,0,0,0,0,0,0,0,0,6.53E-04,0,327.9,213400,51340,57460,2.13E+07,45720,20140,22740,13130,23560,0,3.89E-36,4.34E-36,1.33E-35,1.53E-35,1.67E-36,5.10E-37,1.14E-38,7.74E-39,4.81E-38,2.18E-38,2.08E-35,0,0.5469,1.412,2.979,1.488,0.1837,0.04254,0.003698,0.002608,0.01635,0.009705,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,1.83E-04,0.01494,0.008843,0.006394,0.2393,0.0138,0.001636,6.87E-04,0.00539,9.68E-04
0,0,1,0,0,0,0,0,0,0,0,0,1583,191.1,183.2,142.6,0.05144,4.865,0.2271,0.1579,0.9621,0.4166,0,343.6,0.09663,0.7544,0.4597,0.06136,0.2077,0.0677,0.07269,4.741,11.07,0,343.6,0.09663,0.7544,0.4597,0.06136,0.2077,0.0677,0.07269,4.741,11.07,0,0,0,0,0,0,0,0,0,0,0,0,0,397.7,93.71,37.98,773.1,165.8,3.375,3.503,29.77,4.337,0,47.7,1.369,8.678,67.32,35.36,0.1497,0.01334,0.01527,0.01176,0.01376,2.29E-26,0,0,7.17E-05,0,0,0,0,0,0,0,0,1.68E-28,0,0,2.14E-28,4.98E-28,1.52E-28,4.67E-29,3.10E-29,6.02E-29,1.85E-29,1.03E-27,1.03E-26,0,0,3.91E-35,9.25E-35,6.61E-35,1.06E-37,3.57E-39,1.22E-40,5.85E-41,9.77E-39,2.00E-37,0,0,9323,0,0,0,0,0,0,0,0,1.00E-04,0,583,211000,44910,49510,2.15E+07,43620,19880,22500,12970,23460,0,3.64E-36,3.93E-36,1.37E-35,1.55E-35,6.82E-37,3.49E-37,1.14E-38,7.91E-39,4.71E-38,2.20E-38,2.08E-35,0,0.5245,1.444,2.987,1.506,0.1151,0.03132,0.003732,0.002657,0.01607,0.00977,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,2.92E-04,0.01457,0.008784,0.006217,0.2399,0.01367,0.001654,6.97E-04,0.005418,9.66E-04
0,0,1,0,0,0,0,0,0,0,0,0,1584,176.7,192.5,143.8,0.05168,4.819,0.2275,0.1553,0.9619,0.4167,0,343.6,0.1219,0.7196,0.4661,0.06085,0.2071,0.06744,0.07279,4.741,11.07,0,343.6,0.1219,0.7196,0.4661,0.06085,0.2071,0.06744,0.07279,4.741,11.07,0,0,0,0,0,0,0,0,0,0,0,0,0,415.2,95.1,39.17,746.1,165.8,3.337,3.459,29.75,4.295,0,47.7,3.693,17.24,58.89,35.06,0.1375,0.01334,0.01527,0.01176,0.01376,1.33E-25,0,0,1.80E-04,0,0,0,0,0,0,0,0,1.82E-27,0,2.17E-29,3.50E-27,3.82E-27,1.44E-27,4.44E-28,9.32E-28,6.45E-28,2.44E-28,1.26E-26,6.27E-26,0,6.86E-37,5.00E-33,1.21E-32,7.02E-33,4.62E-37,2.62E-36,3.88E-39,3.47E-39,4.99E-37,1.75E-36,0,0,8868,0,0,0,0,0,0,0,0,5.26E-04,0,950.6,214700,50090,49150,2.22E+07,43430,19700,22370,12880,23590,0,4.03E-36,4.26E-36,1.31E-35,1.52E-35,6.80E-37,3.48E-37,1.14E-38,7.90E-39,4.64E-38,2.20E-38,2.08E-35,0,0.5592,1.404,2.982,1.506,0.1161,0.03121,0.003733,0.002658,0.01607,0.009771,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,4.90E-04,0.01377,0.008968,0.006505,0.2395,0.0135,0.001675,7.06E-04,0.005419,9.66E-04
0,0,1,0,0,0,0,0,0,0,0,0,1585,175.9,187.6,128,0.05151,16.19,0.2543,0.1553,0.9621,0.4165,0,343.6,0.08597,0.7925,0.3793,0.06067,0.2396,0.06782,0.07282,4.742,11.07,0,343.6,0.08597,0.7925,0.3793,0.06067,0.2396,0.06782,0.07282,4.742,11.07,0,0,0,0,0,0,0,0,0,0,0,0,0,463.5,79.47,45.5,717.3,165.7,3.279,3.393,29.74,4.24,0,47.7,5.606,17.45,63.46,34.93,0.1228,0.01322,0.0151,0.01174,0.01364,2.39E-25,0,0,2.25E-04,0,0,0,0,0,0,0,0,3.91E-27,0,2.17E-29,1.65E-26,2.64E-26,4.41E-27,1.70E-27,5.30E-27,2.62E-27,9.91E-28,5.86E-26,1.63E-25,0,6.86E-37,1.18E-32,1.45E-31,3.35E-32,1.98E-36,5.20E-35,6.05E-37,3.63E-38,5.62E-36,6.01E-36,0,0,8269,0,0,0,0,0,0,0,0,4.14E-04,0,977.3,210500,43570,51030,2.30E+07,43770,19840,22610,12910,23970,0,4.06E-36,3.98E-36,1.33E-35,1.42E-35,6.72E-37,9.49E-37,1.53E-38,7.88E-39,4.60E-38,2.19E-38,2.08E-35,0,0.574,1.382,2.992,1.388,0.1151,0.1079,0.003991,0.002657,0.01607,0.00977,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,5.10E-04,0.01437,0.007273,0.007188,0.2376,0.01351,0.001655,7.01E-04,0.005416,9.61E-04
0,0,1,0,0,0,0,0,0,0,0,0,1585,166.6,195,139.4,0.1824,8.61,0.3675,0.1561,0.9757,0.4137,0,343.6,0.07665,0.7883,0.3773,0.0598,0.2375,0.06713,0.07478,4.363,11.45,0,343.6,0.07665,0.7883,0.3773,0.0598,0.2375,0.06713,0.07478,4.363,11.45,0,0,0,0,0,0,0,0,0,0,0,0,0,508,83.93,45.27,683.4,165.6,3.123,3.356,30.42,4.022,0,47.7,4.412,12.85,62.53,35.01,0.1216,0.01321,0.01503,0.01176,0.0136,4.75E-25,0,0,2.95E-04,0,0,0,0,0,0,0,0,9.20E-27,0,2.17E-29,5.55E-26,8.83E-26,1.47E-26,3.71E-27,2.14E-26,7.95E-27,2.98E-27,1.49E-25,4.68E-25,0,6.86E-37,4.93E-32,1.17E-30,1.30E-31,2.90E-33,1.74E-34,2.48E-35,1.44E-37,1.89E-35,1.23E-35,0,0,7406,0,0,0,0,0,0,0,0,1.47E-04,0,1042,199800,42510,52200,2.48E+07,45480,20640,23670,13050,25180,0,4.06E-36,3.67E-36,1.32E-35,1.45E-35,6.80E-37,5.45E-37,3.20E-38,7.91E-39,4.63E-38,2.18E-38,2.08E-35,0,0.5741,1.272,3.023,1.464,0.1161,0.05546,0.005089,0.002669,0.01629,0.009725,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,6.03E-04,0.01387,0.007333,0.007188,0.2377,0.01338,0.001659,7.21E-04,0.005377,9.67E-04
0,0,1,0,0,0,0,0,0,0,0,0,1593,163.2,187.2,116.7,0.2858,33.63,0.4894,0.1891,1.091,0.5026,0,343.6,0.1084,0.786,0.298,0.06935,0.2401,0.06707,0.07432,4.052,11.77,0,343.6,0.1084,0.786,0.298,0.06935,0.2401,0.06707,0.07432,4.052,11.77,0,0,0,0,0,0,0,0,0,0,0,0,0,531.2,88.2,46.05,681.5,165.9,2.936,3.194,30.39,3.829,0,49.36,3.498,13.2,59.4,35.35,0.3099,0.01394,0.01528,0.01247,0.01417,7.47E-25,0,0,3.51E-04,0,0,0,0,0,0,0,0,1.90E-26,0,4.02E-28,1.53E-25,2.24E-25,4.17E-26,1.18E-26,5.74E-26,1.55E-26,6.65E-27,2.74E-25,2.82E-24,0,3.85E-32,1.46E-31,4.84E-30,3.87E-31,1.42E-32,7.30E-34,1.08E-34,2.81E-37,2.11E-35,3.63E-35,0,0,6977,0,0,0,0,0,0,0,0,1.00E-04,0,1338,193800,45510,52940,2.59E+07,46520,20770,23930,13110,25640,0,5.27E-36,3.74E-36,1.29E-35,1.30E-35,8.20E-37,7.52E-37,3.17E-38,7.71E-39,4.55E-38,2.15E-38,2.08E-35,0,0.6595,1.266,2.961,1.291,0.126,0.1672,0.005519,0.002767,0.01674,0.01003,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,7.88E-04,0.01356,0.007321,0.007159,0.2366,0.01337,0.001645,7.03E-04,0.005377,9.49E-04
0,0,1,0,0,0,0,0,0,0,0,0,1591,174.4,194.6,123.5,0.166,10.02,0.3822,0.1555,0.9913,0.4227,0,343.6,0.1084,0.8053,0.2819,0.06861,0.2268,0.0673,0.07397,4.052,11.77,0,343.6,0.1084,0.8053,0.2819,0.06861,0.2268,0.0673,0.07397,4.052,11.77,0,0,0,0,0,0,0,0,0,0,0,0,0,553.5,89.97,45.94,673.7,168.8,2.909,3.108,30.44,3.804,0,48.68,3.259,12.84,60.71,35.61,0.3817,0.01289,0.01483,0.01161,0.01338,1.34E-24,0,0,4.85E-04,0,0,0,0,0,0,0,0,3.98E-26,0,8.02E-27,3.66E-25,4.39E-25,7.91E-26,3.53E-26,1.37E-25,3.31E-26,1.66E-26,4.26E-25,8.01E-24,0,5.28E-32,3.47E-31,1.27E-29,1.11E-30,8.91E-32,6.00E-33,2.65E-34,3.10E-36,3.16E-35,1.12E-34,0,0,6577,0,0,0,0,0,0,0,0,4.49E-04,0,1634,188700,43780,56320,2.78E+07,48390,21230,24600,13200,26630,0,5.46E-36,3.75E-36,1.29E-35,1.23E-35,8.15E-37,4.96E-37,3.02E-38,7.24E-39,4.39E-38,2.05E-38,2.08E-35,0,0.6416,1.353,2.986,1.302,0.125,0.06016,0.005001,0.002592,0.01627,0.009645,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,9.57E-04,0.01334,0.007272,0.007002,0.2368,0.01342,0.001631,6.95E-04,0.005382,9.48E-04
0,0,1,0,0,0,0,0,0,0,0,0,1594,176.2,195.5,114.5,0.1303,9.301,0.4468,0.1771,1.035,0.4719,0,343.6,0.1147,0.8175,0.2439,0.06941,0.2226,0.06824,0.07465,4.048,11.77,0,343.6,0.1147,0.8175,0.2439,0.06941,0.2226,0.06824,0.07465,4.048,11.77,0,0,0,0,0,0,0,0,0,0,0,0,0,566.1,91.51,45.88,645.4,167.2,3.083,3.22,29.83,3.981,0,48.68,2.948,15.04,62.27,35.77,0.2709,0.01291,0.01484,0.01164,0.01341,2.02E-24,0,0,5.84E-04,0,0,0,0,0,0,0,0,6.66E-26,0,2.42E-26,7.47E-25,8.14E-25,1.67E-25,7.30E-26,2.39E-25,6.60E-26,3.54E-26,8.33E-25,1.59E-23,0,5.32E-32,6.97E-31,2.68E-29,2.55E-30,2.30E-31,1.94E-32,5.29E-34,1.91E-35,8.48E-35,2.90E-34,0,0,6134,0,0,0,0,0,0,0,0,1.42E-04,0,1752,182000,44390,57450,2.95E+07,49500,22000,25570,13410,27830,0,5.82E-36,3.92E-36,1.33E-35,1.12E-35,8.25E-37,4.46E-37,3.09E-38,7.55E-39,4.34E-38,2.11E-38,2.08E-35,0,0.6691,1.37,2.982,1.254,0.1259,0.05645,0.005322,0.002724,0.0163,0.009906,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,0.001128,0.01304,0.007402,0.006878,0.2365,0.01322,0.001642,6.92E-04,0.005398,9.52E-04
0,0,1,0,0,0,0,0,0,0,0,0,1594,177.6,187.8,119.3,0.1202,9.877,0.4536,0.1815,1.023,0.4789,0,343.6,0.1186,0.8209,0.2359,0.06877,0.2214,0.06861,0.07553,2.954,12.86,0,343.6,0.1186,0.8209,0.2359,0.06877,0.2214,0.06861,0.07553,2.954,12.86,0,0,0,0,0,0,0,0,0,0,0,0,0,591.5,98.13,47.28,630.4,169.4,3.129,3.315,28.99,4.075,0,48.68,2.693,14.45,61.14,35.23,0.2226,0.01284,0.01476,0.01163,0.01335,2.69E-24,0,0,6.19E-04,0,0,0,0,0,0,0,0,1.13E-25,0,2.42E-26,1.44E-24,2.20E-24,5.99E-25,1.97E-25,5.99E-25,2.10E-25,1.70E-25,5.82E-24,3.41E-23,0,5.32E-32,1.24E-30,4.90E-29,6.15E-30,3.72E-31,4.40E-32,9.85E-34,7.90E-35,3.01E-34,6.83E-34,0,0,5554,0,0,0,0,0,0,0,0,1.00E-04,0,1776,171700,43100,55770,2.83E+07,48720,21720,25180,13340,27290,0,5.82E-36,3.86E-36,1.30E-35,1.14E-35,8.00E-37,4.04E-37,3.09E-38,7.66E-39,4.23E-38,2.12E-38,2.08E-35,0,0.6691,1.386,2.903,1.291,0.1239,0.05805,0.00537,0.002775,0.01603,0.009976,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,0.00114,0.01276,0.007369,0.006892,0.2355,0.01321,0.001636,6.87E-04,0.005401,9.52E-04
