RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
9145000.0,2398000.0,1406000.0,7308000.0,4033000.0,1065000.0,372700.0,4892000.0,1386000.0,9849000.0,9887000.0,
9131000.0,2373000.0,1387000.0,7224000.0,3963000.0,1065000.0,372600.0,4892000.0,1546000.0,9886000.0,9687000.0,
9109000.0,2356000.0,1377000.0,7112000.0,3938000.0,1065000.0,372600.0,4892000.0,1590000.0,9842000.0,9561000.0,
9011000.0,2353000.0,1376000.0,7038000.0,3899000.0,1065000.0,372600.0,4892000.0,1639000.0,9842000.0,9600000.0,
8838000.0,2337000.0,1369000.0,7024000.0,3899000.0,1065000.0,372500.0,4892000.0,1639000.0,9842000.0,9600000.0,
8622000.0,2307000.0,1353000.0,6970000.0,3855000.0,1065000.0,372500.0,4892000.0,1639000.0,9842000.0,9659000.0,
8504000.0,2286000.0,1351000.0,6903000.0,3842000.0,1064000.0,372500.0,4892000.0,1639000.0,9842000.0,9674000.0,
8518000.0,2284000.0,1351000.0,6884000.0,3821000.0,1064000.0,372400.0,4892000.0,1648000.0,9882000.0,9547000.0,
8448000.0,2278000.0,1351000.0,6823000.0,3776000.0,1064000.0,372400.0,4892000.0,1740000.0,9840000.0,9592000.0,
8302000.0,2268000.0,1347000.0,6705000.0,3761000.0,1064000.0,372400.0,4892000.0,1740000.0,9840000.0,9600000.0,
8359000.0,2267000.0,1346000.0,6672000.0,3698000.0,1064000.0,372300.0,4892000.0,1901000.0,9679000.0,9456000.0,
8316000.0,2267000.0,1346000.0,6662000.0,3690000.0,1064000.0,372300.0,4892000.0,1901000.0,9679000.0,9471000.0,
8286000.0,2266000.0,1344000.0,6654000.0,3626000.0,1064000.0,372300.0,4892000.0,1901000.0,9679000.0,9535000.0,
8242000.0,2265000.0,1344000.0,6639000.0,3575000.0,1064000.0,372300.0,4892000.0,1901000.0,9679000.0,9587000.0,
8214000.0,2255000.0,1343000.0,6639000.0,3557000.0,1064000.0,372300.0,4892000.0,1901000.0,9679000.0,9603000.0,
8376000.0,2240000.0,1319000.0,6634000.0,3518000.0,1064000.0,372300.0,4892000.0,2028000.0,9600000.0,9468000.0,
8326000.0,2228000.0,1318000.0,6619000.0,3485000.0,1064000.0,372300.0,4892000.0,2028000.0,9600000.0,9514000.0,
8306000.0,2228000.0,1317000.0,6610000.0,3444000.0,1064000.0,372300.0,4892000.0,2028000.0,9648000.0,9554000.0,
8276000.0,2228000.0,1317000.0,6605000.0,3444000.0,1064000.0,372300.0,4892000.0,2136000.0,9541000.0,9554000.0,
8234000.0,2225000.0,1300000.0,6605000.0,3388000.0,1064000.0,372300.0,4892000.0,2136000.0,9541000.0,9627000.0,
8170000.0,2219000.0,1300000.0,6605000.0,3342000.0,1064000.0,372300.0,4892000.0,2136000.0,9541000.0,9673000.0,
8150000.0,2209000.0,1300000.0,6605000.0,3306000.0,1064000.0,372300.0,4892000.0,2136000.0,9541000.0,9709000.0,
8316000.0,2206000.0,1299000.0,6595000.0,3282000.0,1060000.0,372200.0,4892000.0,2136000.0,9588000.0,9548000.0,
8296000.0,2206000.0,1299000.0,6595000.0,3282000.0,1060000.0,372200.0,4892000.0,2136000.0,9588000.0,9548000.0,
8284000.0,2203000.0,1275000.0,6585000.0,3185000.0,1060000.0,372200.0,4892000.0,2136000.0,9636000.0,9669000.0,
8225000.0,2197000.0,1251000.0,6575000.0,3150000.0,1060000.0,372200.0,4892000.0,2136000.0,9636000.0,9773000.0,
8210000.0,2197000.0,1251000.0,6575000.0,3136000.0,1060000.0,372200.0,4892000.0,2136000.0,9636000.0,9787000.0,
8157000.0,2197000.0,1231000.0,6575000.0,3123000.0,1060000.0,372200.0,4892000.0,2136000.0,9684000.0,9863000.0,
8137000.0,2191000.0,1228000.0,6561000.0,3123000.0,1060000.0,372200.0,4892000.0,2133000.0,9733000.0,9863000.0,
8352000.0,2191000.0,1228000.0,6561000.0,3099000.0,1060000.0,372200.0,4892000.0,2265000.0,9650000.0,9646000.0,
8321000.0,2187000.0,1228000.0,6561000.0,3075000.0,1060000.0,372200.0,4892000.0,2265000.0,9746000.0,9670000.0,
8279000.0,2187000.0,1213000.0,6557000.0,3081000.0,1061000.0,366200.0,5039000.0,2118000.0,9795000.0,9687000.0,
8222000.0,2212000.0,1196000.0,6538000.0,3045000.0,1067000.0,394300.0,5110000.0,2013000.0,9844000.0,9740000.0,
8118000.0,2214000.0,1201000.0,6600000.0,3051000.0,1067000.0,388300.0,5150000.0,1973000.0,9844000.0,9740000.0,
8072000.0,2228000.0,1202000.0,6600000.0,2991000.0,1067000.0,394300.0,5170000.0,1946000.0,9893000.0,9801000.0,
7996000.0,2234000.0,1204000.0,6604000.0,2990000.0,1061000.0,388200.0,5194000.0,1922000.0,9943000.0,9813000.0,
8158000.0,2240000.0,1209000.0,6585000.0,2972000.0,1061000.0,409900.0,5196000.0,2001000.0,9840000.0,9596000.0,
7967000.0,2262000.0,1212000.0,6701000.0,2982000.0,1051000.0,409900.0,5207000.0,2085000.0,9746000.0,9596000.0,
7898000.0,2284000.0,1214000.0,6696000.0,2988000.0,1045000.0,409900.0,5224000.0,2068000.0,9746000.0,9596000.0,
7829000.0,2285000.0,1217000.0,6731000.0,2953000.0,1041000.0,401900.0,5298000.0,1993000.0,9844000.0,9642000.0,
7728000.0,2286000.0,1202000.0,6732000.0,2953000.0,1047000.0,395400.0,5411000.0,1881000.0,9893000.0,9680000.0,
7710000.0,2294000.0,1207000.0,6727000.0,2941000.0,1047000.0,395400.0,5457000.0,1859000.0,9919000.0,9658000.0,
7764000.0,2295000.0,1209000.0,6746000.0,2901000.0,1109000.0,339400.0,5470000.0,1894000.0,9913000.0,9592000.0,
7703000.0,2320000.0,1209000.0,6730000.0,3519000.0,432400.0,339400.0,5476000.0,1888000.0,9963000.0,9651000.0,
7586000.0,2339000.0,1198000.0,6776000.0,3525000.0,432400.0,348200.0,5507000.0,1842000.0,9963000.0,9665000.0,
7517000.0,2364000.0,1205000.0,6791000.0,3518000.0,432400.0,366300.0,5530000.0,1801000.0,9963000.0,9685000.0,
7489000.0,2376000.0,1205000.0,6786000.0,3518000.0,432400.0,372300.0,5541000.0,1784000.0,9963000.0,9685000.0,
7316000.0,2381000.0,1207000.0,6937000.0,3477000.0,426300.0,384400.0,5581000.0,1732000.0,1.001E7,9732000.0,
7477000.0,2397000.0,1211000.0,6978000.0,3440000.0,426300.0,390400.0,5580000.0,1919000.0,9815000.0,9529000.0,
7440000.0,2407000.0,1213000.0,6973000.0,3416000.0,426300.0,408500.0,5596000.0,1884000.0,9815000.0,9552000.0,
7395000.0,2410000.0,1216000.0,6980000.0,3393000.0,438400.0,402500.0,5641000.0,1902000.0,9746000.0,9576000.0,
7343000.0,2421000.0,1219000.0,6978000.0,3386000.0,432400.0,408500.0,5650000.0,1887000.0,9844000.0,9589000.0,
7300000.0,2441000.0,1221000.0,6960000.0,3386000.0,432300.0,414500.0,5750000.0,2167000.0,9459000.0,9589000.0,
7223000.0,2453000.0,1222000.0,7170000.0,3304000.0,432300.0,414200.0,5749000.0,2166000.0,9459000.0,9486000.0,
7173000.0,2461000.0,1225000.0,7184000.0,3263000.0,438300.0,408100.0,5762000.0,2153000.0,9459000.0,9526000.0,
7115000.0,2470000.0,1231000.0,7193000.0,3218000.0,438300.0,420100.0,5799000.0,2104000.0,9506000.0,9571000.0,
7081000.0,2475000.0,1234000.0,7189000.0,3217000.0,438300.0,426200.0,5825000.0,2073000.0,9506000.0,9571000.0,
7066000.0,2478000.0,1235000.0,7189000.0,3157000.0,444400.0,426200.0,5886000.0,2005000.0,9554000.0,9631000.0,
7046000.0,2484000.0,1239000.0,7179000.0,3144000.0,439000.0,450700.0,5921000.0,1946000.0,9554000.0,9649000.0,
7161000.0,2482000.0,1227000.0,7170000.0,3100000.0,439000.0,450700.0,5968000.0,1899000.0,9554000.0,9572000.0,
7099000.0,2489000.0,1228000.0,7168000.0,3063000.0,432900.0,449200.0,5968000.0,1899000.0,9554000.0,9617000.0,
7196000.0,2496000.0,1230000.0,7182000.0,3040000.0,441000.0,460800.0,5972000.0,1875000.0,9601000.0,9511000.0,
7170000.0,2504000.0,1232000.0,7178000.0,3040000.0,445800.0,465700.0,5972000.0,1865000.0,9649000.0,9511000.0,
7121000.0,2504000.0,1235000.0,7204000.0,3027000.0,445800.0,465700.0,6002000.0,1835000.0,9698000.0,9523000.0,
7076000.0,2514000.0,1211000.0,7197000.0,3014000.0,445800.0,477700.0,5990000.0,1835000.0,9746000.0,9562000.0,
7246000.0,2518000.0,1214000.0,7198000.0,3016000.0,371200.0,466900.0,6017000.0,1908000.0,9695000.0,9443000.0,
7210000.0,2521000.0,1217000.0,7193000.0,3016000.0,371200.0,485000.0,6031000.0,1876000.0,9695000.0,9443000.0,
7099000.0,2519000.0,1224000.0,7278000.0,2991000.0,371200.0,485000.0,6058000.0,1910000.0,9682000.0,9467000.0,
7004000.0,2521000.0,1229000.0,7322000.0,2968000.0,377200.0,478900.0,6080000.0,2046000.0,9572000.0,9490000.0,
6982000.0,2529000.0,1230000.0,7319000.0,2956000.0,377200.0,495000.0,6081000.0,2028000.0,9572000.0,9503000.0,
6958000.0,2533000.0,1235000.0,7315000.0,2956000.0,377200.0,501000.0,6106000.0,1998000.0,9572000.0,9503000.0,
6926000.0,2548000.0,1236000.0,7300000.0,2920000.0,382000.0,514300.0,6115000.0,1970000.0,9620000.0,9538000.0,
6763000.0,2554000.0,1239000.0,7426000.0,2908000.0,375600.0,532400.0,6107000.0,1960000.0,9620000.0,9556000.0,
6705000.0,2547000.0,1245000.0,7475000.0,2864000.0,375600.0,568500.0,6089000.0,2086000.0,9476000.0,9600000.0,
6687000.0,2554000.0,1251000.0,7461000.0,2821000.0,380400.0,581700.0,6088000.0,2069000.0,9476000.0,9643000.0,
6612000.0,2564000.0,1258000.0,7508000.0,2807000.0,396000.0,580800.0,6148000.0,1994000.0,9523000.0,9657000.0,
6572000.0,2577000.0,1259000.0,7509000.0,2799000.0,397200.0,580800.0,6235000.0,1901000.0,9523000.0,9670000.0,
6523000.0,2589000.0,1261000.0,7500000.0,2747000.0,407900.0,575900.0,6239000.0,1890000.0,9523000.0,9722000.0,
