R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,bead1,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pepEn,pepMHCIEn,povaEn,protonEn,solubleMarker,volume,
4.6999999999999996E-39,0.0064,4000.0,4100.0,1700.0,3799999.9999999995,890.0,2800.0,5800.0,2900.0,2700.0,0.16,3799999.9999999995,0.0,6.7E-6,0.063,0.063,0.0,410.0,4.3,0.0,0.0,0.0,0.0,2.7E7,1.0,6.9E8,
4.6999999999999996E-39,0.0064,4000.0,4100.0,1700.0,3799999.9999999995,890.0,2800.0,5800.0,2900.0,2700.0,0.16,3799999.9999999995,0.0,7.6E-6,0.063,0.063,0.0,390.0,4.3,0.0,0.0,0.0,0.0,2.6E7,1.0,6.9E8,
4.6999999999999996E-39,0.0064,4000.0,4100.0,1700.0,3799999.9999999995,890.0,2800.0,5800.0,2900.0,2700.0,0.16,3799999.9999999995,0.0,7.7E-6,0.063,0.063,0.0,370.0,4.3,0.0,0.0,0.0,0.0,2.5E7,1.0,6.9E8,
4.6999999999999996E-39,0.0064,4000.0,4100.0,1700.0,3799999.9999999995,890.0,2800.0,5800.0,2900.0,2700.0,0.16,3799999.9999999995,0.0,7.2E-6,0.063,0.063,0.0,340.0,4.3,0.0,0.0,0.0,0.0,2.6E7,1.0,6.9E8,
4.6999999999999996E-39,0.0064,4000.0,4100.0,1700.0,3799999.9999999995,890.0,2800.0,5800.0,2900.0,2700.0,0.16,3799999.9999999995,0.0,6.5E-6,0.063,0.063,0.0,330.0,4.3,0.0,0.0,0.0,0.0,2.7E7,1.0,6.9E8,
4.6E-39,0.0064,4000.0,4100.0,1700.0,3699999.9999999995,880.0,2800.0,5800.0,2900.0,2700.0,0.16,3799999.9999999995,0.0,5.7E-6,0.063,0.063,0.0,320.0,4.3,0.0,0.0,0.0,0.0,2.8E7,1.0,6.8E8,
4.6E-39,0.0064,3900.0,4100.0,1700.0,3699999.9999999995,880.0,2800.0,5700.0,2900.0,2700.0,0.16,3799999.9999999995,0.0,4.9E-6,0.062,0.062,0.0,300.0,4.3,0.0,0.0,0.0,0.0,3.0E7,1.0,6.8E8,
4.6E-39,0.0064,3900.0,4100.0,1700.0,3699999.9999999995,880.0,2800.0,5700.0,2900.0,2700.0,0.16,3699999.9999999995,0.0,5.5E-6,0.062,0.062,0.0,280.0,4.3,0.0,2.1E-25,3.7E-37,0.0,2.8E7,1.0,6.8E8,
4.3E-38,0.11,23000.0,100000.0,2500.0,4800000.0,870.0,2800.0,5700.0,2900.0,2700.0,0.16,4900000.0,0.0,1.5E-5,0.15,0.15,0.0,370.0,8.7,0.0,2.5999999999999996E-24,1.0E-30,0.0,2.6E7,1.0,7.0E8,
4.5E-39,0.012,540.0,4000.0,2500.0,4700000.0,860.0,2800.0,5600.0,2800.0,2700.0,0.16,4700000.0,0.0,1.7E-5,0.067,0.067,0.0,360.0,8.4,0.0,3.0999999999999997E-24,5.9E-32,0.0,2.5E7,1.0,7.0E8,
4.4E-39,0.012,540.0,4000.0,2500.0,4500000.0,860.0,2800.0,5600.0,2800.0,2700.0,0.16,4500000.0,0.0,1.9E-5,0.065,0.065,0.0,360.0,8.1,0.0,3.7E-24,3.2E-32,0.0,2.3E7,1.0,7.0E8,
4.3E-39,0.011,540.0,3900.0,2500.0,4300000.0,860.0,2800.0,5600.0,2800.0,2700.0,0.16,4300000.0,0.0,2.3E-5,0.063,0.063,0.0,360.0,7.9,0.0,5.5999999999999996E-24,1.2E-32,0.0,2.2E7,1.0,7.0E8,
4.2E-39,0.011,540.0,3900.0,2500.0,4099999.9999999995,860.0,2800.0,5600.0,2800.0,2700.0,0.16,4099999.9999999995,0.0,2.5E-5,0.062,0.062,0.0,360.0,7.7,0.0,7.8E-24,5.3000000000000004E-33,0.0,2.1E7,1.0,7.0E8,
4.1E-39,0.011,530.0,3900.0,2500.0,3799999.9999999995,860.0,2700.0,5600.0,2800.0,2700.0,0.15,3899999.9999999995,0.0,2.8E-5,0.059,0.059,0.0,360.0,7.4,0.0,1.1E-23,2.5E-33,0.0,2.0E7,1.0,6.9E8,
4.1E-39,0.011,530.0,3900.0,2500.0,3799999.9999999995,860.0,2700.0,5600.0,2800.0,2700.0,0.15,3799999.9999999995,0.0,3.1E-5,0.059,0.059,0.0,360.0,7.3,0.0,1.9E-23,1.3000000000000001E-33,0.0,1.9E7,1.0,6.9E8,
4.1E-39,0.011,530.0,3900.0,2500.0,3799999.9999999995,860.0,2700.0,5600.0,2800.0,2700.0,0.15,3799999.9999999995,0.0,3.2E-5,0.059,0.059,0.0,360.0,7.3,0.0,3.1E-23,1.2E-33,0.0,1.9E7,1.0,6.9E8,
4.1E-39,0.011,530.0,3900.0,2500.0,3799999.9999999995,860.0,2700.0,5600.0,2800.0,2700.0,0.15,3799999.9999999995,0.0,3.0E-5,0.059,0.059,0.0,350.0,7.3,0.0,4.9E-23,1.7E-33,0.0,1.9E7,1.0,6.9E8,
4.1E-39,0.011,530.0,3900.0,2500.0,3799999.9999999995,860.0,2700.0,5600.0,2800.0,2700.0,0.15,3799999.9999999995,0.0,2.6E-5,0.059,0.059,0.0,350.0,7.3,0.0,7.1E-23,2.2E-33,0.0,2.0E7,1.0,6.9E8,
4.1E-39,0.011,530.0,3900.0,2500.0,3799999.9999999995,860.0,2700.0,5600.0,2800.0,2700.0,0.15,3799999.9999999995,0.0,2.2E-5,0.059,0.059,0.0,350.0,7.3,0.0,9.7E-23,2.7E-33,0.0,2.1E7,1.0,6.9E8,
4.1E-39,0.011,530.0,3900.0,2500.0,3799999.9999999995,860.0,2700.0,5600.0,2800.0,2700.0,0.15,3799999.9999999995,0.0,1.8E-5,0.059,0.059,0.0,350.0,7.3,0.0,1.3E-22,3.1E-33,0.0,2.3E7,1.0,6.9E8,
4.1E-39,0.011,530.0,3900.0,2500.0,3799999.9999999995,860.0,2700.0,5600.0,2800.0,2700.0,0.15,3799999.9999999995,0.0,1.5E-5,0.059,0.059,0.0,350.0,7.3,0.0,1.6E-22,3.4E-33,0.0,2.4E7,1.0,6.9E8,
4.1E-39,0.011,530.0,3900.0,2500.0,3799999.9999999995,860.0,2700.0,5600.0,2800.0,2700.0,0.15,3799999.9999999995,0.0,1.3E-5,0.059,0.059,0.0,340.0,7.3,0.0,1.9999999999999999E-22,3.6E-33,0.0,2.6E7,1.0,6.9E8,
4.1E-39,0.011,530.0,3900.0,2500.0,3799999.9999999995,860.0,2700.0,5600.0,2800.0,2700.0,0.15,3799999.9999999995,0.0,1.2E-5,0.059,0.059,0.0,340.0,7.3,0.0,2.4E-22,3.7E-33,0.0,2.6E7,1.0,6.9E8,
