RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
9380000.0,2790000.0,1591000.0,7690000.0,4219000.0,373400.0,607000.0,4807000.0,1384000.0,2400000.0,2400000.0,
9311000.0,2778000.0,1588000.0,7624000.0,4176000.0,373200.0,606900.0,4807000.0,1384000.0,9844000.0,9647000.0,
9207000.0,2776000.0,1586000.0,7500000.0,4176000.0,372800.0,606900.0,4806000.0,1383000.0,9894000.0,9669000.0,
9121000.0,2776000.0,1586000.0,7478000.0,4161000.0,372700.0,606800.0,4806000.0,1382000.0,9894000.0,9704000.0,
8970000.0,2763000.0,1584000.0,7422000.0,4098000.0,372500.0,606800.0,4806000.0,1382000.0,9943000.0,9767000.0,
9000000.0,2756000.0,1583000.0,7367000.0,4043000.0,372300.0,606700.0,4806000.0,1462000.0,9962000.0,9577000.0,
8804000.0,2755000.0,1581000.0,7234000.0,4014000.0,370600.0,606700.0,4806000.0,1462000.0,9962000.0,9608000.0,
8747000.0,2754000.0,1554000.0,7201000.0,3994000.0,370500.0,606600.0,4805000.0,1634000.0,9839000.0,9504000.0,
8720000.0,2746000.0,1536000.0,7167000.0,3884000.0,370400.0,606600.0,4805000.0,1659000.0,9862000.0,9486000.0,
8589000.0,2744000.0,1536000.0,7116000.0,3871000.0,370400.0,606500.0,4805000.0,1659000.0,9862000.0,9499000.0,
8508000.0,2738000.0,1518000.0,7053000.0,3871000.0,370300.0,606400.0,4805000.0,1658000.0,9911000.0,9516000.0,
8503000.0,2734000.0,1518000.0,7048000.0,3871000.0,370300.0,606400.0,4805000.0,1658000.0,9911000.0,9516000.0,
8492000.0,2733000.0,1518000.0,7019000.0,3871000.0,370300.0,606400.0,4805000.0,1718000.0,9851000.0,9516000.0,
8425000.0,2731000.0,1518000.0,7014000.0,3871000.0,370300.0,606400.0,4805000.0,1840000.0,9729000.0,9539000.0,
8384000.0,2730000.0,1500000.0,6999000.0,3871000.0,370300.0,606400.0,4805000.0,1840000.0,9729000.0,9579000.0,
8369000.0,2730000.0,1500000.0,6969000.0,3871000.0,370300.0,606400.0,4805000.0,1909000.0,9660000.0,9579000.0,
8335000.0,2730000.0,1500000.0,6959000.0,3871000.0,370300.0,606400.0,4805000.0,1909000.0,9806000.0,9579000.0,
8319000.0,2730000.0,1500000.0,6949000.0,3859000.0,370300.0,606400.0,4805000.0,2108000.0,9607000.0,9592000.0,
8423000.0,2730000.0,1482000.0,6939000.0,3859000.0,370200.0,606400.0,4805000.0,2163000.0,9648000.0,9460000.0,
8390000.0,2730000.0,1482000.0,6934000.0,3859000.0,370200.0,606400.0,4805000.0,2163000.0,9648000.0,9484000.0,
8359000.0,2724000.0,1482000.0,6931000.0,3859000.0,370200.0,606400.0,4805000.0,2205000.0,9654000.0,9484000.0,
8333000.0,2724000.0,1481000.0,6920000.0,3859000.0,370200.0,606400.0,4805000.0,2205000.0,9654000.0,9497000.0,
8298000.0,2724000.0,1481000.0,6920000.0,3859000.0,370200.0,606400.0,4805000.0,2205000.0,9702000.0,9516000.0,
8253000.0,2723000.0,1480000.0,6912000.0,3859000.0,370200.0,606400.0,4805000.0,2204000.0,9702000.0,9516000.0,
8208000.0,2722000.0,1480000.0,6898000.0,3859000.0,370200.0,606300.0,4805000.0,2225000.0,9779000.0,9516000.0,
8127000.0,2722000.0,1480000.0,6894000.0,3825000.0,362600.0,606300.0,4805000.0,2435000.0,9617000.0,9623000.0,
8093000.0,2721000.0,1480000.0,6874000.0,3825000.0,362600.0,606300.0,4805000.0,2435000.0,9713000.0,9623000.0,
8127000.0,2720000.0,1480000.0,6855000.0,3825000.0,362600.0,606300.0,4805000.0,2474000.0,9674000.0,9559000.0,
8064000.0,2718000.0,1480000.0,6835000.0,3825000.0,362600.0,606300.0,4805000.0,2474000.0,9771000.0,9579000.0,
7966000.0,2711000.0,1479000.0,6832000.0,3812000.0,362600.0,606300.0,4805000.0,2474000.0,9820000.0,9634000.0,
7959000.0,2699000.0,1479000.0,6817000.0,3805000.0,362600.0,606300.0,4805000.0,2474000.0,9820000.0,9642000.0,
8026000.0,2713000.0,1464000.0,6834000.0,3962000.0,168600.0,606300.0,4863000.0,2439000.0,9797000.0,9544000.0,
7943000.0,2724000.0,1470000.0,6870000.0,3955000.0,175000.0,605900.0,4961000.0,2364000.0,9768000.0,9551000.0,
7902000.0,2729000.0,1470000.0,6861000.0,3927000.0,173800.0,604400.0,4975000.0,2349000.0,9768000.0,9582000.0,
8061000.0,2740000.0,1456000.0,6861000.0,3885000.0,197900.0,590800.0,4981000.0,2366000.0,9831000.0,9463000.0,
8015000.0,2752000.0,1461000.0,6856000.0,3885000.0,197900.0,602900.0,4987000.0,2375000.0,9804000.0,9463000.0,
7984000.0,2748000.0,1470000.0,6851000.0,3885000.0,197900.0,602900.0,5016000.0,2346000.0,9804000.0,9463000.0,
7832000.0,2756000.0,1474000.0,6946000.0,3885000.0,197900.0,602900.0,5032000.0,2330000.0,9902000.0,9463000.0,
7816000.0,2755000.0,1477000.0,6936000.0,3885000.0,203900.0,602900.0,5036000.0,2337000.0,9885000.0,9463000.0,
7774000.0,2766000.0,1478000.0,6901000.0,3885000.0,203900.0,613100.0,5065000.0,2298000.0,9885000.0,9463000.0,
7683000.0,2772000.0,1479000.0,6931000.0,3895000.0,532700.0,271400.0,5164000.0,2433000.0,9651000.0,9463000.0,
7594000.0,2786000.0,1482000.0,6969000.0,3859000.0,532500.0,271100.0,5224000.0,2474000.0,9550000.0,9499000.0,
7528000.0,2787000.0,1487000.0,6988000.0,3818000.0,532500.0,271100.0,5240000.0,2458000.0,9646000.0,9540000.0,
7459000.0,2797000.0,1492000.0,6983000.0,3776000.0,532500.0,271100.0,5271000.0,2566000.0,9555000.0,9582000.0,
7471000.0,2814000.0,1492000.0,6975000.0,3732000.0,532500.0,271100.0,5281000.0,2635000.0,9523000.0,9560000.0,
7430000.0,2807000.0,1496000.0,6982000.0,3660000.0,532500.0,271100.0,5358000.0,2558000.0,9523000.0,9633000.0,
7357000.0,2814000.0,1500000.0,7015000.0,3501000.0,532400.0,270900.0,5368000.0,2548000.0,9523000.0,9792000.0,
7418000.0,2815000.0,1504000.0,7017000.0,3501000.0,538400.0,270900.0,5377000.0,2533000.0,9523000.0,9689000.0,
7380000.0,2812000.0,1506000.0,7016000.0,3501000.0,538400.0,270900.0,5417000.0,2493000.0,9523000.0,9689000.0,
7302000.0,2814000.0,1489000.0,7065000.0,3486000.0,538400.0,276900.0,5440000.0,2464000.0,9523000.0,9722000.0,
7152000.0,2915000.0,1492000.0,7085000.0,3462000.0,544300.0,270900.0,5487000.0,2417000.0,9571000.0,9746000.0,
7123000.0,2915000.0,1496000.0,7085000.0,3412000.0,544300.0,270900.0,5528000.0,2376000.0,9667000.0,9796000.0,
7090000.0,2911000.0,1499000.0,7080000.0,3412000.0,550400.0,285500.0,5529000.0,2354000.0,9715000.0,9796000.0,
7380000.0,2907000.0,1501000.0,7052000.0,3376000.0,540700.0,285400.0,5576000.0,2472000.0,9646000.0,9480000.0,
7268000.0,2934000.0,1508000.0,7045000.0,3376000.0,540600.0,285400.0,5596000.0,2452000.0,9646000.0,9480000.0,
7189000.0,2934000.0,1513000.0,7045000.0,3364000.0,534600.0,294200.0,5587000.0,2452000.0,9742000.0,9498000.0,
7078000.0,2923000.0,1516000.0,7073000.0,3351000.0,534600.0,300300.0,5595000.0,2516000.0,9713000.0,9512000.0,
7054000.0,2924000.0,1519000.0,7068000.0,3690000.0,201700.0,306300.0,5599000.0,2500000.0,9762000.0,9512000.0,
6996000.0,2921000.0,1505000.0,7090000.0,3690000.0,207700.0,306300.0,5616000.0,2477000.0,9811000.0,9529000.0,
6967000.0,2918000.0,1509000.0,7082000.0,3690000.0,207700.0,794400.0,5150000.0,2455000.0,9811000.0,9529000.0,
6905000.0,2930000.0,1511000.0,7071000.0,3669000.0,207700.0,806500.0,5164000.0,2495000.0,9794000.0,9550000.0,
6858000.0,2929000.0,1499000.0,7070000.0,3669000.0,207700.0,824600.0,5146000.0,2495000.0,9794000.0,9566000.0,
6810000.0,2942000.0,1499000.0,7045000.0,3669000.0,207700.0,830600.0,5152000.0,2538000.0,9787000.0,9566000.0,
6781000.0,2945000.0,1503000.0,7031000.0,3669000.0,207700.0,853500.0,5170000.0,2518000.0,9815000.0,9566000.0,
6726000.0,2938000.0,1511000.0,7031000.0,3669000.0,213700.0,847400.0,5176000.0,2584000.0,9743000.0,9566000.0,
6765000.0,2940000.0,1481000.0,7026000.0,3645000.0,213700.0,871600.0,5177000.0,2744000.0,9606000.0,9562000.0,
6728000.0,2955000.0,1484000.0,7020000.0,3651000.0,207500.0,885700.0,5201000.0,2855000.0,9457000.0,9562000.0,
6513000.0,2954000.0,1490000.0,7205000.0,3742000.0,117000.0,885700.0,5228000.0,2828000.0,9457000.0,9562000.0,
6435000.0,2960000.0,1495000.0,7236000.0,3742000.0,117000.0,909900.0,5204000.0,2828000.0,9457000.0,9562000.0,
5959000.0,2968000.0,1498000.0,7657000.0,3742000.0,117000.0,915900.0,5198000.0,2828000.0,9457000.0,9562000.0,
5912000.0,2957000.0,1489000.0,7665000.0,3742000.0,117000.0,936800.0,5177000.0,2828000.0,9504000.0,9576000.0,
5855000.0,2961000.0,1491000.0,7691000.0,3742000.0,123000.0,936800.0,5177000.0,2822000.0,9504000.0,9576000.0,
5839000.0,2961000.0,1497000.0,7682000.0,3719000.0,122900.0,936800.0,5209000.0,2789000.0,9504000.0,9598000.0,
5726000.0,2973000.0,1499000.0,7750000.0,3710000.0,116600.0,930700.0,5357000.0,2642000.0,9552000.0,9620000.0,
5701000.0,2973000.0,1484000.0,7750000.0,3688000.0,116600.0,930700.0,5400000.0,2598000.0,9599000.0,9662000.0,
5752000.0,2972000.0,1487000.0,7751000.0,3675000.0,116600.0,930700.0,5441000.0,2558000.0,9599000.0,9605000.0,
5741000.0,2978000.0,1492000.0,7737000.0,3675000.0,128700.0,4752000.0,1618000.0,2547000.0,9599000.0,9605000.0,
5737000.0,2977000.0,1496000.0,7718000.0,3674000.0,134700.0,4746000.0,1618000.0,2547000.0,9599000.0,9605000.0,
5720000.0,2971000.0,1503000.0,7847000.0,3651000.0,140700.0,4740000.0,1630000.0,2536000.0,9599000.0,9491000.0,
5702000.0,2966000.0,1487000.0,7834000.0,3600000.0,150700.0,4734000.0,1668000.0,2492000.0,9599000.0,9563000.0,
5666000.0,2971000.0,1467000.0,7836000.0,3600000.0,150700.0,4740000.0,1873000.0,2281000.0,9647000.0,9587000.0,
5605000.0,2986000.0,1471000.0,7858000.0,3600000.0,150700.0,4746000.0,1883000.0,2265000.0,9647000.0,9587000.0,
5518000.0,3000000.0,1474000.0,7894000.0,3557000.0,150700.0,4746000.0,1950000.0,2198000.0,9647000.0,9630000.0,
5488000.0,2998000.0,1478000.0,7896000.0,3532000.0,156700.0,4740000.0,2011000.0,2137000.0,9647000.0,9655000.0,
5481000.0,2985000.0,1475000.0,7896000.0,3508000.0,162700.0,4742000.0,2016000.0,2124000.0,9647000.0,9691000.0,
5432000.0,2995000.0,1480000.0,7911000.0,3508000.0,3572000.0,1366000.0,2148000.0,1959000.0,9647000.0,9691000.0,
5397000.0,2991000.0,1484000.0,7925000.0,3508000.0,3578000.0,1360000.0,2164000.0,1944000.0,9696000.0,9691000.0,
5373000.0,2992000.0,1485000.0,7917000.0,3508000.0,3584000.0,1650000.0,1906000.0,1905000.0,9696000.0,9691000.0,
5571000.0,2996000.0,1489000.0,7919000.0,3479000.0,3590000.0,1644000.0,2050000.0,1865000.0,9586000.0,9499000.0,
5478000.0,2988000.0,1496000.0,7987000.0,3454000.0,3619000.0,1623000.0,2057000.0,1850000.0,9682000.0,9524000.0,
5429000.0,2984000.0,1501000.0,7975000.0,3429000.0,3631000.0,1611000.0,2122000.0,1893000.0,9670000.0,9549000.0,
5402000.0,2979000.0,1508000.0,7925000.0,3429000.0,3648000.0,1606000.0,2164000.0,1839000.0,9670000.0,9549000.0,
5368000.0,2978000.0,1507000.0,7897000.0,3429000.0,3654000.0,1600000.0,2164000.0,1952000.0,9605000.0,9557000.0,
5338000.0,2979000.0,1509000.0,7865000.0,3401000.0,3654000.0,1608000.0,2181000.0,1921000.0,9605000.0,9592000.0,
5315000.0,2976000.0,1514000.0,7861000.0,3375000.0,3676000.0,1592000.0,2312000.0,1784000.0,9605000.0,9617000.0,
5277000.0,2976000.0,1515000.0,7866000.0,3346000.0,3676000.0,1592000.0,2316000.0,1774000.0,9605000.0,9652000.0,
