R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,bead1,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pepEn,pepMHCIEn,povaEn,protonEn,solubleMarker,volume,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,0.0,3.4E-5,0.031,0.031,0.0,490.0,8.6,0.0,0.0,0.0,0.0,1.9E7,1.0,7.0E8,
1.5E-37,0.0094,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,0.0,3.7E-5,0.031,0.031,0.0,490.0,8.5,0.0,0.0,0.0,0.0,1.8E7,1.0,6.9E8,
1.5E-37,0.0094,960.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3799999.9999999995,0.0,3.9E-5,0.031,0.031,0.0,460.0,8.5,0.0,0.0,0.0,0.0,1.8E7,1.0,6.8E8,
1.5E-37,0.0094,960.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3799999.9999999995,0.0,4.2E-5,0.031,0.031,0.0,410.0,8.5,0.0,0.0,0.0,0.0,1.7E7,1.0,6.8E8,
1.5E-37,0.0094,960.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3799999.9999999995,0.0,3.9E-5,0.031,0.031,0.0,380.0,8.5,0.0,0.0,0.0,0.0,1.8E7,1.0,6.8E8,
1.5E-37,0.0094,960.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3799999.9999999995,0.0,3.4E-5,0.031,0.031,0.0,370.0,8.5,0.0,0.0,0.0,0.0,1.9E7,1.0,6.8E8,
1.5E-37,0.0094,960.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3799999.9999999995,0.0,2.9E-5,0.031,0.031,0.0,350.0,8.5,0.0,0.0,0.0,0.0,2.0E7,1.0,6.8E8,
1.5E-37,0.0094,960.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3799999.9999999995,0.0,2.4E-5,0.031,0.031,0.0,330.0,8.5,0.0,0.0,0.0,0.0,2.1E7,1.0,6.8E8,
1.5E-37,0.0094,960.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,0.0,2.0E-5,0.031,0.031,0.0,320.0,8.5,0.0,0.0,0.0,0.0,2.3E7,1.0,6.8E8,
1.5E-37,0.0093,960.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3699999.9999999995,0.0,2.1E-5,0.031,0.031,0.0,300.0,8.4,0.0,0.0,0.0,0.0,2.2E7,1.0,6.8E8,
1.5E-37,0.0093,950.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3699999.9999999995,0.0,2.5E-5,0.031,0.031,0.0,290.0,8.4,0.0,0.0,0.0,0.0,2.1E7,1.0,6.7E8,
5.5E-37,0.037,2700.0,870.0,21000.0,4800000.0,3900.0,1600.0,2100.0,240.0,2500.0,0.19,4900000.0,0.0,2.0,0.098,0.098,0.0,410.0,11.0,0.0,0.0,0.0,0.0,2.1E7,1.0,6.9E8,
1.9E-37,0.013,2700.0,870.0,3600.0,4700000.0,3900.0,1600.0,2000.0,240.0,2500.0,0.19,4700000.0,0.0,1.5E-5,0.097,0.097,0.0,410.0,4.2,0.0,0.0,0.0,0.0,2.0E7,1.0,6.9E8,
1.8E-37,0.012,2700.0,870.0,3500.0,4500000.0,3900.0,1600.0,2000.0,240.0,2500.0,0.19,4600000.0,0.0,1.6E-5,0.094,0.094,0.0,410.0,4.1,0.0,0.0,0.0,0.0,1.9E7,1.0,6.9E8,
1.8E-37,0.012,2700.0,870.0,3500.0,4500000.0,3900.0,1600.0,2000.0,240.0,2500.0,0.19,4500000.0,0.0,1.9E-5,0.093,0.093,0.0,410.0,4.0,0.0,0.0,0.0,0.0,1.8E7,1.0,6.9E8,
1.8E-37,0.012,2700.0,870.0,3500.0,4300000.0,3900.0,1600.0,2000.0,240.0,2500.0,0.19,4300000.0,0.0,1.9E-5,0.091,0.091,0.0,410.0,3.9,0.0,0.0,0.0,0.0,1.8E7,1.0,6.8E8,
1.8E-37,0.012,2700.0,870.0,3500.0,4099999.9999999995,3900.0,1600.0,2000.0,240.0,2500.0,0.19,4200000.0,0.0,2.1E-5,0.089,0.089,0.0,410.0,3.9,0.0,0.0,0.0,0.0,1.7E7,1.0,6.8E8,
2.5E-37,0.023,250.0,4000.0,14000.0,4800000.0,6400.0,1600.0,2000.0,240.0,2500.0,0.19,4800000.0,0.0,4.1E-5,0.088,0.088,0.0,410.0,17.0,0.0,0.0,0.0,0.0,1.7E7,1.0,6.9E8,
1.1E-37,0.01,250.0,4000.0,1500.0,4600000.0,6400.0,1600.0,2000.0,240.0,2500.0,0.19,4600000.0,0.0,3.4E-5,0.085,0.085,0.0,410.0,5.5,0.0,0.0,0.0,0.0,1.6E7,1.0,6.9E8,
1.0E-37,0.0095,250.0,4000.0,1500.0,4099999.9999999995,6400.0,1600.0,2000.0,240.0,2500.0,0.18,4099999.9999999995,0.0,3.3E-5,0.08,0.08,0.0,400.0,5.1,0.0,0.0,0.0,0.0,1.6E7,1.0,6.8E8,
1.0E-37,0.0094,250.0,4000.0,1400.0,3999999.9999999995,6300.0,1500.0,2000.0,240.0,2500.0,0.18,3999999.9999999995,0.0,3.3E-5,0.078,0.078,0.0,410.0,4.9,0.0,0.0,0.0,0.0,1.6E7,1.0,6.8E8,
1.0E-37,0.0092,250.0,4000.0,1400.0,3799999.9999999995,6300.0,1500.0,2000.0,230.0,2500.0,0.18,3799999.9999999995,0.0,3.3E-5,0.076,0.076,0.0,410.0,4.8,0.0,0.0,0.0,0.0,1.5E7,1.0,6.8E8,
9.9E-38,0.0091,250.0,4000.0,1400.0,3699999.9999999995,6300.0,1500.0,2000.0,230.0,2500.0,0.18,3699999.9999999995,0.0,3.4E-5,0.075,0.075,0.0,410.0,4.7,0.0,0.0,0.0,0.0,1.5E7,1.0,6.8E8,
9.9E-38,0.0091,250.0,4000.0,1400.0,3699999.9999999995,6300.0,1500.0,2000.0,230.0,2500.0,0.18,3699999.9999999995,0.0,3.2E-5,0.075,0.075,0.0,410.0,4.7,0.0,0.0,0.0,0.0,1.6E7,1.0,6.8E8,
9.9E-38,0.0091,250.0,4000.0,1400.0,3699999.9999999995,6300.0,1500.0,2000.0,230.0,2500.0,0.18,3699999.9999999995,0.0,2.7E-5,0.075,0.075,0.0,410.0,4.7,0.0,0.0,0.0,0.0,1.6E7,1.0,6.8E8,
9.9E-38,0.0091,250.0,4000.0,1400.0,3699999.9999999995,6300.0,1500.0,2000.0,230.0,2500.0,0.18,3699999.9999999995,0.0,2.3E-5,0.075,0.075,0.0,410.0,4.7,0.0,0.0,0.0,0.0,1.8E7,1.0,6.8E8,
9.9E-38,0.0091,250.0,4000.0,1400.0,3699999.9999999995,6300.0,1500.0,2000.0,230.0,2500.0,0.18,3699999.9999999995,0.0,1.9E-5,0.075,0.075,0.0,410.0,4.7,0.0,0.0,0.0,0.0,1.9E7,1.0,6.8E8,
