entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
2.089,0.1412,0.1767,0.04635,0.02718,0.1413,0.07795,0.02059,0.007204,0.09455,0.02678,0.1904,0.1911,
2.09,0.1392,0.1726,0.04619,0.0273,0.1411,0.07747,0.02073,0.007251,0.0952,0.02697,0.1917,0.1936,
2.09,0.1383,0.1696,0.04591,0.02739,0.1409,0.07778,0.02081,0.007278,0.09558,0.02707,0.1934,0.1943,
2.089,0.1462,0.1685,0.04591,0.02717,0.1402,0.07698,0.02087,0.007295,0.09584,0.02714,0.1939,0.1962,
2.088,0.1393,0.1674,0.04609,0.02719,0.138,0.07578,0.02097,0.007329,0.0963,0.02727,0.1949,0.1989,
2.087,0.1524,0.1653,0.04619,0.02725,0.1371,0.07492,0.02098,0.007343,0.09651,0.02733,0.1963,0.2008,
2.092,0.1393,0.169,0.04624,0.02729,0.1369,0.07459,0.02102,0.007357,0.0967,0.02945,0.1946,0.1968,
2.093,0.1417,0.1681,0.04638,0.02736,0.1358,0.07469,0.02105,0.007378,0.09698,0.02954,0.1951,0.1975,
2.093,0.1385,0.1696,0.04637,0.02736,0.1355,0.07376,0.0211,0.007393,0.09718,0.02986,0.1953,0.1967,
2.094,0.1345,0.1696,0.04637,0.02713,0.1338,0.07342,0.02112,0.007401,0.09728,0.03139,0.1959,0.1965,
2.094,0.1467,0.1671,0.04609,0.02707,0.1334,0.07364,0.02118,0.007423,0.09757,0.03148,0.1975,0.1976,
2.093,0.1628,0.1664,0.04608,0.02671,0.1331,0.07306,0.02119,0.007426,0.0976,0.0315,0.1976,0.1993,
2.091,0.156,0.1658,0.0461,0.02657,0.133,0.07191,0.02114,0.00743,0.09766,0.03152,0.1977,0.2012,
2.094,0.144,0.1715,0.04613,0.02659,0.133,0.0708,0.02112,0.007434,0.09771,0.03353,0.1958,0.1964,
2.096,0.1626,0.1757,0.04613,0.0266,0.133,0.07083,0.02113,0.007437,0.09775,0.03422,0.1952,0.192,
2.096,0.1451,0.1787,0.04614,0.0262,0.1329,0.07057,0.02114,0.007441,0.09781,0.0347,0.1949,0.1895,
2.096,0.1448,0.1783,0.04614,0.02621,0.1329,0.07029,0.02103,0.007416,0.09787,0.03472,0.195,0.1901,
2.095,0.1417,0.1776,0.04614,0.02622,0.1328,0.06982,0.02106,0.007425,0.098,0.03476,0.1952,0.191,
2.097,0.1304,0.1764,0.04611,0.02625,0.1326,0.0699,0.02109,0.007433,0.09811,0.03546,0.1948,0.1919,
2.097,0.1244,0.1777,0.04606,0.02627,0.1326,0.0684,0.0211,0.00744,0.0982,0.03641,0.1941,0.1917,
2.096,0.1256,0.1774,0.04604,0.02592,0.132,0.0684,0.0211,0.007439,0.09819,0.0364,0.195,0.192,
2.095,0.1241,0.1758,0.04606,0.02594,0.1316,0.0677,0.02112,0.007446,0.09828,0.03644,0.1962,0.1934,
2.097,0.1249,0.1804,0.04609,0.02596,0.1315,0.06681,0.02114,0.007451,0.09835,0.03759,0.1952,0.1895,
2.102,0.118,0.1802,0.04611,0.02596,0.1316,0.06657,0.02114,0.007453,0.09838,0.0413,0.1915,0.1898,
2.102,0.1193,0.1792,0.04615,0.02598,0.1316,0.06631,0.02117,0.007461,0.09848,0.04134,0.1917,0.1906,
2.102,0.1222,0.1785,0.04618,0.026,0.1317,0.0656,0.02118,0.007467,0.09856,0.04137,0.1919,0.1915,
2.101,0.1246,0.178,0.04613,0.02569,0.1317,0.06566,0.0212,0.007474,0.09865,0.04141,0.1921,0.1919,
2.101,0.1222,0.1776,0.04607,0.02566,0.1317,0.06487,0.02122,0.007479,0.09874,0.04145,0.1922,0.1929,
2.101,0.1295,0.1771,0.04609,0.02567,0.1317,0.06492,0.02123,0.007484,0.09881,0.04148,0.1924,0.1931,
2.1,0.1327,0.1765,0.0461,0.02568,0.1313,0.06463,0.02124,0.007485,0.09883,0.04149,0.1934,0.1934,
2.099,0.1227,0.1759,0.04609,0.02527,0.131,0.06461,0.02123,0.007482,0.09881,0.04148,0.1943,0.1938,
2.099,0.128,0.1742,0.04636,0.02536,0.1313,0.06564,0.02033,0.007859,0.09965,0.04049,0.1946,0.1941,
2.102,0.1255,0.173,0.0466,0.02545,0.1319,0.06538,0.02034,0.008228,0.09994,0.04139,0.1932,0.1945,
