RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
9140000.0,2398000.0,1406000.0,7308000.0,4033000.0,1065000.0,372700.0,4892000.0,1386000.0,9849000.0,9887000.0,
8868000.0,2373000.0,1403000.0,7249000.0,3981000.0,1065000.0,372600.0,4892000.0,1386000.0,9849000.0,9946000.0,
8680000.0,2350000.0,1402000.0,7209000.0,3981000.0,1065000.0,372500.0,4892000.0,1386000.0,9898000.0,9946000.0,
8599000.0,2343000.0,1387000.0,7157000.0,3929000.0,1065000.0,372300.0,4892000.0,1385000.0,9898000.0,1.001E7,
8501000.0,2341000.0,1381000.0,7008000.0,3849000.0,1065000.0,372300.0,4892000.0,1385000.0,9898000.0,1.01E7,
8378000.0,2341000.0,1381000.0,6948000.0,3797000.0,1063000.0,372200.0,4892000.0,1385000.0,9948000.0,1.018E7,
8551000.0,2339000.0,1380000.0,6926000.0,3773000.0,1063000.0,372200.0,4892000.0,1490000.0,9843000.0,9957000.0,
8481000.0,2339000.0,1380000.0,6851000.0,3767000.0,1062000.0,372200.0,4892000.0,1490000.0,9843000.0,9964000.0,
8535000.0,2334000.0,1377000.0,6819000.0,3713000.0,1062000.0,372200.0,4892000.0,1503000.0,9830000.0,9899000.0,
8531000.0,2332000.0,1364000.0,6727000.0,3692000.0,1062000.0,372200.0,4892000.0,1579000.0,9853000.0,9882000.0,
8379000.0,2311000.0,1357000.0,6687000.0,3692000.0,1062000.0,372200.0,4892000.0,1579000.0,9902000.0,9905000.0,
8339000.0,2309000.0,1339000.0,6672000.0,3662000.0,1062000.0,372200.0,4892000.0,1579000.0,9902000.0,9990000.0,
8305000.0,2309000.0,1331000.0,6662000.0,3602000.0,1059000.0,372200.0,4892000.0,1579000.0,9902000.0,1.008E7,
8585000.0,2309000.0,1331000.0,6657000.0,3545000.0,1057000.0,372100.0,4892000.0,1678000.0,9802000.0,9833000.0,
8792000.0,2308000.0,1331000.0,6657000.0,3545000.0,1057000.0,372100.0,4892000.0,1712000.0,9768000.0,9607000.0,
8937000.0,2307000.0,1310000.0,6647000.0,3530000.0,1057000.0,372100.0,4892000.0,1735000.0,9745000.0,9479000.0,
8912000.0,2306000.0,1310000.0,6642000.0,3513000.0,1051000.0,370600.0,4892000.0,1735000.0,9745000.0,9504000.0,
8866000.0,2303000.0,1309000.0,6628000.0,3485000.0,1051000.0,370600.0,4892000.0,1735000.0,9745000.0,9532000.0,
8794000.0,2299000.0,1309000.0,6612000.0,3485000.0,1051000.0,370600.0,4892000.0,1768000.0,9713000.0,9568000.0,
8854000.0,2295000.0,1308000.0,6607000.0,3407000.0,1051000.0,370600.0,4892000.0,1814000.0,9667000.0,9550000.0,
8840000.0,2294000.0,1292000.0,6577000.0,3407000.0,1051000.0,370600.0,4892000.0,1814000.0,9715000.0,9567000.0,
8750000.0,2293000.0,1291000.0,6552000.0,3370000.0,1051000.0,370600.0,4892000.0,1814000.0,9764000.0,9626000.0,
8974000.0,2293000.0,1291000.0,6542000.0,3323000.0,1051000.0,370600.0,4892000.0,1870000.0,9708000.0,9424000.0,
8959000.0,2292000.0,1291000.0,6542000.0,3310000.0,1051000.0,370600.0,4892000.0,2053000.0,9524000.0,9436000.0,
8900000.0,2292000.0,1291000.0,6538000.0,3294000.0,1051000.0,370600.0,4892000.0,2053000.0,9524000.0,9467000.0,
8860000.0,2292000.0,1290000.0,6538000.0,3256000.0,1051000.0,370600.0,4892000.0,2053000.0,9524000.0,9505000.0,
8828000.0,2287000.0,1274000.0,6533000.0,3256000.0,1051000.0,370600.0,4892000.0,2053000.0,9524000.0,9517000.0,
8799000.0,2282000.0,1271000.0,6526000.0,3214000.0,1051000.0,370500.0,4892000.0,2053000.0,9524000.0,9558000.0,
8769000.0,2282000.0,1271000.0,6521000.0,3214000.0,1051000.0,370500.0,4892000.0,2053000.0,9524000.0,9558000.0,
8734000.0,2282000.0,1271000.0,6496000.0,3199000.0,1051000.0,370500.0,4892000.0,2053000.0,9572000.0,9573000.0,
8709000.0,2282000.0,1251000.0,6487000.0,3199000.0,1051000.0,370400.0,4891000.0,2053000.0,9620000.0,9594000.0,
8611000.0,2291000.0,1253000.0,6491000.0,3244000.0,1005000.0,388400.0,4925000.0,2001000.0,9620000.0,9594000.0,
8549000.0,2302000.0,1257000.0,6519000.0,3230000.0,1005000.0,406500.0,4938000.0,2045000.0,9545000.0,9608000.0,
8396000.0,2373000.0,1260000.0,6579000.0,3246000.0,988900.0,434200.0,4958000.0,1997000.0,9593000.0,9608000.0,
8494000.0,2377000.0,1263000.0,6566000.0,3252000.0,1001000.0,3765000.0,1625000.0,1980000.0,9641000.0,9476000.0,
8451000.0,2379000.0,1267000.0,6548000.0,3258000.0,1001000.0,3770000.0,1671000.0,1923000.0,9689000.0,9476000.0,
8368000.0,2390000.0,1266000.0,6579000.0,3239000.0,1001000.0,3800000.0,1684000.0,1881000.0,9689000.0,9495000.0,
8310000.0,2395000.0,1269000.0,6601000.0,3238000.0,1001000.0,3842000.0,1696000.0,1827000.0,9689000.0,9495000.0,
8262000.0,2408000.0,1271000.0,6618000.0,3594000.0,645000.0,3848000.0,1716000.0,1800000.0,9689000.0,9495000.0,
8212000.0,2418000.0,1272000.0,6627000.0,3580000.0,644900.0,3860000.0,1793000.0,1711000.0,9738000.0,9509000.0,
8192000.0,2425000.0,1275000.0,6627000.0,3563000.0,644900.0,3866000.0,1807000.0,1934000.0,9495000.0,9526000.0,
8152000.0,2420000.0,1277000.0,6640000.0,3476000.0,644900.0,3872000.0,1821000.0,1914000.0,9543000.0,9613000.0,
8182000.0,2435000.0,1279000.0,6667000.0,3428000.0,644900.0,3871000.0,1842000.0,1893000.0,9543000.0,9556000.0,
8137000.0,2441000.0,1280000.0,6673000.0,3398000.0,644900.0,3871000.0,1867000.0,1868000.0,9590000.0,9586000.0,
8113000.0,2442000.0,1263000.0,6663000.0,3379000.0,650900.0,3877000.0,1906000.0,1817000.0,9590000.0,9624000.0,
