entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
2.089,0.1425,0.1767,0.04635,0.02718,0.1412,0.07794,0.02059,0.007203,0.09454,0.02678,0.1904,0.1911,
2.091,0.1368,0.1713,0.0462,0.02733,0.1418,0.07785,0.02075,0.007258,0.09528,0.02699,0.1918,0.1934,
2.091,0.1514,0.1702,0.04631,0.02748,0.1405,0.0765,0.02087,0.007298,0.09584,0.02772,0.1924,0.1949,
2.093,0.1463,0.169,0.04621,0.02729,0.1398,0.07665,0.02095,0.007326,0.09622,0.02868,0.1933,0.1946,
2.093,0.1496,0.1675,0.0464,0.02707,0.1385,0.07681,0.02104,0.007355,0.09661,0.02879,0.1941,0.1959,
2.092,0.1548,0.165,0.04648,0.02714,0.1378,0.07545,0.02111,0.007379,0.09693,0.02889,0.1957,0.1981,
2.091,0.1447,0.163,0.04638,0.02717,0.137,0.0748,0.02114,0.00739,0.09708,0.02893,0.1979,0.1992,
2.094,0.1446,0.1639,0.04581,0.02706,0.1367,0.07395,0.02123,0.007419,0.09748,0.03131,0.1965,0.1987,
2.094,0.1425,0.1613,0.04586,0.02712,0.1364,0.07359,0.02128,0.007436,0.09772,0.03138,0.198,0.2,
2.093,0.1479,0.1596,0.04565,0.02673,0.1355,0.07347,0.02136,0.007464,0.09813,0.03151,0.1988,0.2017,
2.091,0.1399,0.1579,0.04539,0.02686,0.1331,0.07234,0.02147,0.007481,0.09877,0.03171,0.2001,0.2049,
2.091,0.1521,0.1576,0.04535,0.02687,0.1332,0.07201,0.02148,0.007484,0.09881,0.03172,0.2002,0.2053,
2.091,0.1615,0.1572,0.04535,0.02688,0.1333,0.07205,0.02149,0.007487,0.09886,0.03174,0.2003,0.2054,
2.091,0.1506,0.1567,0.04528,0.02687,0.1333,0.07206,0.02149,0.007489,0.09888,0.03174,0.2003,0.2058,
2.089,0.1486,0.1561,0.04523,0.02682,0.1331,0.07115,0.02147,0.007481,0.09878,0.03171,0.2011,0.207,
2.093,0.1473,0.1606,0.04515,0.02682,0.1329,0.07115,0.02147,0.007481,0.09877,0.03312,0.2007,0.2018,
2.091,0.1561,0.1601,0.04513,0.02646,0.1328,0.07072,0.02146,0.007477,0.09872,0.0331,0.2016,0.2025,
