RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
9128000.0,2654000.0,1522000.0,7340000.0,4168000.0,944600.0,1821000.0,2826000.0,1741000.0,9700000.0,9764000.0,
8994000.0,2653000.0,1521000.0,7326000.0,4145000.0,944600.0,1821000.0,2826000.0,1741000.0,9700000.0,9786000.0,
8867000.0,2633000.0,1520000.0,7137000.0,4145000.0,944400.0,1821000.0,2826000.0,1741000.0,9749000.0,9832000.0,
8890000.0,2597000.0,1514000.0,7093000.0,4101000.0,944400.0,1820000.0,2825000.0,1760000.0,9777000.0,9681000.0,
8755000.0,2589000.0,1512000.0,6973000.0,4100000.0,944300.0,1819000.0,2825000.0,1760000.0,9826000.0,9681000.0,
8620000.0,2563000.0,1510000.0,6865000.0,4053000.0,944200.0,1819000.0,2825000.0,1760000.0,9875000.0,9729000.0,
8490000.0,2553000.0,1502000.0,6754000.0,4030000.0,944200.0,1819000.0,2825000.0,1757000.0,9875000.0,9751000.0,
8336000.0,2515000.0,1501000.0,6670000.0,4009000.0,944100.0,1819000.0,2825000.0,1757000.0,9875000.0,9772000.0,
8223000.0,2507000.0,1500000.0,6653000.0,3997000.0,944100.0,1819000.0,2825000.0,1757000.0,9875000.0,9803000.0,
8168000.0,2477000.0,1490000.0,6614000.0,3984000.0,944000.0,1819000.0,2825000.0,1949000.0,9684000.0,9760000.0,
8263000.0,2476000.0,1488000.0,6566000.0,3956000.0,944000.0,1819000.0,2825000.0,1994000.0,9638000.0,9613000.0,
8246000.0,2473000.0,1486000.0,6553000.0,3878000.0,943900.0,1819000.0,2825000.0,1994000.0,9686000.0,9691000.0,
8319000.0,2468000.0,1486000.0,6548000.0,3878000.0,943700.0,1819000.0,2825000.0,2102000.0,9578000.0,9558000.0,
8304000.0,2468000.0,1486000.0,6525000.0,3878000.0,943200.0,1819000.0,2824000.0,2102000.0,9674000.0,9558000.0,
8289000.0,2468000.0,1486000.0,6460000.0,3865000.0,943100.0,1819000.0,2824000.0,2102000.0,9674000.0,9571000.0,
8273000.0,2467000.0,1485000.0,6436000.0,3826000.0,943100.0,1819000.0,2824000.0,2102000.0,9674000.0,9610000.0,
