bead1Er,bead1Pm,bead1RabA,bead1RabB,bead1RabC,bead1RabD,bead1RabE,bead1RabF,bead1RabG,bead1RabH,bead1RabI,cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,povaEnEr,povaEnPm,povaEnRabA,povaEnRabB,povaEnRabC,povaEnRabD,povaEnRabE,povaEnRabF,povaEnRabG,povaEnRabH,povaEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI,
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1278.0,152.9,164.2,120.9,0.0565,3.255,0.439,0.823,1.66,0.1361,0.0,344.3,0.1535,1.717,0.1181,0.1461,0.2416,0.451,0.6194,1.937,10.15,0.0,344.3,0.1535,1.717,0.1181,0.1461,0.2416,0.451,0.6194,1.937,10.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,741.7,103.6,26.73,1021.0,4.297,3.457,5.072,189.1,3.033,0.0,146.5,9.497,8.09,20.13,38.91,0.1905,0.02858,0.1568,0.1353,0.07641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,0.0,2235000.0,104600.0,67930.0,2.347E7,40280.0,33720.0,34550.0,62360.0,29320.0,0.0,2.93E-38,2.034E-38,9.471E-38,7.546E-38,6.447E-39,1.419E-39,2.489E-40,6.362E-40,1.597E-39,1.852E-40,2.08E-35,0.0,0.3659,0.8239,1.58,0.9691,0.09439,0.01884,0.002305,0.005194,0.009556,0.001816,0.0,0.0,4.709E-4,0.001204,0.001181,0.9925,8.841E-4,9.671E-4,2.826E-4,0.001855,6.805E-4,0.0,1.0E-5,0.0177,0.0019,0.001752,0.1759,0.003361,5.653E-4,8.041E-4,0.001632,3.022E-4,
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1278.0,150.2,165.5,124.9,0.05051,3.241,0.4304,0.8225,1.699,0.1351,0.0,344.3,0.1649,1.71,0.1142,0.1458,0.2899,0.65,0.5723,1.533,10.36,0.0,344.3,0.1649,1.71,0.1142,0.1458,0.2899,0.65,0.5723,1.533,10.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,769.2,102.0,26.55,967.3,3.407,2.385,4.655,195.4,2.246,0.0,146.5,9.359,7.077,16.04,38.82,0.1881,0.02844,0.1516,0.1248,0.07586,6.899000000000001E-26,0.0,0.0,6.794E-5,3.237E-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.304E-28,0.0,0.0,1.5360000000000001E-28,1.811E-28,6.119E-30,1.597E-30,9.305E-28,6.32E-28,1.725E-27,1.138E-28,8.915E-27,0.0,0.0,2.232E-37,6.5079999999999994E-37,1.749E-38,1.009E-40,9.940999999999999E-39,4.3039999999999996E-40,2.099E-39,9.978E-40,1.86E-37,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.184E-4,0.0,71.29,2023000.0,93170.0,62780.0,2.25E7,37800.0,31660.0,31470.0,59460.0,27590.0,0.0,2.953E-38,2.147E-38,9.254E-38,7.568E-38,6.426E-39,1.385E-39,2.464E-40,6.259E-40,1.6299999999999998E-39,1.785E-40,2.08E-35,0.0,0.3691,0.8299,1.556,0.9734,0.09425,0.01857,0.002279,0.005044,0.009884,0.001813,0.0,0.0,4.709E-4,0.001204,0.001181,0.9925,8.841E-4,9.671E-4,2.826E-4,0.001855,6.805E-4,0.0,1.954E-5,0.01771,0.001852,0.001752,0.1757,0.003351,5.593E-4,8.053E-4,0.001645,3.038E-4,
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1278.0,150.1,167.0,129.2,0.04997,3.236,0.4039,0.7584,1.58,0.1359,0.0,344.3,0.1673,1.656,0.1209,0.1521,0.266,0.671,0.5744,1.531,10.36,0.0,344.3,0.1673,1.656,0.1209,0.1521,0.266,0.671,0.5744,1.531,10.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.4,108.5,26.79,911.1,4.736,3.148,6.394,185.9,3.061,0.0,146.5,9.625,7.097,4.889,39.54,0.1867,0.02932,0.152,0.1265,0.0757,5.556E-25,0.0,0.0,1.881E-4,7.584E-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.146E-27,0.0,0.0,8.502E-27,8.086E-24,1.81E-27,2.394E-28,6.313E-27,2.9820000000000005E-26,2.127E-26,4.0E-27,1.7360000000000001E-25,0.0,0.0,1.915E-34,2.1090000000000003E-28,1.498E-33,3.767E-36,1.5170000000000002E-36,9.466000000000001E-36,2.332E-35,2.921E-35,3.329E-36,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.953E-4,0.0,125.7,1730000.0,89910.0,62920.0,2.247E7,37060.0,31230.0,30350.0,58510.0,27180.0,0.0,2.953E-38,2.083E-38,9.009E-38,7.468E-38,7.119E-39,1.388E-39,2.435E-40,6.188E-40,1.579E-39,1.76E-40,2.08E-35,0.0,0.3692,0.8189,1.537,0.9674,0.103,0.01859,0.002278,0.005051,0.009668,0.001829,0.0,0.0,4.709E-4,0.001204,0.001181,0.9925,8.841E-4,9.671E-4,2.826E-4,0.001855,6.805E-4,0.0,3.044E-5,0.0177,0.00186,0.001746,0.1749,0.003348,5.548E-4,8.059E-4,0.001636,3.039E-4,
0.0,0.0,0.9595,0.03782,1.745E-4,0.00252,0.0,0.0,0.0,0.0,0.0,0.0,1279.0,132.8,149.6,129.0,0.05576,3.228,0.4041,0.7585,1.58,0.1366,0.0,344.3,0.2964,1.53,0.1205,0.1456,0.2656,0.6744,0.5704,1.531,10.36,0.0,344.3,0.2964,1.53,0.1205,0.1456,0.2656,0.6744,0.5704,1.531,10.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,806.1,128.1,26.97,886.8,4.69,3.125,6.334,185.9,3.038,0.0,146.5,12.63,6.772,37.66,37.53,0.1861,0.02868,0.1493,0.1237,0.07565,5.436E-24,0.0,0.0,2.427E-4,9.582E-6,7.74E-8,6.369E-7,0.0,0.0,0.0,0.0,0.0,6.724E-26,0.0,1.08E-28,2.104E-25,8.488999999999999E-23,1.3840000000000002E-26,2.893E-26,7.746E-26,2.232E-25,2.302E-25,4.1050000000000004E-26,1.394E-24,0.0,4.1329999999999996E-39,1.366E-31,3.579E-27,4.4100000000000004E-32,2.931E-35,8.729000000000001E-36,5.58E-35,1.368E-34,1.743E-34,1.413E-35,0.0,0.0,9602.0,378.5,1.747,25.22,0.0,0.0,0.0,0.0,0.0,7.597E-4,0.0,156.0,1523000.0,143900.0,61030.0,2.173E7,36060.0,30020.0,29020.0,56900.0,26290.0,0.0,2.975E-38,2.651E-38,8.391E-38,7.497E-38,6.346E-39,1.38E-39,2.4219999999999998E-40,6.143E-40,1.575E-39,1.69E-40,2.08E-35,0.0,0.374,0.9539,1.383,0.9896,0.0888,0.01856,0.002274,0.005037,0.009649,0.001832,0.0,0.0,4.737E-4,0.001211,0.001188,0.9924,8.892E-4,9.727E-4,2.842E-4,0.001865,6.844E-4,0.0,3.501E-5,0.01722,0.002347,0.001724,0.1747,0.003342,5.593E-4,8.075E-4,0.001639,3.054E-4,
0.0,0.0,0.9945,0.004349,1.819E-4,9.886E-4,0.0,0.0,0.0,0.0,0.0,0.0,1280.0,121.2,157.1,147.3,0.05562,3.489,0.402,0.7502,1.627,0.2181,0.0,344.3,0.2222,1.642,0.1031,0.1448,0.264,0.6784,0.5642,1.323,10.53,0.0,344.3,0.2222,1.642,0.1031,0.1448,0.264,0.6784,0.5642,1.323,10.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,837.7,111.4,27.54,844.8,3.471,2.156,3.692,196.0,2.291,0.0,149.9,12.36,6.099,18.31,37.25,0.109,0.02845,0.1478,0.1121,0.07556,1.744E-23,0.0,0.0,3.327E-4,2.153E-6,9.409E-8,3.315E-7,0.0,0.0,0.0,0.0,0.0,1.9770000000000001E-25,0.0,5.889E-27,8.439E-25,3.3839999999999998E-22,7.204000000000001E-26,1.217E-25,5.439E-25,1.937E-24,1.468E-24,1.077E-25,1.5799999999999998E-23,0.0,4.349E-32,7.1200000000000005E-31,1.497E-26,4.737E-31,4.859E-34,2.105E-34,1.3530000000000002E-34,3.211E-34,4.046E-34,1.598E-32,0.0,0.0,9955.0,43.53,1.821,9.896,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,570.2,1397000.0,95060.0,60220.0,2.179E7,35650.0,29710.0,28300.0,56990.0,25880.0,0.0,3.038E-38,1.838E-38,9.0E-38,7.428E-38,6.213999999999999E-39,1.4399999999999999E-39,2.391E-40,6.0449999999999996E-40,1.6079999999999998E-39,3.114E-40,2.08E-35,0.0,0.3875,0.66,1.647,0.9793,0.08677,0.01983,0.002261,0.004988,0.009838,0.002833,0.0,0.0,4.737E-4,0.001211,0.001188,0.9924,8.892E-4,9.727E-4,2.842E-4,0.001865,6.844E-4,0.0,5.27E-5,0.01776,0.001813,0.001708,0.174,0.003343,5.608E-4,8.035E-4,0.001648,3.086E-4,
0.0,0.0,0.9982,5.238E-4,1.926E-4,0.001047,0.0,0.0,0.0,0.0,0.0,0.0,1274.0,127.1,159.6,153.2,0.04658,3.146,0.4036,0.7529,1.628,0.2384,0.0,344.3,0.1103,1.72,0.0794,0.1576,0.2483,0.6782,0.5648,1.323,10.53,0.0,344.3,0.1103,1.72,0.0794,0.1576,0.2483,0.6782,0.5648,1.323,10.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,848.0,132.6,26.31,815.0,3.201,2.063,3.538,195.9,2.455,0.0,147.9,9.99,5.24,12.5,37.02,0.1252,0.02802,0.1442,0.1095,0.07264,3.474E-23,0.0,0.0,4.003E-4,1.039E-6,1.102E-7,4.181E-7,0.0,0.0,0.0,0.0,0.0,8.537E-25,0.0,6.746E-27,1.588E-24,2.497E-21,1.424E-25,8.616E-25,2.265E-24,7.473E-24,8.604E-24,7.567000000000001E-25,7.3E-23,0.0,4.33E-32,4.046E-31,4.434E-26,2.008E-30,1.079E-32,4.239E-33,3.3380000000000003E-34,7.716E-34,9.542000000000001E-34,2.072E-32,0.0,0.0,9995.0,5.245,1.928,10.48,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,611.6,1288000.0,91560.0,59290.0,2.142E7,36320.0,28970.0,27340.0,55990.0,25430.0,0.0,2.774E-38,1.085E-38,9.272E-38,7.380999999999999E-38,6.427E-39,1.153E-39,2.387E-40,6.018E-40,1.607E-39,3.326E-40,2.08E-35,0.0,0.3538,0.6207,1.662,0.9779,0.08882,0.01668,0.002267,0.004994,0.00984,0.00303,0.0,0.0,4.786E-4,0.001224,0.001201,0.9924,8.985E-4,9.828E-4,2.872E-4,0.001885,6.915E-4,0.0,5.671E-5,0.01778,0.001781,0.001707,0.1712,0.003257,5.612E-4,8.049E-4,0.001647,3.101E-4,
0.0,0.0,0.998,5.879E-4,2.161E-4,0.001175,0.0,0.0,0.0,0.0,0.0,0.0,1269.0,137.4,159.2,157.0,0.05134,3.143,0.4072,0.7552,1.602,0.2414,0.0,344.3,0.1135,1.716,0.07808,0.1522,0.2477,0.6785,0.5649,0.2796,11.57,0.0,344.3,0.1135,1.716,0.07808,0.1522,0.2477,0.6785,0.5649,0.2796,11.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,870.7,134.2,26.47,801.1,4.736,2.925,3.875,188.0,3.136,0.0,145.3,9.47,4.372,8.287,36.78,0.1239,0.02777,0.1428,0.1085,0.07241,5.1429999999999997E-23,0.0,0.0,4.654E-4,1.101E-6,1.331E-7,5.427E-7,0.0,0.0,0.0,0.0,0.0,2.493E-24,0.0,1.214E-25,4.046E-24,1.3459999999999999E-20,4.821E-25,3.428E-24,6.601E-24,2.345E-23,2.263E-23,5.128E-24,2.0179999999999998E-22,0.0,4.423E-32,2.0140000000000002E-30,1.452E-25,5.062E-30,2.3490000000000002E-32,9.565999999999999E-33,6.105E-34,1.305E-33,1.786E-33,2.8130000000000003E-32,0.0,0.0,9796.0,5.77,2.121,11.53,0.0,0.0,0.0,0.0,0.0,6.712E-4,0.0,679.3,1166000.0,91710.0,58840.0,2.115E7,35400.0,28350.0,26790.0,55060.0,25150.0,0.0,2.51E-38,1.138E-38,9.154E-38,7.352E-38,6.311E-39,1.154E-39,2.4149999999999998E-40,6.015E-40,1.577E-39,3.3079999999999998E-40,2.08E-35,0.0,0.3249,0.6671,1.647,0.9755,0.08768,0.01669,0.002286,0.005004,0.009683,0.003054,0.0,0.0,4.786E-4,0.001224,0.001201,0.9924,8.985E-4,9.828E-4,2.872E-4,0.001885,6.915E-4,0.0,6.946E-5,0.01746,0.001771,0.001704,0.1708,0.003163,5.599E-4,8.022E-4,0.001634,3.156E-4,
0.0,0.0,0.9978,6.574E-4,2.416E-4,0.001313,0.0,0.0,0.0,0.0,0.0,0.0,1262.0,152.9,154.7,157.3,0.05118,3.128,0.4071,0.757,1.603,0.242,0.0,344.3,0.1619,1.671,0.07595,0.1473,0.2459,0.6685,0.5737,0.2803,11.57,0.0,344.3,0.1619,1.671,0.07595,0.1473,0.2459,0.6685,0.5737,0.2803,11.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,893.0,132.5,26.26,787.2,4.566,2.833,3.798,187.8,3.067,0.0,142.9,9.115,3.907,6.412,36.52,0.1216,0.02639,0.1401,0.1048,0.07138,6.763E-23,0.0,0.0,5.044E-4,1.212E-6,1.537E-7,6.544E-7,0.0,0.0,0.0,0.0,0.0,4.9379999999999996E-24,0.0,3.875E-25,5.3920000000000005E-21,3.4299999999999995E-20,1.219E-24,7.793E-24,1.706E-23,6.050999999999999E-23,6.163999999999999E-23,1.688E-23,5.365999999999999E-22,0.0,1.824E-30,3.8370000000000004E-26,3.655E-25,1.0139999999999999E-29,2.931E-32,1.274E-32,1.238E-33,2.353E-33,4.811E-33,4.564E-32,0.0,0.0,9505.0,6.262,2.302,12.51,0.0,0.0,0.0,0.0,0.0,5.845E-4,0.0,1183.0,1078000.0,80380.0,53770.0,2.088E7,33270.0,24060.0,25600.0,46690.0,22410.0,0.0,2.335E-38,1.358E-38,8.988E-38,7.185E-38,5.768E-39,1.144E-39,2.4149999999999998E-40,5.98E-40,1.575E-39,3.249E-40,2.08E-35,0.0,0.3022,0.7623,1.595,0.9601,0.08121,0.0166,0.002281,0.005006,0.009673,0.003052,0.0,0.0,6.236E-4,6.166E-4,9.082E-4,0.9941,8.33E-4,7.434E-4,2.172E-4,0.001426,5.231E-4,0.0,1.121E-4,0.01703,0.001658,0.00164,0.1702,0.003063,5.211E-4,7.926E-4,0.001565,2.9E-4,
0.0,0.0,0.9975,7.427E-4,2.73E-4,0.001484,0.0,0.0,0.0,0.0,0.0,0.0,1262.0,147.7,152.2,156.3,0.05249,4.258,0.4073,0.7586,1.604,0.243,0.0,344.3,0.1231,1.713,0.07366,0.1462,0.2434,0.6686,0.5739,0.2806,11.57,0.0,344.3,0.1231,1.713,0.07366,0.1462,0.2434,0.6686,0.5739,0.2806,11.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,918.5,132.3,26.09,762.0,5.729,2.817,3.727,187.8,3.052,0.0,142.9,8.995,6.826,10.39,36.19,0.3051,0.02655,0.1402,0.105,0.07149,8.551E-23,0.0,0.0,5.145E-4,1.259E-6,1.711E-7,7.49E-7,0.0,0.0,0.0,0.0,0.0,8.052E-24,0.0,8.165000000000001E-25,5.413E-21,7.727999999999999E-20,3.624E-24,1.581E-23,3.338E-23,1.3459999999999998E-22,1.2449999999999998E-22,3.701E-23,1.073E-21,0.0,1.824E-30,1.302E-26,8.116E-25,6.442E-29,3.263E-32,4.329000000000001E-31,3.334E-33,4.096E-33,1.38E-32,7.558E-32,0.0,0.0,8177.0,6.088,2.238,12.16,0.0,0.0,0.0,0.0,0.0,5.39E-4,0.0,1301.0,874900.0,87710.0,54450.0,2.02E7,38160.0,23810.0,25520.0,46930.0,22350.0,0.0,2.335E-38,1.128E-38,9.18E-38,7.073E-38,5.6709999999999995E-39,2.199E-39,2.428E-40,5.961E-40,1.574E-39,3.197E-40,2.08E-35,0.0,0.3022,0.7074,1.632,0.9671,0.08046,0.02488,0.002288,0.005012,0.009677,0.003056,0.0,0.0,6.527E-4,6.455E-4,9.507E-4,0.9938,8.719E-4,7.782E-4,2.274E-4,0.001492,5.475E-4,0.0,1.23E-4,0.01493,0.001663,0.001637,0.1682,0.002979,5.261E-4,7.952E-4,0.001573,2.935E-4,
0.0,0.0,0.9972,8.423E-4,3.096E-4,0.001683,0.0,0.0,0.0,0.0,0.0,0.0,1252.0,159.7,152.0,155.6,0.04583,7.239,0.4255,0.7778,1.622,0.2501,0.0,344.4,0.1383,1.684,0.08947,0.1445,0.4469,0.5664,0.5379,0.3143,11.46,0.0,344.4,0.1383,1.684,0.08947,0.1445,0.4469,0.5664,0.5379,0.3143,11.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,964.8,132.1,25.58,740.5,4.174,1.835,8.613,188.0,2.473,0.0,139.3,8.238,6.486,7.455,35.95,0.6621,0.02645,0.139,0.1044,0.07137,1.0349999999999999E-22,0.0,0.0,5.84E-4,1.5E-6,2.098E-7,9.592E-7,0.0,0.0,0.0,0.0,0.0,1.1939999999999999E-23,0.0,2.078E-24,8.894E-21,1.446E-19,1.582E-23,3.676E-23,9.985E-23,2.3059999999999997E-22,2.139E-22,9.426E-23,2.289E-21,0.0,3.045E-30,9.900000000000001E-26,1.3989999999999999E-24,2.023E-28,4.852E-32,8.232E-30,5.2989999999999996E-33,8.778E-33,3.337E-32,1.2050000000000002E-31,0.0,0.0,7934.0,6.702,2.464,13.39,0.0,0.0,0.0,0.0,0.0,4.601E-4,0.0,1432.0,786600.0,83320.0,52790.0,1.946E7,36530.0,23510.0,24600.0,46490.0,22030.0,0.0,2.004E-38,1.293E-38,8.942999999999999E-38,6.754E-38,5.6349999999999995E-39,4.7269999999999996E-39,2.481E-40,6.196E-40,1.579E-39,3.16E-40,2.08E-35,0.0,0.2611,0.7951,1.572,0.9388,0.08013,0.04865,0.002434,0.005144,0.009775,0.003113,0.0,0.0,6.871E-4,6.795E-4,0.001001,0.9935,9.179E-4,8.193E-4,2.394E-4,0.001571,5.764E-4,0.0,1.589E-4,0.01455,0.001667,0.001634,0.1652,0.002894,5.3E-4,8.106E-4,0.001565,2.965E-4,
