entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
2.137,0.1368,0.1768,0.05144,0.02949,0.1422,0.08076,0.01831,0.03529,0.05477,0.03373,0.188,0.1892,
2.138,0.1438,0.1745,0.05159,0.02956,0.1425,0.08076,0.01836,0.03539,0.05493,0.03384,0.1885,0.19,
2.138,0.1412,0.172,0.05122,0.02963,0.1427,0.08067,0.01826,0.03549,0.05508,0.03393,0.19,0.191,
2.139,0.1636,0.1699,0.05129,0.02967,0.1428,0.08092,0.01832,0.0356,0.05525,0.03404,0.1906,0.1916,
2.139,0.1331,0.1683,0.051,0.02971,0.143,0.08093,0.01836,0.03567,0.05536,0.0341,0.191,0.1926,
2.14,0.1221,0.1691,0.05031,0.02976,0.142,0.08107,0.01845,0.03584,0.05563,0.0347,0.1915,0.1917,
2.143,0.1207,0.1704,0.05051,0.0299,0.1403,0.08118,0.01853,0.036,0.05588,0.03616,0.191,0.19,
2.149,0.1293,0.1715,0.05069,0.02963,0.1395,0.0802,0.01859,0.03612,0.05608,0.03979,0.1882,0.1896,
2.149,0.1226,0.1692,0.05088,0.02975,0.1387,0.07968,0.01867,0.03627,0.0563,0.03995,0.189,0.1915,
2.151,0.1439,0.1695,0.05112,0.02995,0.1379,0.0792,0.01879,0.03651,0.05668,0.04022,0.1903,0.1899,
2.151,0.1345,0.1661,0.05131,0.02998,0.1359,0.07903,0.0189,0.03672,0.057,0.04045,0.1933,0.1914,
2.151,0.1335,0.1656,0.05132,0.03,0.1358,0.07884,0.01892,0.03675,0.05706,0.04048,0.1935,0.1918,
2.151,0.1266,0.1652,0.0513,0.03001,0.1358,0.07825,0.01893,0.03678,0.05709,0.04051,0.1936,0.1926,
2.149,0.1178,0.1643,0.05107,0.02993,0.1355,0.07782,0.01888,0.03669,0.05696,0.04041,0.196,0.1924,
2.148,0.1201,0.1639,0.05103,0.02961,0.1354,0.07739,0.0189,0.03672,0.057,0.04044,0.1962,0.1933,
2.146,0.124,0.1635,0.05104,0.02963,0.1355,0.07541,0.01891,0.03674,0.05703,0.04047,0.1963,0.1955,
2.146,0.1042,0.1642,0.0509,0.02962,0.1352,0.07464,0.0189,0.03673,0.05702,0.04112,0.1966,0.195,
2.147,0.1051,0.1661,0.05094,0.02918,0.135,0.0736,0.01892,0.03675,0.05706,0.04285,0.195,0.1946,
2.148,0.1096,0.1656,0.05098,0.02921,0.1344,0.07369,0.01894,0.0368,0.05712,0.0429,0.1952,0.1951,
2.145,0.1002,0.1651,0.05089,0.02916,0.134,0.0721,0.01878,0.0367,0.05703,0.04283,0.1969,0.1965,
2.15,0.1034,0.1683,0.05092,0.02919,0.134,0.07167,0.0188,0.03674,0.05708,0.04626,0.1936,0.1934,
2.15,0.117,0.1673,0.0509,0.02917,0.1339,0.07164,0.01879,0.03672,0.05706,0.04624,0.1945,0.1938,
2.153,0.09851,0.1701,0.05089,0.02902,0.1337,0.07092,0.01879,0.03672,0.05705,0.04885,0.1929,0.1911,
2.153,0.1061,0.1692,0.05093,0.02906,0.1336,0.07102,0.01882,0.03677,0.05714,0.04892,0.1932,0.1914,
2.153,0.09572,0.1678,0.05095,0.02907,0.1336,0.07106,0.01883,0.03679,0.05717,0.04895,0.1942,0.1915,
2.153,0.1164,0.1661,0.05094,0.02912,0.1338,0.07093,0.01886,0.03686,0.05727,0.04903,0.1946,0.1926,
2.151,0.1157,0.1653,0.05077,0.02867,0.1336,0.06962,0.01884,0.03681,0.05719,0.04897,0.1963,0.194,
2.149,0.1063,0.1646,0.05065,0.02866,0.1335,0.06899,0.01883,0.0368,0.05717,0.04895,0.1972,0.1947,
2.149,0.1034,0.1661,0.05045,0.02866,0.1335,0.06851,0.01883,0.0368,0.05718,0.04933,0.1978,0.1929,
2.151,0.1024,0.1654,0.05044,0.02839,0.1332,0.0686,0.01886,0.03685,0.05725,0.05101,0.1964,0.1935,
2.151,0.101,0.1643,0.05047,0.02842,0.1328,0.06815,0.01887,0.03687,0.05729,0.05105,0.1976,0.1941,
2.151,0.1015,0.1638,0.05047,0.02838,0.1325,0.06794,0.02061,0.03507,0.05859,0.04975,0.1978,0.1951,
2.15,0.1073,0.1624,0.0507,0.02836,0.1322,0.06712,0.02058,0.03503,0.05874,0.04948,0.1996,0.1959,
2.129,0.125,0.1614,0.05086,0.02839,0.1327,0.07877,0.008566,0.03517,0.06185,0.04628,0.1996,0.1964,
2.13,0.1256,0.1606,0.05088,0.02845,0.1326,0.07887,0.0087,0.03558,0.06183,0.04596,0.1999,0.1967,
2.13,0.1111,0.163,0.05127,0.02845,0.1346,0.07766,0.008286,0.03568,0.063,0.04553,0.1997,0.1929,
2.131,0.1324,0.1586,0.05136,0.02848,0.1372,0.07761,0.008404,0.03611,0.064,0.04464,0.2009,0.1928,
2.13,0.1346,0.1568,0.0514,0.02827,0.1383,0.07737,0.008533,0.03602,0.06542,0.04319,0.201,0.1936,
2.134,0.1366,0.1553,0.05142,0.02835,0.1392,0.07743,0.00854,0.03617,0.06653,0.04448,0.1988,0.1938,
2.134,0.1277,0.1542,0.05176,0.02849,0.1388,0.07714,0.00854,0.03617,0.06733,0.04369,0.1998,0.1941,
2.135,0.1435,0.1533,0.05177,0.02851,0.1387,0.07726,0.008417,0.03659,0.06796,0.04393,0.1994,0.1941,
2.136,0.1442,0.1522,0.05187,0.02861,0.1385,0.07698,0.008541,0.03647,0.06896,0.04379,0.1996,0.1944,
2.138,0.1481,0.1515,0.05184,0.02871,0.1387,0.07711,0.008347,0.03657,0.06942,0.04522,0.1984,0.1943,
2.138,0.1433,0.1496,0.05298,0.02828,0.1386,0.07668,0.008455,0.03688,0.07012,0.04427,0.1986,0.1955,
2.137,0.1539,0.1485,0.05301,0.02837,0.1392,0.07595,0.008459,0.03702,0.07067,0.04367,0.1987,0.1964,
2.137,0.1391,0.1479,0.05302,0.02845,0.1388,0.07558,0.00858,0.03702,0.07054,0.04367,0.1997,0.1967,
2.137,0.1489,0.1445,0.05318,0.02856,0.1415,0.07538,0.008587,0.03717,0.07129,0.04288,0.1998,0.1971,
2.135,0.1518,0.143,0.05341,0.02783,0.1422,0.07518,0.008593,0.03732,0.07207,0.04206,0.2,0.1984,
2.134,0.1458,0.1428,0.05353,0.0274,0.1422,0.07492,0.008593,0.0376,0.07203,0.04182,0.2,0.1991,
2.131,0.1671,0.1409,0.05348,0.02721,0.1436,0.0738,0.008598,0.03762,0.07442,0.0395,0.2001,0.2008,
2.135,0.17,0.1392,0.05357,0.02732,0.1464,0.07358,0.008592,0.03767,0.07481,0.041,0.1984,0.1994,
2.141,0.159,0.1423,0.05349,0.02742,0.1465,0.07295,0.008598,0.0377,0.07549,0.04457,0.1943,0.1967,
2.141,0.1549,0.1412,0.05396,0.02748,0.1465,0.07301,0.008728,0.03761,0.0773,0.04287,0.1945,0.1969,
2.14,0.156,0.1407,0.05398,0.0276,0.1464,0.07269,0.008857,0.03763,0.0795,0.04061,0.1946,0.1974,
2.139,0.1566,0.1393,0.0545,0.0278,0.1465,0.07119,0.008853,0.03761,0.07996,0.04011,0.1955,0.1988,
2.136,0.1658,0.1381,0.05452,0.02793,0.1466,0.06934,0.008852,0.0378,0.08057,0.03929,0.1965,0.2006,
