bead1Er,bead1Pm,bead1RabA,bead1RabB,bead1RabC,bead1RabD,bead1RabE,bead1RabF,bead1RabG,bead1RabH,bead1RabI,cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,povaEnEr,povaEnPm,povaEnRabA,povaEnRabB,povaEnRabC,povaEnRabD,povaEnRabE,povaEnRabF,povaEnRabG,povaEnRabH,povaEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI
0,0,1,0,0,0,0,0,0,0,0,0,1278,152.9,164.2,120.9,0.0565,3.255,0.439,0.823,1.66,0.1361,0,344.3,0.1535,1.717,0.1181,0.1461,0.2416,0.451,0.6194,1.937,10.15,0,344.3,0.1535,1.717,0.1181,0.1461,0.2416,0.451,0.6194,1.937,10.15,0,0,0,0,0,0,0,0,0,0,0,0,0,741.7,103.6,26.73,1021,4.297,3.457,5.072,189.1,3.033,0,146.5,9.497,8.09,20.13,38.91,0.1905,0.02858,0.1568,0.1353,0.07641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,1.00E-04,0,0,2235000,104600,67940,2.35E+07,40280,33720,34550,62360,29330,0,2.93E-38,2.03E-38,9.47E-38,7.55E-38,6.45E-39,1.42E-39,2.49E-40,6.36E-40,1.60E-39,1.85E-40,2.08E-35,0,0.3659,0.8239,1.58,0.9691,0.09439,0.01884,0.002305,0.005194,0.009556,0.001816,0,0,4.71E-04,0.001204,0.001181,0.9925,8.84E-04,9.67E-04,2.83E-04,0.001855,6.81E-04,0,1.00E-05,0.0177,0.0019,0.001752,0.1759,0.003361,5.65E-04,8.04E-04,0.001632,3.02E-04
0,0,1,0,0,0,0,0,0,0,0,0,1280,149.7,166.5,121.2,0.05043,5.118,0.4349,0.8248,1.685,0.1438,0,344.3,0.1411,1.732,0.1098,0.1565,0.2412,0.4476,0.6253,2.046,10.03,0,344.3,0.1411,1.732,0.1098,0.1565,0.2412,0.4476,0.6253,2.046,10.03,0,0,0,0,0,0,0,0,0,0,0,0,0,768,101.8,26.49,978.4,3.463,2.965,6.109,191.3,4.605,0,146.5,9.288,6.905,15.58,38.93,0.2301,0.02892,0.1227,0.1058,0.05389,1.21E-25,0,0,9.12E-05,0,0,0,0,0,0,0,0,8.74E-28,0,3.32E-31,1.85E-28,7.67E-28,5.59E-29,2.49E-28,2.50E-28,1.12E-29,1.42E-27,2.12E-27,9.32E-27,0,3.16E-40,3.70E-37,4.26E-34,2.62E-36,2.36E-39,3.70E-40,1.77E-40,1.38E-39,3.94E-38,1.41E-37,0,0,10000,0,0,0,0,0,0,0,0,1.16E-04,0,300.5,1957000,93920,61050,2.21E+07,37600,31250,30800,58320,27170,0,3.00E-38,1.97E-38,9.45E-38,7.29E-38,6.47E-39,3.33E-39,2.49E-40,6.11E-40,1.60E-39,1.72E-40,2.08E-35,0,0.3811,0.8051,1.584,0.9369,0.09444,0.04075,0.002303,0.004926,0.009712,0.001753,0,0,4.73E-04,0.001209,0.001186,0.9924,8.88E-04,9.71E-04,2.84E-04,0.001862,6.83E-04,0,2.87E-05,0.01767,0.001878,0.001717,0.1726,0.003374,5.62E-04,8.02E-04,0.001623,3.10E-04
0,0,1,0,0,0,0,0,0,0,0,0,1268,167.7,155.3,125,0.05645,3.148,0.4307,0.8623,1.647,0.1971,0,344.3,0.1655,1.897,0.11,0.1597,0.3833,0.149,0.6352,1.965,10.06,0,344.3,0.1655,1.897,0.11,0.1597,0.3833,0.149,0.6352,1.965,10.06,0,0,0,0,0,0,0,0,0,0,0,0,0,800.7,101.6,27.05,902,4.813,2.7,11.61,172.8,11.79,0,142.6,9.162,10.98,13.62,38.64,0.1812,0.02797,0.1275,0.1089,0.05864,4.82E-25,0,0,1.89E-04,0,0,0,0,0,0,0,0,5.95E-27,0,1.89E-30,9.54E-27,2.62E-26,1.12E-27,8.22E-27,2.98E-26,5.13E-28,3.77E-26,3.59E-26,1.43E-25,0,3.27E-39,1.92E-34,1.09E-32,1.43E-34,9.10E-35,6.22E-36,9.90E-39,3.89E-36,6.01E-36,8.06E-36,0,0,10010,0,0,0,0,0,0,0,0,1.00E-04,0,505.6,1727000,95310,59310,2.12E+07,36180,29970,29300,56250,26370,0,2.46E-38,2.07E-38,9.31E-38,7.46E-38,6.44E-39,1.29E-39,2.49E-40,6.66E-40,1.57E-39,2.47E-40,2.08E-35,0,0.3124,0.8894,1.538,0.957,0.1023,0.01742,0.002297,0.00537,0.009768,0.002404,0,0,4.79E-04,0.001224,0.001201,0.9923,8.99E-04,9.84E-04,2.87E-04,0.001886,6.92E-04,0,3.98E-05,0.01766,0.001864,0.001722,0.17,0.003354,5.60E-04,8.05E-04,0.001611,3.15E-04
0,0,1,0,0,0,0,0,0,0,0,0,1268,155.7,158.8,125,3.718,2.973,0.4342,0.8926,1.696,0.1683,0,344.3,0.1427,1.866,0.1034,0.2049,0.3714,0.1472,0.6104,1.446,10.62,0,344.3,0.1427,1.866,0.1034,0.2049,0.3714,0.1472,0.6104,1.446,10.62,0,0,0,0,0,0,0,0,0,0,0,0,0,837.6,114,26.5,873.1,4.961,2.235,11.1,181.1,1.584,0,142.6,9.029,7.226,13.81,41.42,0.1669,0.02824,0.06668,0.06756,0.02517,1.09E-24,0,0,2.86E-04,0,0,0,0,0,0,0,0,1.83E-26,0,1.68E-29,6.68E-26,1.85E-25,3.07E-27,3.92E-26,1.21E-25,9.01E-27,1.88E-25,1.56E-25,1.33E-24,0,3.39E-39,2.97E-33,6.24E-32,2.51E-33,5.59E-33,1.27E-34,3.01E-37,7.08E-35,1.24E-34,1.34E-34,0,0,9713,0,0,0,0,0,0,0,0,1.00E-04,0,557.3,1498000,155300,58040,2.03E+07,38610,25450,24670,53060,25110,0,2.46E-38,1.98E-38,8.97E-38,7.50E-38,9.71E-39,1.05E-39,2.52E-40,6.72E-40,1.61E-39,1.91E-40,2.08E-35,0,0.3124,0.8315,1.53,0.9618,0.1386,0.01468,0.002334,0.005559,0.01006,0.002144,0,0,4.83E-04,0.001234,0.001211,0.9923,9.06E-04,9.91E-04,2.90E-04,0.001901,6.98E-04,0,5.52E-05,0.01726,0.002005,0.001744,0.168,0.003349,5.44E-04,7.95E-04,0.00162,2.99E-04
0,0,1,0,0,0,0,0,0,0,0,0,1268,144.1,168.4,119.2,0.05063,3.719,0.4281,0.8354,1.726,0.1801,0,344.3,0.1592,1.897,0.1225,0.1382,1.083,0.1477,0.6113,1.463,9.882,0,344.3,0.1592,1.897,0.1225,0.1382,1.083,0.1477,0.6113,1.463,9.882,0,0,0,0,0,0,0,0,0,0,0,0,0,871.3,98.12,27.22,887.9,3.968,1.741,3.836,196.2,1.837,0,142.6,9.147,12.32,16.01,41.81,0.1993,0.03081,0.09209,0.08483,0.02799,1.78E-24,0,0,3.46E-04,1.12E-08,2.54E-09,0,0,0,0,0,0,3.74E-26,0,1.68E-29,2.51E-25,6.80E-25,1.69E-26,1.25E-25,5.24E-25,2.68E-26,6.45E-25,5.27E-25,3.92E-24,0,3.39E-39,1.54E-32,2.51E-31,3.02E-32,1.35E-32,7.31E-34,3.37E-37,2.80E-34,4.07E-34,5.19E-34,0,0,8966,0,0,0,0,0,0,0,0,6.05E-04,0,561.3,1254000,104000,62940,1.99E+07,38750,25060,25570,53170,24800,0,2.46E-38,1.97E-38,9.28E-38,7.45E-38,5.71E-39,1.83E-39,2.46E-40,6.13E-40,1.64E-39,1.84E-40,2.08E-35,0,0.3124,0.7845,1.613,0.9496,0.09567,0.02351,0.00229,0.005085,0.01012,0.002166,0,0,4.83E-04,0.001234,0.001211,0.9923,9.06E-04,9.91E-04,2.90E-04,0.001901,6.98E-04,0,5.52E-05,0.01597,0.001874,0.001752,0.168,0.00335,5.44E-04,7.98E-04,0.00163,3.27E-04
0,0,1,0,0,0,0,0,0,0,0,0,1260,156,163.8,120.3,0.05019,2.496,0.4256,0.8362,1.726,0.166,0,344.3,0.1456,1.939,0.1056,0.1316,0.345,0.1469,0.6093,1.463,10.61,0,344.3,0.1456,1.939,0.1056,0.1316,0.345,0.1469,0.6093,1.463,10.61,0,0,0,0,0,0,0,0,0,0,0,0,0,924.1,98.44,27.29,869.7,4.081,1.915,4.17,196.3,2.096,0,139.7,10.18,9.064,20.34,41.47,0.1898,0.03124,0.09189,0.08453,0.02861,3.08E-24,0,0,4.28E-04,4.21E-08,2.54E-09,0,0,0,0,0,0,8.98E-26,0,2.13E-28,7.04E-25,7.03E-24,4.74E-26,2.84E-25,1.29E-24,6.74E-26,1.43E-24,7.86E-25,1.26E-23,0,6.20E-39,1.77E-30,3.42E-29,2.39E-31,1.98E-32,2.77E-33,7.89E-37,6.85E-34,9.26E-34,1.29E-33,0,0,8363,0,0,0,0,0,0,0,0,1.00E-04,0,591.5,1060000,102500,62830,1.96E+07,38740,25400,26120,52900,25440,0,2.12E-38,1.97E-38,9.21E-38,7.53E-38,5.66E-39,1.01E-39,2.47E-40,6.10E-40,1.64E-39,1.75E-40,2.08E-35,0,0.2701,0.8296,1.599,0.9633,0.09516,0.01257,0.002285,0.005087,0.01012,0.002105,0,0,4.86E-04,0.001242,0.001218,0.9922,9.12E-04,9.97E-04,2.91E-04,0.001913,7.02E-04,0,6.71E-05,0.01502,0.001871,0.001762,0.1672,0.00337,5.48E-04,8.12E-04,0.001634,3.19E-04
0,0,1,0,0,0,0,0,0,0,0,0,1261,152.7,163,115.7,0.04987,2.496,0.4256,0.8329,1.73,0.1662,0,344.3,0.1311,1.908,0.126,0.1307,0.3446,0.1528,0.5801,1.488,10.61,0,344.3,0.1311,1.908,0.126,0.1307,0.3446,0.1528,0.5801,1.488,10.61,0,0,0,0,0,0,0,0,0,0,0,0,0,941.6,98.58,29.92,827.4,3.869,1.778,3.905,196.1,1.917,0,139.7,9.793,11.67,24.59,41.29,0.1847,0.03122,0.09224,0.08479,0.02856,4.91E-24,0,0,5.21E-04,4.90E-08,2.54E-09,0,0,0,0,0,0,1.65E-25,0,2.13E-28,1.43E-24,8.70E-23,2.56E-25,7.24E-25,1.90E-24,2.05E-25,2.20E-24,1.46E-24,3.57E-23,0,6.20E-39,4.33E-30,1.40E-27,7.72E-31,2.41E-32,6.70E-33,2.25E-36,1.32E-33,1.76E-33,2.60E-33,0,0,7956,0,0,0,0,0,0,0,0,1.01E-04,0,624.6,910600,99750,64170,1.96E+07,37670,25050,25060,52220,25140,0,2.21E-38,1.87E-38,9.16E-38,7.37E-38,5.64E-39,9.97E-40,2.46E-40,6.11E-40,1.63E-39,1.69E-40,2.08E-35,0,0.277,0.8076,1.609,0.9547,0.09496,0.01255,0.002285,0.005078,0.01013,0.002106,0,0,4.86E-04,0.001242,0.001218,0.9922,9.12E-04,9.97E-04,2.91E-04,0.001913,7.02E-04,0,7.66E-05,0.01438,0.001857,0.001773,0.167,0.003364,5.49E-04,8.11E-04,0.001631,3.19E-04
0,0,1,0,0,0,0,0,0,0,0,0,1262,158.8,149.8,120.1,0.0497,2.491,0.4258,0.8332,1.73,0.1666,0,344.3,0.1623,1.843,0.1561,0.1303,0.3407,0.1511,0.5836,1.487,10.61,0,344.3,0.1623,1.843,0.1561,0.1303,0.3407,0.1511,0.5836,1.487,10.61,0,0,0,0,0,0,0,0,0,0,0,0,0,980.1,101.7,30.55,789.5,3.801,1.711,3.841,196,1.842,0,139.7,10.69,9.378,25.54,41.06,0.1809,0.03099,0.08971,0.08305,0.02832,6.79E-24,0,0,5.54E-04,9.24E-08,2.54E-09,0,0,0,0,0,0,2.57E-25,0,3.26E-26,6.90E-24,3.33E-22,6.38E-25,1.48E-24,2.75E-24,3.59E-25,4.20E-24,2.31E-24,7.24E-23,0,1.56E-32,7.27E-28,4.96E-27,3.51E-30,2.68E-32,1.27E-32,4.64E-36,2.25E-33,2.96E-33,4.56E-33,0,0,7056,0,0,0,0,0,0,0,0,5.29E-04,0,709.4,757600,101900,64240,2.02E+07,37720,25710,24770,53070,25710,0,2.23E-38,1.93E-38,8.97E-38,7.41E-38,5.62E-39,9.90E-40,2.46E-40,6.09E-40,1.63E-39,1.62E-40,2.08E-35,0,0.2826,0.8448,1.531,0.9774,0.09474,0.01251,0.002285,0.005077,0.01013,0.002107,0,0,4.86E-04,0.001242,0.001218,0.9922,9.12E-04,9.97E-04,2.91E-04,0.001913,7.02E-04,0,9.36E-05,0.01299,0.001874,0.001759,0.167,0.003344,5.48E-04,8.14E-04,0.00163,3.20E-04
0,0,1,0,0,0,0,0,0,0,0,0,1261,164.2,148,113.8,0.04987,2.471,0.425,0.8338,1.729,0.1679,0,344.3,0.1761,1.848,0.1361,0.1301,0.3385,0.1525,0.5696,1.575,10.53,0,344.3,0.1761,1.848,0.1361,0.1301,0.3385,0.1525,0.5696,1.575,10.53,0,0,0,0,0,0,0,0,0,0,0,0,0,1020,101.9,31.94,785.5,3.738,1.675,3.759,195.9,1.797,0,138.2,10.93,10.85,28.83,39.37,0.1792,0.03075,0.0882,0.08206,0.02803,1.01E-23,0,0,6.83E-04,1.12E-07,2.54E-09,0,0,0,0,0,0,4.12E-25,0,3.54E-26,1.11E-23,8.45E-22,1.43E-24,2.57E-24,3.97E-24,6.20E-25,7.53E-24,4.39E-24,1.34E-22,0,1.57E-32,5.23E-28,1.37E-26,1.41E-29,5.24E-32,2.08E-32,9.04E-36,3.52E-33,4.58E-33,7.32E-33,0,0,6582,0,0,0,0,0,0,0,0,4.72E-04,0,2914,630500,104500,71040,2.13E+07,38450,26800,25070,54860,26690,0,2.08E-38,2.00E-38,8.90E-38,7.29E-38,6.31E-39,9.84E-40,2.45E-40,6.06E-40,1.63E-39,1.56E-40,2.08E-35,0,0.2798,0.8639,1.529,0.9516,0.09954,0.01246,0.00228,0.005078,0.01013,0.002111,0,0,4.86E-04,0.001242,0.001218,0.9922,9.12E-04,9.97E-04,2.91E-04,0.001913,7.02E-04,0,1.32E-04,0.01225,0.001878,0.001765,0.1669,0.003319,5.44E-04,8.21E-04,0.001621,3.21E-04
0,0,1,0,0,0,0,0,0,0,0,0,1261,163.3,141.9,106,3.228,5.299,0.4252,0.8766,1.782,0.2347,0,344.3,0.3518,1.896,0.1952,0.2045,0.2162,0.1525,0.5067,1.413,10.51,0,344.3,0.3518,1.896,0.1952,0.2045,0.2162,0.1525,0.5067,1.413,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,1025,99.52,37.27,789.5,4.267,1.66,3.999,196.1,2.22,0,138.2,10.91,10.8,39.84,33.98,0.2333,0.03048,0.09089,0.08697,0.03607,1.37E-23,0,0,7.60E-04,1.27E-07,2.68E-08,2.30E-08,0,0,0,0,0,6.42E-25,0,2.52E-25,1.97E-23,1.72E-21,4.34E-24,5.11E-24,5.25E-24,2.10E-24,1.32E-23,1.66E-23,2.42E-22,0,1.58E-32,5.66E-28,2.93E-26,4.05E-29,7.31E-31,1.92E-31,3.01E-35,5.66E-34,2.79E-32,1.07E-32,0,0,6077,0,0,0,0,0,0,0,0,6.35E-04,0,3038,552200,117500,74780,2.10E+07,38940,26720,25550,54520,27090,0,2.08E-38,2.04E-38,8.77E-38,7.00E-38,6.84E-39,2.19E-39,2.44E-40,6.08E-40,1.63E-39,1.58E-40,2.08E-35,0,0.2799,0.8711,1.482,0.9392,0.1154,0.03298,0.002281,0.005371,0.01049,0.002573,0,0,4.89E-04,0.001249,0.001226,0.9922,9.17E-04,0.001003,2.93E-04,0.001924,7.06E-04,0,1.49E-04,0.01151,0.001868,0.001732,0.1652,0.003323,5.44E-04,8.22E-04,0.001619,3.22E-04
