R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,bead1,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pepEn,pepMHCIEn,povaEn,protonEn,solubleMarker,volume,
1.1E-39,0.014,1900.0,4700.0,4700.0,3899999.9999999995,3500.0,3800.0,1100.0,7300.0,2700.0,0.16,3899999.9999999995,0.0,3.8E-5,0.033,0.033,0.0,520.0,8.8,0.0,0.0,0.0,0.0,2.0E7,1.0,7.4E8,
1.1E-39,0.014,1800.0,4700.0,4600.0,3899999.9999999995,3500.0,3800.0,1100.0,7200.0,2700.0,0.16,3899999.9999999995,0.0,4.1E-5,0.033,0.033,0.0,490.0,8.7,0.0,2.4E-28,1.8999999999999998E-39,0.0,1.9E7,1.0,7.2E8,
1.1E-39,0.014,1800.0,4700.0,4600.0,3799999.9999999995,3400.0,3800.0,1100.0,7200.0,2700.0,0.16,3799999.9999999995,0.0,4.3E-5,0.033,0.033,0.0,440.0,8.6,0.0,2.2000000000000002E-27,4.5E-38,0.0,1.8E7,1.0,7.1E8,
1.1E-39,0.014,1800.0,4700.0,4600.0,3799999.9999999995,3400.0,3800.0,1100.0,7200.0,2600.0,0.15,3799999.9999999995,0.0,4.5E-5,0.032,0.032,0.0,430.0,8.6,0.0,1.2E-26,3.3000000000000002E-37,0.0,1.7E7,1.0,6.9E8,
1.1E-39,0.014,1800.0,4700.0,4600.0,3799999.9999999995,3400.0,3800.0,1100.0,7200.0,2600.0,0.15,3799999.9999999995,0.0,4.7E-5,0.032,0.032,0.0,420.0,8.6,0.0,3.7E-26,1.2E-36,0.0,1.7E7,1.0,6.9E8,
1.1E-39,0.014,1800.0,4700.0,4600.0,3699999.9999999995,3400.0,3800.0,1100.0,7200.0,2600.0,0.15,3799999.9999999995,0.0,4.7E-5,0.032,0.032,0.0,390.0,8.5,0.0,9.8E-26,3.7E-36,0.0,1.7E7,1.0,6.8E8,
1.1E-39,0.014,1800.0,4700.0,4600.0,3699999.9999999995,3400.0,3800.0,1100.0,7200.0,2600.0,0.15,3799999.9999999995,0.0,4.7E-5,0.032,0.032,0.0,370.0,8.5,0.0,2.4E-25,9.700000000000001E-36,0.0,1.7E7,1.0,6.8E8,
1.1E-39,0.014,1800.0,4700.0,4600.0,3699999.9999999995,3400.0,3800.0,1100.0,7200.0,2600.0,0.15,3799999.9999999995,0.0,4.2E-5,0.032,0.032,0.0,340.0,8.5,0.0,4.8E-25,2.0E-35,0.0,1.8E7,1.0,6.8E8,
1.1E-39,0.014,1800.0,4700.0,4600.0,3699999.9999999995,3400.0,3800.0,1100.0,7200.0,2600.0,0.15,3799999.9999999995,0.0,3.6E-5,0.032,0.032,0.0,330.0,8.5,0.0,7.999999999999999E-25,3.2E-35,0.0,1.9E7,1.0,6.8E8,
1.1E-39,0.014,1800.0,4700.0,4600.0,3699999.9999999995,3400.0,3700.0,1100.0,7200.0,2600.0,0.15,3699999.9999999995,0.0,3.7E-5,0.032,0.032,0.0,320.0,8.5,0.0,1.2E-24,4.7E-35,0.0,1.8E7,1.0,6.8E8,
1.1E-39,0.014,1800.0,4700.0,4600.0,3699999.9999999995,3400.0,3700.0,1100.0,7200.0,2600.0,0.15,3699999.9999999995,0.0,3.7E-5,0.032,0.032,0.0,300.0,8.5,0.0,2.0E-24,7.699999999999999E-35,0.0,1.8E7,1.0,6.8E8,
1.1E-39,0.014,1800.0,4700.0,4600.0,3699999.9999999995,3400.0,3700.0,1100.0,7200.0,2600.0,0.15,3699999.9999999995,0.0,3.4E-5,0.032,0.032,0.0,300.0,8.5,0.0,3.0999999999999997E-24,1.2E-34,0.0,1.9E7,1.0,6.8E8,
1.1E-39,0.014,1800.0,4700.0,4600.0,3699999.9999999995,3400.0,3700.0,1100.0,7200.0,2600.0,0.15,3699999.9999999995,0.0,2.9E-5,0.032,0.032,0.0,300.0,8.5,0.0,4.5999999999999995E-24,1.6E-34,0.0,2.0E7,1.0,6.8E8,
1.1E-39,0.014,1800.0,4700.0,4600.0,3699999.9999999995,3400.0,3700.0,1100.0,7200.0,2600.0,0.15,3699999.9999999995,0.0,2.5E-5,0.032,0.032,0.0,300.0,8.5,0.0,6.499999999999999E-24,2.1E-34,0.0,2.1E7,1.0,6.8E8,
1.1E-39,0.014,1800.0,4700.0,4600.0,3699999.9999999995,3400.0,3700.0,1100.0,7200.0,2600.0,0.15,3699999.9999999995,0.0,2.1E-5,0.032,0.032,0.0,300.0,8.5,0.0,8.7E-24,2.4E-34,0.0,2.2E7,1.0,6.8E8,
1.1E-39,0.014,1800.0,4700.0,4600.0,3699999.9999999995,3400.0,3700.0,1100.0,7200.0,2600.0,0.15,3699999.9999999995,0.0,1.7E-5,0.032,0.032,0.0,300.0,8.5,0.0,1.1E-23,2.7E-34,0.0,2.4E7,1.0,6.8E8,
1.1E-39,0.014,1800.0,4700.0,4600.0,3699999.9999999995,3400.0,3700.0,1100.0,7200.0,2600.0,0.15,3699999.9999999995,0.0,1.5E-5,0.032,0.032,0.0,300.0,8.5,0.0,1.4000000000000002E-23,2.9E-34,0.0,2.5E7,1.0,6.8E8,
1.1E-39,0.014,1800.0,4700.0,4600.0,3699999.9999999995,3400.0,3700.0,1100.0,7200.0,2600.0,0.15,3699999.9999999995,0.0,1.5E-5,0.032,0.032,0.0,290.0,8.5,0.0,1.9E-23,3.2E-34,0.0,2.5E7,1.0,6.8E8,
1.1E-39,0.014,1800.0,4700.0,4600.0,3699999.9999999995,3400.0,3700.0,1100.0,7200.0,2600.0,0.15,3699999.9999999995,0.0,1.7E-5,0.032,0.032,0.0,290.0,8.5,0.0,3.5E-23,5.8E-34,0.0,2.4E7,1.0,6.8E8,
1.1E-39,0.014,1800.0,4700.0,4600.0,3699999.9999999995,3400.0,3700.0,1100.0,7200.0,2600.0,0.15,3699999.9999999995,0.0,1.8E-5,0.032,0.032,0.0,290.0,8.5,0.0,6.0E-23,1.1E-33,0.0,2.4E7,1.0,6.8E8,
1.1E-39,0.014,1800.0,4700.0,4600.0,3699999.9999999995,3400.0,3700.0,1100.0,7200.0,2600.0,0.15,3699999.9999999995,0.0,1.7E-5,0.032,0.032,0.0,290.0,8.5,0.0,9.4E-23,1.8E-33,0.0,2.4E7,1.0,6.8E8,
