R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,bead1,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pepEn,pepMHCIEn,povaEn,protonEn,solubleMarker,volume,
3.3E-39,0.06,2800.0,54000.0,3900.0,5200000.0,4200.0,480.0,330.0,3100.0,1100.0,0.15,5300000.0,0.0,3.9E-5,0.06,0.06,0.0,630.0,11.0,0.0,6.5E-28,3.2E-39,0.0,2.0E7,1.0,7.2E8,
6.3E-40,0.011,2700.0,3200.0,3900.0,4900000.0,4100.0,470.0,330.0,3000.0,1100.0,0.15,4900000.0,0.0,4.7E-5,0.032,0.032,0.0,610.0,10.0,0.0,4.6E-27,7.1E-38,0.0,1.9E7,1.0,7.2E8,
5.9999999999999996E-40,0.011,2700.0,3200.0,3800.0,4500000.0,4000.0,460.0,320.0,3000.0,1100.0,0.14,4500000.0,0.0,5.0E-5,0.03,0.03,0.0,600.0,9.5,0.0,2.2E-26,5.1E-37,0.0,1.8E7,1.0,7.2E8,
5.9E-40,0.011,2600.0,3100.0,3700.0,4300000.0,4000.0,460.0,320.0,2900.0,1000.0,0.14,4300000.0,0.0,5.2E-5,0.029,0.029,0.0,590.0,9.2,0.0,5.2E-26,1.5E-36,0.0,1.7E7,1.0,7.2E8,
5.6E-40,0.01,2600.0,3100.0,3700.0,3899999.9999999995,3900.0,450.0,310.0,2900.0,1000.0,0.14,3899999.9999999995,0.0,5.4E-5,0.027,0.027,0.0,570.0,8.7,0.0,9.6E-26,3.3E-36,0.0,1.7E7,1.0,7.2E8,
9.0E-39,0.081,3800.0,130000.0,11000.0,4800000.0,38000.0,6500.0,3300.0,2900.0,1000.0,0.14,5000000.0,0.0,8.9E-5,0.12,0.12,0.0,580.0,14.0,0.0,7.5E-25,1.9E-32,0.0,1.7E7,1.0,7.2E8,
7.4E-39,0.067,3800.0,110000.0,11000.0,4800000.0,37000.0,6400.0,3300.0,2900.0,1000.0,0.14,4900000.0,0.0,9.4E-5,0.099,0.099,0.0,540.0,14.0,0.0,1.5999999999999999E-24,7.100000000000001E-33,0.0,1.6E7,1.0,7.2E8,
5.2E-40,0.0046,3800.0,420.0,3300.0,4700000.0,4600.0,6300.0,3200.0,2800.0,1000.0,0.14,4700000.0,0.0,5.1E-5,0.034,0.034,0.0,510.0,7.0,0.0,2.0E-24,2.7E-34,0.0,1.6E7,1.0,7.2E8,
4.8E-40,0.0044,3700.0,410.0,3300.0,4200000.0,4500.0,6200.0,3200.0,2800.0,1000.0,0.13,4300000.0,0.0,5.0E-5,0.032,0.032,0.0,500.0,6.5,0.0,2.5999999999999996E-24,2.0E-34,0.0,1.6E7,1.0,7.2E8,
4.7E-40,0.0042,3700.0,400.0,3300.0,3999999.9999999995,4500.0,6200.0,3200.0,2800.0,980.0,0.13,3999999.9999999995,0.0,4.8E-5,0.03,0.03,0.0,460.0,6.3,0.0,3.7E-24,2.1E-34,0.0,1.6E7,1.0,7.2E8,
