cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI
0,1605,164.5,183.8,154.6,0.04902,5.632,0.2397,0.1645,0.9829,0.4028,0,343.6,0.1339,0.6699,0.6161,0.06901,0.1893,0.05927,0.08164,4.769,11.01,0,343.6,0.1339,0.6699,0.6161,0.06901,0.1893,0.05927,0.08164,4.769,11.01,0,0,0,0,0,0,0,0,0,0,0,0,0,270.6,90.88,37.71,794.2,165.2,3.317,3.693,30.57,4.163,0,45.19,6.712,11.05,64.07,39.95,0.1306,0.01362,0.01546,0.0119,0.01397,0,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-04,0,0,81620,58200,47750,2.23E+07,45540,21470,24240,13490,24790,0,4.68E-36,2.42E-36,1.37E-35,1.68E-35,8.85E-37,3.98E-37,1.25E-38,7.80E-39,4.85E-38,2.18E-38,2.08E-35,0,0.6631,1.194,3.006,1.58,0.1345,0.0437,0.003975,0.002625,0.01634,0.009706,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,1.00E-05,0.009344,0.008912,0.006466,0.2417,0.01391,0.001641,6.99E-04,0.005386,9.76E-04
0,1597,170.7,183.7,156.7,0.05363,4.916,0.2226,0.1615,0.979,0.4169,0,343.6,0.1332,0.6692,0.6049,0.07442,0.5892,0.05892,0.0821,4.772,10.6,0,343.6,0.1332,0.6692,0.6049,0.07442,0.5892,0.05892,0.0821,4.772,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,289.9,93.72,34.88,765.6,169.5,2.285,2.522,28.38,8.479,0,47.37,5.807,9.723,59.38,38.83,0.1216,0.01335,0.01526,0.01178,0.01378,0,0,4796000,4288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.51E-04,0,269.1,74670,51010,43880,2.14E+07,43910,20130,22760,13120,23670,0,4.38E-36,2.35E-36,1.52E-35,1.66E-35,8.31E-37,3.50E-37,1.04E-38,7.55E-39,4.73E-38,2.40E-38,2.08E-35,0,0.6158,1.223,3.108,1.568,0.1296,0.0314,0.003668,0.002573,0.01627,0.00987,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,9.66E-05,0.009296,0.008908,0.006357,0.2406,0.01385,0.001623,6.90E-04,0.00538,0.001051
0,1577,193.4,183.2,151.5,1.878,5.508,0.2739,0.187,0.9828,0.4119,0,343.6,0.1149,0.6659,0.5648,0.08292,0.1628,0.05934,0.07277,4.77,11.07,0,343.6,0.1149,0.6659,0.5648,0.08292,0.1628,0.05934,0.07277,4.77,11.07,0,0,0,0,0,0,0,0,0,0,0,0,0,293.7,98.72,31.61,747.2,170.5,2.735,2.93,29.47,4.334,0,47.65,5.616,9.102,55.82,39.46,0.1147,0.01325,0.01517,0.01175,0.01368,0,0,4784000,15460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.04E-04,0,572.7,76390,53460,48000,2.15E+07,43080,19730,22360,13030,23410,0,3.43E-36,2.35E-36,1.48E-35,1.60E-35,1.23E-36,3.92E-37,1.31E-38,9.47E-39,4.71E-38,2.20E-38,2.08E-35,0,0.4877,1.406,2.984,1.535,0.181,0.04199,0.004329,0.003025,0.01632,0.009701,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,1.96E-04,0.008221,0.009199,0.006229,0.2402,0.01384,0.00162,6.83E-04,0.005391,0.001007
0,1578,187.9,179.6,150.4,0.01476,4.682,0.2274,0.157,0.9672,0.4133,0,343.6,0.1652,0.7605,0.6279,0.1833,0.1948,0.06011,0.07213,4.76,10.69,0,343.6,0.1652,0.7605,0.6279,0.1833,0.1948,0.06011,0.07213,4.76,10.69,0,0,0,0,0,0,0,0,0,0,0,0,0,297.7,97.43,35.08,699.5,170.5,2.958,3.251,29.15,7.557,0,47.65,7.209,10.68,60.32,40.02,0.7079,0.01326,0.01519,0.01175,0.5841,0,0,4784000,15460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.63E-04,0,677.6,80730,51510,52930,2.19E+07,45880,19470,22140,13000,26720,0,3.44E-36,2.14E-36,1.42E-35,1.59E-35,1.26E-36,4.76E-37,1.06E-38,7.96E-39,4.58E-38,1.45E-37,2.08E-35,0,0.4952,1.36,2.926,1.547,0.1775,0.04368,0.003726,0.002641,0.01605,0.02162,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,2.26E-04,0.007827,0.007707,0.006382,0.2396,0.0143,0.001624,6.89E-04,0.005414,0.001525
0,1583,187.2,180,146.7,0.01403,4.663,0.2286,0.1577,0.967,0.4394,0,343.6,0.1153,0.7483,0.554,0.09082,0.1687,0.06044,0.07212,4.608,11.06,0,343.6,0.1153,0.7483,0.554,0.09082,0.1687,0.06044,0.07212,4.608,11.06,0,0,0,0,0,0,0,0,0,0,0,0,0,299.3,92.26,41.87,709.9,168.6,3.155,3.531,29.73,6.822,0,47.65,6.593,9.141,58.28,42,0.7874,0.01294,0.0149,0.01162,0.1478,0,0,4784000,15460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.75E-04,0,829.6,82240,46040,56390,2.30E+07,46180,19370,22160,12920,25500,0,3.53E-36,2.04E-36,1.43E-35,1.57E-35,1.09E-36,3.91E-37,9.46E-39,7.72E-39,4.47E-38,4.14E-38,2.08E-35,0,0.5431,1.345,2.948,1.497,0.1634,0.03858,0.003665,0.002632,0.01599,0.01193,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,3.86E-04,0.007716,0.006926,0.006585,0.2385,0.01407,0.001619,6.79E-04,0.005408,0.001339
0,1583,189.8,177.5,144.6,0.01403,6.534,0.229,0.1579,0.9674,0.4254,0,343.6,0.1227,0.7359,0.5446,0.09038,0.17,0.06041,0.07214,4.109,11.57,0,343.6,0.1227,0.7359,0.5446,0.09038,0.17,0.06041,0.07214,4.109,11.57,0,0,0,0,0,0,0,0,0,0,0,0,0,305,93.21,43.19,698.5,168.3,3.175,3.545,29.84,6.412,0,47.65,6.671,9.127,58.3,40.61,0.7846,0.01285,0.01481,0.0116,0.1477,0,0,4784000,15460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.82E-04,0,953.8,85410,48340,59430,2.43E+07,47220,20060,23040,13030,26420,0,3.57E-36,2.18E-36,1.41E-35,1.54E-35,1.05E-36,5.72E-37,9.36E-39,7.72E-39,4.44E-38,3.93E-38,2.08E-35,0,0.5482,1.368,2.922,1.476,0.159,0.05476,0.003672,0.002635,0.016,0.01157,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,4.84E-04,0.007708,0.006918,0.006497,0.2378,0.01394,0.001619,6.78E-04,0.005409,0.001294
0,1584,187.8,176.4,144.4,0.01597,6.268,0.2309,0.1587,0.969,0.4333,0,343.6,0.1039,0.7356,0.5109,0.0901,0.2027,0.0604,0.07361,4.078,11.6,0,343.6,0.1039,0.7356,0.5109,0.0901,0.2027,0.0604,0.07361,4.078,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,306.8,97.46,43.46,674.7,167.4,3.221,3.533,29.9,6.614,0,47.65,9.334,9.247,58.27,40.49,0.9515,0.01262,0.01455,0.01156,0.1475,0,0,4784000,15460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02E-04,0,1068,89910,47620,61520,2.41E+07,46930,19990,22940,12990,26370,0,3.61E-36,1.91E-36,1.42E-35,1.52E-35,1.04E-36,6.53E-37,9.42E-39,7.79E-39,4.43E-38,4.04E-38,2.08E-35,0,0.5532,1.348,2.922,1.468,0.1582,0.05585,0.00373,0.002653,0.01605,0.01176,0,0,2.52E-04,1.10E-04,8.24E-04,0.9961,0.001034,4.14E-04,5.43E-04,6.30E-05,6.60E-04,0,5.49E-04,0.007685,0.006968,0.006492,0.2345,0.01381,0.001603,6.69E-04,0.005415,0.001299
0,1584,185.7,170.9,135.7,0.01562,5.493,0.231,0.1588,0.9681,0.4335,0,343.6,0.1071,0.8094,0.394,0.09186,0.2155,0.06059,0.07176,4.071,11.61,0,343.6,0.1071,0.8094,0.394,0.09186,0.2155,0.06059,0.07176,4.071,11.61,0,0,0,0,0,0,0,0,0,0,0,0,0,302.9,104.8,39.7,655.4,167.4,3.166,3.472,29.85,6.566,0,47.65,2.879,7.962,82.56,36.08,0.7905,0.01238,0.01429,0.01152,0.1473,0,0,4784000,15340,111.2,7.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02E-04,0,1184,95080,50780,73780,2.35E+07,46660,19860,22740,12920,26140,0,3.66E-36,1.73E-36,1.40E-35,1.52E-35,1.00E-36,5.15E-37,9.29E-39,7.76E-39,4.38E-38,4.04E-38,2.08E-35,0,0.5583,1.316,2.865,1.531,0.1534,0.04677,0.00373,0.002653,0.01604,0.01176,0,0,2.52E-04,1.10E-04,8.24E-04,0.9961,0.001034,4.14E-04,5.43E-04,6.30E-05,6.60E-04,0,6.40E-04,0.007598,0.006881,0.006426,0.2331,0.01372,0.0016,6.57E-04,0.005411,0.001292
0,1586,183.7,169.5,135.9,0.0126,6.548,0.2046,0.1564,0.9884,0.4347,0,343.6,0.097,0.8223,0.3924,0.09268,0.2166,0.06166,0.09962,4.589,11.05,0,343.6,0.097,0.8223,0.3924,0.09268,0.2166,0.06166,0.09962,4.589,11.05,0,0,0,0,0,0,0,0,0,0,0,0,0,305.2,106.4,39.59,640.3,167.3,3.021,3.51,30.39,6.508,0,47.65,2.279,8.07,76.57,35.9,6.669,0.01238,0.01429,0.002228,0.1473,1.65E-16,0,4784000,15340,110.4,7.643,0,0,0,0,0,0,3.21E-18,0,6.01E-25,1.40E-17,9.32E-16,4.74E-19,2.29E-19,2.20E-19,2.42E-19,2.26E-19,1.65E-17,2.90E-17,0,6.90E-33,1.08E-25,1.77E-23,1.29E-26,6.36E-30,8.50E-28,2.22E-31,1.77E-30,2.19E-29,1.94E-28,1.00E-04,0,1512,98620,50780,72160,2.33E+07,48700,20290,23240,12880,26570,0,3.74E-36,1.72E-36,1.40E-35,1.45E-35,9.96E-37,9.75E-37,9.04E-39,7.87E-39,4.37E-38,4.04E-38,2.08E-35,0,0.582,1.289,2.867,1.486,0.1525,0.07936,0.003425,0.002625,0.01621,0.01176,0,0,2.53E-04,1.10E-04,8.27E-04,0.9961,0.001037,4.15E-04,5.45E-04,6.32E-05,6.62E-04,0,7.27E-04,0.00758,0.006897,0.006351,0.2316,0.01369,0.001602,6.79E-04,0.005353,0.001317
0,1586,183.5,169.1,141.7,0.01263,6.043,0.2302,0.1619,0.9938,0.4301,0,343.6,0.0914,0.7026,0.3531,0.2336,0.2242,0.05967,0.07406,1.823,13.86,0,343.6,0.0914,0.7026,0.3531,0.2336,0.2242,0.05967,0.07406,1.823,13.86,0,0,0,0,0,0,0,0,0,0,0,0,0,308,111,39.19,639.3,167.3,3.006,3.449,30.65,6.265,0,60.23,2.11,7.847,63.57,35.62,0.7171,0.01218,0.01405,0.002198,0.1471,3.52E-16,0,4784000,15340,110.4,7.643,0,0,0,0,0,0,1.81E-17,0,6.98E-20,2.16E-16,1.18E-14,4.03E-17,6.73E-18,7.04E-18,6.38E-18,1.16E-17,5.02E-16,1.05E-15,0,1.02E-23,8.50E-24,3.91E-22,4.05E-23,8.29E-27,1.29E-25,9.06E-30,6.54E-29,1.23E-27,8.97E-27,7.30E-04,0,1726,113500,280800,81020,2.21E+07,43090,17530,19740,12480,22670,0,3.81E-36,1.69E-36,1.34E-35,1.44E-35,1.90E-36,5.33E-37,9.31E-39,8.25E-39,4.37E-38,4.07E-38,2.08E-35,0,0.5942,1.286,2.778,1.497,0.231,0.05122,0.003726,0.002715,0.0163,0.01173,0,0,0.001155,0.01179,0.001407,0.9836,7.81E-04,3.13E-04,4.10E-04,4.76E-05,4.98E-04,0,8.46E-04,0.007728,0.008899,0.006288,0.228,0.0136,0.001577,6.43E-04,0.00537,0.001265
