R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pepEn,pepMHCIEn,protonEn,solubleMarker,volume,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,3.8E-5,0.031,0.031,0.0,460.0,8.6,0.0,0.0,0.0,1.9E7,1.0,7.0E8,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,3.7E-5,0.031,0.031,0.0,440.0,8.6,0.0,0.0,0.0,1.9E7,1.0,7.0E8,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,3.4E-5,0.031,0.031,0.0,400.0,8.6,0.0,0.0,0.0,2.0E7,1.0,7.0E8,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,2.9E-5,0.031,0.031,0.0,390.0,8.6,0.0,0.0,0.0,2.1E7,1.0,7.0E8,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,2.4E-5,0.031,0.031,0.0,370.0,8.6,0.0,0.0,0.0,2.2E7,1.0,7.0E8,
1.6E-37,0.0094,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,2.5E-5,0.031,0.031,0.0,350.0,8.5,0.0,0.0,0.0,2.2E7,1.0,7.0E8,
1.6E-37,0.0094,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,2.7E-5,0.031,0.031,0.0,320.0,8.5,0.0,0.0,0.0,2.1E7,1.0,7.0E8,
1.5E-37,0.0094,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3799999.9999999995,2.7E-5,0.031,0.031,0.0,300.0,8.5,0.0,1.5E-19,4.9999999999999995E-31,2.1E7,1.0,6.9E8,
1.2E-36,0.1,5800.0,59000.0,7100.0,4900000.0,3900.0,1600.0,2100.0,240.0,2500.0,0.19,5000000.0,1.4E-4,0.2,0.2,0.0,380.0,11.0,0.0,5.2E-18,5.2E-27,2.0E7,1.0,7.1E8,
2.2E-37,0.018,5700.0,1100.0,6900.0,4700000.0,3900.0,1500.0,2000.0,230.0,2500.0,0.19,4800000.0,4.4E-5,0.11,0.11,0.0,380.0,11.0,0.0,5.0E-17,1.3E-27,1.9E7,1.0,7.1E8,
2.2E-37,0.018,5700.0,1100.0,6900.0,4500000.0,3900.0,1500.0,2000.0,230.0,2500.0,0.19,4500000.0,4.7E-5,0.1,0.1,0.0,370.0,10.0,0.0,1.1E-16,3.0E-27,1.9E7,1.0,7.0E8,
3.9E-37,0.03,8500.0,15000.0,3500.0,4900000.0,3900.0,1500.0,2000.0,230.0,2500.0,0.19,5000000.0,4.0E-5,0.13,0.13,0.0,370.0,4.5,0.0,3.5E-16,1.7E-23,1.8E7,1.0,7.1E8,
1.4E-37,0.011,930.0,260.0,3500.0,4600000.0,3900.0,1500.0,2000.0,230.0,2500.0,0.19,4600000.0,2.2E-5,0.1,0.1,0.0,370.0,4.4,0.0,3.9E-16,5.0E-24,1.8E7,1.0,7.1E8,
1.5E-37,0.017,2100.0,3500.0,4800.0,5000000.0,3900.0,3300.0,2000.0,230.0,6100.0,0.19,5000000.0,4.8E-5,0.14,0.14,0.0,420.0,8.5,0.0,1.8E-15,7.399999999999999E-25,1.7E7,1.0,7.1E8,
1.4E-37,0.016,2100.0,3500.0,4800.0,4500000.0,3900.0,3300.0,2000.0,230.0,6100.0,0.19,4500000.0,4.8E-5,0.14,0.14,0.0,410.0,8.0,0.0,2.0E-15,5.099999999999999E-25,1.7E7,1.0,7.1E8,
1.3000000000000001E-37,0.016,2100.0,3500.0,4800.0,3999999.9999999995,3800.0,3300.0,2000.0,230.0,6100.0,0.19,3999999.9999999995,4.7E-5,0.13,0.13,0.0,420.0,7.6,0.0,2.2E-15,3.8E-25,1.7E7,1.0,7.0E8,
1.3000000000000001E-37,0.015,2100.0,3500.0,4800.0,3799999.9999999995,3800.0,3300.0,2000.0,230.0,6100.0,0.19,3799999.9999999995,4.7E-5,0.13,0.13,0.0,420.0,7.5,0.0,2.8E-15,2.4E-25,1.6E7,1.0,7.0E8,
1.3000000000000001E-37,0.015,2100.0,3500.0,4800.0,3799999.9999999995,3800.0,3300.0,2000.0,230.0,6100.0,0.19,3799999.9999999995,4.4E-5,0.13,0.13,0.0,420.0,7.5,0.0,3.9E-15,2.3E-25,1.7E7,1.0,7.0E8,
1.3000000000000001E-37,0.015,2100.0,3500.0,4800.0,3799999.9999999995,3800.0,3300.0,2000.0,230.0,6100.0,0.19,3799999.9999999995,3.8E-5,0.13,0.13,0.0,420.0,7.5,0.0,5.3E-15,2.6E-25,1.8E7,1.0,7.0E8,
1.3000000000000001E-37,0.015,2100.0,3500.0,4800.0,3799999.9999999995,3800.0,3300.0,2000.0,230.0,6100.0,0.19,3799999.9999999995,3.2E-5,0.13,0.13,0.0,420.0,7.5,0.0,7.0E-15,2.9E-25,1.9E7,1.0,7.0E8,
1.3000000000000001E-37,0.015,2100.0,3500.0,4800.0,3799999.9999999995,3800.0,3300.0,2000.0,230.0,6100.0,0.19,3799999.9999999995,2.6E-5,0.13,0.13,0.0,410.0,7.5,0.0,9.0E-15,3.1999999999999997E-25,2.0E7,1.0,7.0E8,
1.3000000000000001E-37,0.015,2100.0,3500.0,4800.0,3799999.9999999995,3800.0,3300.0,2000.0,230.0,6100.0,0.19,3799999.9999999995,2.1E-5,0.13,0.13,0.0,410.0,7.5,0.0,1.1E-14,3.3E-25,2.2E7,1.0,7.0E8,
1.3000000000000001E-37,0.015,2100.0,3500.0,4800.0,3799999.9999999995,3800.0,3300.0,2000.0,230.0,6100.0,0.19,3799999.9999999995,1.8E-5,0.13,0.13,0.0,410.0,7.5,0.0,1.4E-14,3.4E-25,2.3E7,1.0,7.0E8,
1.3000000000000001E-37,0.015,2100.0,3500.0,4800.0,3799999.9999999995,3800.0,3300.0,2000.0,230.0,6100.0,0.19,3799999.9999999995,1.5E-5,0.13,0.13,0.0,410.0,7.5,0.0,1.6E-14,3.4E-25,2.5E7,1.0,7.0E8,
1.3000000000000001E-37,0.015,2100.0,3500.0,4800.0,3799999.9999999995,3800.0,3300.0,2000.0,230.0,6100.0,0.19,3799999.9999999995,1.5E-5,0.13,0.13,0.0,400.0,7.5,0.0,2.0E-14,3.6E-25,2.5E7,1.0,7.0E8,
1.3000000000000001E-37,0.015,2100.0,3500.0,4800.0,3799999.9999999995,3800.0,3300.0,2000.0,230.0,6100.0,0.19,3799999.9999999995,1.7E-5,0.13,0.13,0.0,400.0,7.5,0.0,2.4E-14,4.8E-25,2.4E7,1.0,7.0E8,
1.3000000000000001E-37,0.015,2100.0,3500.0,4800.0,3799999.9999999995,3800.0,3300.0,2000.0,230.0,6100.0,0.19,3799999.9999999995,1.8E-5,0.13,0.13,0.0,400.0,7.5,0.0,2.9E-14,6.2E-25,2.4E7,1.0,7.0E8,
8.7E-37,0.14,390.0,82000.0,3800.0,5000000.0,7600.0,3300.0,2000.0,230.0,6100.0,0.19,5100000.0,3.1,0.27,0.27,0.0,440.0,9.1,0.0,7.7E-14,6.1E-20,2.5E7,1.0,7.2E8,
6.0E-37,0.099,390.0,54000.0,3800.0,5000000.0,9.1,3300.0,2000.0,230.0,6000.0,0.19,5000000.0,3.0E-5,0.23,0.23,0.0,440.0,11.0,0.0,8.7E-14,1.6E-20,2.3E7,1.0,7.2E8,
1.2E-37,0.02,390.0,4100.0,3800.0,4700000.0,9.1,3300.0,2000.0,230.0,6000.0,0.19,4700000.0,3.1E-5,0.15,0.15,0.0,440.0,11.0,0.0,9.0E-14,2.1E-21,2.2E7,1.0,7.2E8,
