RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
4647000.0,2434000.0,1406000.0,7412000.0,4033000.0,1065000.0,372700.0,4892000.0,1386000.0,2400000.0,2400000.0,
4680000.0,2409000.0,1403000.0,7353000.0,4013000.0,1065000.0,372600.0,4892000.0,1441000.0,9843000.0,9775000.0,
4970000.0,2394000.0,1400000.0,7341000.0,3989000.0,1065000.0,372600.0,4892000.0,1578000.0,9755000.0,9473000.0,
4945000.0,2356000.0,1391000.0,7302000.0,3973000.0,1065000.0,372600.0,4892000.0,1699000.0,9633000.0,9496000.0,
4937000.0,2350000.0,1380000.0,7171000.0,3903000.0,1065000.0,372400.0,4892000.0,1823000.0,9507000.0,9561000.0,
4910000.0,2346000.0,1379000.0,7094000.0,3845000.0,1065000.0,372400.0,4892000.0,1823000.0,9603000.0,9619000.0,
4895000.0,2331000.0,1378000.0,7065000.0,3820000.0,1065000.0,372300.0,4892000.0,1823000.0,9651000.0,9644000.0,
4882000.0,2316000.0,1368000.0,7018000.0,3783000.0,1065000.0,372100.0,4892000.0,1822000.0,9699000.0,9682000.0,
4846000.0,2306000.0,1368000.0,6943000.0,3770000.0,1065000.0,372100.0,4892000.0,1822000.0,9699000.0,9719000.0,
4819000.0,2295000.0,1368000.0,6788000.0,3741000.0,1065000.0,372000.0,4892000.0,1822000.0,9747000.0,9761000.0,
4875000.0,2287000.0,1367000.0,6699000.0,3741000.0,1065000.0,372000.0,4892000.0,1910000.0,9708000.0,9678000.0,
4870000.0,2287000.0,1367000.0,6694000.0,3699000.0,1063000.0,372000.0,4892000.0,1910000.0,9757000.0,9721000.0,
4929000.0,2287000.0,1367000.0,6694000.0,3672000.0,1062000.0,372000.0,4892000.0,2015000.0,9652000.0,9691000.0,
5100000.0,2277000.0,1366000.0,6689000.0,3672000.0,1062000.0,372000.0,4892000.0,2076000.0,9639000.0,9505000.0,
5060000.0,2268000.0,1366000.0,6667000.0,3620000.0,1062000.0,372000.0,4892000.0,2191000.0,9524000.0,9578000.0,
5161000.0,2268000.0,1366000.0,6652000.0,3552000.0,1062000.0,372000.0,4892000.0,2191000.0,9524000.0,9525000.0,
5155000.0,2258000.0,1366000.0,6602000.0,3552000.0,1062000.0,372000.0,4892000.0,2191000.0,9668000.0,9525000.0,
5122000.0,2250000.0,1366000.0,6588000.0,3552000.0,1062000.0,372000.0,4892000.0,2279000.0,9579000.0,9525000.0,
5080000.0,2249000.0,1366000.0,6568000.0,3532000.0,1062000.0,372000.0,4892000.0,2279000.0,9579000.0,9569000.0,
5065000.0,2249000.0,1366000.0,6568000.0,3511000.0,1062000.0,372000.0,4892000.0,2454000.0,9452000.0,9589000.0,
5026000.0,2249000.0,1366000.0,6558000.0,3511000.0,1062000.0,372000.0,4892000.0,2454000.0,9452000.0,9613000.0,
5007000.0,2245000.0,1364000.0,6553000.0,3488000.0,1062000.0,372000.0,4892000.0,2454000.0,9452000.0,9637000.0,
4992000.0,2245000.0,1364000.0,6548000.0,3488000.0,1062000.0,371900.0,4892000.0,2454000.0,9499000.0,9637000.0,
4983000.0,2244000.0,1363000.0,6523000.0,3446000.0,1062000.0,371900.0,4892000.0,2454000.0,9499000.0,9679000.0,
4964000.0,2243000.0,1348000.0,6488000.0,3446000.0,1062000.0,371900.0,4892000.0,2454000.0,9547000.0,9693000.0,
4924000.0,2243000.0,1348000.0,6463000.0,3433000.0,1062000.0,371900.0,4892000.0,2454000.0,9547000.0,9725000.0,
4970000.0,2243000.0,1348000.0,6438000.0,3419000.0,1062000.0,371900.0,4892000.0,2454000.0,9547000.0,9679000.0,
5124000.0,2243000.0,1348000.0,6418000.0,3419000.0,1062000.0,371900.0,4892000.0,2454000.0,9547000.0,9519000.0,
5106000.0,2241000.0,1348000.0,6408000.0,3383000.0,1056000.0,370400.0,4892000.0,2454000.0,9595000.0,9563000.0,
5081000.0,2235000.0,1348000.0,6400000.0,3368000.0,1056000.0,370400.0,4892000.0,2454000.0,9739000.0,9578000.0,
5109000.0,2233000.0,1346000.0,6391000.0,3330000.0,1056000.0,370400.0,4892000.0,2546000.0,9646000.0,9571000.0,
5087000.0,2236000.0,1349000.0,6367000.0,3315000.0,1048000.0,382500.0,4911000.0,2515000.0,9646000.0,9593000.0,
5055000.0,2224000.0,1351000.0,6369000.0,3290000.0,1077000.0,353900.0,4970000.0,2456000.0,9743000.0,9618000.0,
5013000.0,2218000.0,1356000.0,6337000.0,3283000.0,1085000.0,345800.0,4977000.0,2443000.0,9792000.0,9630000.0,
4988000.0,2225000.0,1360000.0,6312000.0,3259000.0,1085000.0,357900.0,5004000.0,2404000.0,9792000.0,9653000.0,
5028000.0,2237000.0,1361000.0,6339000.0,3237000.0,1085000.0,357900.0,5153000.0,2484000.0,9709000.0,9589000.0,
5163000.0,2250000.0,1364000.0,6349000.0,3189000.0,1079000.0,369900.0,5161000.0,2595000.0,9579000.0,9444000.0,
5137000.0,2246000.0,1364000.0,6333000.0,3189000.0,1079000.0,388000.0,5199000.0,2539000.0,9579000.0,9444000.0,
5098000.0,2253000.0,1370000.0,6329000.0,3166000.0,1119000.0,353400.0,5267000.0,2465000.0,9579000.0,9467000.0,
5072000.0,2248000.0,1375000.0,6329000.0,3136000.0,1119000.0,371500.0,5249000.0,2465000.0,9627000.0,9497000.0,
5034000.0,2247000.0,1377000.0,6331000.0,3126000.0,1107000.0,376000.0,5315000.0,2467000.0,9649000.0,9522000.0,
5028000.0,2245000.0,1380000.0,6331000.0,3103000.0,1107000.0,400200.0,5376000.0,2415000.0,9615000.0,9544000.0,
