cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI
0,1605,164.3,183.5,154.6,0.04902,5.632,0.2397,0.1645,0.9829,0.4028,0,343.6,0.1337,0.6697,0.6161,0.06901,0.1893,0.05927,0.08164,4.769,11.01,0,343.6,0.1337,0.6697,0.6161,0.06901,0.1893,0.05927,0.08164,4.769,11.01,0,0,0,0,0,0,0,0,0,0,0,0,0,271,91.5,37.74,794.2,165.2,3.317,3.693,30.57,4.163,0,45.19,6.712,11.05,64.07,39.95,0.1306,0.01362,0.01546,0.0119,0.01397,0,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-04,0,0,81620,58190,47740,2.23E+07,45530,21460,24230,13490,24780,0,4.68E-36,2.41E-36,1.37E-35,1.68E-35,8.85E-37,3.98E-37,1.25E-38,7.80E-39,4.85E-38,2.18E-38,2.08E-35,0,0.6631,1.192,3.002,1.579,0.1345,0.0437,0.003975,0.002625,0.01634,0.009706,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,1.00E-05,0.009344,0.008912,0.006466,0.2416,0.01391,0.001641,6.99E-04,0.005386,9.76E-04
0,1606,160.7,181.4,158.8,0.05157,4.896,0.2864,0.1835,0.9811,0.428,0,343.6,0.1397,0.6828,0.5787,0.07031,0.1927,0.05723,0.085,4.76,11.01,0,343.6,0.1397,0.6828,0.5787,0.07031,0.1927,0.05723,0.085,4.76,11.01,0,0,0,0,0,0,0,0,0,0,0,0,0,299.4,94.27,38.76,764.9,165.1,3.247,3.789,29.64,4.163,0,48.28,5.901,9.428,62.15,34.79,0.1186,0.02124,0.01556,0.01451,0.01486,0,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.79E-04,0,365.5,78690,74400,41480,2.12E+07,37950,18390,20390,12920,20500,0,4.89E-36,2.29E-36,1.51E-35,1.66E-35,7.66E-37,3.49E-37,1.42E-38,9.13E-39,4.84E-38,2.32E-38,2.08E-35,0,0.6872,1.146,3.049,1.605,0.1264,0.0313,0.004143,0.002821,0.01616,0.009921,0,0,4.50E-04,5.91E-04,5.82E-04,0.9964,7.56E-04,3.03E-04,3.97E-04,4.61E-05,4.83E-04,0,1.03E-04,0.009337,0.008844,0.00637,0.2387,0.01382,0.001627,6.96E-04,0.005416,9.45E-04
0,1612,158.7,180.4,153,0.04934,6.596,0.2911,0.1786,1.002,0.427,0,343.6,0.138,0.6822,0.5673,0.06769,0.1997,0.05639,0.0814,4.507,11.28,0,343.6,0.138,0.6822,0.5673,0.06769,0.1997,0.05639,0.0814,4.507,11.28,0,0,0,0,0,0,0,0,0,0,0,0,0,306.7,94.74,38.7,771.8,165,3.16,3.466,30.6,3.986,0,48.66,5.557,8.84,61.64,33.98,0.1115,0.01534,0.01409,0.01264,0.01259,0,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.54E-04,0,603.7,76100,67940,40240,2.04E+07,37350,17960,20050,12700,20450,0,5.15E-36,2.28E-36,1.50E-35,1.60E-35,7.49E-37,6.30E-37,1.40E-38,8.80E-39,4.88E-38,2.30E-38,2.08E-35,0,0.7373,1.132,3.033,1.554,0.1243,0.04716,0.004121,0.002716,0.01649,0.009862,0,0,5.02E-04,6.60E-04,6.49E-04,0.996,8.44E-04,3.38E-04,4.43E-04,5.14E-05,5.39E-04,0,1.83E-04,0.009328,0.008852,0.006321,0.236,0.01382,0.001623,7.03E-04,0.005405,9.50E-04
0,1612,154.8,180.5,154.9,0.04932,4.88,0.3004,0.1769,1,0.4262,0,343.6,0.1379,0.6821,0.5556,0.06706,0.2142,0.05798,0.07986,4.462,11.32,0,343.6,0.1379,0.6821,0.5556,0.06706,0.2142,0.05798,0.07986,4.462,11.32,0,0,0,0,0,0,0,0,0,0,0,0,0,317.6,94.68,38.73,740.1,165,3.111,3.413,30.59,3.945,0,48.66,5.449,8.682,61.16,33.98,0.1054,0.01343,0.01351,0.01206,0.01181,0,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-04,0,634.9,74450,64510,40110,1.97E+07,36850,17600,19720,12600,20320,0,5.15E-36,2.28E-36,1.50E-35,1.62E-35,7.35E-37,3.48E-37,1.39E-38,8.81E-39,4.83E-38,2.30E-38,2.08E-35,0,0.7374,1.112,3.033,1.57,0.1238,0.03127,0.004121,0.002716,0.01649,0.009861,0,0,5.42E-04,7.12E-04,7.01E-04,0.9957,9.11E-04,3.65E-04,4.79E-04,5.55E-05,5.81E-04,0,2.20E-04,0.009276,0.008848,0.006299,0.2319,0.01375,0.001626,7.07E-04,0.005407,9.53E-04
0,1609,157.9,176.5,153.7,0.0519,6.747,0.3026,0.1772,1,0.473,0,343.6,0.135,0.7199,0.5444,0.067,0.2117,0.05857,0.08418,4.349,11.4,0,343.6,0.135,0.7199,0.5444,0.067,0.2117,0.05857,0.08418,4.349,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,318.3,94.59,39.39,741.4,165,3.182,3.512,29.8,4.045,0,48.32,5.509,10.18,61.87,34.75,0.103,0.01276,0.01332,0.01189,0.01175,0,0,4799000,1199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.16E-04,0,681.3,77580,66480,42410,1.91E+07,37160,17700,19890,12620,20650,0,4.92E-36,2.21E-36,1.49E-35,1.58E-35,8.00E-37,6.85E-37,1.39E-38,8.89E-39,5.19E-38,4.06E-38,2.08E-35,0,0.7077,1.136,2.997,1.573,0.1323,0.04883,0.00415,0.002754,0.01734,0.01404,0,0,5.84E-04,7.67E-04,7.55E-04,0.9953,9.81E-04,3.93E-04,5.16E-04,5.98E-05,6.26E-04,0,2.36E-04,0.009257,0.008771,0.00632,0.229,0.01375,0.001628,7.07E-04,0.005423,0.001004
0,1610,158.3,176.8,153,0.06281,5.182,0.3031,0.1772,1,0.4732,0,343.6,0.1428,0.7198,0.5356,0.06619,0.2106,0.05881,0.08403,4.349,11.4,0,343.6,0.1428,0.7198,0.5356,0.06619,0.2106,0.05881,0.08403,4.349,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,318.4,96.08,40.15,717.2,165,3.123,3.445,29.79,3.989,0,48.32,5.571,10.17,61.78,34.43,0.1017,0.01247,0.0132,0.01179,0.01144,0,0,4799000,1199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-04,0,813.8,79410,64880,43510,1.88E+07,36770,17490,19650,12660,20410,0,4.96E-36,2.43E-36,1.49E-35,1.56E-35,7.80E-37,4.10E-37,1.38E-38,8.86E-39,5.14E-38,4.04E-38,2.08E-35,0,0.7256,1.142,2.995,1.558,0.1303,0.03453,0.004151,0.002755,0.01734,0.01404,0,0,5.87E-04,7.72E-04,7.59E-04,0.9953,9.87E-04,3.95E-04,5.19E-04,6.01E-05,6.30E-04,0,3.53E-04,0.009204,0.008624,0.006517,0.2279,0.01365,0.001634,7.07E-04,0.005422,0.001005
0,1612,156.7,177.3,150.2,0.06194,6.261,0.3031,0.1773,1,0.4733,0,343.6,0.1364,0.7295,0.5143,0.06577,0.2236,0.05917,0.08386,4.349,11.4,0,343.6,0.1364,0.7295,0.5143,0.06577,0.2236,0.05917,0.08386,4.349,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,318.6,96.48,39.47,693.6,164.9,3.079,3.396,29.78,3.946,0,48.32,5.623,10.15,61.73,34.32,0.212,0.01234,0.01312,0.01179,0.01138,0,0,4799000,1199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-04,0,1121,81770,63570,44520,1.92E+07,36470,17050,19200,12520,20170,0,4.98E-36,2.19E-36,1.49E-35,1.54E-35,7.73E-37,6.33E-37,1.36E-38,8.82E-39,5.08E-38,4.02E-38,2.08E-35,0,0.7468,1.127,3,1.531,0.1295,0.05024,0.004151,0.002755,0.01734,0.01404,0,0,5.87E-04,7.72E-04,7.59E-04,0.9953,9.87E-04,3.95E-04,5.19E-04,6.01E-05,6.30E-04,0,7.44E-04,0.009167,0.008627,0.006486,0.2267,0.0133,0.001634,7.00E-04,0.005419,0.001001
0,1612,155.9,172.5,142.9,0.05923,5.894,0.3021,0.1813,1.017,0.4789,0,343.6,0.1405,0.796,0.4407,0.0711,0.23,0.05935,0.08033,4.036,11.7,0,343.6,0.1405,0.796,0.4407,0.0711,0.23,0.05935,0.08033,4.036,11.7,0,0,0,0,0,0,0,0,0,0,0,0,0,317,101.5,38.44,689.8,164.9,3.035,3.453,30.26,3.807,0,48.32,5.517,7.317,73.47,37.63,0.0778,0.01679,0.01892,0.003212,0.01844,0,0,4799000,1199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.38E-04,0,1239,82730,181200,66160,1.88E+07,32150,15040,16690,12130,17300,0,4.98E-36,2.29E-36,1.47E-35,1.53E-35,9.37E-37,5.39E-37,1.36E-38,9.54E-39,5.03E-38,4.20E-38,2.08E-35,0,0.7469,1.129,2.946,1.543,0.1623,0.04238,0.004167,0.00294,0.01736,0.01455,0,0,5.68E-04,0.008046,0.002175,0.9872,7.48E-04,3.00E-04,3.93E-04,4.56E-05,4.77E-04,0,8.61E-04,0.009132,0.009895,0.006657,0.222,0.01315,0.001607,6.97E-04,0.005397,9.76E-04
0,1608,152.2,178.3,144.1,0.06135,4.326,0.3068,0.1866,0.9906,0.4844,0,343.6,0.1314,0.9186,0.3573,0.05472,0.2206,0.0602,0.08269,3.686,12.04,0,343.6,0.1314,0.9186,0.3573,0.05472,0.2206,0.0602,0.08269,3.686,12.04,0,0,0,0,0,0,0,0,0,0,0,0,0,320.7,98.57,38.16,670.8,165,3.118,3.401,29.51,3.899,0,60.52,5.5,8.892,71.86,27.41,0.07258,0.0137,0.01485,0.002795,0.01365,0,0,4797000,3413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-04,0,1484,85280,65590,42590,1.83E+07,32870,15060,16800,12160,17670,0,4.74E-36,2.14E-36,1.51E-35,1.54E-35,5.50E-37,2.74E-37,1.35E-38,1.06E-38,4.61E-38,4.26E-38,2.08E-35,0,0.7251,1.123,3.034,1.572,0.0864,0.02771,0.004185,0.003215,0.01626,0.01477,0,0,6.38E-04,0.001062,7.32E-04,0.9954,8.40E-04,3.36E-04,4.41E-04,5.12E-05,5.36E-04,0,9.85E-04,0.009146,0.008697,0.006339,0.2211,0.01307,0.001604,6.96E-04,0.005444,9.84E-04
0,1611,155,176.4,141.6,0.06153,5.753,0.3081,0.1869,0.99,0.4847,0,343.6,0.1367,0.8548,0.409,0.05369,0.2229,0.06029,0.08266,3.686,12.04,0,343.6,0.1367,0.8548,0.409,0.05369,0.2229,0.06029,0.08266,3.686,12.04,0,0,0,0,0,0,0,0,0,0,0,0,0,322.7,102.8,37.97,664.9,165,3.087,3.366,29.47,3.871,0,60.52,5.417,6.927,70.82,27.02,0.06505,0.01348,0.01464,0.002698,0.01344,0,0,4797000,3413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.86E-04,0,1591,81520,61730,42180,1.80E+07,32110,14810,16530,12040,17480,0,4.83E-36,2.30E-36,1.49E-35,1.48E-35,5.36E-37,5.41E-37,1.33E-38,1.05E-38,4.58E-38,4.21E-38,2.08E-35,0,0.7485,1.161,2.96,1.558,0.08455,0.04052,0.004188,0.003208,0.01625,0.01479,0,0,6.55E-04,0.001089,7.51E-04,0.9952,8.62E-04,3.45E-04,4.53E-04,5.25E-05,5.50E-04,0,0.001115,0.009018,0.008816,0.006284,0.2185,0.01297,0.001605,6.89E-04,0.005443,9.80E-04
