entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
2.099,0.1606,0.09804,0.0513,0.02968,0.1565,0.08512,0.02249,0.007867,0.1033,0.02925,0.2079,0.2087,
2.097,0.1525,0.09517,0.0507,0.02939,0.1559,0.08556,0.0226,0.007907,0.1038,0.0294,0.209,0.2106,
2.096,0.1544,0.09469,0.05081,0.02948,0.1519,0.08569,0.02268,0.007933,0.1041,0.0295,0.2118,0.2115,
2.096,0.1441,0.0939,0.05102,0.0296,0.1495,0.08554,0.02277,0.007963,0.1046,0.02962,0.2127,0.2128,
2.098,0.1436,0.09539,0.05112,0.02931,0.1471,0.08564,0.02284,0.007986,0.1049,0.03053,0.2125,0.2127,
2.097,0.1426,0.09535,0.05106,0.0293,0.146,0.08466,0.02284,0.007986,0.1049,0.03053,0.2136,0.2138,
2.093,0.1421,0.09495,0.05105,0.02929,0.1451,0.08119,0.02284,0.007984,0.1049,0.03053,0.2146,0.2176,
2.09,0.1613,0.09456,0.05089,0.02927,0.1427,0.08003,0.02282,0.007988,0.1049,0.03054,0.2169,0.2193,
2.092,0.1382,0.09624,0.05101,0.02934,0.1409,0.07923,0.02288,0.008006,0.1052,0.03113,0.217,0.2191,
2.091,0.1437,0.09614,0.05096,0.02931,0.1383,0.07877,0.02296,0.008034,0.1056,0.03125,0.2178,0.2209,
2.09,0.1413,0.09607,0.05089,0.02937,0.1365,0.07806,0.02299,0.008055,0.1059,0.03133,0.2184,0.2225,
2.088,0.1477,0.09583,0.05083,0.02934,0.1362,0.07762,0.02297,0.008048,0.1058,0.0313,0.2193,0.2228,
2.097,0.1448,0.1013,0.05084,0.02935,0.1359,0.07634,0.02298,0.008052,0.1059,0.0341,0.2166,0.2186,
2.094,0.1383,0.1007,0.05073,0.0293,0.1354,0.07468,0.02295,0.008041,0.1057,0.03406,0.2185,0.2199,
2.092,0.1402,0.1004,0.05073,0.02886,0.1352,0.07417,0.02296,0.008043,0.1058,0.03406,0.2186,0.2212,
2.092,0.1438,0.1003,0.05063,0.02886,0.1352,0.07391,0.02296,0.008045,0.1058,0.03407,0.2186,0.2216,
2.09,0.1344,0.09982,0.05061,0.02887,0.1352,0.07256,0.02294,0.008047,0.1058,0.03408,0.2187,0.2234,
2.096,0.1322,0.1048,0.05055,0.02884,0.135,0.07222,0.02292,0.00804,0.1057,0.03604,0.2176,0.2182,
2.096,0.131,0.1046,0.05056,0.02884,0.135,0.07149,0.02293,0.008044,0.1058,0.03606,0.2177,0.2191,
2.094,0.1296,0.1045,0.05057,0.02885,0.1347,0.07033,0.02294,0.008047,0.1058,0.03607,0.2178,0.2203,
2.092,0.1334,0.1044,0.0506,0.02855,0.1344,0.06945,0.02295,0.008053,0.1059,0.0361,0.2179,0.2217,
2.089,0.1444,0.104,0.05056,0.02854,0.134,0.06701,0.02278,0.008048,0.1058,0.03608,0.2189,0.2242,
2.094,0.136,0.1052,0.05042,0.02851,0.1339,0.06669,0.02276,0.008043,0.1058,0.03919,0.2167,0.2228,
2.093,0.1323,0.1048,0.05032,0.02846,0.1337,0.06656,0.02272,0.008027,0.1056,0.03912,0.2185,0.2223,
2.097,0.1372,0.1081,0.05022,0.02813,0.1333,0.06643,0.02267,0.008011,0.1054,0.04103,0.2182,0.2186,
2.099,0.1307,0.1103,0.05018,0.0281,0.1331,0.06556,0.02265,0.008004,0.1053,0.04181,0.2183,0.2168,
2.098,0.125,0.1099,0.05014,0.02812,0.133,0.06533,0.02267,0.00801,0.1054,0.04185,0.2185,0.2172,
2.097,0.1321,0.1093,0.05012,0.02812,0.133,0.06508,0.02268,0.008012,0.1054,0.04186,0.2185,0.218,
2.096,0.1275,0.1092,0.05008,0.0281,0.1325,0.06428,0.02266,0.008006,0.1053,0.04183,0.2195,0.2186,
