RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
4645000.0,2431000.0,1406000.0,7412000.0,4033000.0,1065000.0,372700.0,4892000.0,1386000.0,9849000.0,9887000.0,
4486000.0,2390000.0,1385000.0,7348000.0,4033000.0,1065000.0,372700.0,4892000.0,1386000.0,9849000.0,9925000.0,
4448000.0,2387000.0,1385000.0,7133000.0,4025000.0,1065000.0,372600.0,4892000.0,1386000.0,9948000.0,9933000.0,
4393000.0,2387000.0,1385000.0,6993000.0,4002000.0,1065000.0,372500.0,4892000.0,1386000.0,9948000.0,9956000.0,
4449000.0,2384000.0,1367000.0,6859000.0,3994000.0,1065000.0,372400.0,4892000.0,1424000.0,9910000.0,9922000.0,
4446000.0,2381000.0,1366000.0,6810000.0,3948000.0,1065000.0,372400.0,4892000.0,1424000.0,9959000.0,9968000.0,
4428000.0,2381000.0,1366000.0,6765000.0,3786000.0,1065000.0,372400.0,4892000.0,1424000.0,1.001E7,1.015E7,
4408000.0,2372000.0,1364000.0,6652000.0,3730000.0,1064000.0,372300.0,4892000.0,1424000.0,1.011E7,1.022E7,
4474000.0,2371000.0,1364000.0,6548000.0,3683000.0,1063000.0,372200.0,4892000.0,1447000.0,1.009E7,1.019E7,
4452000.0,2360000.0,1357000.0,6403000.0,3648000.0,1063000.0,372000.0,4892000.0,1447000.0,1.009E7,1.023E7,
4437000.0,2351000.0,1356000.0,6303000.0,3605000.0,1062000.0,372000.0,4892000.0,1447000.0,1.009E7,1.027E7,
4429000.0,2350000.0,1356000.0,6294000.0,3588000.0,1062000.0,372000.0,4892000.0,1447000.0,1.014E7,1.03E7,
4682000.0,2349000.0,1356000.0,6280000.0,3527000.0,1062000.0,372000.0,4892000.0,1575000.0,1.001E7,1.01E7,
4658000.0,2346000.0,1355000.0,6262000.0,3455000.0,1062000.0,372000.0,4892000.0,1575000.0,1.011E7,1.017E7,
4645000.0,2346000.0,1335000.0,6252000.0,3430000.0,1062000.0,372000.0,4892000.0,1575000.0,1.011E7,1.023E7,
4640000.0,2341000.0,1334000.0,6252000.0,3418000.0,1062000.0,372000.0,4892000.0,1575000.0,1.011E7,1.024E7,
4614000.0,2339000.0,1334000.0,6248000.0,3354000.0,1060000.0,372000.0,4892000.0,1575000.0,1.011E7,1.033E7,
4850000.0,2338000.0,1334000.0,6248000.0,3341000.0,1060000.0,372000.0,4892000.0,1667000.0,1.007E7,1.009E7,
4835000.0,2338000.0,1334000.0,6243000.0,3306000.0,1060000.0,372000.0,4892000.0,1667000.0,1.007E7,1.013E7,
4831000.0,2338000.0,1334000.0,6228000.0,3251000.0,1060000.0,372000.0,4892000.0,1667000.0,1.007E7,1.019E7,
4821000.0,2337000.0,1319000.0,6208000.0,3208000.0,1060000.0,372000.0,4892000.0,1667000.0,1.007E7,1.024E7,
4806000.0,2337000.0,1319000.0,6193000.0,3097000.0,1053000.0,371900.0,4892000.0,1667000.0,1.012E7,1.036E7,
4864000.0,2332000.0,1319000.0,6193000.0,3084000.0,1053000.0,371900.0,4892000.0,1812000.0,1.002E7,1.03E7,
4854000.0,2332000.0,1319000.0,6193000.0,3084000.0,1053000.0,371900.0,4892000.0,1812000.0,1.012E7,1.03E7,
5017000.0,2332000.0,1306000.0,6188000.0,3084000.0,1053000.0,371900.0,4892000.0,1905000.0,1.013E7,1.015E7,
5124000.0,2332000.0,1306000.0,6183000.0,3046000.0,1053000.0,371900.0,4892000.0,1943000.0,1.014E7,1.007E7,
5103000.0,2328000.0,1306000.0,6173000.0,3034000.0,1053000.0,371900.0,4892000.0,1943000.0,1.014E7,1.008E7,
5072000.0,2326000.0,1305000.0,6173000.0,3021000.0,1053000.0,371900.0,4892000.0,1943000.0,1.014E7,1.012E7,
5072000.0,2326000.0,1305000.0,6154000.0,2986000.0,1053000.0,371900.0,4892000.0,1943000.0,1.019E7,1.015E7,
5072000.0,2326000.0,1305000.0,6139000.0,2986000.0,1053000.0,371900.0,4892000.0,1943000.0,1.019E7,1.015E7,
