entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
2.214,0.1648,0.1489,0.07026,0.04116,0.2055,0.1834,0.07676,0.03197,0.03894,0.04925,0.07688,0.07688,
2.114,0.1707,0.1004,0.04754,0.02787,0.1391,0.1232,0.052,0.02165,0.02637,0.03336,0.2078,0.2207,
2.114,0.1501,0.1011,0.0471,0.02786,0.1386,0.1234,0.05207,0.02168,0.02641,0.03341,0.2091,0.2193,
2.119,0.1442,0.1055,0.04708,0.02775,0.1385,0.1217,0.05207,0.02169,0.02643,0.03496,0.2077,0.2166,
2.117,0.1444,0.1048,0.04708,0.02775,0.1381,0.1198,0.05207,0.02169,0.02643,0.03496,0.2088,0.2185,
2.12,0.1303,0.1072,0.04716,0.02779,0.1368,0.1178,0.05216,0.02173,0.02647,0.03625,0.2079,0.2188,
2.119,0.1292,0.1093,0.0472,0.02781,0.1361,0.1149,0.05221,0.02175,0.02649,0.03628,0.2081,0.2199,
2.12,0.1318,0.1115,0.04715,0.02783,0.1344,0.1138,0.05226,0.02177,0.02651,0.03632,0.2093,0.2191,
2.122,0.1338,0.1143,0.0472,0.02785,0.1328,0.1127,0.05233,0.02179,0.02655,0.03733,0.2097,0.2175,
2.122,0.128,0.1144,0.04726,0.02788,0.1321,0.112,0.0524,0.02182,0.02658,0.03738,0.2111,0.2171,
2.13,0.1257,0.1191,0.04711,0.02738,0.1322,0.11,0.05246,0.02186,0.02663,0.0418,0.2071,0.2145,
2.128,0.1201,0.1186,0.04703,0.02733,0.1319,0.1089,0.05236,0.02182,0.02658,0.04172,0.2088,0.215,
2.127,0.1189,0.1178,0.04699,0.02734,0.132,0.1075,0.05234,0.02182,0.02659,0.04173,0.2088,0.2171,
2.128,0.1203,0.1229,0.04689,0.02728,0.1316,0.1059,0.05224,0.02178,0.02653,0.04212,0.21,0.2128,
2.132,0.1195,0.1262,0.04692,0.0273,0.1313,0.106,0.05229,0.0218,0.02656,0.0432,0.2092,0.2094,
2.131,0.1228,0.126,0.04694,0.02732,0.1309,0.1053,0.05229,0.02182,0.02658,0.04323,0.2093,0.2104,
2.132,0.1249,0.1272,0.04701,0.02737,0.1299,0.1047,0.05238,0.02186,0.02662,0.04331,0.2097,0.2099,
2.137,0.123,0.1292,0.04693,0.02733,0.1295,0.1033,0.05231,0.02182,0.02659,0.04741,0.2073,0.2083,
2.136,0.1419,0.1286,0.0468,0.02732,0.1295,0.1025,0.05229,0.02182,0.02658,0.04739,0.2083,0.2089,
2.135,0.1445,0.1279,0.04676,0.02735,0.1294,0.1016,0.05232,0.02184,0.02661,0.04745,0.2085,0.2102,
2.135,0.1617,0.1268,0.0468,0.02738,0.1294,0.1017,0.05238,0.02187,0.02664,0.0475,0.2088,0.2108,
2.135,0.1517,0.126,0.04681,0.0274,0.1293,0.1018,0.05242,0.02188,0.02666,0.04754,0.2089,0.2113,
2.135,0.139,0.1257,0.04683,0.02742,0.1291,0.1014,0.05245,0.0219,0.02667,0.04757,0.2091,0.2118,
2.134,0.1412,0.1272,0.04674,0.02741,0.1291,0.09959,0.05232,0.02188,0.02666,0.04755,0.21,0.2115,
2.134,0.1386,0.1287,0.04672,0.02742,0.1292,0.09829,0.05237,0.0219,0.02669,0.04759,0.2102,0.2109,
2.134,0.1578,0.1284,0.04673,0.02741,0.1292,0.09807,0.0524,0.02191,0.0267,0.04762,0.2103,0.2113,
2.133,0.1375,0.1286,0.0466,0.02734,0.1286,0.09685,0.05226,0.02186,0.02663,0.04844,0.212,0.2108,
2.133,0.144,0.128,0.04662,0.02736,0.1286,0.0964,0.05231,0.02187,0.02665,0.04848,0.2121,0.2116,
2.131,0.168,0.1279,0.04657,0.02733,0.1285,0.09533,0.05225,0.02185,0.02663,0.04843,0.213,0.2123,
2.131,0.171,0.1274,0.04645,0.02731,0.1281,0.09531,0.05224,0.02185,0.02662,0.04842,0.214,0.2123,
2.13,0.1623,0.1271,0.04641,0.02733,0.1279,0.09462,0.05228,0.02186,0.02664,0.04846,0.2142,0.2132,
2.121,0.1732,0.126,0.04646,0.02735,0.1282,0.09337,0.05252,0.04014,0.01095,0.04555,0.2151,0.2143,
2.087,0.1866,0.1315,0.04639,0.02738,0.1284,0.1294,0.01595,0.04019,0.01319,0.04676,0.212,0.2089,
2.091,0.1617,0.1303,0.0462,0.02747,0.1284,0.1295,0.01597,0.03996,0.01374,0.04909,0.2094,0.2099,
2.09,0.1408,0.1298,0.04631,0.02759,0.128,0.1296,0.01532,0.03987,0.01428,0.04862,0.2096,0.211,
2.091,0.14,0.1286,0.04647,0.02771,0.1283,0.1297,0.01533,0.03991,0.01464,0.04831,0.2098,0.2112,
2.091,0.1385,0.1276,0.04645,0.02788,0.1286,0.1278,0.01564,0.03966,0.01526,0.04776,0.21,0.2134,
2.092,0.1363,0.1259,0.04699,0.02794,0.1289,0.1265,0.01552,0.0397,0.01657,0.04651,0.2102,0.2152,
2.096,0.144,0.1285,0.04713,0.0277,0.1295,0.1252,0.01565,0.03954,0.01985,0.0432,0.2112,0.2125,
2.095,0.204,0.1281,0.04719,0.02773,0.1291,0.1231,0.01564,0.03953,0.02147,0.04156,0.2122,0.2145,
2.103,0.148,0.1292,0.04695,0.02782,0.1291,0.1223,0.02754,0.02787,0.02176,0.04228,0.2112,0.2139,
2.103,0.1444,0.1285,0.04706,0.02793,0.1288,0.1209,0.02769,0.02776,0.02335,0.04076,0.2115,0.2158,
2.103,0.1559,0.1272,0.04723,0.028,0.1293,0.1196,0.02807,0.02761,0.02431,0.03968,0.2117,0.2173,
2.102,0.1577,0.1265,0.04752,0.02772,0.1293,0.119,0.02798,0.02821,0.025,0.03828,0.2118,0.2188,
2.103,0.1714,0.1261,0.04759,0.02778,0.1291,0.1178,0.02813,0.02809,0.02695,0.03636,0.2119,0.2201,
2.104,0.1601,0.1264,0.04791,0.02795,0.1292,0.1176,0.02816,0.02812,0.02733,0.03605,0.2121,0.2193,
2.099,0.1913,0.1252,0.04791,0.02806,0.1292,0.1176,0.0389,0.01738,0.02769,0.03568,0.2132,0.2192,
2.098,0.1964,0.1209,0.04815,0.02809,0.1326,0.1171,0.03887,0.01736,0.02767,0.03566,0.2141,0.2195,
2.104,0.2005,0.1212,0.04861,0.02818,0.1324,0.1167,0.03891,0.01738,0.02794,0.03782,0.2119,0.2189,
2.104,0.1806,0.1204,0.04877,0.02825,0.1325,0.1163,0.03894,0.01739,0.02863,0.03718,0.2121,0.2196,
2.108,0.1827,0.1245,0.04895,0.02833,0.1358,0.1159,0.0391,0.01727,0.02909,0.03676,0.2122,0.2121,
2.108,0.185,0.1231,0.04911,0.02825,0.1364,0.116,0.03913,0.01729,0.02951,0.0364,0.2124,0.2124,
2.108,0.1907,0.1226,0.04912,0.02827,0.1364,0.1157,0.03916,0.0173,0.03092,0.03504,0.2126,0.2129,
2.108,0.1816,0.1218,0.04923,0.02836,0.1365,0.1158,0.03919,0.01731,0.03143,0.03458,0.2127,0.2131,
2.107,0.1896,0.1202,0.04924,0.02847,0.1376,0.1147,0.03921,0.01732,0.03382,0.03222,0.2129,0.2143,
2.106,0.1872,0.1191,0.0492,0.02791,0.1378,0.1142,0.03939,0.01721,0.03387,0.03226,0.2131,0.216,
2.108,0.2052,0.1156,0.04922,0.02804,0.1409,0.1142,0.03954,0.02684,0.02481,0.03157,0.2132,0.2161,
2.108,0.1801,0.1144,0.04944,0.02808,0.1416,0.1138,0.03956,0.02699,0.02483,0.03145,0.2133,0.2166,
2.106,0.1877,0.1138,0.04964,0.02812,0.1411,0.1119,0.03955,0.02698,0.02526,0.031,0.2143,0.2185,
2.057,0.1864,0.1124,0.05016,0.02822,0.1406,0.14,0.0106,0.02671,0.0259,0.03037,0.2154,0.2196,
2.056,0.1482,0.1113,0.05024,0.02828,0.1406,0.138,0.01089,0.02685,0.02557,0.03041,0.2157,0.2221,
2.062,0.1742,0.1141,0.0503,0.02826,0.1408,0.1368,0.01089,0.02729,0.02604,0.03199,0.2133,0.2202,
2.061,0.157,0.1127,0.05005,0.02832,0.1409,0.1361,0.0109,0.02753,0.02607,0.03178,0.2145,0.2211,
2.062,0.164,0.1136,0.05007,0.02802,0.1401,0.1354,0.01046,0.0275,0.02656,0.03248,0.2153,0.2205,
2.061,0.1678,0.113,0.05011,0.02806,0.1397,0.1344,0.01059,0.02774,0.02665,0.032,0.2163,0.2214,
2.059,0.161,0.1118,0.05004,0.02807,0.1398,0.1329,0.01058,0.02813,0.02639,0.03161,0.2182,0.2225,
2.061,0.1725,0.1152,0.04997,0.02814,0.1396,0.1308,0.01057,0.02812,0.02695,0.03173,0.2184,0.2206,
2.065,0.1664,0.1182,0.04987,0.02818,0.1394,0.1296,0.01043,0.02883,0.02727,0.03214,0.218,0.2181,
2.068,0.1804,0.121,0.04991,0.02828,0.14,0.1289,0.01057,0.02893,0.02707,0.03306,0.2172,0.2151,
2.07,0.1784,0.1239,0.04988,0.02837,0.1399,0.1276,0.01035,0.02891,0.02748,0.03316,0.2176,0.2129,
2.069,0.1983,0.1231,0.04991,0.0284,0.1399,0.1272,0.01025,0.02908,0.02814,0.03242,0.2178,0.2137,
2.069,0.1752,0.1221,0.04984,0.0285,0.1402,0.1262,0.01026,0.0291,0.02878,0.03185,0.218,0.215,
2.068,0.179,0.1212,0.04962,0.02851,0.1405,0.1258,0.01026,0.0295,0.02836,0.03184,0.2191,0.2154,
2.066,0.1844,0.1206,0.04944,0.02817,0.1408,0.1247,0.01026,0.02952,0.02983,0.03041,0.2192,0.2171,
2.064,0.1668,0.1198,0.04949,0.02824,0.1402,0.124,0.009951,0.02961,0.03041,0.0296,0.2211,0.2176,
2.061,0.1602,0.119,0.04932,0.02772,0.1403,0.1227,0.009858,0.02986,0.03076,0.02913,0.2214,0.2201,
2.061,0.1626,0.118,0.04934,0.02778,0.1403,0.1224,0.01,0.0299,0.03091,0.02892,0.2217,0.2208,
2.06,0.1564,0.1176,0.0496,0.02729,0.14,0.122,0.01001,0.02992,0.03118,0.02869,0.2218,0.2219,
2.059,0.1677,0.1163,0.04968,0.02741,0.1404,0.1204,0.01001,0.03009,0.03137,0.02842,0.2221,0.2239,
2.056,0.1706,0.1155,0.04951,0.02703,0.1401,0.1183,0.01,0.03013,0.03191,0.02798,0.2224,0.2271,
2.066,0.1294,0.1204,0.04974,0.02711,0.14,0.118,0.01001,0.03015,0.03192,0.03125,0.2193,0.2221,
2.065,0.1357,0.1191,0.04988,0.02713,0.1402,0.1173,0.00987,0.03031,0.03172,0.03124,0.2203,0.2229,
2.073,0.1337,0.1235,0.05009,0.02725,0.1395,0.1164,0.009871,0.03031,0.03231,0.03354,0.2186,0.2186,
2.071,0.1419,0.1227,0.05002,0.02725,0.1393,0.1155,0.009989,0.03023,0.03303,0.0326,0.2204,0.219,
2.07,0.1394,0.122,0.05024,0.02726,0.1391,0.1141,0.01004,0.03032,0.03314,0.0322,0.2213,0.2202,
2.082,0.1383,0.1283,0.05016,0.02734,0.139,0.1127,0.01005,0.03053,0.0333,0.03696,0.2164,0.2152,
2.083,0.1317,0.129,0.0502,0.02716,0.1404,0.1111,0.01019,0.03041,0.03354,0.0372,0.216,0.2148,
2.081,0.1419,0.1282,0.05016,0.02726,0.1404,0.109,0.01034,0.03031,0.03358,0.03724,0.2163,0.2172,
2.079,0.1383,0.1275,0.05002,0.02726,0.1401,0.1069,0.01032,0.03045,0.03411,0.03642,0.2181,0.2188,
2.087,0.1431,0.1297,0.05045,0.02733,0.1405,0.1066,0.0106,0.03018,0.03412,0.03959,0.215,0.2159,
2.087,0.1406,0.1329,0.05053,0.02738,0.1408,0.1039,0.01061,0.0306,0.03373,0.03961,0.2151,0.2149,
2.089,0.1359,0.1326,0.05054,0.02736,0.1413,0.1032,0.01045,0.03055,0.0349,0.03987,0.2153,0.2138,
2.087,0.1453,0.1315,0.05053,0.02709,0.1415,0.1019,0.01046,0.03057,0.03532,0.0395,0.2155,0.2161,
2.092,0.1402,0.1346,0.05073,0.02714,0.1414,0.102,0.01049,0.03051,0.03556,0.04107,0.2145,0.212,
2.091,0.1399,0.1335,0.05096,0.02714,0.1417,0.1011,0.01078,0.03043,0.03624,0.04012,0.2154,0.2127,
2.087,0.1505,0.1326,0.05098,0.02718,0.1416,0.09975,0.01086,0.04269,0.02387,0.0401,0.2164,0.2139,
2.071,0.1625,0.1316,0.05084,0.02728,0.1416,0.1052,0.004875,0.04275,0.02443,0.03948,0.2179,0.2141,
2.071,0.1664,0.1301,0.05109,0.02743,0.1411,0.1052,0.004875,0.04276,0.02482,0.03909,0.219,0.2146,
2.068,0.1689,0.1287,0.0509,0.0275,0.1404,0.1048,0.004728,0.04343,0.02398,0.03899,0.2217,0.2148,
2.074,0.1607,0.1308,0.0512,0.02754,0.1412,0.1041,0.004865,0.04332,0.02432,0.04101,0.2195,0.2121,
2.077,0.1629,0.13,0.05122,0.02767,0.1405,0.1036,0.005002,0.04334,0.02486,0.04198,0.2191,0.2127,
2.082,0.1516,0.1295,0.05133,0.02774,0.1403,0.1034,0.005005,0.04337,0.02518,0.04519,0.2158,0.2132,
2.082,0.1521,0.1283,0.05157,0.02747,0.1405,0.1036,0.005119,0.04364,0.02512,0.04502,0.216,0.2137,
2.082,0.1634,0.1278,0.05142,0.02714,0.1407,0.1032,0.005122,0.04366,0.02779,0.04238,0.2162,0.2147,
2.086,0.1612,0.1299,0.05177,0.02723,0.1407,0.1033,0.005259,0.04368,0.02853,0.04214,0.2156,0.2119,
2.086,0.1652,0.1296,0.05195,0.02728,0.1407,0.1033,0.00526,0.04369,0.02853,0.04215,0.2157,0.2119,
2.086,0.1666,0.129,0.05199,0.02734,0.1411,0.1021,0.005261,0.04369,0.02937,0.04131,0.2157,0.2131,
