R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pepEn,pepMHCIEn,protonEn,solubleMarker,volume,
4.7999999999999997E-39,0.0073,1400.0,1300.0,2400.0,3899999.9999999995,1800.0,1300.0,3000.0,190.0,1800.0,0.15,3899999.9999999995,1.1E-5,0.1,0.1,0.0,510.0,4.9,0.0,0.0,0.0,2.4E7,1.0,7.2E8,
4.7999999999999997E-39,0.0073,1400.0,1300.0,2400.0,3899999.9999999995,1800.0,1300.0,3000.0,190.0,1800.0,0.15,3899999.9999999995,1.3E-5,0.1,0.1,0.0,460.0,4.9,0.0,0.0,0.0,2.3E7,1.0,7.2E8,
4.7999999999999997E-39,0.0073,1400.0,1300.0,2400.0,3899999.9999999995,1800.0,1300.0,3000.0,190.0,1800.0,0.15,3899999.9999999995,1.4E-5,0.1,0.1,0.0,440.0,4.9,0.0,0.0,0.0,2.3E7,1.0,7.2E8,
4.7999999999999997E-39,0.0073,1400.0,1300.0,2400.0,3899999.9999999995,1800.0,1300.0,3000.0,190.0,1800.0,0.15,3899999.9999999995,1.3E-5,0.1,0.1,0.0,420.0,4.9,0.0,0.0,0.0,2.3E7,1.0,7.2E8,
4.7999999999999997E-39,0.0073,1400.0,1300.0,2400.0,3899999.9999999995,1800.0,1300.0,3000.0,190.0,1800.0,0.15,3899999.9999999995,1.2E-5,0.1,0.1,0.0,400.0,4.9,0.0,0.0,0.0,2.4E7,1.0,7.2E8,
4.7999999999999997E-39,0.0073,1400.0,1300.0,2400.0,3899999.9999999995,1800.0,1300.0,3000.0,190.0,1800.0,0.15,3899999.9999999995,1.1E-5,0.1,0.1,0.0,380.0,4.8,0.0,0.0,0.0,2.4E7,1.0,7.2E8,
4.7999999999999997E-39,0.0073,1400.0,1300.0,2400.0,3899999.9999999995,1800.0,1300.0,3000.0,190.0,1800.0,0.15,3899999.9999999995,1.3E-5,0.1,0.1,0.0,360.0,4.8,0.0,0.0,0.0,2.3E7,1.0,7.2E8,
4.7999999999999997E-39,0.0073,1400.0,1300.0,2400.0,3899999.9999999995,1800.0,1300.0,3000.0,190.0,1800.0,0.15,3899999.9999999995,1.3E-5,0.1,0.1,0.0,330.0,4.8,0.0,0.0,0.0,2.3E7,1.0,7.2E8,
4.7999999999999997E-39,0.0073,1400.0,1300.0,2400.0,3899999.9999999995,1800.0,1300.0,3000.0,190.0,1800.0,0.15,3899999.9999999995,1.3E-5,0.1,0.1,0.0,320.0,4.8,0.0,0.0,0.0,2.3E7,1.0,7.2E8,
2.2E-38,0.055,520.0,62000.0,7900.0,4900000.0,1100.0,1300.0,4300.0,190.0,1800.0,0.15,5000000.0,4.8E-5,0.15,0.15,0.0,400.0,17.0,0.0,2.1E-16,1.3E-25,2.3E7,1.0,7.4E8,
2.7E-39,0.0067,520.0,4000.0,320.0,4700000.0,1100.0,1300.0,4300.0,190.0,1800.0,0.15,4700000.0,2.2E-5,0.081,0.081,0.0,410.0,6.9,0.0,7.2E-16,1.1E-26,2.2E7,1.0,7.3E8,
2.6E-39,0.0065,510.0,4000.0,320.0,4500000.0,1100.0,1300.0,4300.0,190.0,1800.0,0.15,4500000.0,2.3E-5,0.078,0.078,0.0,410.0,6.6,0.0,8.6E-16,1.5E-26,2.1E7,1.0,7.3E8,
2.6E-39,0.0063,510.0,4000.0,320.0,4200000.0,1100.0,1300.0,4300.0,190.0,1800.0,0.15,4200000.0,2.5E-5,0.075,0.075,0.0,410.0,6.2,0.0,1.4E-15,2.9E-26,2.0E7,1.0,7.3E8,
2.5E-39,0.0061,510.0,4000.0,320.0,3999999.9999999995,1100.0,1300.0,4300.0,190.0,1800.0,0.15,4099999.9999999995,2.6E-5,0.073,0.073,0.0,410.0,6.0,0.0,1.9E-15,4.2E-26,2.0E7,1.0,7.3E8,
2.5E-39,0.006,510.0,4000.0,320.0,3899999.9999999995,1100.0,1300.0,4300.0,190.0,1800.0,0.15,3899999.9999999995,2.8E-5,0.072,0.072,0.0,400.0,5.8,0.0,3.2E-15,7.7E-26,1.9E7,1.0,7.3E8,
2.7E-38,0.05,510.0,51000.0,320.0,4800000.0,1100.0,1300.0,4200.0,190.0,1800.0,0.15,4900000.0,2.8,0.11,0.11,0.0,410.0,9.2,0.0,1.1E-14,3.7E-20,1.9E7,1.0,7.4E8,
3.7E-39,0.007,510.0,2900.0,310.0,4600000.0,1100.0,1300.0,4200.0,190.0,1800.0,0.15,4600000.0,5.0E-5,0.065,0.065,0.0,410.0,9.0,0.0,1.3E-14,2.3E-21,1.8E7,1.0,7.3E8,
3.5E-39,0.0065,510.0,2900.0,310.0,3999999.9999999995,1100.0,1300.0,4200.0,190.0,1800.0,0.15,4099999.9999999995,4.9E-5,0.06,0.06,0.0,410.0,8.1,0.0,1.5E-14,1.2E-21,1.8E7,1.0,7.3E8,
3.4E-39,0.0064,510.0,2900.0,310.0,3899999.9999999995,1100.0,1300.0,4200.0,190.0,1800.0,0.15,3899999.9999999995,4.9E-5,0.059,0.059,0.0,410.0,7.8,0.0,1.8E-14,5.2E-22,1.7E7,1.0,7.3E8,
