cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI
0,1393,186.8,138.5,64.91,0.07159,3.083,0.5663,0.3116,0.3746,0.6156,0,344,0.1077,1.797,0.08994,0.1572,0.2836,0.1136,0.05162,1.627,11.94,0,344,0.1077,1.797,0.08994,0.1572,0.2836,0.1136,0.05162,1.627,11.94,0,0,0,0,0,0,0,0,0,0,0,0,0,185.9,71.15,39.93,1167,224.4,4.838,3.404,6.583,2.216,0,108.7,2.867,6.098,59.1,34.48,0.6775,0.004553,0.005819,0.01764,0.1907,0,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-04,0,0,99870,86310,49720,2.94E+07,30850,20340,26720,21970,23110,0,1.81E-37,9.83E-38,6.56E-37,4.45E-37,4.24E-38,1.30E-38,3.30E-39,1.53E-39,1.69E-39,1.45E-38,2.08E-35,0,0.2941,1.016,1.778,0.8056,0.1659,0.02714,0.00603,0.003031,0.004104,0.03369,0,0,3.57E-04,3.30E-04,6.05E-04,0.9966,4.71E-04,3.41E-04,7.72E-04,4.95E-05,4.70E-04,0,1.00E-05,0.001644,0.001916,0.001441,0.1712,0.005009,0.001035,5.41E-04,4.75E-04,2.78E-04
0,1393,180.6,135.9,68.85,9.61E-04,2.486,0.5634,0.3088,0.3748,0.1128,0,344,0.1255,1.429,0.08297,0.1587,0.2611,0.1264,0.04704,1.235,12.7,0,344,0.1255,1.429,0.08297,0.1587,0.2611,0.1264,0.04704,1.235,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0,207.3,71.64,39.24,1155,227.1,4.167,2.767,6.259,1.952,0,108.7,2.6,5.802,57.12,34.5,0.6728,0.004565,0.005825,0.01405,0.1571,0,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.18E-04,0,233.6,90880,82610,45320,2.74E+07,28870,19140,25000,20440,21520,0,1.83E-37,1.09E-37,6.41E-37,4.52E-37,4.39E-38,1.19E-38,3.29E-39,1.52E-39,1.24E-39,3.11E-39,2.08E-35,0,0.2966,0.9979,1.766,0.8232,0.1679,0.02375,0.006011,0.003012,0.002198,0.007316,0,0,3.57E-04,3.30E-04,6.05E-04,0.9966,4.71E-04,3.41E-04,7.72E-04,4.95E-05,4.70E-04,0,5.86E-05,0.001605,0.001924,0.001431,0.1705,0.004922,0.001039,5.36E-04,4.76E-04,2.79E-04
0,1393,181.1,130.9,68.75,0.001523,2.482,0.5631,0.3082,0.377,0.5871,0,344,0.1174,1.411,0.2231,0.146,0.2582,0.1285,0.04667,1.247,12.58,0,344,0.1174,1.411,0.2231,0.146,0.2582,0.1285,0.04667,1.247,12.58,0,0,0,0,0,0,0,0,0,0,0,0,0,216.6,74.84,39.62,1113,226.9,4.014,2.673,5.919,3.433,0,108.7,2.479,7.456,56.18,34.55,0.6691,0.007445,0.007405,0.01867,0.199,0,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25E-04,0,367.8,86440,84320,44290,2.66E+07,27510,17870,23850,18080,43700,0,1.85E-37,9.58E-38,6.51E-37,4.45E-37,4.38E-38,1.18E-38,3.28E-39,1.52E-39,1.24E-39,7.07E-39,2.08E-35,0,0.2991,1.01,1.739,0.8121,0.1682,0.02372,0.006032,0.003025,0.002249,0.0131,0,0,3.57E-04,3.30E-04,6.05E-04,0.9966,4.71E-04,3.41E-04,7.72E-04,4.95E-05,4.70E-04,0,8.82E-05,0.001592,0.001993,0.00143,0.1702,0.004841,0.001045,5.22E-04,4.68E-04,4.84E-04
0,1393,162.2,147,74.08,0.001439,3.035,0.5632,0.3084,0.377,0.4925,0,344,0.104,1.397,0.1951,0.1455,0.2554,0.1288,0.0465,1.062,12.82,0,344,0.104,1.397,0.1951,0.1455,0.2554,0.1288,0.0465,1.062,12.82,0,0,0,0,0,0,0,0,0,0,0,0,0,228.6,76.78,40.43,1060,226.3,4.081,2.755,5.85,3.366,0,108.7,2.427,7.375,51.07,34.51,0.6654,0.007488,0.007434,0.01835,0.1789,0,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-04,0,501.8,84860,80690,42460,2.58E+07,26670,17100,23200,16650,39030,0,1.85E-37,9.10E-38,6.55E-37,4.39E-37,4.33E-38,1.28E-38,3.27E-39,1.51E-39,1.24E-39,6.00E-39,2.08E-35,0,0.2991,0.9191,1.809,0.8151,0.1674,0.02673,0.006033,0.003027,0.002247,0.01088,0,0,3.59E-04,3.32E-04,6.09E-04,0.9966,4.74E-04,3.43E-04,7.77E-04,4.98E-05,4.73E-04,0,1.26E-04,0.001622,0.001969,0.001419,0.1697,0.004776,0.001045,5.22E-04,4.65E-04,4.83E-04
0,1398,162.5,143,72.39,0.001726,3.387,0.5046,0.2357,0.371,0.5026,0,344,0.1372,1.326,0.2035,0.165,0.2653,0.1295,0.04627,1.059,12.82,0,344,0.1372,1.326,0.2035,0.165,0.2653,0.1295,0.04627,1.059,12.82,0,0,0,0,0,0,0,0,0,0,0,0,0,236.5,75.89,40.73,1009,225.9,4.176,2.868,5.707,3.337,0,108.7,2.401,7.325,48.76,34.48,0.6637,0.007335,0.00734,0.01785,0.1702,0,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.78E-04,0,646.5,83950,80470,41490,2.46E+07,25860,16300,22150,15650,35650,0,1.89E-37,1.09E-37,6.23E-37,4.41E-37,4.50E-38,1.57E-38,3.16E-39,1.10E-39,1.23E-39,6.00E-39,2.08E-35,0,0.3262,0.9505,1.74,0.8023,0.1749,0.03157,0.005758,0.002302,0.002224,0.01089,0,0,3.59E-04,3.32E-04,6.09E-04,0.9966,4.74E-04,3.43E-04,7.77E-04,4.98E-05,4.73E-04,0,1.71E-04,0.001635,0.00193,0.001423,0.1688,0.004714,0.001043,5.20E-04,4.63E-04,4.78E-04
0,1400,138.2,160.1,84.41,0.001474,8.035,0.5284,0.2627,0.3764,0.5061,0,344,0.08339,1.363,0.1914,0.1653,0.2609,0.1302,0.04619,1.061,12.82,0,344,0.08339,1.363,0.1914,0.1653,0.2609,0.1302,0.04619,1.061,12.82,0,0,0,0,0,0,0,0,0,0,0,0,0,255.4,68.42,52.19,953.9,224,4.552,3.228,5.815,3.309,0,108.7,2.386,6.754,25.14,34.92,0.6631,0.007274,0.008443,0.01765,0.1654,0,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.18E-04,0,997.3,86560,88370,40680,2.45E+07,26550,16280,22070,15490,34120,0,1.98E-37,9.09E-38,6.45E-37,3.96E-37,4.94E-38,2.44E-38,3.28E-39,1.24E-39,1.23E-39,5.99E-39,2.08E-35,0,0.3458,0.7762,1.841,0.7592,0.1813,0.04349,0.005979,0.00257,0.002249,0.01088,0,0,3.59E-04,3.32E-04,6.09E-04,0.9966,4.74E-04,3.43E-04,7.77E-04,4.98E-05,4.73E-04,0,2.01E-04,0.001672,0.001921,0.001375,0.1672,0.004715,0.001045,5.21E-04,4.60E-04,4.77E-04
0,1400,135.4,157.9,93.28,0.07176,3.282,0.5297,0.2638,0.3766,0.5095,0,344,0.08311,1.356,0.1969,0.1646,0.2597,0.1305,0.03459,1.018,12.87,0,344,0.08311,1.356,0.1969,0.1646,0.2597,0.1305,0.03459,1.018,12.87,0,0,0,0,0,0,0,0,0,0,0,0,0,270,69.77,54.37,924,221,5.26,3.929,6.039,3.472,0,108.7,2.506,7.66,24.83,32.67,0.6626,0.00723,0.008959,0.01661,0.1632,0,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-04,0,1027,87330,90110,42980,2.52E+07,26840,16660,22810,15900,33430,0,1.98E-37,9.17E-38,6.37E-37,4.08E-37,4.79E-38,1.47E-38,3.27E-39,1.23E-39,1.22E-39,5.99E-39,2.08E-35,0,0.3458,0.7683,1.812,0.7972,0.1793,0.02996,0.00599,0.00258,0.00225,0.01089,0,0,3.59E-04,3.32E-04,6.09E-04,0.9966,4.74E-04,3.43E-04,7.77E-04,4.98E-05,4.73E-04,0,2.13E-04,0.001644,0.001908,0.001395,0.1671,0.004697,0.001046,5.25E-04,4.44E-04,4.90E-04
0,1405,128.7,163.7,89.22,0.001765,3.535,0.5316,0.2681,0.379,0.5128,0,344,0.08801,1.353,0.1887,0.1632,0.2591,0.1313,0.03403,1.012,12.88,0,344,0.08801,1.353,0.1887,0.1632,0.2591,0.1313,0.03403,1.012,12.88,0,0,0,0,0,0,0,0,0,0,0,0,0,283,69.16,54.22,871.2,217.6,6.041,4.701,6.249,3.607,0,112.4,2.402,6.732,19.5,32.72,0.6633,0.007239,0.008716,0.01175,0.1606,0,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01E-04,0,3040,89190,91060,42080,2.63E+07,27370,17120,23670,15810,33160,0,2.10E-37,8.81E-38,6.34E-37,3.92E-37,4.77E-38,1.56E-38,3.27E-39,1.23E-39,1.22E-39,5.99E-39,2.08E-35,0,0.3856,0.731,1.828,0.7567,0.1786,0.03287,0.006002,0.002593,0.002256,0.0109,0,0,3.59E-04,3.32E-04,6.09E-04,0.9966,4.74E-04,3.43E-04,7.77E-04,4.98E-05,4.73E-04,0,2.51E-04,0.001634,0.001908,0.001367,0.1666,0.004678,0.001059,5.16E-04,4.41E-04,4.91E-04
0,1405,126.7,162.4,79.68,0.002201,5.517,0.5655,0.3085,0.3738,0.5158,0,344,0.08002,1.355,0.1923,0.1703,0.2514,0.1354,0.0333,1.009,12.88,0,344,0.08002,1.355,0.1923,0.1703,0.2514,0.1354,0.0333,1.009,12.88,0,0,0,0,0,0,0,0,0,0,0,0,0,287.6,69.99,54.61,827.1,213.5,7.028,5.662,6.439,3.836,0,112.4,2.52,7.988,28.01,31.84,0.6641,0.007114,0.008519,0.0112,0.1588,0,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.51E-04,0,3079,91480,91740,43630,2.75E+07,28000,17010,24390,14770,32420,0,2.10E-37,8.58E-38,6.32E-37,3.86E-37,4.76E-38,2.15E-38,3.42E-39,1.42E-39,1.21E-39,5.99E-39,2.08E-35,0,0.3856,0.7173,1.823,0.7497,0.1815,0.0445,0.006316,0.002978,0.002238,0.0109,0,0,3.59E-04,3.32E-04,6.09E-04,0.9966,4.74E-04,3.43E-04,7.77E-04,4.98E-05,4.73E-04,0,2.59E-04,0.001625,0.001902,0.001357,0.1661,0.004672,0.001054,5.20E-04,4.41E-04,4.87E-04
0,1405,127.1,160.4,82.99,0.6935,3.55,0.5688,0.312,0.3755,0.9239,0,344,0.09008,1.298,0.2099,0.1745,0.2473,0.1355,0.03451,1.01,12.87,0,344,0.09008,1.298,0.2099,0.1745,0.2473,0.1355,0.03451,1.01,12.87,0,0,0,0,0,0,0,0,0,0,0,0,0,294.6,71.16,67.31,801.4,205.7,9.027,7.6,7.254,4.746,0,114,2.932,9.877,15.37,31.65,0.657,0.006987,0.008384,0.01075,0.3641,0,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25E-04,0,4332,89780,92410,45380,2.89E+07,28080,17270,25420,14270,33390,0,2.13E-37,9.03E-38,6.15E-37,3.58E-37,5.12E-38,1.49E-38,3.43E-39,1.42E-39,1.21E-39,1.21E-38,2.08E-35,0,0.3902,0.7226,1.775,0.7275,0.189,0.03118,0.006344,0.003008,0.002249,0.02025,0,0,3.59E-04,3.32E-04,6.09E-04,0.9966,4.74E-04,3.43E-04,7.77E-04,4.98E-05,4.73E-04,0,2.65E-04,0.001598,0.001889,0.001386,0.1657,0.004619,0.001052,5.25E-04,4.39E-04,5.04E-04
