cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI,
0.0,1270.0,198.2,384.2,231.9,1.68,15.84,1.077,1.033,1.059,0.9027,0.0,344.4,0.1495,2.606,0.1909,0.341,0.4815,0.4939,0.5958,7.216,18.2,0.0,344.4,0.1495,2.606,0.1909,0.341,0.4815,0.4939,0.5958,7.216,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,932.3,303.1,113.4,1831.0,1024.0,48.44,9.478,13.27,15.51,0.0,114.5,7.187,16.54,71.87,54.9,6.19,0.5438,0.09746,0.1679,0.408,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,0.0,187000.0,215600.0,101700.0,6.984E7,64170.0,90740.0,20710.0,75590.0,128600.0,0.0,1.12E-37,4.182E-38,4.59E-37,2.78E-37,2.711E-38,1.241E-38,2.515E-39,6.871E-40,1.3749999999999999E-39,7.651E-40,2.08E-35,0.0,0.5089,1.117,3.052,1.385,0.1723,0.07425,0.01204,0.009683,0.009485,0.008439,0.0,0.0,5.418E-4,0.001832,0.001048,1.989,6.899E-4,0.002169,1.157E-4,0.001535,0.002925,0.0,1.0E-5,0.002833,0.003783,0.002586,0.3479,0.007434,0.001079,0.001292,0.001404,0.001255,
0.0,1274.0,186.5,392.8,244.5,0.07295,21.46,1.124,0.9475,1.078,1.055,0.0,344.4,0.1301,2.627,0.1799,0.3367,0.6804,0.5365,0.5199,7.157,18.1,0.0,344.4,0.1301,2.627,0.1799,0.3367,0.6804,0.5365,0.5199,7.157,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,959.0,313.1,120.6,1762.0,1034.0,41.02,8.791,8.179,10.1,0.0,114.5,6.02,11.98,56.31,55.77,3.432,0.5431,0.09628,0.1676,0.2443,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,432.1,174700.0,199700.0,94620.0,6.399E7,62120.0,83610.0,19400.0,69300.0,117700.0,0.0,1.162E-37,3.729E-38,4.579E-37,2.703E-37,2.6019999999999997E-38,1.964E-38,2.5799999999999998E-39,6.132E-40,1.406E-39,7.889E-40,2.08E-35,0.0,0.535,1.045,3.07,1.366,0.1657,0.09821,0.01231,0.009083,0.009615,0.008539,0.0,0.0,5.418E-4,0.001837,0.001049,1.989,6.922E-4,0.002176,1.161E-4,0.00154,0.002935,0.0,5.986E-5,0.002776,0.003786,0.002537,0.3443,0.007488,0.001066,0.001297,0.001388,0.00124,
0.0,1276.0,180.4,408.3,228.3,0.6084,25.39,1.077,1.048,1.037,1.324,0.0,344.4,0.1476,2.599,0.1735,0.3401,0.4778,0.3978,0.4206,4.992,20.71,0.0,344.4,0.1476,2.599,0.1735,0.3401,0.4778,0.3978,0.4206,4.992,20.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,972.8,317.2,123.5,1673.0,1039.0,34.78,9.657,4.595,6.359,0.0,114.5,5.499,10.51,56.88,57.01,2.143,0.5423,0.05528,0.1298,0.2257,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.156E-4,0.0,532.5,171000.0,194200.0,94280.0,6.05E7,58520.0,79170.0,19220.0,64810.0,110900.0,0.0,1.17E-37,3.968E-38,4.488E-37,2.652E-37,2.954E-38,2.376E-38,2.4899999999999998E-39,6.295E-40,1.3639999999999999E-39,7.352E-40,2.08E-35,0.0,0.5418,1.01,3.074,1.347,0.1809,0.1109,0.01198,0.009417,0.009207,0.01149,0.0,0.0,5.418E-4,0.001837,0.001049,1.989,6.922E-4,0.002176,1.161E-4,0.00154,0.002935,0.0,6.333E-5,0.002766,0.00373,0.002565,0.345,0.007505,0.001062,0.001317,0.001351,0.001266,
0.0,1281.0,163.1,387.8,209.2,7.38,18.63,1.063,1.012,0.9566,1.531,0.0,344.4,0.4008,2.408,0.2244,0.6984,0.3601,0.3322,0.3675,2.61,22.84,0.0,344.4,0.4008,2.408,0.2244,0.6984,0.3601,0.3322,0.3675,2.61,22.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,987.5,242.7,157.3,1672.0,1079.0,33.79,5.774,4.234,5.854,0.0,114.6,5.15,30.29,72.19,67.52,2.615,0.3714,0.03099,0.1226,0.1716,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,1033.0,164200.0,1053000.0,209900.0,5.832E7,312600.0,43890.0,35650.0,74640.0,48260.0,0.0,1.22E-37,3.922E-38,4.205E-37,2.6779999999999997E-37,5.767E-38,1.2E-38,2.235E-39,4.969E-40,4.631E-40,5.043E-40,2.08E-35,0.0,0.5733,0.9209,2.976,1.36,0.3229,0.07833,0.01091,0.008927,0.005428,0.01131,0.0,0.0,1.152E-4,0.01661,0.002549,0.9737,0.005118,3.847E-4,3.814E-4,7.807E-4,3.213E-4,0.0,1.722E-4,0.002693,0.008259,0.003262,0.3362,0.008883,8.614E-4,0.001401,0.001389,9.156E-4,
0.0,1287.0,157.4,375.3,214.7,0.09022,8.347,1.058,1.016,0.8217,1.156,0.0,344.4,0.3683,2.797,0.1391,0.3641,0.3558,0.3304,0.5687,2.774,22.47,0.0,344.4,0.3683,2.797,0.1391,0.3641,0.3558,0.3304,0.5687,2.774,22.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,994.6,207.1,165.0,1660.0,1078.0,34.06,6.275,3.672,6.214,0.0,114.6,6.036,30.71,98.7,60.25,0.4325,0.3672,0.02641,0.1097,0.3913,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.115E-4,0.0,1383.0,165000.0,198000.0,100000.0,5.639E7,52220.0,42160.0,34910.0,34960.0,47110.0,0.0,1.281E-37,3.271E-38,4.383E-37,2.6989999999999997E-37,2.82E-38,8.997E-39,2.225E-39,4.856E-40,3.495E-40,3.8089999999999996E-40,2.08E-35,0.0,0.6108,0.8886,3.047,1.358,0.1972,0.05229,0.01084,0.008917,0.004628,0.01047,0.0,0.0,1.181E-4,9.184E-5,4.408E-4,0.998,1.746E-4,3.942E-4,3.908E-4,7.473E-5,3.293E-4,0.0,2.426E-4,0.002668,0.003433,0.002668,0.3373,0.007417,8.537E-4,0.001402,0.00119,9.106E-4,
0.0,1289.0,156.3,357.7,210.1,1.679,10.99,1.92,1.004,0.855,1.177,0.0,344.4,0.3895,2.731,0.1394,0.3597,0.3453,0.3407,0.511,2.29,23.04,0.0,344.4,0.3895,2.731,0.1394,0.3597,0.3453,0.3407,0.511,2.29,23.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1014.0,207.1,208.3,1579.0,1059.0,36.01,9.146,5.354,8.999,0.0,114.6,7.03,40.6,105.4,54.83,0.3931,0.1677,0.02541,0.07788,0.4532,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001255,0.0,1650.0,172600.0,179300.0,127900.0,5.343E7,49270.0,41940.0,34080.0,32360.0,48230.0,0.0,1.324E-37,4.033E-38,4.285E-37,2.641E-37,2.641E-38,1.076E-38,2.605E-39,4.936E-40,3.452E-40,3.882E-40,2.08E-35,0.0,0.6276,0.8968,3.01,1.375,0.1575,0.05932,0.0129,0.008705,0.004768,0.01089,0.0,0.0,1.218E-4,9.473E-5,4.547E-4,0.9979,1.801E-4,4.066E-4,4.031E-4,7.708E-5,3.397E-4,0.0,3.089E-4,0.002693,0.00341,0.00271,0.3345,0.007319,8.686E-4,0.001377,0.001211,9.427E-4,
0.0,1291.0,154.3,354.1,215.7,0.07864,7.827,1.079,1.015,0.8781,1.23,0.0,344.4,0.391,2.723,0.1415,0.3557,0.3435,0.349,0.5047,2.377,22.95,0.0,344.4,0.391,2.723,0.1415,0.3557,0.3435,0.349,0.5047,2.377,22.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1014.0,215.0,198.9,1544.0,1056.0,36.28,9.839,5.675,9.352,0.0,114.6,6.506,41.8,117.9,44.73,0.2398,0.05129,0.02512,0.07693,0.3836,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,2056.0,180500.0,181500.0,109100.0,5.158E7,45760.0,42640.0,34720.0,31660.0,48640.0,0.0,1.352E-37,3.91E-38,4.2519999999999995E-37,2.688E-37,2.1719999999999999E-38,8.951999999999999E-39,2.083E-39,5.084E-40,3.534E-40,3.74E-40,2.08E-35,0.0,0.6392,0.8843,2.991,1.431,0.124,0.05198,0.01072,0.008801,0.004949,0.01073,0.0,0.0,1.307E-4,1.016E-4,4.877E-4,0.9978,1.932E-4,4.362E-4,4.324E-4,8.267E-5,3.643E-4,0.0,3.675E-4,0.002698,0.003407,0.002669,0.3283,0.007276,8.711E-4,0.00139,0.001216,9.38E-4,
0.0,1298.0,151.4,354.1,191.6,0.04608,13.66,1.106,1.017,0.8811,1.281,0.0,344.4,0.3673,2.708,0.129,0.3493,0.3539,0.3472,0.5062,2.583,22.74,0.0,344.4,0.3673,2.708,0.129,0.3493,0.3539,0.3472,0.5062,2.583,22.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1014.0,220.7,198.8,1485.0,1056.0,36.21,9.796,5.608,9.258,0.0,114.6,6.656,51.39,120.0,44.04,1.086,0.05118,0.025,0.07652,0.3328,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.361E-4,0.0,2370.0,186400.0,182700.0,106200.0,4.92E7,43110.0,41840.0,34370.0,30150.0,47020.0,0.0,1.428E-37,3.556E-38,4.2329999999999996E-37,2.587E-37,2.166E-38,1.154E-38,2.1119999999999998E-39,5.067E-40,3.506E-40,3.724E-40,2.08E-35,0.0,0.6828,0.8672,2.978,1.382,0.1211,0.07217,0.01082,0.008825,0.004961,0.01073,0.0,0.0,1.386E-4,1.078E-4,5.173E-4,0.9976,2.049E-4,4.626E-4,4.586E-4,8.769E-5,3.864E-4,0.0,4.146E-4,0.002704,0.003446,0.002657,0.3226,0.00723,8.685E-4,0.0014,0.001213,9.417E-4,
0.0,1306.0,164.8,328.8,194.4,0.04078,7.645,1.089,1.018,0.8902,1.324,0.0,344.4,0.4231,2.482,0.1688,0.4875,0.352,0.3457,0.5761,1.687,23.56,0.0,344.4,0.4231,2.482,0.1688,0.4875,0.352,0.3457,0.5761,1.687,23.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,229.5,198.9,1440.0,1056.0,36.09,9.707,5.507,9.103,0.0,118.6,6.174,46.32,132.0,39.6,0.2409,0.04989,0.02067,0.06795,0.2915,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,3876.0,343200.0,871800.0,87000.0,4.672E7,39430.0,38260.0,30780.0,28780.0,43900.0,0.0,1.539E-37,4.312E-38,3.877E-37,2.59E-37,3.944E-38,8.445999999999999E-39,2.104E-39,5.116E-40,3.506E-40,3.765E-40,2.08E-35,0.0,0.7476,0.9501,2.77,1.375,0.1992,0.05097,0.01078,0.008862,0.004979,0.01076,0.0,0.0,0.004074,0.01658,2.117E-4,0.9778,1.714E-4,3.87E-4,3.837E-4,7.336E-5,3.233E-4,0.0,4.759E-4,0.003777,0.007845,0.002601,0.3135,0.007205,8.457E-4,0.00139,0.001183,9.384E-4,
0.0,1310.0,161.4,327.4,179.1,0.1386,8.548,1.195,1.041,0.9258,1.396,0.0,344.4,0.3592,2.733,0.2052,0.2793,0.6037,0.1857,0.4565,1.296,23.92,0.0,344.4,0.3592,2.733,0.2052,0.2793,0.6037,0.1857,0.4565,1.296,23.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,238.2,196.2,1427.0,1036.0,36.06,9.683,5.482,9.06,0.0,117.8,11.53,46.86,126.7,40.75,11.57,0.04992,0.02059,0.06719,0.2599,0.0,0.0,4799000.0,1112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001116,0.0,4203.0,216000.0,218400.0,79700.0,4.555E7,50080.0,37850.0,30170.0,27880.0,43010.0,0.0,1.526E-37,3.533E-38,4.041E-37,2.44E-37,2.165E-38,1.907E-38,2.261E-39,5.4149999999999996E-40,3.981E-40,4.316E-40,2.08E-35,0.0,0.7466,0.9606,2.831,1.305,0.1223,0.09397,0.01126,0.008952,0.005134,0.01093,0.0,0.0,0.001155,3.583E-4,2.168E-4,0.9969,1.755E-4,3.964E-4,3.93E-4,7.513E-5,3.311E-4,0.0,4.979E-4,0.002983,0.003531,0.002592,0.3159,0.007204,8.578E-4,0.001391,0.001186,9.419E-4,
