entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
2.156,0.1873,0.1662,0.1037,0.05263,0.2754,0.1088,0.02153,0.05883,0.06671,0.05513,0.04549,0.04549,
2.203,0.1883,0.1289,0.08197,0.0414,0.2163,0.0854,0.01704,0.04655,0.05278,0.04362,0.1439,0.1422,
2.204,0.1895,0.1281,0.08213,0.04148,0.2148,0.08561,0.01708,0.04667,0.05291,0.04373,0.145,0.1426,
2.204,0.2044,0.1267,0.08199,0.04157,0.2135,0.08473,0.01713,0.04681,0.05307,0.04387,0.1461,0.1445,
2.205,0.1586,0.1259,0.08095,0.04128,0.2124,0.08411,0.01719,0.04697,0.05326,0.04441,0.147,0.1466,
2.206,0.179,0.1255,0.08096,0.04139,0.2103,0.08344,0.01724,0.04711,0.05341,0.04454,0.1482,0.148,
2.206,0.1715,0.125,0.0809,0.04145,0.2077,0.08265,0.01722,0.04719,0.05351,0.04462,0.1499,0.1499,
2.208,0.1662,0.1253,0.0808,0.04159,0.2048,0.08247,0.01725,0.04735,0.05369,0.04477,0.1512,0.1509,
2.209,0.1932,0.1248,0.08087,0.04167,0.2027,0.08231,0.01726,0.04744,0.05379,0.04485,0.1522,0.1521,
2.211,0.1643,0.1255,0.08062,0.04167,0.2009,0.08258,0.01733,0.04762,0.054,0.04566,0.1522,0.152,
2.213,0.1401,0.1278,0.08071,0.0418,0.1999,0.08263,0.01739,0.04778,0.05418,0.04609,0.1524,0.1494,
2.213,0.146,0.1287,0.08068,0.0414,0.1995,0.08165,0.01734,0.04774,0.05416,0.04693,0.1523,0.1497,
2.214,0.1498,0.129,0.08067,0.04138,0.1993,0.0814,0.01734,0.04775,0.05417,0.04834,0.1516,0.1491,
2.214,0.1469,0.1283,0.08069,0.04115,0.1985,0.08143,0.01735,0.04777,0.05419,0.04836,0.1525,0.1497,
2.214,0.1396,0.1273,0.08058,0.04114,0.1979,0.08013,0.01738,0.04784,0.0543,0.04846,0.1528,0.1522,
2.214,0.1343,0.1267,0.08042,0.04115,0.1977,0.07998,0.0174,0.04789,0.05435,0.04851,0.1529,0.1529,
2.214,0.1589,0.1258,0.08043,0.04117,0.1976,0.07976,0.01739,0.0479,0.05439,0.04854,0.153,0.1541,
2.214,0.1483,0.1256,0.08052,0.04122,0.197,0.07967,0.0174,0.04794,0.05446,0.0486,0.1532,0.1545,
2.214,0.1381,0.1255,0.08057,0.04088,0.1962,0.07958,0.01742,0.048,0.05453,0.04866,0.1534,0.1553,
2.216,0.1315,0.1275,0.08067,0.04097,0.195,0.0794,0.01746,0.04811,0.05465,0.04936,0.1532,0.1537,
2.216,0.1362,0.1311,0.08073,0.04068,0.1946,0.07795,0.01747,0.04816,0.05471,0.05044,0.1523,0.1519,
2.218,0.1281,0.1331,0.08063,0.04039,0.1945,0.07803,0.01749,0.0482,0.05476,0.05164,0.1513,0.15,
2.22,0.124,0.1352,0.08057,0.04041,0.1945,0.07782,0.0175,0.04823,0.0548,0.05381,0.15,0.1471,
2.221,0.1298,0.1346,0.08025,0.04044,0.1946,0.07752,0.01752,0.04827,0.05484,0.05451,0.1495,0.148,
2.221,0.1232,0.1341,0.08026,0.04048,0.1935,0.07763,0.01754,0.04834,0.05492,0.05459,0.1504,0.1482,
2.222,0.1444,0.1335,0.0802,0.04051,0.1929,0.07725,0.01758,0.04845,0.05504,0.05471,0.1508,0.1491,
2.223,0.1311,0.1334,0.08029,0.04055,0.1922,0.07671,0.0176,0.0485,0.05511,0.05654,0.1492,0.1499,
2.223,0.1425,0.1327,0.08,0.04021,0.1921,0.07676,0.01761,0.04854,0.05514,0.05658,0.15,0.1503,
2.223,0.1396,0.1318,0.07989,0.04025,0.1917,0.07659,0.01764,0.04861,0.05522,0.05666,0.1502,0.1514,
2.224,0.1319,0.136,0.07983,0.04025,0.1913,0.07631,0.01765,0.04865,0.05527,0.05671,0.1504,0.1476,
2.224,0.1828,0.1359,0.07963,0.04028,0.1912,0.07638,0.01767,0.04869,0.05532,0.05676,0.1505,0.1477,
2.227,0.1601,0.133,0.07963,0.04005,0.1935,0.07645,0.02328,0.04331,0.0566,0.0554,0.1506,0.1481,
2.23,0.1384,0.1322,0.07915,0.04028,0.1939,0.07623,0.03017,0.03641,0.05724,0.0549,0.1508,0.1487,
2.229,0.1526,0.1313,0.07893,0.04036,0.1938,0.07586,0.03018,0.03652,0.05893,0.05308,0.1517,0.1493,
2.229,0.1472,0.1303,0.07865,0.04037,0.1931,0.07552,0.03039,0.03628,0.05966,0.05204,0.1544,0.1492,
2.229,0.1472,0.1294,0.07866,0.04047,0.1931,0.07562,0.03067,0.03619,0.06036,0.05106,0.1552,0.1492,
2.229,0.1504,0.1288,0.07869,0.04044,0.1929,0.07569,0.0308,0.03623,0.06079,0.05063,0.1553,0.1496,
2.217,0.1714,0.1283,0.07828,0.0402,0.1924,0.0862,0.01989,0.03657,0.06187,0.0506,0.1552,0.1505,
2.216,0.1697,0.1272,0.07861,0.04024,0.1918,0.08568,0.01997,0.03645,0.06274,0.04967,0.1567,0.1509,
2.202,0.2065,0.1268,0.07857,0.04039,0.1916,0.08585,0.02003,0.08035,0.02046,0.0488,0.1561,0.1511,
2.202,0.191,0.1262,0.07869,0.04011,0.1915,0.08592,0.02014,0.08061,0.02086,0.04818,0.1562,0.1516,
2.202,0.1883,0.1254,0.0786,0.04022,0.1914,0.08559,0.02024,0.08053,0.02107,0.04798,0.157,0.1519,
2.202,0.1821,0.1249,0.07856,0.04038,0.1906,0.08562,0.02013,0.08083,0.02115,0.04749,0.1585,0.1518,
2.203,0.1837,0.1241,0.07833,0.04055,0.1909,0.08551,0.02031,0.08076,0.02231,0.0464,0.1586,0.1522,
2.203,0.1985,0.1231,0.07846,0.04067,0.1906,0.08487,0.02029,0.08085,0.02273,0.04579,0.1594,0.1532,
2.205,0.1924,0.1253,0.07854,0.04081,0.1901,0.08399,0.0201,0.08094,0.02398,0.04601,0.1582,0.152,
2.206,0.1902,0.1263,0.07882,0.04091,0.1898,0.08404,0.01992,0.08099,0.02447,0.04585,0.158,0.1509,
2.209,0.1614,0.1259,0.07885,0.04108,0.1895,0.08373,0.01994,0.08107,0.02487,0.0476,0.1561,0.1514,
2.209,0.1613,0.1236,0.07896,0.04122,0.191,0.08342,0.01996,0.08125,0.02497,0.04746,0.1562,0.1519,
2.214,0.158,0.1246,0.0788,0.0414,0.1911,0.08312,0.01998,0.08147,0.02529,0.05098,0.1525,0.1508,
2.216,0.1691,0.1234,0.07878,0.04153,0.1912,0.08305,0.01997,0.08141,0.02565,0.05234,0.1521,0.1506,
2.215,0.1697,0.1224,0.07874,0.04151,0.1913,0.08275,0.01988,0.08168,0.02584,0.05209,0.1523,0.1515,
2.216,0.169,0.1217,0.07886,0.04165,0.191,0.08248,0.01988,0.08169,0.02694,0.051,0.1531,0.1518,
2.216,0.1629,0.1212,0.0791,0.04176,0.1907,0.08156,0.01989,0.08193,0.02798,0.04982,0.1532,0.1528,
2.217,0.1838,0.12,0.07925,0.04196,0.1911,0.08137,0.01991,0.08201,0.02874,0.04913,0.1533,0.1532,
2.218,0.1775,0.1189,0.07926,0.04203,0.1933,0.08106,0.01992,0.08206,0.02919,0.05013,0.1528,0.1514,
2.22,0.1624,0.1184,0.07894,0.04243,0.193,0.08065,0.01992,0.08205,0.03029,0.05005,0.1525,0.1517,
2.221,0.1848,0.1181,0.07894,0.04264,0.1925,0.08074,0.01994,0.08214,0.03129,0.04914,0.1526,0.1519,
2.22,0.1971,0.1173,0.07869,0.04227,0.1923,0.08006,0.01993,0.0821,0.03228,0.04811,0.1541,0.1529,
2.219,0.1805,0.1167,0.07871,0.04216,0.1923,0.07992,0.01995,0.08216,0.0323,0.04814,0.1542,0.1534,
2.222,0.1855,0.1166,0.07863,0.04234,0.1928,0.07971,0.01996,0.0822,0.0325,0.04975,0.1525,0.153,
2.222,0.1729,0.1179,0.07851,0.04247,0.1933,0.07949,0.02007,0.08238,0.03335,0.04879,0.1527,0.1511,
2.223,0.1712,0.1174,0.07841,0.04223,0.1936,0.07922,0.02037,0.08226,0.03554,0.04647,0.1527,0.1518,
2.208,0.1719,0.1162,0.0783,0.04214,0.1936,0.08818,0.01151,0.08205,0.03875,0.04331,0.1535,0.1524,
2.208,0.1676,0.1151,0.0781,0.04223,0.1937,0.08795,0.01162,0.08201,0.03877,0.04334,0.1544,0.1528,
2.21,0.1843,0.1144,0.07791,0.04223,0.1934,0.08753,0.0117,0.08186,0.04056,0.0435,0.1538,0.153,
2.213,0.1854,0.1183,0.07798,0.04237,0.1935,0.08724,0.0119,0.08179,0.04119,0.04381,0.1529,0.149,
2.214,0.1783,0.1177,0.07781,0.04228,0.1935,0.087,0.0118,0.08187,0.04174,0.04493,0.1518,0.1495,
2.215,0.1482,0.117,0.07811,0.04249,0.193,0.08688,0.01182,0.08207,0.04222,0.04446,0.152,0.1499,
2.215,0.153,0.1163,0.07813,0.04257,0.1927,0.08599,0.01201,0.0819,0.0434,0.0433,0.1528,0.1509,
2.215,0.1855,0.1154,0.0785,0.04266,0.1925,0.08633,0.01196,0.08204,0.0432,0.04335,0.153,0.1511,
2.215,0.1495,0.1148,0.0786,0.04278,0.1926,0.08588,0.01216,0.08189,0.04322,0.04336,0.1531,0.1516,
2.244,0.179,0.1141,0.07861,0.04291,0.1926,0.08519,0.04403,0.05028,0.04347,0.04303,0.1532,0.1525,
2.243,0.1701,0.1133,0.07865,0.04299,0.1927,0.08512,0.04401,0.05038,0.04354,0.04288,0.1534,0.153,
2.244,0.158,0.1125,0.07858,0.04317,0.1925,0.08497,0.04408,0.05037,0.04388,0.04268,0.1536,0.1536,
