RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
8770000.0,5472000.0,2777000.0,1.453E7,5739000.0,1136000.0,3104000.0,3519000.0,2909000.0,9545000.0,9398000.0,
8622000.0,5462000.0,2775000.0,1.446E7,5726000.0,1136000.0,3104000.0,3519000.0,2909000.0,9593000.0,9410000.0,
8519000.0,5435000.0,2771000.0,1.438E7,5704000.0,1136000.0,3104000.0,3519000.0,2908000.0,9593000.0,9456000.0,
8487000.0,5396000.0,2769000.0,1.429E7,5616000.0,1136000.0,3103000.0,3519000.0,2908000.0,9593000.0,9544000.0,
8435000.0,5378000.0,2754000.0,1.421E7,5579000.0,1136000.0,3103000.0,3519000.0,2908000.0,9641000.0,9596000.0,
8287000.0,5327000.0,2752000.0,1.411E7,5573000.0,1134000.0,3103000.0,3519000.0,2908000.0,9641000.0,9627000.0,
8293000.0,5260000.0,2736000.0,1.402E7,5519000.0,1131000.0,3103000.0,3519000.0,2955000.0,9642000.0,9650000.0,
8130000.0,5224000.0,2724000.0,1.39E7,5501000.0,1131000.0,3103000.0,3519000.0,2955000.0,9642000.0,9711000.0,
8022000.0,5193000.0,2714000.0,1.365E7,5414000.0,1131000.0,3103000.0,3518000.0,2954000.0,9642000.0,9836000.0,
7950000.0,5165000.0,2712000.0,1.348E7,5388000.0,1130000.0,3102000.0,3518000.0,2954000.0,9690000.0,9865000.0,
8078000.0,5136000.0,2708000.0,1.327E7,5320000.0,1130000.0,3100000.0,3518000.0,3022000.0,9622000.0,9705000.0,
8067000.0,5125000.0,2706000.0,1.325E7,5290000.0,1130000.0,3100000.0,3518000.0,3022000.0,9622000.0,9734000.0,
8054000.0,5114000.0,2682000.0,1.323E7,5200000.0,1130000.0,3100000.0,3518000.0,3022000.0,9670000.0,9847000.0,
8044000.0,5099000.0,2682000.0,1.32E7,5153000.0,1130000.0,3100000.0,3518000.0,3022000.0,9670000.0,9894000.0,
8016000.0,5092000.0,2681000.0,1.318E7,5152000.0,1130000.0,3100000.0,3518000.0,3022000.0,9719000.0,9894000.0,
7991000.0,5077000.0,2681000.0,1.312E7,5152000.0,1130000.0,3100000.0,3518000.0,3022000.0,9719000.0,9894000.0,
7897000.0,5066000.0,2661000.0,1.305E7,5129000.0,1130000.0,3100000.0,3518000.0,3022000.0,9767000.0,1.002E7,
7875000.0,5057000.0,2661000.0,1.301E7,5074000.0,1128000.0,3100000.0,3518000.0,3022000.0,9767000.0,1.008E7,
7838000.0,5037000.0,2658000.0,1.3E7,5050000.0,1128000.0,3100000.0,3518000.0,3022000.0,9767000.0,1.012E7,
7815000.0,5035000.0,2634000.0,1.297E7,5008000.0,1128000.0,3100000.0,3518000.0,3022000.0,9767000.0,1.019E7,
7945000.0,5034000.0,2634000.0,1.295E7,4985000.0,1126000.0,3100000.0,3518000.0,3048000.0,9790000.0,1.007E7,
8053000.0,5034000.0,2634000.0,1.291E7,4985000.0,1126000.0,3100000.0,3518000.0,3135000.0,9752000.0,9940000.0,
8225000.0,5032000.0,2609000.0,1.288E7,4979000.0,1125000.0,3099000.0,3518000.0,3309000.0,9675000.0,9795000.0,
