cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI
0,1270,198.2,384.2,231.9,1.68,15.84,1.077,1.033,1.059,0.9027,0,344.4,0.1495,2.606,0.1909,0.341,0.4815,0.4939,0.5958,7.216,18.2,0,344.4,0.1495,2.606,0.1909,0.341,0.4815,0.4939,0.5958,7.216,18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,932.3,303.1,113.4,1831,1024,48.44,9.478,13.27,15.51,0,114.5,7.187,16.54,71.87,54.9,6.19,0.5438,0.09746,0.1679,0.408,0,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-04,0,0,187000,215600,101700,6.98E+07,64170,90740,20710,75590,128600,0,1.12E-37,4.18E-38,4.59E-37,2.78E-37,2.71E-38,1.24E-38,2.52E-39,6.87E-40,1.37E-39,7.65E-40,2.08E-35,0,0.5089,1.117,3.052,1.385,0.1723,0.07425,0.01204,0.009683,0.009485,0.008439,0,0,5.42E-04,0.001832,0.001048,1.989,6.90E-04,0.002169,1.16E-04,0.001535,0.002925,0,1.00E-05,0.002833,0.003783,0.002586,0.3479,0.007434,0.001079,0.001292,0.001404,0.001255
0,1274,184.8,379.3,258.3,0.04983,9.289,1.091,1.039,1.094,1.026,0,344.4,0.1549,2.61,0.1746,0.3403,0.4882,0.4818,0.4907,7.351,18.16,0,344.4,0.1549,2.61,0.1746,0.3403,0.4882,0.4818,0.4907,7.351,18.16,0,0,0,0,0,0,0,0,0,0,0,0,0,957.4,318.3,115.2,1764,1024,48.29,9.485,13.2,15.33,0,114.5,6.339,22.79,56.44,57.93,1.923,0.543,0.09648,0.1676,0.2455,0,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001971,0,735.7,183700,213800,95600,6.37E+07,58090,83140,19290,68990,116900,0,1.18E-37,3.80E-38,4.58E-37,2.73E-37,2.71E-38,1.10E-38,2.52E-39,6.77E-40,1.39E-39,7.38E-40,2.08E-35,0,0.5369,1.048,3.052,1.398,0.174,0.0592,0.01207,0.009657,0.009561,0.008352,0,0,5.42E-04,0.001834,0.001049,1.989,6.91E-04,0.002172,1.16E-04,0.001537,0.002929,0,7.85E-05,0.002781,0.003781,0.002581,0.3455,0.007381,0.001082,0.001306,0.001404,0.001251
0,1275,159.4,399.2,244.5,0.04792,18.79,1.252,1.141,1.256,3.948,0,344.4,0.1225,2.619,0.1616,0.3362,0.4764,0.4272,0.4112,7.18,18.49,0,344.4,0.1225,2.619,0.1616,0.3362,0.4764,0.4272,0.4112,7.18,18.49,0,0,0,0,0,0,0,0,0,0,0,0,0,977.1,336.7,113.7,1694,1023,48.14,9.586,13.47,15.49,0,114.5,7.439,22.6,53.83,58.15,1.908,0.544,0.1303,0.1315,0.2287,0,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001464,0,995.5,161600,206500,93660,6.06E+07,54830,79510,19060,65000,111100,0,1.20E-37,3.72E-38,4.57E-37,2.66E-37,2.62E-38,1.12E-38,2.53E-39,7.05E-40,1.44E-39,8.29E-40,2.08E-35,0,0.547,0.8694,3.204,1.354,0.1697,0.06563,0.01264,0.01002,0.01015,0.02419,0,0,5.42E-04,0.001836,0.001049,1.989,6.92E-04,0.002176,1.16E-04,0.00154,0.002934,0,1.47E-04,0.002755,0.003784,0.002547,0.3439,0.00729,0.001087,0.001318,0.001384,0.001309
0,1275,165.7,382.6,251.1,0.3714,20.63,1.341,1.253,0.9279,1.772,0,344.4,0.1954,2.485,0.1613,0.2975,0.4598,0.3837,0.4395,6.933,18.84,0,344.4,0.1954,2.485,0.1613,0.2975,0.4598,0.3837,0.4395,6.933,18.84,0,0,0,0,0,0,0,0,0,0,0,0,0,1005,328.6,128.1,1633,1025,47.46,9.24,12.77,13.08,0,114.5,7.529,20,61.47,49.31,5.009,0.3079,0.04469,0.1074,0.1862,0,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001688,0,1111,152100,258600,78100,5.62E+07,52630,70430,15740,56310,86640,0,1.20E-37,4.02E-38,4.41E-37,2.71E-37,2.45E-38,1.42E-38,2.26E-39,6.72E-40,1.37E-39,4.46E-40,2.08E-35,0,0.5479,0.9088,3.099,1.385,0.1709,0.07857,0.01204,0.01011,0.008895,0.01161,0,0,5.48E-04,0.001849,0.00106,1.989,6.96E-04,0.002188,1.17E-04,0.001549,0.00295,0,1.57E-04,0.002753,0.004291,0.002575,0.3418,0.007298,0.001044,0.0013,0.001341,0.00114
0,1278,160.5,383,239.6,1.74,18.94,1.275,1.239,1.247,2.825,0,344.4,0.1758,2.579,0.4132,0.2919,0.44,0.3571,0.3832,3.401,22.14,0,344.4,0.1758,2.579,0.4132,0.2919,0.44,0.3571,0.3832,3.401,22.14,0,0,0,0,0,0,0,0,0,0,0,0,0,1016,266.4,184.4,1609,1025,47.55,9.341,12.37,16.2,0,114.5,7.052,26.21,65.63,48.32,3.67,0.2243,0.04447,0.4002,0.2962,0,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-04,0,1519,148000,196500,76350,5.39E+07,51790,68630,15550,55170,82670,0,1.23E-37,4.07E-38,4.31E-37,2.72E-37,2.38E-38,1.24E-38,2.18E-39,6.52E-40,1.59E-39,2.42E-39,2.08E-35,0,0.5643,0.8899,3.057,1.412,0.1572,0.07293,0.01147,0.01021,0.01257,0.01949,0,0,5.51E-04,0.001855,0.001065,1.989,6.98E-04,0.002194,1.17E-04,0.001553,0.002959,0,2.42E-04,0.002737,0.003762,0.002657,0.3407,0.007198,0.001047,0.001309,0.001362,0.001164
0,1285,143.1,389.8,238,0.4209,18.87,1.27,1.238,1.326,1.812,0,344.4,0.1627,2.564,0.2463,0.2887,0.3906,0.2758,0.3806,3.179,22.64,0,344.4,0.1627,2.564,0.2463,0.2887,0.3906,0.2758,0.3806,3.179,22.64,0,0,0,0,0,0,0,0,0,0,0,0,0,1034,308.7,162.2,1536,1026,47.47,9.325,12.3,13.89,0,114.6,9.681,25.15,65.93,48.6,2.151,0.2161,0.04425,0.2962,0.1891,0,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001274,0,2432,148300,193200,79060,5.36E+07,56440,68890,15470,55090,82420,0,1.32E-37,4.02E-38,4.29E-37,2.61E-37,2.34E-38,1.11E-38,2.18E-39,6.45E-40,1.56E-39,9.51E-40,2.08E-35,0,0.5985,0.7709,3.117,1.402,0.1556,0.06571,0.01145,0.01021,0.01245,0.01192,0,0,5.51E-04,0.001855,0.001065,1.989,6.98E-04,0.002194,1.17E-04,0.001553,0.002959,0,3.70E-04,0.002724,0.003758,0.002604,0.3411,0.007171,0.001052,0.001309,0.00138,0.001164
0,1286,142.8,381.7,233.6,1.976,25.52,1.28,1.375,1.308,1.629,0,344.4,0.1522,2.497,0.2242,0.2881,0.4357,0.2577,0.3811,3.147,22.71,0,344.4,0.1522,2.497,0.2242,0.2881,0.4357,0.2577,0.3811,3.147,22.71,0,0,0,0,0,0,0,0,0,0,0,0,0,1052,273.9,190.9,1523,1030,48.17,9.348,12.54,13.8,0,114.6,8.222,21.69,67.89,48.38,2.285,0.2232,0.04459,0.2117,0.1716,0,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-04,0,2759,146400,198400,82660,5.46E+07,58190,71370,16000,57050,83650,0,1.33E-37,3.71E-38,4.19E-37,2.56E-37,2.48E-38,2.21E-38,2.21E-39,8.12E-40,1.44E-39,6.95E-40,2.08E-35,0,0.6044,0.7637,3.026,1.393,0.1649,0.1139,0.01158,0.0113,0.01183,0.01059,0,0,5.51E-04,0.001855,0.001065,1.989,6.98E-04,0.002194,1.17E-04,0.001553,0.002959,0,4.50E-04,0.002672,0.003695,0.002714,0.3402,0.007115,0.001064,0.001298,0.001418,0.001172
0,1272,163.6,378.9,238.1,0.2395,15.13,1.21,1.492,1.221,1.723,0,344.4,0.1978,2.497,0.2258,0.2725,0.3997,0.2444,0.7684,4.289,21.17,0,344.4,0.1978,2.497,0.2258,0.2725,0.3997,0.2444,0.7684,4.289,21.17,0,0,0,0,0,0,0,0,0,0,0,0,0,1066,237.7,260.1,1494,1009,43.85,13.16,13.74,14.75,0,109.4,10.42,28.83,61.33,47.48,2.507,0.2238,0.04476,0.1101,0.1854,0,0,4787000,12420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.31E-04,0,2954,146800,201600,86020,5.67E+07,58790,74790,17470,60420,86600,0,9.78E-38,6.50E-38,4.18E-37,2.54E-37,2.11E-38,1.44E-38,1.90E-39,1.04E-39,1.44E-39,6.55E-40,2.08E-35,0,0.4693,0.9425,3.031,1.367,0.1422,0.07292,0.01096,0.01214,0.01065,0.01132,0,0,5.51E-04,0.001855,0.001065,1.989,6.98E-04,0.002194,1.17E-04,0.001553,0.002959,0,4.63E-04,0.002671,0.003601,0.002856,0.3403,0.007078,0.001043,0.001345,0.00145,0.001174
0,1267,176.1,365.1,229.1,8.318,9.003,1.22,1.432,1.467,1.648,0,344.4,0.1984,2.356,0.1689,0.5595,0.3956,0.2401,0.3876,3.109,22.61,0,344.4,0.1984,2.356,0.1689,0.5595,0.3956,0.2401,0.3876,3.109,22.61,0,0,0,0,0,0,0,0,0,0,0,0,0,1082,259.6,255.8,1415,1012,42.6,12.66,13.01,21.4,0,113,6.99,22.71,78.03,38.65,2.317,0.2142,0.04772,0.1098,0.2667,0,0,4782000,15890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01E-04,0,4447,147500,1191000,54310,5.62E+07,63710,22530,17380,46470,74650,0,9.02E-38,4.20E-38,3.84E-37,2.56E-37,4.63E-38,1.10E-38,1.92E-39,1.06E-39,1.49E-39,7.92E-40,2.08E-35,0,0.4443,0.9841,2.863,1.366,0.2553,0.0548,0.01108,0.01179,0.01232,0.01128,0,0,1.83E-04,0.01772,4.66E-05,0.9805,2.02E-04,1.89E-04,1.30E-04,5.95E-04,4.15E-04,0,5.48E-04,0.002638,0.009406,0.002647,0.3302,0.007016,7.31E-04,0.001341,0.001341,0.001277
0,1271,161.2,366.7,225.7,0.3021,11.61,0.7692,1.343,1.395,1.6,0,344.4,0.1469,2.466,0.1704,0.2775,0.3958,0.2354,0.3866,3.11,22.82,0,344.4,0.1469,2.466,0.1704,0.2775,0.3958,0.2354,0.3866,3.11,22.82,0,0,0,0,0,0,0,0,0,0,0,0,0,1105,232.9,258.1,1378,1012,42.96,12.72,13.01,15.63,0,113,7.847,33.88,65.05,48.62,3.026,0.2201,0.04789,0.114,0.2109,0,0,4782000,15320,0,7.853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-04,0,4766,142200,860000,49910,5.40E+07,59930,22260,17220,45850,37840,0,9.42E-38,3.52E-38,4.00E-37,2.46E-37,3.41E-38,1.62E-38,9.93E-40,8.67E-40,1.37E-39,6.15E-40,2.08E-35,0,0.4694,0.9319,2.95,1.319,0.1973,0.07224,0.006573,0.01088,0.01173,0.01033,0,0,1.90E-04,0.01365,4.83E-05,0.9845,2.09E-04,1.96E-04,1.35E-04,6.18E-04,4.31E-04,0,5.90E-04,0.002652,0.007282,0.002632,0.3272,0.006999,7.35E-04,0.001353,0.001348,9.20E-04
0,1280,145.6,380.8,211.2,0.2448,8.311,0.7528,1.324,1.333,1.595,0,344.4,0.1474,2.562,0.1657,0.1929,0.5111,0.1541,0.3714,3.153,22.74,0,344.4,0.1474,2.562,0.1657,0.1929,0.5111,0.1541,0.3714,3.153,22.74,0,0,0,0,0,0,0,0,0,0,0,0,1,1124,229.5,259.1,1357,1012,43.35,12.83,13.02,15.38,0,113,6.678,31.98,78.65,46.07,2.589,0.2168,0.04677,0.113,0.1825,9.98E-16,0,4782000,15190,130.1,36.43,0,0,0,0,0,0,1.21E-17,0,0,3.20E-17,8.57E-15,7.19E-19,2.16E-18,9.91E-18,2.01E-18,1.32E-18,8.57E-18,2.49E-16,0,0,1.85E-24,4.57E-20,3.09E-25,6.38E-29,4.15E-28,2.20E-28,4.16E-29,6.06E-27,3.23E-25,1.00E-04,0,5277,138300,333900,47930,5.12E+07,55170,21970,17030,44850,35450,0,1.04E-37,3.41E-38,4.14E-37,2.40E-37,1.92E-38,1.09E-38,9.63E-40,8.37E-40,1.26E-39,5.57E-40,2.08E-35,0,0.5387,0.815,3.099,1.291,0.1272,0.05375,0.006489,0.01075,0.01133,0.0101,0,0,1.95E-04,0.00317,4.97E-05,0.995,2.15E-04,2.02E-04,1.39E-04,6.35E-04,4.43E-04,0,6.33E-04,0.002662,0.004326,0.002601,0.327,0.007028,7.42E-04,0.001355,0.001345,9.21E-04
0,1282,157.2,366.5,217,0.5658,6.698,0.7532,1.32,1.339,1.612,0,344.4,0.2319,2.494,0.1697,0.1712,0.5077,0.1543,0.3696,3.125,22.77,0,344.4,0.2319,2.494,0.1697,0.1712,0.5077,0.1543,0.3696,3.125,22.77,0,0,0,0,0,0,0,0,0,0,0,0,1,1126,226.8,258.6,1355,1012,43.44,12.88,13.13,15.41,0,113.1,7.477,25.25,80.78,45.72,2.579,0.2173,0.04659,0.1131,0.1668,2.10E-15,0,4782000,15010,236.3,72.59,2.089,0,0,0,0,0,3.71E-17,0,3.01E-20,5.39E-15,1.11E-14,8.34E-16,1.10E-16,1.24E-16,2.18E-17,2.18E-17,1.83E-16,4.23E-15,0,5.31E-29,7.93E-21,7.14E-20,5.51E-21,5.90E-23,9.87E-26,7.26E-27,1.61E-27,2.92E-25,1.37E-23,1.00E-04,0,5976,135000,178000,45960,4.90E+07,52130,21960,17020,44050,33800,0,1.05E-37,4.48E-38,4.00E-37,2.46E-37,1.54E-38,9.61E-39,9.63E-40,8.30E-40,1.25E-39,5.54E-40,2.08E-35,0,0.5438,0.8962,2.994,1.329,0.1111,0.04775,0.006487,0.01071,0.01137,0.0101,0,0,1.99E-04,5.89E-05,5.05E-05,0.998,2.19E-04,2.05E-04,1.41E-04,6.46E-04,4.51E-04,0,7.43E-04,0.002655,0.003441,0.002608,0.3295,0.006946,7.49E-04,0.001368,0.001351,9.26E-04
