RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
4650000.0,2193000.0,1285000.0,6416000.0,5725000.0,2396000.0,998000.0,1216000.0,1538000.0,9575000.0,1.02E7,
4547000.0,2190000.0,1285000.0,6381000.0,5663000.0,2396000.0,998000.0,1216000.0,1538000.0,9575000.0,1.026E7,
4616000.0,2188000.0,1285000.0,6326000.0,5460000.0,2396000.0,996500.0,1215000.0,1538000.0,9575000.0,1.037E7,
4880000.0,2182000.0,1285000.0,6263000.0,5389000.0,2393000.0,996100.0,1215000.0,1538000.0,9623000.0,1.013E7,
4812000.0,2164000.0,1253000.0,6174000.0,5344000.0,2392000.0,995900.0,1215000.0,1537000.0,9623000.0,1.023E7,
4766000.0,2130000.0,1241000.0,6161000.0,5321000.0,2392000.0,995900.0,1215000.0,1537000.0,9671000.0,1.025E7,
4809000.0,2092000.0,1219000.0,6149000.0,5320000.0,2392000.0,995900.0,1215000.0,1648000.0,9561000.0,1.012E7,
4630000.0,2062000.0,1210000.0,6140000.0,5314000.0,2390000.0,995800.0,1215000.0,1648000.0,9608000.0,1.015E7,
4563000.0,2048000.0,1209000.0,6122000.0,5269000.0,2386000.0,995700.0,1215000.0,1647000.0,9608000.0,1.02E7,
4654000.0,2048000.0,1195000.0,6118000.0,5256000.0,2386000.0,995700.0,1215000.0,1683000.0,9573000.0,1.012E7,
4636000.0,2021000.0,1187000.0,6040000.0,5236000.0,2385000.0,995700.0,1215000.0,1683000.0,9573000.0,1.014E7,
4618000.0,2021000.0,1170000.0,6040000.0,5222000.0,2385000.0,995700.0,1215000.0,1683000.0,9573000.0,1.019E7,
4618000.0,2021000.0,1170000.0,6040000.0,5187000.0,2385000.0,995700.0,1215000.0,1683000.0,9573000.0,1.022E7,
4709000.0,2021000.0,1170000.0,6035000.0,5137000.0,2385000.0,995700.0,1215000.0,1878000.0,9474000.0,1.018E7,
4821000.0,2019000.0,1170000.0,6030000.0,5123000.0,2385000.0,995700.0,1215000.0,1878000.0,9474000.0,1.008E7,
4817000.0,2019000.0,1157000.0,6030000.0,5099000.0,2385000.0,995700.0,1215000.0,1878000.0,9521000.0,1.011E7,
