cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI,
0.0,1605.0,164.5,183.8,154.6,0.04903,5.632,0.2397,0.1645,0.9829,0.4028,0.0,343.6,0.1339,0.6707,0.6161,0.07124,0.1893,0.05927,0.08164,4.769,11.01,0.0,343.6,0.1339,0.6707,0.6161,0.07124,0.1893,0.05927,0.08164,4.769,11.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.1,100.1,37.73,821.3,165.2,3.317,3.693,30.57,4.163,0.0,45.19,6.762,11.94,64.07,42.59,0.1306,0.01362,0.01546,0.0119,0.01397,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,0.0,83370.0,89590.0,47810.0,2.239E7,45540.0,21470.0,24240.0,13490.0,24790.0,0.0,4.68E-36,2.439E-36,1.4120000000000002E-35,1.6810000000000002E-35,2.147E-36,3.9829999999999995E-37,1.252E-38,7.804E-39,4.854E-38,2.182E-38,2.08E-35,0.0,0.6631,1.195,3.037,1.58,0.2256,0.0437,0.003975,0.002625,0.01634,0.009706,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,1.0E-5,0.00942,0.01029,0.006469,0.2457,0.01391,0.001641,6.993E-4,0.005386,9.758E-4,
0.0,1597.0,167.6,177.7,155.4,0.3416,7.09,0.2513,0.1765,0.9799,0.3984,0.0,343.6,0.1376,0.8721,0.5912,0.07166,0.208,0.05413,0.08685,4.431,11.15,0.0,343.6,0.1376,0.8721,0.5912,0.07166,0.208,0.05413,0.08685,4.431,11.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.3,103.9,39.06,782.7,166.1,3.095,3.518,30.46,3.979,0.0,44.59,6.902,16.98,63.25,41.16,0.09928,0.01336,0.01535,0.01356,0.02642,0.0,0.0,4795000.0,5289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.491E-4,0.0,14.64,77040.0,81750.0,49000.0,2.142E7,43550.0,20340.0,23010.0,13280.0,24260.0,0.0,4.267E-36,2.392E-36,1.375E-35,1.6540000000000002E-35,2.1230000000000003E-36,6.7179999999999995E-37,1.219E-38,9.385E-39,7.595E-38,2.164E-37,2.08E-35,0.0,0.6047,1.243,2.957,1.577,0.2313,0.06253,0.0042,0.002992,0.01884,0.02736,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,9.993E-6,0.00941,0.01018,0.006504,0.2431,0.01394,0.001621,6.984E-4,0.005397,0.001002,
0.0,1598.0,173.6,172.5,150.2,0.04989,5.496,0.2265,0.1589,0.964,0.4147,0.0,343.6,0.1372,0.744,0.5543,0.07441,0.2154,0.05637,0.08906,4.408,11.27,0.0,343.6,0.1372,0.744,0.5543,0.07441,0.2154,0.05637,0.08906,4.408,11.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.5,107.8,39.36,742.2,165.0,3.238,3.566,29.73,4.723,0.0,47.76,7.744,20.52,59.53,41.03,0.08254,0.0135,0.01536,0.0129,0.01825,0.0,0.0,4789000.0,10380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.135E-4,0.0,450.1,73450.0,76880.0,46780.0,2.157E7,41860.0,19680.0,22300.0,13110.0,23680.0,0.0,4.3210000000000004E-36,2.3730000000000002E-36,1.371E-35,1.626E-35,2.095E-36,5.092E-37,1.084E-38,8.137999999999999E-39,9.385999999999999E-38,8.809999999999999E-38,2.08E-35,0.0,0.6145,1.286,2.961,1.544,0.219,0.03811,0.003727,0.002642,0.02027,0.01586,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,1.736E-4,0.009341,0.01022,0.006386,0.2434,0.01383,0.001636,6.959E-4,0.005417,9.981E-4,
0.0,1583.0,189.6,173.4,148.0,0.04985,4.496,0.2251,0.159,0.9647,0.4178,0.0,343.6,0.1452,0.7388,0.5401,0.07256,0.2265,0.05638,0.08905,4.408,11.27,0.0,343.6,0.1452,0.7388,0.5401,0.07256,0.2265,0.05638,0.08905,4.408,11.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.5,107.8,39.32,698.6,165.0,3.181,3.501,29.72,4.664,0.0,46.73,7.684,19.88,60.85,40.86,0.06204,0.0133,0.01528,0.01219,0.01516,0.0,0.0,4779000.0,20420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,3311.0,73590.0,74870.0,43890.0,2.227E7,41220.0,19380.0,22050.0,12970.0,23740.0,0.0,3.6010000000000004E-36,2.607E-36,1.353E-35,1.629E-35,2.0580000000000002E-36,3.283E-37,1.064E-38,8.102999999999999E-39,9.313999999999999E-38,8.802E-38,2.08E-35,0.0,0.509,1.41,2.952,1.538,0.216,0.02816,0.003726,0.002643,0.02027,0.01586,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,3.483E-4,0.009344,0.0102,0.006341,0.2423,0.01369,0.001626,6.932E-4,0.005416,9.951E-4,
0.0,1583.0,184.9,179.7,148.3,0.04763,4.782,0.2319,0.1704,0.997,0.4065,0.0,343.6,0.1333,0.7848,0.5253,0.07115,0.2373,0.05473,0.08617,3.889,11.76,0.0,343.6,0.1333,0.7848,0.5253,0.07115,0.2373,0.05473,0.08617,3.889,11.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.4,107.7,39.16,668.7,164.9,3.071,3.447,30.68,4.13,0.0,46.73,7.571,15.61,59.12,41.67,0.05979,0.01313,0.0151,0.01189,0.01431,0.0,0.0,4779000.0,18910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.658E-4,0.0,3372.0,75050.0,75450.0,44940.0,2.338E7,41570.0,19480.0,22300.0,12910.0,25080.0,0.0,3.6010000000000004E-36,2.382E-36,1.379E-35,1.598E-35,2.099E-36,3.387E-37,1.045E-38,8.118E-39,9.349E-38,1.162E-37,2.08E-35,0.0,0.5091,1.366,2.961,1.53,0.2196,0.03331,0.003701,0.002653,0.02059,0.03028,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,3.986E-4,0.009333,0.01009,0.006361,0.2412,0.01358,0.001631,7.033E-4,0.005389,0.001107,
0.0,1585.0,181.6,180.1,145.2,0.04754,6.266,0.2418,0.1685,0.999,0.4068,0.0,343.6,0.1337,0.7846,0.5116,0.06909,0.2432,0.05473,0.09873,3.9,11.74,0.0,343.6,0.1337,0.7846,0.5116,0.06909,0.2432,0.05473,0.09873,3.9,11.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.4,109.7,39.16,662.0,164.9,3.02,3.296,30.76,4.085,0.0,46.73,7.522,14.99,59.62,40.37,0.09593,0.01606,0.01501,0.01178,0.01393,3.971E-15,0.0,4779000.0,18710.0,152.5,6.873,0.0,0.0,0.0,0.0,0.0,0.0,3.356E-17,0.0,0.0,1.347E-16,6.616E-15,5.448E-18,8.643000000000001E-20,2.025E-18,4.826E-21,3.794E-21,5.4E-18,1.169E-16,0.0,0.0,3.42E-25,3.697E-22,2.4250000000000003E-26,1.994E-30,1.2470000000000001E-26,4.48E-28,2.971E-33,4.2290000000000005E-30,3.127E-27,1.0E-4,0.0,3426.0,76300.0,75970.0,46050.0,2.439E7,42140.0,19850.0,22750.0,13040.0,25500.0,0.0,3.9220000000000004E-36,2.391E-36,1.374E-35,1.531E-35,2.049E-36,6.1649999999999996E-37,1.03E-38,7.993999999999999E-39,9.272E-38,1.162E-37,2.08E-35,0.0,0.5257,1.349,2.956,1.499,0.215,0.04559,0.0037,0.002621,0.02062,0.03028,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,4.401E-4,0.009302,0.01009,0.006314,0.2392,0.01356,0.00163,6.843E-4,0.005398,0.001101,
0.0,1587.0,180.6,177.5,145.7,0.04743,4.454,0.2464,0.1688,0.9995,0.4069,0.0,343.6,0.1381,0.7741,0.5162,0.06905,0.2409,0.05616,0.09226,3.895,11.75,0.0,343.6,0.1381,0.7741,0.5162,0.06905,0.2409,0.05616,0.09226,3.895,11.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.6,109.0,39.57,640.3,164.8,2.947,3.216,30.74,4.021,0.0,59.61,7.574,14.49,45.43,41.2,0.04284,0.01392,0.01494,0.01173,0.01376,1.08E-14,0.0,4779000.0,17670.0,206.8,12.53,0.0,0.0,0.0,0.0,0.0,0.0,2.821E-16,0.0,0.0,3.222E-15,2.233E-13,2.834E-16,2.224E-17,7.112E-17,3.924E-17,1.284E-16,3.316E-16,6.654E-15,0.0,0.0,3.084E-23,3.298E-20,2.547E-24,2.7249999999999998E-27,3.87E-25,1.5160000000000002E-26,3.89E-29,5.597E-28,2.3410000000000003E-25,4.656E-4,0.0,3649.0,78620.0,76090.0,48520.0,2.618E7,43290.0,20060.0,23160.0,13090.0,26150.0,0.0,4.0960000000000004E-36,2.453E-36,1.367E-35,1.525E-35,2.0580000000000002E-36,3.287E-37,1.048E-38,8.005E-39,9.215E-38,1.161E-37,2.08E-35,0.0,0.5524,1.361,2.913,1.493,0.2163,0.02848,0.003705,0.002622,0.02062,0.03025,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,5.875E-4,0.009301,0.01008,0.006219,0.2391,0.01345,0.001645,6.88E-4,0.0054,0.001097,
0.0,1587.0,173.6,180.5,145.3,0.04736,5.069,0.247,0.1688,0.9994,0.407,0.0,343.6,0.1325,0.8096,0.4786,0.07107,0.2461,0.05647,0.09209,3.894,11.75,0.0,343.6,0.1325,0.8096,0.4786,0.07107,0.2461,0.05647,0.09209,3.894,11.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.5,109.1,39.58,616.3,164.8,2.952,3.218,30.74,4.017,0.0,59.61,7.784,14.07,46.11,40.19,0.02775,0.01319,0.01478,0.01169,0.01358,1.951E-14,0.0,4779000.0,17030.0,197.2,11.08,0.0,0.0,0.0,0.0,0.0,0.0,1.015E-15,0.0,0.0,3.859E-15,1.369E-12,1.394E-15,1.434E-16,4.567E-16,3.299E-16,5.273E-16,1.168E-15,4.763E-14,0.0,0.0,1.4609999999999998E-22,2.883E-19,1.495E-23,7.058000000000001E-26,1.977E-24,7.226000000000001E-26,3.4230000000000003E-28,2.503E-27,6.83E-24,1.0E-4,0.0,3720.0,80080.0,74430.0,50090.0,2.731E7,44010.0,20100.0,23310.0,13100.0,26450.0,0.0,4.0960000000000004E-36,2.363E-36,1.369E-35,1.504E-35,2.0840000000000003E-36,4.276E-37,1.033E-38,7.968E-39,9.182E-38,1.161E-37,2.08E-35,0.0,0.5525,1.302,2.944,1.488,0.2171,0.03453,0.003705,0.002622,0.02062,0.03025,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,6.492E-4,0.009278,0.01007,0.006227,0.2374,0.01338,0.001645,6.824E-4,0.005398,0.001094,
0.0,1587.0,171.0,175.6,138.7,0.04727,7.035,0.247,0.1688,0.9994,0.4071,0.0,343.6,0.1375,0.8183,0.445,0.06851,0.2471,0.05676,0.09208,3.894,11.75,0.0,343.6,0.1375,0.8183,0.445,0.06851,0.2471,0.05676,0.09208,3.894,11.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.1,116.8,40.25,600.6,164.7,2.903,3.163,30.73,3.971,0.0,59.61,8.269,14.72,50.97,40.22,0.02324,0.01285,0.0146,0.01165,0.01341,2.723E-14,0.0,4779000.0,16870.0,194.5,10.66,0.0,0.0,0.0,0.0,0.0,0.0,2.196E-15,0.0,0.0,5.83E-15,4.304E-12,4.111E-15,5.452E-16,1.712E-15,1.4E-15,1.257E-15,4.648E-15,1.136E-13,0.0,0.0,1.061E-21,1.106E-18,1.5609999999999998E-22,3.101E-25,7.382E-24,1.748E-25,1.423E-27,1.8330000000000002E-26,2.023E-23,3.945E-4,0.0,3752.0,83020.0,74190.0,52730.0,2.892E7,45360.0,20380.0,23770.0,13180.0,27140.0,0.0,4.0960000000000004E-36,2.3800000000000003E-36,1.348E-35,1.444E-35,2.043E-36,7.194E-37,1.004E-38,7.923999999999999E-39,9.123E-38,1.162E-37,2.08E-35,0.0,0.5525,1.289,2.887,1.475,0.2141,0.05301,0.003701,0.002621,0.02061,0.03035,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,6.612E-4,0.009299,0.01007,0.006198,0.2363,0.01338,0.001626,6.727E-4,0.005396,0.001087,
0.0,1581.0,178.8,171.4,143.5,0.2299,4.427,0.2471,0.1688,0.9993,0.407,0.0,343.6,0.1397,0.815,0.4446,0.06806,0.2466,0.05689,0.09213,3.894,11.75,0.0,343.6,0.1397,0.815,0.4446,0.06806,0.2466,0.05689,0.09213,3.894,11.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.7,119.3,40.28,583.6,164.7,2.863,3.118,30.72,3.934,0.0,58.93,8.823,15.11,49.8,39.7,0.02173,0.01271,0.01451,0.01164,0.01333,3.431E-14,0.0,4774000.0,21400.0,194.5,10.66,0.0,0.0,0.0,0.0,0.0,0.0,3.961E-15,0.0,1.904E-18,1.544E-14,9.869E-12,2.307E-14,3.225E-15,9.914E-15,4.162E-15,3.488E-15,1.701E-13,5.041E-13,0.0,1.558E-28,2.7290000000000004E-20,2.99E-18,2.115E-20,1.7729999999999998E-22,1.834E-23,5.3400000000000005E-25,3.169E-24,5.593E-25,5.2399999999999996E-23,1.001E-4,0.0,3839.0,82140.0,73120.0,50240.0,2.814E7,44350.0,20130.0,23440.0,13100.0,26700.0,0.0,3.785E-36,2.443E-36,1.327E-35,1.472E-35,2.022E-36,3.2549999999999997E-37,9.864E-39,7.882E-39,9.079E-38,1.161E-37,2.08E-35,0.0,0.5106,1.352,2.84,1.51,0.2107,0.02843,0.003701,0.00262,0.02061,0.03026,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,6.801E-4,0.009292,0.01004,0.006204,0.236,0.01335,0.001623,6.688E-4,0.005393,0.001084,
