cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI
0,1393,186.8,138.5,64.91,0.07159,3.083,0.5663,0.3116,0.3746,0.6156,0,344,0.1077,1.797,0.08994,0.1572,0.2836,0.1136,0.05162,1.627,11.94,0,344,0.1077,1.797,0.08994,0.1572,0.2836,0.1136,0.05162,1.627,11.94,0,0,0,0,0,0,0,0,0,0,0,0,0,185.9,71.15,39.93,1167,224.4,4.838,3.404,6.583,2.216,0,108.7,2.867,6.098,59.1,34.48,0.6775,0.004553,0.005819,0.01764,0.1907,0,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-04,0,0,99870,86310,49720,2.94E+07,30850,20340,26720,21970,23110,0,1.81E-37,9.83E-38,6.56E-37,4.45E-37,4.24E-38,1.30E-38,3.30E-39,1.53E-39,1.69E-39,1.45E-38,2.08E-35,0,0.2941,1.016,1.778,0.8056,0.1659,0.02714,0.00603,0.003031,0.004104,0.03369,0,0,3.57E-04,3.30E-04,6.05E-04,0.9966,4.71E-04,3.41E-04,7.72E-04,4.95E-05,4.70E-04,0,1.00E-05,0.001644,0.001916,0.001441,0.1712,0.005009,0.001035,5.41E-04,4.75E-04,2.78E-04
0,1393,181,137.6,65.7,0.1316,4.439,0.6248,0.379,0.377,0.1141,0,344,0.1069,1.446,0.1239,0.1533,0.2616,0.1224,0.04781,0.9478,12.95,0,344,0.1069,1.446,0.1239,0.1533,0.2616,0.1224,0.04781,0.9478,12.95,0,0,0,0,0,0,0,0,0,0,0,0,0,205.8,70.99,41.65,1150,226.4,4.972,3.173,6.14,1.89,0,108.7,2.571,5.465,57.33,33.47,0.7648,0.004537,0.007252,0.01445,0.1745,0,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.18E-04,0,258.8,93000,79040,47430,2.74E+07,31890,19070,25280,20320,21540,0,1.81E-37,9.26E-38,6.62E-37,4.41E-37,4.00E-38,2.05E-38,3.55E-39,1.81E-39,1.46E-39,4.84E-39,2.08E-35,0,0.2942,0.9912,1.777,0.8035,0.1603,0.04064,0.00664,0.003763,0.003092,0.01459,0,0,3.57E-04,3.30E-04,6.05E-04,0.9966,4.71E-04,3.41E-04,7.72E-04,4.95E-05,4.70E-04,0,1.17E-04,0.00162,0.001906,0.001446,0.1705,0.004909,0.001035,5.32E-04,4.75E-04,2.80E-04
0,1381,190.8,134.2,64.27,0.001342,2.905,0.599,0.3517,0.3738,0.08397,0,344,0.1087,1.212,0.2342,0.1535,0.2254,0.1218,0.04734,0.364,13.69,0,344,0.1087,1.212,0.2342,0.1535,0.2254,0.1218,0.04734,0.364,13.69,0,0,0,0,0,0,0,0,0,0,0,0,0,219.3,71.16,40.46,1100,229.1,3.929,2.327,5.884,1.808,0,105.7,2.436,11.73,61.8,30.54,0.7546,0.004493,0.008307,0.01226,0.1378,0,0,4789000,9635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.24E-04,0,383.8,89670,76590,46270,2.67E+07,30800,18450,24770,19130,20710,0,1.49E-37,9.43E-38,6.59E-37,4.48E-37,3.87E-38,1.40E-38,3.37E-39,1.64E-39,1.24E-39,1.93E-39,2.08E-35,0,0.2424,1.023,1.778,0.8331,0.1592,0.02552,0.006333,0.003442,0.002211,0.002533,0,0,3.57E-04,3.30E-04,6.05E-04,0.9966,4.71E-04,3.41E-04,7.72E-04,4.95E-05,4.70E-04,0,1.46E-04,0.001613,0.001895,0.001445,0.1708,0.004901,0.001041,5.25E-04,4.72E-04,2.81E-04
0,1374,195.9,132,70.92,0.001295,2.092,0.5993,0.3517,0.3738,0.08514,0,344,0.1206,1.182,0.2585,0.1531,0.213,0.1266,0.04743,0.3606,13.69,0,344,0.1206,1.182,0.2585,0.1531,0.213,0.1266,0.04743,0.3606,13.69,0,0,0,0,0,0,0,0,0,0,0,0,0,224.4,71.06,40.27,1021,229.4,3.892,2.248,5.748,1.752,0,104.1,2.725,18.28,52.65,30.37,0.7465,0.004471,0.008294,0.01218,0.1367,0,0,4783000,14200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.16E-04,0,517.8,91470,73150,44190,2.68E+07,30340,18420,24870,18820,20490,0,1.36E-37,9.69E-38,6.54E-37,4.48E-37,3.84E-38,1.11E-38,3.37E-39,1.63E-39,1.24E-39,1.93E-39,2.08E-35,0,0.2204,1.034,1.77,0.8496,0.1586,0.02094,0.006336,0.003442,0.002211,0.002534,0,0,3.57E-04,3.30E-04,6.05E-04,0.9966,4.71E-04,3.41E-04,7.72E-04,4.95E-05,4.70E-04,0,1.97E-04,0.001621,0.001893,0.001423,0.17,0.004852,0.001042,5.29E-04,4.71E-04,2.81E-04
0,1370,190.4,136.1,75.31,0.002024,3.455,0.6002,0.3518,0.374,0.08582,0,344,0.1333,1.141,0.2704,0.1566,0.2315,0.1163,0.04424,0.3572,13.69,0,344,0.1333,1.141,0.2704,0.1566,0.2315,0.1163,0.04424,0.3572,13.69,0,0,0,0,0,0,0,0,0,0,0,0,0,236,72.12,41.71,952.3,228.5,3.937,2.159,5.491,1.661,0,103.1,3.854,11.33,49.01,31.88,3.997,0.00445,0.008282,0.01209,0.1481,0,0,4778000,18800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-04,0,830.4,93450,71630,49480,2.76E+07,30660,18830,25570,19040,20950,0,1.32E-37,1.18E-37,6.44E-37,4.12E-37,4.15E-38,2.68E-38,3.37E-39,1.62E-39,1.24E-39,9.66E-40,2.08E-35,0,0.2214,1.026,1.786,0.7936,0.1607,0.04268,0.006344,0.003443,0.002212,0.00167,0,0,3.57E-04,3.30E-04,6.05E-04,0.9966,4.71E-04,3.41E-04,7.72E-04,4.95E-05,4.70E-04,0,2.34E-04,0.001616,0.001882,0.001388,0.1697,0.004861,0.001047,5.27E-04,4.70E-04,2.81E-04
0,1368,197,136.8,78.99,0.001543,2.1,0.6006,0.3508,0.3752,0.08607,0,344,0.1092,1.165,0.2678,0.1543,0.2146,0.1243,0.04553,0.36,13.69,0,344,0.1092,1.165,0.2678,0.1543,0.2146,0.1243,0.04553,0.36,13.69,0,0,0,0,0,0,0,0,0,0,0,0,0,253.7,72.17,40.26,887.7,228,3.918,2.066,5.326,1.729,0,102.7,4.375,10.42,46.98,30.15,0.7268,0.004429,0.008271,0.012,0.03954,0,0,4771000,25090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.17E-04,0,1118,96620,75340,46630,2.92E+07,31150,19660,26940,19570,22010,0,1.23E-37,1.07E-37,6.55E-37,4.28E-37,3.35E-38,1.08E-38,3.36E-39,1.61E-39,1.23E-39,5.06E-40,2.08E-35,0,0.2108,1.023,1.808,0.8181,0.1494,0.02092,0.006348,0.003439,0.002216,0.001035,0,0,3.57E-04,3.30E-04,6.05E-04,0.9966,4.71E-04,3.41E-04,7.72E-04,4.95E-05,4.70E-04,0,2.41E-04,0.001618,0.001886,0.001359,0.1703,0.004858,0.00105,5.23E-04,4.70E-04,2.84E-04
0,1369,204.3,130.8,90.39,0.194,2.097,0.3964,0.2997,0.3115,0.08575,0,344.1,0.1258,1.07,0.3071,0.1535,0.2019,0.1142,0.04232,0.3567,13.69,0,344.1,0.1258,1.07,0.3071,0.1535,0.2019,0.1142,0.04232,0.3567,13.69,0,0,0,0,0,0,0,0,0,0,0,0,0,279,75.77,15.95,850.4,227.6,4.02,2.052,5.254,1.702,0,102.7,4.281,10.34,32.84,29.87,0.7268,0.02565,0.01357,0.01857,0.03944,0,0,4771000,25090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72E-04,0,1162,101900,73230,45220,3.04E+07,31690,20270,27920,19760,22540,0,1.29E-37,1.00E-37,6.18E-37,4.42E-37,3.27E-38,1.06E-38,1.51E-39,1.14E-39,6.52E-40,5.03E-40,2.08E-35,0,0.2217,1.072,1.717,0.8385,0.1484,0.02091,0.004354,0.00294,0.001593,0.001033,0,0,3.57E-04,3.30E-04,6.05E-04,0.9966,4.71E-04,3.41E-04,7.72E-04,4.95E-05,4.70E-04,0,2.60E-04,0.001809,0.001843,0.001204,0.1692,0.004851,0.001047,5.19E-04,4.67E-04,2.82E-04
0,1372,201.8,125.7,91.51,0.222,4.135,0.4133,0.303,0.3162,0.08727,0,344.1,0.1168,1.06,0.3026,0.1561,0.2027,0.1152,0.04135,0.3566,13.69,0,344.1,0.1168,1.06,0.3026,0.1561,0.2027,0.1152,0.04135,0.3566,13.69,0,0,0,0,0,0,0,0,0,0,0,0,0,283.8,78.37,17.88,748.8,282.7,3.707,1.966,5.013,1.577,0,102.7,2.898,15.28,27.19,24.43,6.024,0.02999,0.01204,0.01833,0.04371,1.19E-14,0,4771000,24780,180.5,0,0,0,0,0,0,0,2.42E-16,0,0,3.26E-15,1.83E-16,5.03E-17,2.23E-18,3.74E-17,2.93E-17,1.04E-18,1.23E-19,1.02E-19,0,0,1.06E-22,2.49E-22,3.36E-22,1.27E-29,8.89E-29,1.52E-29,5.85E-31,1.05E-31,1.05E-31,3.93E-04,0,1413,99190,70680,43830,3.15E+07,210800,20400,28700,18220,22870,0,1.41E-37,9.48E-38,6.08E-37,4.29E-37,3.06E-38,2.10E-38,1.53E-39,1.14E-39,6.53E-40,5.06E-40,2.08E-35,0,0.2505,1.054,1.695,0.809,0.1446,0.04398,0.004414,0.002945,0.001605,0.00105,0,0,3.57E-04,3.30E-04,6.05E-04,0.9966,4.71E-04,3.41E-04,7.72E-04,4.95E-05,4.70E-04,0,3.25E-04,0.001766,0.001818,0.001195,0.1681,0.005307,0.001041,5.20E-04,4.63E-04,2.80E-04
0,1363,193.2,144.3,93.85,9.91E-04,1.028,0.4071,0.3031,0.3153,0.08481,0,344.1,0.1277,1.072,0.3624,0.1234,0.1436,0.1152,0.04102,0.3565,13.69,0,344.1,0.1277,1.072,0.3624,0.1234,0.1436,0.1152,0.04102,0.3565,13.69,0,0,0,0,0,0,0,0,0,0,0,0,0,299.3,70.86,13.53,713.7,285.6,3.709,1.706,4.959,1.45,0,101.9,2.931,13.57,30.53,26.6,1.268,0.01277,0.01127,0.01405,0.0127,2.87E-14,0,4762000,32830,180.5,0,0,0,0,0,0,0,1.56E-15,0,1.35E-18,4.99E-14,3.50E-15,2.06E-15,1.18E-15,9.39E-16,9.51E-16,3.36E-17,4.53E-16,8.62E-15,0,3.01E-23,4.70E-21,6.49E-21,3.04E-20,3.74E-24,4.81E-24,1.64E-26,4.47E-27,1.21E-26,2.71E-23,7.66E-04,0,1660,171100,77030,64720,2.95E+07,190600,17900,30410,17270,38100,0,1.25E-37,9.00E-38,6.17E-37,4.34E-37,2.36E-38,9.28E-39,1.48E-39,1.10E-39,6.39E-40,2.08E-40,2.08E-35,0,0.2222,0.9892,1.798,0.8255,0.1346,0.01844,0.004327,0.002902,0.001586,6.35E-04,0,0,0.00301,1.01E-05,0.001569,0.9927,3.89E-04,2.82E-04,9.21E-04,4.10E-05,0.001109,0,3.57E-04,0.002159,0.001824,0.001286,0.1671,0.005293,0.001033,5.37E-04,4.61E-04,3.67E-04
0,1367,192.7,144,94.22,0.001416,1.033,0.4089,0.3031,0.3163,0.08529,0,344.1,0.1371,1.061,0.3612,0.1215,0.1424,0.1158,0.0403,0.3569,13.69,0,344.1,0.1371,1.061,0.3612,0.1215,0.1424,0.1158,0.0403,0.3569,13.69,0,0,0,0,0,0,0,0,0,0,0,0,0,309,73.47,13.53,702,286.2,3.703,1.685,4.819,1.442,0,101.9,2.688,12.7,26.13,26.44,1.259,0.01106,0.01084,0.01299,0.01263,4.50E-14,0,4762000,32130,180.5,0,0,0,0,0,0,0,3.97E-15,0,1.35E-18,2.04E-13,3.80E-14,1.04E-14,5.21E-15,5.19E-15,4.23E-15,1.27E-15,1.14E-14,2.58E-13,0,3.01E-23,4.01E-20,3.33E-20,2.46E-19,3.87E-24,4.64E-23,1.71E-25,8.13E-26,6.34E-23,2.26E-22,1.00E-04,0,1780,123400,73250,61740,2.74E+07,173700,17300,29110,16710,36430,0,1.31E-37,9.92E-38,6.04E-37,4.27E-37,2.35E-38,9.23E-39,1.47E-39,1.09E-39,6.34E-40,2.04E-40,2.08E-35,0,0.2424,0.9951,1.786,0.802,0.1343,0.01841,0.00433,0.002897,0.001585,6.40E-04,0,0,0.001431,1.05E-05,0.001621,0.9941,4.02E-04,2.92E-04,9.52E-04,4.23E-05,0.001146,0,3.90E-04,0.001907,0.001828,0.001276,0.1661,0.00528,0.001037,5.37E-04,4.56E-04,3.72E-04
