cMHCIEnEr;cMHCIEnPm;cMHCIEnRabA;cMHCIEnRabB;cMHCIEnRabC;cMHCIEnRabD;cMHCIEnRabE;cMHCIEnRabF;cMHCIEnRabG;cMHCIEnRabH;cMHCIEnRabI;exCxEnEr;exCxEnPm;exCxEnRabA;exCxEnRabB;exCxEnRabC;exCxEnRabD;exCxEnRabE;exCxEnRabF;exCxEnRabG;exCxEnRabH;exCxEnRabI;imCxEnEr;imCxEnPm;imCxEnRabA;imCxEnRabB;imCxEnRabC;imCxEnRabD;imCxEnRabE;imCxEnRabF;imCxEnRabG;imCxEnRabH;imCxEnRabI;membraneMarkerEr;membraneMarkerPm;membraneMarkerRabA;membraneMarkerRabB;membraneMarkerRabC;membraneMarkerRabD;membraneMarkerRabE;membraneMarkerRabF;membraneMarkerRabG;membraneMarkerRabH;membraneMarkerRabI;mvbEr;mvbPm;mvbRabA;mvbRabB;mvbRabC;mvbRabD;mvbRabE;mvbRabF;mvbRabG;mvbRabH;mvbRabI;oMHCIEnEr;oMHCIEnPm;oMHCIEnRabA;oMHCIEnRabB;oMHCIEnRabC;oMHCIEnRabD;oMHCIEnRabE;oMHCIEnRabF;oMHCIEnRabG;oMHCIEnRabH;oMHCIEnRabI;ovaCyCy;ovaEnEr;ovaEnPm;ovaEnRabA;ovaEnRabB;ovaEnRabC;ovaEnRabD;ovaEnRabE;ovaEnRabF;ovaEnRabG;ovaEnRabH;ovaEnRabI;pepCyCy;pepEnEr;pepEnPm;pepEnRabA;pepEnRabB;pepEnRabC;pepEnRabD;pepEnRabE;pepEnRabF;pepEnRabG;pepEnRabH;pepEnRabI;pepMHCIEnEr;pepMHCIEnPm;pepMHCIEnRabA;pepMHCIEnRabB;pepMHCIEnRabC;pepMHCIEnRabD;pepMHCIEnRabE;pepMHCIEnRabF;pepMHCIEnRabG;pepMHCIEnRabH;pepMHCIEnRabI;protonCyCy;protonEnEr;protonEnPm;protonEnRabA;protonEnRabB;protonEnRabC;protonEnRabD;protonEnRabE;protonEnRabF;protonEnRabG;protonEnRabH;protonEnRabI;R-TfaEnEr;R-TfaEnPm;R-TfaEnRabA;R-TfaEnRabB;R-TfaEnRabC;R-TfaEnRabD;R-TfaEnRabE;R-TfaEnRabF;R-TfaEnRabG;R-TfaEnRabH;R-TfaEnRabI;R-TfEnPm;REnEr;REnPm;REnRabA;REnRabB;REnRabC;REnRabD;REnRabE;REnRabF;REnRabG;REnRabH;REnRabI;solubleMarkerEr;solubleMarkerPm;solubleMarkerRabA;solubleMarkerRabB;solubleMarkerRabC;solubleMarkerRabD;solubleMarkerRabE;solubleMarkerRabF;solubleMarkerRabG;solubleMarkerRabH;solubleMarkerRabI;TfaEnEr;TfaEnPm;TfaEnRabA;TfaEnRabB;TfaEnRabC;TfaEnRabD;TfaEnRabE;TfaEnRabF;TfaEnRabG;TfaEnRabH;TfaEnRabI
0;1605;164.5;183.8;154.6;0.04903;5.632;0.2397;0.1645;0.9829;0.4028;0;343.6;0.1339;0.6707;0.6161;0.07124;0.1893;0.05927;0.08164;4.769;11.01;0;343.6;0.1339;0.6707;0.6161;0.07124;0.1893;0.05927;0.08164;4.769;11.01;0;0;0;0;0;0;0;0;0;0;0;0;0;272.1;100.1;37.73;821.3;165.2;3.317;3.693;30.57;4.163;0;45.19;6.762;11.94;64.07;42.59;0.1306;0.01362;0.01546;0.0119;0.01397;0;0;4800000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.00E-04;0;0;83360;89580;47790;2.24E+07;45530;21460;24230;13490;24780;0;4.68E-36;2.44E-36;1.41E-35;1.68E-35;2.15E-36;3.98E-37;1.25E-38;7.80E-39;4.85E-38;2.18E-38;2.08E-35;0;0.6631;1.195;3.037;1.58;0.2256;0.0437;0.003975;0.002625;0.01634;0.009706;0;0;2.51E-04;1.09E-04;8.20E-04;0.9961;0.001029;4.12E-04;5.41E-04;6.27E-05;6.57E-04;0;1.00E-05;0.00942;0.01029;0.006468;0.2456;0.01391;0.001641;6.99E-04;0.005386;9.76E-04
0;1585;179.8;181.1;145.4;0.0494;7.437;0.2641;0.1636;0.9837;0.4031;0;343.6;0.135;0.6605;0.6045;0.06964;0.1892;0.05918;0.08114;4.75;11.03;0;343.6;0.135;0.6605;0.6045;0.06964;0.1892;0.05918;0.08114;4.75;11.03;0;0;0;0;0;0;0;0;0;0;0;0;0;307.5;102.3;38.82;783.8;165.2;3.257;3.578;30.6;4.105;0;46.42;5.891;12.59;67.73;41.8;0.1214;0.01333;0.01523;0.01178;0.01373;0;0;4784000;13720;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.49E-04;0;505.7;75680;78580;46250;2.13E+07;42320;20070;22650;13140;23570;0;3.71E-36;2.41E-36;1.41E-35;1.62E-35;2.12E-36;6.53E-37;1.20E-38;7.73E-39;4.77E-38;2.18E-38;2.08E-35;0;0.53;1.306;3.004;1.556;0.2231;0.05191;0.003913;0.002608;0.01635;0.009705;0;0;2.51E-04;1.09E-04;8.20E-04;0.9961;0.001029;4.12E-04;5.41E-04;6.27E-05;6.57E-04;0;1.96E-04;0.009259;0.01029;0.006407;0.2426;0.01382;0.001654;6.88E-04;0.00539;9.69E-04
0;1583;180.2;180.9;146.4;0.04937;5.305;0.3588;0.1711;0.9933;0.4031;0;343.6;0.1335;0.6492;0.6178;0.07142;0.1803;0.05952;0.08101;4.75;11.03;0;343.6;0.1335;0.6492;0.6178;0.07142;0.1803;0.05952;0.08101;4.75;11.03;0;0;0;0;0;0;0;0;0;0;0;0;0;335.6;107.6;39.15;749.4;165.1;3.178;3.489;30.59;4.032;0;46.11;5.569;11.78;66.13;42.19;0.1144;0.01323;0.01514;0.01174;0.01364;0;0;4781000;16390;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.74E-04;0;557.7;72530;75670;44450;2.14E+07;41470;19890;22480;13090;23580;0;3.57E-36;2.40E-36;1.39E-35;1.64E-35;2.15E-36;3.58E-37;1.34E-38;7.72E-39;4.68E-38;2.18E-38;2.08E-35;0;0.5193;1.301;2.979;1.562;0.2245;0.0324;0.004398;0.002609;0.01635;0.009705;0;0;2.51E-04;1.09E-04;8.20E-04;0.9961;0.001029;4.12E-04;5.41E-04;6.27E-05;6.57E-04;0;2.15E-04;0.009247;0.01027;0.006395;0.242;0.01379;0.001664;6.85E-04;0.005392;9.67E-04
0;1584;181.1;186.8;139;0.05203;5.31;0.3611;0.1736;0.9754;0.407;0;343.6;0.1384;0.65;0.6114;0.07227;0.18;0.06064;0.08238;4.74;11.04;0;343.6;0.1384;0.65;0.6114;0.07227;0.18;0.06064;0.08238;4.74;11.04;0;0;0;0;0;0;0;0;0;0;0;0;0;340.9;107.3;39.45;714.9;165;3.207;3.539;29.7;4.162;0;46.11;5.498;11.3;63.77;42.89;0.1046;0.01329;0.01514;0.01174;0.01364;0;0;4781000;16390;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.00E-04;0;708.6;72450;74120;44220;2.20E+07;41630;20110;22780;13120;23980;0;3.60E-36;2.52E-36;1.38E-35;1.62E-35;2.14E-36;3.57E-37;1.35E-38;7.82E-39;4.56E-38;2.19E-38;2.08E-35;0;0.5314;1.34;2.917;1.563;0.2247;0.03234;0.004428;0.002649;0.01606;0.009768;0;0;2.51E-04;1.09E-04;8.20E-04;0.9961;0.001029;4.12E-04;5.41E-04;6.27E-05;6.57E-04;0;3.78E-04;0.009278;0.01025;0.006349;0.2409;0.01363;0.001664;6.79E-04;0.005408;9.60E-04
0;1581;182.6;169.1;131.1;0.05172;5.317;0.3679;0.1736;1.365;2.995;0;343.6;0.1402;0.6584;0.6151;0.1088;0.1841;0.06068;0.08238;3.751;11.95;0;343.6;0.1402;0.6584;0.6151;0.1088;0.1841;0.06068;0.08238;3.751;11.95;0;0;0;0;0;0;0;0;0;0;0;0;0;351.1;115.2;41.22;691.3;165;3.152;3.477;29.69;4.111;0;45.46;1.448;12.5;82.4;41.81;1.072;0.01325;0.01516;0.01176;0.01889;0;0;4775000;21520;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.79E-04;0;856;72750;82710;45000;2.30E+07;42470;20130;22910;13070;24680;0;3.37E-36;2.50E-36;1.34E-35;1.60E-35;2.19E-36;4.31E-37;1.34E-38;7.80E-39;5.34E-38;7.68E-38;2.08E-35;0;0.5183;1.359;2.803;1.571;0.2273;0.03775;0.004429;0.002649;0.01968;0.0339;0;0;2.51E-04;1.09E-04;8.20E-04;0.9961;0.001029;4.12E-04;5.41E-04;6.27E-05;6.57E-04;0;4.92E-04;0.009227;0.01021;0.006278;0.2402;0.01356;0.001667;6.82E-04;0.005407;9.90E-04
0;1585;182.5;161;128;0.06448;10.67;0.2883;0.1982;1.031;0.438;0;343.6;0.1373;0.6481;0.5969;0.1051;0.1951;0.05885;0.08202;3.094;12.62;0;343.6;0.1373;0.6481;0.5969;0.1051;0.1951;0.05885;0.08202;3.094;12.62;0;0;0;0;0;0;0;0;0;0;0;0;0;373;128.4;41.42;686.5;152.8;2.159;2.544;28.41;2.893;0;45.46;1.45;12.47;81.39;40.59;1.064;0.01322;0.01511;0.01181;0.01887;0;0;4775000;19270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.87E-04;0;1006;73800;82640;44730;2.42E+07;43970;20350;23340;13030;25400;0;3.56E-36;2.16E-36;1.27E-35;1.55E-35;2.16E-36;1.52E-36;1.46E-38;1.22E-38;5.38E-38;2.61E-38;2.08E-35;0;0.5616;1.334;2.721;1.52;0.2243;0.1134;0.004133;0.002957;0.01686;0.01016;0;0;2.51E-04;1.09E-04;8.20E-04;0.9961;0.001029;4.12E-04;5.41E-04;6.27E-05;6.57E-04;0;6.15E-04;0.007504;0.008377;0.00536;0.2389;0.01783;0.001643;7.27E-04;0.005392;0.001002
0;1589;154.7;185.6;127.4;0.04958;4.394;0.3742;0.1855;0.96;0.4253;0;343.7;0.1253;0.7061;0.5733;0.1031;0.1138;0.05927;0.1088;3.1;12.59;0;343.7;0.1253;0.7061;0.5733;0.1031;0.1138;0.05927;0.1088;3.1;12.59;0;0;0;0;0;0;0;0;0;0;0;0;0;395.6;121;33.75;667.9;167.2;2.426;3.279;27.83;3.258;0;55.7;1.454;13.12;70.12;41.62;1.077;0.01308;0.01492;0.01178;0.01875;0;0;4775000;18020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.54E-04;0;1986;75750;87730;46640;2.61E+07;48570;21010;24210;13240;26630;0;4.52E-36;1.90E-36;1.36E-35;1.49E-35;2.27E-36;2.91E-37;1.22E-38;8.23E-39;4.33E-38;2.21E-38;2.08E-35;0;0.6515;1.175;2.894;1.457;0.2295;0.02967;0.004448;0.002826;0.01583;0.009901;0;0;2.51E-04;1.09E-04;8.20E-04;0.9961;0.001029;4.12E-04;5.41E-04;6.27E-05;6.57E-04;0;8.18E-04;0.007791;0.007843;0.004875;0.2388;0.01818;0.001645;7.13E-04;0.005432;0.001069
0;1591;153.8;181.7;129.3;1.421;4.139;0.376;0.1859;0.9616;0.4317;0;343.7;0.1237;0.6622;0.5773;0.1299;0.1118;0.06257;0.08665;3.073;12.64;0;343.7;0.1237;0.6622;0.5773;0.1299;0.1118;0.06257;0.08665;3.073;12.64;0;0;0;0;0;0;0;0;0;0;0;0;0;378.6;125.8;34.43;663.6;187.6;2.82;3.702;28.89;3.711;0;55.7;1.499;13.12;69.91;40.08;1.001;0.01323;0.01509;0.002542;0.01901;0;0;4775000;18020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.00E-04;0;2132;82210;315500;59670;2.71E+07;42340;19690;21990;12500;23830;0;4.61E-36;1.93E-36;1.28E-35;1.49E-35;2.70E-36;2.94E-37;1.28E-38;8.69E-39;4.32E-38;2.27E-38;2.08E-35;0;0.6805;1.176;2.784;1.475;0.2712;0.0299;0.004476;0.00286;0.01586;0.009954;0;0;4.72E-04;0.009257;0.001294;0.987;7.82E-04;3.05E-04;4.01E-04;4.64E-05;4.87E-04;0;0.00104;0.00699;0.009274;0.004942;0.2358;0.01855;0.00165;7.06E-04;0.00546;0.001084
0;1587;159.6;178.8;132.1;0.05048;5.629;0.3761;0.1859;0.9625;0.4316;0;343.7;0.1251;0.6799;0.5574;0.1029;0.1144;0.06567;0.08675;3.074;12.64;0;343.7;0.1251;0.6799;0.5574;0.1029;0.1144;0.06567;0.08675;3.074;12.64;0;0;0;0;0;0;0;0;0;0;0;0;0;386.2;125.5;34.41;658.1;186.6;3.055;3.957;29.43;3.976;0;55.01;1.771;16.86;59.29;38.1;2.39;0.01334;0.01517;0.002616;0.01916;0;0;4771000;22940;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.53E-04;0;2420;83180;106100;57100;2.56E+07;42120;19580;21840;12570;23600;0;4.39E-36;2.35E-36;1.32E-35;1.45E-35;1.96E-36;4.78E-37;1.26E-38;8.48E-39;4.31E-38;2.23E-38;2.08E-35;0;0.668;1.234;2.805;1.424;0.2132;0.04413;0.004465;0.002845;0.01587;0.009935;0;0;4.83E-04;4.57E-04;0.001323;0.9957;8.00E-04;3.12E-04;4.09E-04;4.75E-05;4.97E-04;0;0.001116;0.00699;0.007738;0.004909;0.2356;0.01772;0.001654;7.04E-04;0.005462;0.001085
0;1589;154.9;177.8;134.2;0.05114;4.061;0.377;0.1863;0.9632;0.4322;0;343.7;0.1226;0.6667;0.5578;0.1016;0.1087;0.06602;0.08642;3.073;12.64;0;343.7;0.1226;0.6667;0.5578;0.1016;0.1087;0.06602;0.08642;3.073;12.64;0;0;0;0;0;0;0;0;0;0;0;0;0;399.2;126.5;34.87;661.3;185;3.213;4.131;29.79;4.164;0;55.02;1.025;19.78;58.16;37.66;2.213;0.01326;0.01518;0.002539;0.01922;7.10E-15;0;4771000;22000;374.7;45.59;0;0;0;0;0;0;6.12E-17;0;0;1.35E-16;6.87E-15;8.41E-18;1.32E-17;5.30E-18;1.28E-17;1.60E-18;2.56E-18;1.53E-19;0;0;7.00E-24;4.09E-21;1.37E-23;1.38E-28;1.05E-27;3.14E-29;1.35E-29;2.66E-29;1.14E-29;5.32E-04;0;2618;82890;99010;57540;2.41E+07;40750;18790;21080;12480;23240;0;4.55E-36;1.85E-36;1.29E-35;1.44E-35;1.94E-36;3.32E-37;1.26E-38;8.52E-39;4.31E-38;2.23E-38;2.08E-35;0;0.6798;1.185;2.798;1.442;0.2115;0.03353;0.004472;0.002849;0.01588;0.00994;0;0;5.29E-04;5.00E-04;0.001448;0.9953;8.75E-04;3.42E-04;4.48E-04;5.20E-05;5.44E-04;0;0.001252;0.007051;0.007725;0.004904;0.2316;0.01722;0.00166;7.04E-04;0.005459;0.001076
