cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI
0,1605,164.5,183.8,154.6,0.04903,5.632,0.2397,0.1645,0.9829,0.4028,0,343.6,0.1339,0.6707,0.6161,0.07124,0.1893,0.05927,0.08164,4.769,11.01,0,343.6,0.1339,0.6707,0.6161,0.07124,0.1893,0.05927,0.08164,4.769,11.01,0,0,0,0,0,0,0,0,0,0,0,0,0,272.1,100.1,37.73,821.3,165.2,3.317,3.693,30.57,4.163,0,45.19,6.762,11.94,64.07,42.59,0.1306,0.01362,0.01546,0.0119,0.01397,0,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-04,0,0,83360,89590,47800,2.24E+07,45530,21460,24230,13490,24780,0,4.68E-36,2.44E-36,1.41E-35,1.68E-35,2.15E-36,3.98E-37,1.25E-38,7.80E-39,4.85E-38,2.18E-38,2.08E-35,0,0.6631,1.195,3.037,1.58,0.2256,0.0437,0.003975,0.002625,0.01634,0.009706,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,1.00E-05,0.00942,0.01029,0.006469,0.2457,0.01391,0.001641,6.99E-04,0.005386,9.76E-04
0,1592,173,180.8,159.2,0.04926,4.846,0.2251,0.1621,0.9841,0.4029,0,343.6,0.1321,0.6458,0.6218,0.08778,0.1832,0.05939,0.08097,4.77,11.01,0,343.6,0.1321,0.6458,0.6218,0.08778,0.1832,0.05939,0.08097,4.77,11.01,0,0,0,0,0,0,0,0,0,0,0,0,0,293.7,109.2,38.96,789.8,165.1,3.219,3.537,30.59,4.075,0,44.12,5.95,10.76,62.21,42.65,0.1228,0.01345,0.01537,0.01181,0.01385,0,0,4790000,8758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.56E-04,0,92.32,77280,86150,44630,2.14E+07,42700,20310,22920,13190,23640,0,3.96E-36,2.42E-36,1.37E-35,1.68E-35,2.39E-36,3.48E-37,1.15E-38,7.75E-39,4.80E-38,2.18E-38,2.08E-35,0,0.5613,1.253,2.974,1.606,0.2414,0.03117,0.003701,0.002609,0.01635,0.009706,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,1.36E-04,0.009372,0.01029,0.006469,0.2437,0.01376,0.001657,6.93E-04,0.005394,9.75E-04
0,1598,171.2,179.6,144.8,0.05149,4.842,0.232,0.1676,0.9712,0.4066,0,343.6,0.1282,0.6447,0.6149,0.0752,0.1834,0.06065,0.08228,4.76,11.02,0,343.6,0.1282,0.6447,0.6149,0.0752,0.1834,0.06065,0.08228,4.76,11.02,0,0,0,0,0,0,0,0,0,0,0,0,0,296.6,112.6,36.78,766.4,165.1,3.242,3.577,29.75,4.192,0,45.61,0.9193,10.47,78.17,38.41,0.1145,0.01328,0.0152,0.01175,0.0137,0,0,4790000,8758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.12E-04,0,438.7,73610,81230,48190,2.15E+07,41230,19470,22050,12930,23050,0,4.22E-36,2.23E-36,1.37E-35,1.64E-35,2.26E-36,3.47E-37,1.15E-38,7.83E-39,4.63E-38,2.20E-38,2.08E-35,0,0.6224,1.217,2.949,1.582,0.2298,0.03118,0.00373,0.002648,0.01607,0.009766,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,2.23E-04,0.009312,0.01027,0.006368,0.2433,0.01375,0.001654,6.87E-04,0.005408,9.66E-04
0,1600,175.2,170.5,145.7,0.05148,4.844,0.2326,0.1678,0.9756,0.4023,0,343.6,0.1347,0.6462,0.6048,0.07483,0.1812,0.06114,0.08308,4.442,11.33,0,343.6,0.1347,0.6462,0.6048,0.07483,0.1812,0.06114,0.08308,4.442,11.33,0,0,0,0,0,0,0,0,0,0,0,0,0,308.3,112.9,36.77,753.6,165,3.179,3.507,29.73,4.135,0,45.61,0.8325,13.55,74.09,38.17,0.1094,0.01319,0.0151,0.01173,0.01362,0,0,4790000,8758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59E-04,0,520.4,72980,78170,48040,2.21E+07,41150,19380,22040,12940,23180,0,4.25E-36,2.54E-36,1.33E-35,1.64E-35,2.25E-36,3.46E-37,1.09E-38,8.09E-39,4.63E-38,2.20E-38,2.08E-35,0,0.6372,1.291,2.819,1.601,0.2283,0.03116,0.003731,0.002648,0.01606,0.00977,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,2.68E-04,0.009255,0.01027,0.006345,0.2409,0.0137,0.001645,7.02E-04,0.005416,9.68E-04
0,1585,156.4,189.2,135.2,0.05154,5.513,0.2327,0.1678,0.9746,0.4024,0,343.6,0.1289,0.6438,0.6067,0.07467,0.1805,0.06148,0.08293,4.441,11.33,0,343.6,0.1289,0.6438,0.6067,0.07467,0.1805,0.06148,0.08293,4.441,11.33,0,0,0,0,0,0,0,0,0,0,0,0,0,329.5,121.1,37.48,737.7,165,3.168,3.495,29.68,4.127,0,44.4,1.562,15.37,87.12,37.97,1.04,0.01311,0.015,0.01173,0.01355,0,0,4780000,18810,585.5,15.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-04,0,551.2,73240,78810,50040,2.32E+07,42280,19750,22550,12970,23950,0,3.52E-36,2.63E-36,1.33E-35,1.64E-35,2.25E-36,3.52E-37,1.08E-38,8.05E-39,4.60E-38,2.20E-38,2.08E-35,0,0.5279,1.192,2.927,1.606,0.229,0.04241,0.003732,0.002648,0.01605,0.009773,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,3.14E-04,0.009246,0.01017,0.006374,0.2399,0.01367,0.001644,6.93E-04,0.005413,9.63E-04
0,1592,156.1,185.4,123.9,0.04882,5.987,0.2311,0.1731,0.9835,0.3993,0,343.6,0.1303,0.6357,0.5767,0.08005,0.1795,0.05697,0.09516,4.478,11.29,0,343.6,0.1303,0.6357,0.5767,0.08005,0.1795,0.05697,0.09516,4.478,11.29,0,0,0,0,0,0,0,0,0,0,0,0,0,348.4,132.1,39.19,727.7,164.9,3.077,3.663,30.15,3.938,0,44.96,1.3,11.58,87.81,40.77,0.5627,0.01307,0.01494,0.01174,0.01352,4.15E-14,0,4780000,17880,455,12.32,0,0,0,0,0,0,1.26E-15,0,0,1.49E-13,4.54E-14,1.43E-15,4.05E-17,2.89E-17,1.68E-16,8.27E-17,2.37E-15,1.73E-17,0,0,8.80E-22,2.82E-22,5.89E-23,3.90E-25,1.98E-28,1.44E-28,9.13E-29,5.38E-27,2.02E-29,1.47E-04,0,869.1,73080,86480,53450,2.45E+07,43090,19720,22700,12830,24380,0,3.87E-36,2.15E-36,1.31E-35,1.59E-35,2.31E-36,3.51E-37,1.05E-38,8.30E-39,4.58E-38,2.18E-38,2.08E-35,0,0.5893,1.189,2.834,1.532,0.26,0.04238,0.003713,0.002726,0.0162,0.009722,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,4.63E-04,0.009187,0.01019,0.006307,0.2388,0.01363,0.001641,7.28E-04,0.005353,9.63E-04
0,1576,169.6,185.6,126,0.05996,5.603,0.2406,0.1957,0.9643,0.4164,0,343.6,0.147,0.6311,0.5706,0.08194,0.2156,0.05646,0.09106,4.036,11.69,0,343.6,0.147,0.6311,0.5706,0.08194,0.2156,0.05646,0.09106,4.036,11.69,0,0,0,0,0,0,0,0,0,0,0,0,0,372.4,134.4,39.53,717.6,164.9,3.042,4.585,28.77,3.965,0,43.6,1.005,9.389,85.05,40.96,1.755,0.01321,0.01486,0.01201,0.01393,8.05E-14,0,4768000,29220,455,12.32,0,0,0,0,0,0,4.94E-15,0,2.54E-18,1.18E-12,3.63E-13,1.42E-14,5.07E-16,2.45E-15,1.29E-15,4.47E-16,8.79E-15,2.10E-14,0,3.28E-30,2.25E-20,2.37E-20,3.00E-20,1.98E-23,2.17E-22,4.66E-24,1.43E-24,4.44E-24,3.27E-23,4.60E-04,0,949.7,74170,89520,53740,2.59E+07,44420,19960,23070,12990,25270,0,3.09E-36,2.25E-36,1.32E-35,1.54E-35,2.32E-36,4.14E-37,9.06E-39,8.74E-39,4.29E-38,2.12E-38,2.08E-35,0,0.4701,1.297,2.756,1.58,0.2595,0.04606,0.00372,0.003051,0.01575,0.009839,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,5.62E-04,0.009139,0.01013,0.006344,0.2374,0.01347,0.001627,6.91E-04,0.005401,0.001006
0,1577,165.6,187.2,124.8,0.06008,5.399,0.241,0.1839,0.9691,0.4061,0,343.6,0.1229,0.6435,0.6157,0.07707,0.2025,0.05639,0.08485,4.036,11.68,0,343.6,0.1229,0.6435,0.6157,0.07707,0.2025,0.05639,0.08485,4.036,11.68,0,0,0,0,0,0,0,0,0,0,0,0,0,381.6,130.2,39.4,709,164.8,3.021,4.295,29,3.845,0,43.6,1.092,9.172,87.71,40.7,0.1763,0.01287,0.02683,0.0118,0.0512,1.17E-13,0,4768000,28200,455,12.32,0,0,0,0,0,0,1.09E-14,0,2.12E-16,3.92E-12,1.22E-12,7.61E-14,3.16E-15,8.85E-15,4.38E-15,2.39E-15,2.20E-14,9.13E-14,0,9.22E-24,1.69E-19,2.03E-19,7.31E-19,6.10E-23,1.74E-21,3.78E-23,2.42E-23,3.61E-23,4.41E-22,3.94E-04,0,1155,77100,91380,56560,2.75E+07,46770,20560,24010,13180,26680,0,3.20E-36,2.16E-36,1.31E-35,1.56E-35,2.26E-36,2.87E-37,8.93E-39,1.57E-38,4.27E-38,4.34E-38,2.08E-35,0,0.4927,1.257,2.758,1.599,0.2518,0.03433,0.003716,0.003553,0.01582,0.01163,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,7.07E-04,0.009158,0.01005,0.006293,0.2363,0.01337,0.001619,6.81E-04,0.005403,0.001001
0,1577,178.4,170.6,127.2,0.0574,5.238,0.2398,0.1688,0.9952,0.4083,0,343.6,0.1265,0.6068,0.6535,0.07654,0.1987,0.05768,0.0865,3.78,11.92,0,343.6,0.1265,0.6068,0.6535,0.07654,0.1987,0.05768,0.0865,3.78,11.92,0,0,0,0,0,0,0,0,0,0,0,0,0,387.4,130.9,39.6,704,164.8,3,3.5,30.22,3.801,0,43.6,1.428,8.802,87.32,40.47,0.1768,0.01287,0.1246,0.01176,0.3531,1.52E-13,0,4768000,27180,455,12.32,0,0,0,0,0,0,1.90E-14,0,4.83E-16,9.16E-12,2.87E-12,2.09E-13,5.55E-15,2.67E-14,1.53E-14,6.39E-15,9.96E-14,6.37E-13,0,9.24E-24,7.54E-19,5.98E-19,3.87E-18,1.23E-22,8.89E-21,1.32E-22,7.32E-22,1.01E-22,3.24E-21,3.42E-04,0,1310,79450,92710,57530,2.87E+07,48370,21490,25100,13260,27660,0,3.25E-36,2.28E-36,1.28E-35,1.54E-35,2.26E-36,2.85E-37,8.84E-39,2.04E-38,4.33E-38,5.98E-38,2.08E-35,0,0.4982,1.341,2.641,1.607,0.2511,0.03426,0.003715,0.003608,0.01623,0.01259,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,7.41E-04,0.009116,0.01004,0.006304,0.235,0.01334,0.001641,7.10E-04,0.005363,0.001008
0,1577,164.4,185.2,125.4,0.05746,5.188,0.2382,0.1637,1.002,0.4665,0,343.6,0.1183,0.61,0.6505,0.07623,0.1973,0.05583,0.08353,2.614,13.09,0,343.6,0.1183,0.61,0.6505,0.07623,0.1973,0.05583,0.08353,2.614,13.09,0,0,0,0,0,0,0,0,0,0,0,0,0,389.6,131.4,39.68,687.3,164.7,2.931,3.333,30.4,3.782,0,43.6,1.325,8.646,88.77,40.26,0.06558,0.01258,0.1243,0.01171,0.3528,1.84E-13,0,4768000,27180,455,12.32,0,0,0,0,0,0,2.98E-14,0,5.18E-15,1.77E-11,5.60E-12,4.84E-13,2.15E-14,9.55E-14,3.38E-14,3.25E-14,1.04E-12,3.72E-12,0,1.01E-23,2.51E-18,1.83E-18,1.16E-17,2.65E-22,1.45E-20,2.56E-22,6.87E-21,2.25E-22,2.30E-20,6.93E-04,0,1447,78020,88740,56670,2.80E+07,47110,21420,24950,13280,27400,0,3.38E-36,2.16E-36,1.28E-35,1.53E-35,2.25E-36,2.84E-37,8.65E-39,2.02E-38,4.30E-38,5.96E-38,2.08E-35,0,0.5114,1.247,2.731,1.596,0.2505,0.03427,0.003695,0.003553,0.01629,0.01261,0,0,2.53E-04,1.10E-04,8.28E-04,0.9961,0.001038,4.16E-04,5.46E-04,6.33E-05,6.63E-04,0,7.83E-04,0.009098,0.01004,0.006262,0.2327,0.01334,0.001625,6.72E-04,0.005392,0.001014
