R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pepEn,pepMHCIEn,protonEn,solubleMarker,volume,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,3.8E-5,0.031,0.031,0.0,460.0,8.6,0.0,0.0,0.0,1.9E7,1.0,7.0E8,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,3.7E-5,0.031,0.031,0.0,430.0,8.6,0.0,0.0,0.0,1.9E7,1.0,7.0E8,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,3.3E-5,0.031,0.031,0.0,410.0,8.6,0.0,0.0,0.0,2.0E7,1.0,7.0E8,
1.5E-37,0.0094,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,2.8E-5,0.031,0.031,0.0,400.0,8.5,0.0,0.0,0.0,2.1E7,1.0,7.0E8,
1.5E-37,0.0094,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,2.4E-5,0.031,0.031,0.0,380.0,8.5,0.0,0.0,0.0,2.2E7,1.0,7.0E8,
1.5E-37,0.0094,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,2.0E-5,0.031,0.031,0.0,360.0,8.5,0.0,0.0,0.0,2.4E7,1.0,7.0E8,
1.5E-37,0.0094,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,1.7E-5,0.031,0.031,0.0,350.0,8.5,0.0,0.0,0.0,2.5E7,1.0,7.0E8,
1.5E-37,0.0094,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,1.4E-5,0.031,0.031,0.0,340.0,8.5,0.0,0.0,0.0,2.6E7,1.0,7.0E8,
1.5E-37,0.0093,950.0,410.0,3100.0,3699999.9999999995,3900.0,1600.0,2000.0,240.0,2500.0,0.18,3799999.9999999995,1.5E-5,0.031,0.031,0.0,320.0,8.5,0.0,7.7E-15,3.8E-26,2.5E7,1.0,6.8E8,
1.5E-37,0.0093,950.0,410.0,3100.0,3699999.9999999995,3900.0,1600.0,2000.0,240.0,2500.0,0.18,3799999.9999999995,1.8E-5,0.031,0.031,0.0,310.0,8.5,0.0,2.8E-14,3.6E-25,2.4E7,1.0,6.8E8,
1.8E-37,0.013,4000.0,2000.0,4600.0,5000000.0,14000.0,3400.0,4100.0,4500.0,4600.0,0.19,5000000.0,1.1E-5,0.12,0.12,0.0,560.0,7.0,0.0,2.4E-13,1.2E-22,2.3E7,1.0,7.1E8,
1.7E-37,0.013,3900.0,2000.0,4600.0,4400000.0,1400.0,3400.0,4100.0,4500.0,4600.0,0.19,4500000.0,1.9E-5,0.12,0.12,0.0,550.0,6.6,0.0,2.8E-13,8.1E-23,2.2E7,1.0,7.0E8,
1.6E-37,0.012,3900.0,2000.0,4600.0,3799999.9999999995,1400.0,3400.0,4000.0,4500.0,4600.0,0.19,3799999.9999999995,2.0E-5,0.11,0.11,0.0,550.0,6.1,0.0,3.7E-13,4.6E-23,2.1E7,1.0,7.0E8,
1.6E-37,0.012,3900.0,2000.0,4600.0,3799999.9999999995,1400.0,3400.0,4000.0,4500.0,4600.0,0.19,3799999.9999999995,2.2E-5,0.11,0.11,0.0,550.0,6.1,0.0,5.6E-13,2.4E-23,2.0E7,1.0,7.0E8,
1.6E-37,0.012,3900.0,2000.0,4600.0,3799999.9999999995,1400.0,3400.0,4000.0,4500.0,4600.0,0.19,3799999.9999999995,2.2E-5,0.11,0.11,0.0,550.0,6.1,0.0,7.9E-13,2.3E-23,2.0E7,1.0,7.0E8,
1.6E-37,0.012,3900.0,2000.0,4600.0,3799999.9999999995,1400.0,3400.0,4000.0,4500.0,4600.0,0.19,3799999.9999999995,2.0E-5,0.11,0.11,0.0,540.0,6.1,0.0,1.1E-12,2.7E-23,2.1E7,1.0,7.0E8,
1.6E-37,0.012,3900.0,2000.0,4600.0,3799999.9999999995,1400.0,3400.0,4000.0,4500.0,4600.0,0.19,3799999.9999999995,1.8E-5,0.11,0.11,0.0,540.0,6.1,0.0,1.4E-12,3.1E-23,2.2E7,1.0,7.0E8,
1.6E-37,0.012,3900.0,2000.0,4600.0,3799999.9999999995,1400.0,3400.0,4000.0,4500.0,4600.0,0.19,3799999.9999999995,1.5E-5,0.11,0.11,0.0,540.0,6.1,0.0,1.7E-12,3.4E-23,2.3E7,1.0,7.0E8,
1.6E-37,0.012,3900.0,2000.0,4600.0,3799999.9999999995,1400.0,3400.0,4000.0,4500.0,4600.0,0.19,3799999.9999999995,1.3E-5,0.11,0.11,0.0,540.0,6.1,0.0,2.0E-12,3.6E-23,2.4E7,1.0,7.0E8,
1.6E-37,0.012,3900.0,2000.0,4600.0,3799999.9999999995,1400.0,3400.0,4000.0,4500.0,4600.0,0.19,3799999.9999999995,1.1E-5,0.11,0.11,0.0,540.0,6.1,0.0,2.4E-12,3.7E-23,2.6E7,1.0,6.9E8,
