entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
2.099,0.1683,0.09797,0.05137,0.02968,0.1565,0.08512,0.02249,0.007867,0.1033,0.02925,0.2079,0.2087,
2.104,0.1632,0.09993,0.05093,0.02974,0.1557,0.08425,0.0226,0.007904,0.1038,0.03154,0.2068,0.2069,
2.102,0.1573,0.09935,0.05053,0.02935,0.1539,0.08441,0.02264,0.007917,0.1039,0.0316,0.2082,0.2082,
2.102,0.1742,0.09836,0.05068,0.02943,0.1526,0.08435,0.02271,0.007941,0.1043,0.0317,0.2088,0.2092,
2.11,0.1605,0.101,0.05008,0.02951,0.1524,0.08398,0.0228,0.00794,0.1047,0.03538,0.2061,0.2062,
2.108,0.1759,0.09865,0.04966,0.0296,0.151,0.08374,0.02289,0.007972,0.1051,0.03553,0.208,0.2078,
2.114,0.1684,0.1017,0.04966,0.0297,0.1499,0.08318,0.023,0.008008,0.1056,0.03756,0.2071,0.2046,
2.113,0.1613,0.1012,0.04972,0.02975,0.1488,0.0823,0.02298,0.008021,0.1058,0.03763,0.2075,0.2062,
2.113,0.1785,0.1004,0.04968,0.02979,0.1476,0.08249,0.02303,0.00804,0.1061,0.03772,0.208,0.2071,
2.113,0.1636,0.1003,0.04967,0.02978,0.147,0.08258,0.02305,0.008046,0.1062,0.03775,0.2082,0.2074,
2.112,0.1579,0.1003,0.04967,0.02956,0.1459,0.08243,0.02305,0.008043,0.1062,0.03776,0.2093,0.2078,
2.112,0.159,0.09998,0.04968,0.02956,0.1458,0.08244,0.02306,0.008044,0.1062,0.03776,0.2093,0.2081,
2.11,0.1618,0.09908,0.04951,0.02959,0.1452,0.08157,0.02308,0.008052,0.1063,0.0378,0.2096,0.2102,
2.109,0.1535,0.0988,0.04949,0.02963,0.1444,0.08116,0.02312,0.008064,0.1065,0.03786,0.2099,0.2111,
2.108,0.1605,0.09858,0.04943,0.02949,0.144,0.08029,0.0231,0.008059,0.1064,0.03784,0.2108,0.212,
2.109,0.1621,0.1004,0.04944,0.0295,0.1439,0.0794,0.0231,0.00806,0.1064,0.03811,0.2106,0.2111,
2.115,0.1678,0.1047,0.04945,0.0295,0.1436,0.07942,0.02311,0.008063,0.1065,0.04003,0.2087,0.2069,
2.114,0.1646,0.1045,0.04947,0.02908,0.1435,0.07946,0.02312,0.008064,0.1065,0.04004,0.2088,0.2074,
2.111,0.1611,0.104,0.04891,0.02907,0.1431,0.07744,0.02312,0.008065,0.1065,0.04005,0.2099,0.2099,
2.112,0.163,0.1068,0.04872,0.02907,0.1429,0.07614,0.02313,0.008069,0.1066,0.04052,0.2095,0.2085,
2.113,0.1514,0.1067,0.04868,0.02902,0.143,0.07539,0.02314,0.008071,0.1066,0.04167,0.2084,0.2093,
2.116,0.1502,0.1096,0.04864,0.029,0.1428,0.07416,0.02312,0.008064,0.1065,0.04312,0.2078,0.2071,
2.114,0.1505,0.1091,0.04859,0.02885,0.1427,0.07369,0.0231,0.008057,0.1064,0.04308,0.2087,0.2077,
2.113,0.1457,0.1089,0.04855,0.02883,0.1426,0.07319,0.02308,0.008049,0.1063,0.04304,0.2095,0.208,
