RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
4642000.0,2434000.0,1406000.0,7412000.0,4033000.0,1065000.0,372700.0,4892000.0,1386000.0,9849000.0,9887000.0,
4712000.0,2401000.0,1402000.0,7340000.0,3972000.0,1065000.0,372700.0,4892000.0,1487000.0,9748000.0,9754000.0,
4675000.0,2378000.0,1381000.0,7242000.0,3972000.0,1065000.0,372600.0,4892000.0,1487000.0,9796000.0,9798000.0,
4614000.0,2378000.0,1381000.0,7158000.0,3957000.0,1065000.0,372500.0,4892000.0,1487000.0,9796000.0,9813000.0,
4718000.0,2340000.0,1379000.0,7119000.0,3924000.0,1065000.0,371000.0,4892000.0,1653000.0,9630000.0,9633000.0,
4590000.0,2311000.0,1377000.0,7024000.0,3896000.0,1065000.0,370900.0,4892000.0,1653000.0,9678000.0,9668000.0,
4709000.0,2300000.0,1375000.0,6941000.0,3852000.0,1065000.0,370800.0,4892000.0,1739000.0,9592000.0,9473000.0,
4678000.0,2298000.0,1375000.0,6876000.0,3804000.0,1062000.0,370700.0,4892000.0,1739000.0,9592000.0,9531000.0,
4631000.0,2291000.0,1374000.0,6806000.0,3804000.0,1062000.0,370700.0,4892000.0,1739000.0,9592000.0,9551000.0,
4620000.0,2288000.0,1372000.0,6772000.0,3804000.0,1062000.0,370600.0,4892000.0,1739000.0,9592000.0,9551000.0,
4620000.0,2288000.0,1361000.0,6718000.0,3796000.0,1062000.0,370400.0,4892000.0,1739000.0,9640000.0,9569000.0,
4604000.0,2288000.0,1361000.0,6713000.0,3796000.0,1062000.0,370400.0,4892000.0,1739000.0,9640000.0,9585000.0,
4558000.0,2278000.0,1361000.0,6678000.0,3752000.0,1062000.0,370400.0,4892000.0,1739000.0,9640000.0,9670000.0,
4538000.0,2273000.0,1361000.0,6633000.0,3728000.0,1062000.0,370400.0,4892000.0,1739000.0,9640000.0,9695000.0,
4531000.0,2272000.0,1355000.0,6618000.0,3690000.0,1062000.0,370400.0,4892000.0,1739000.0,9688000.0,9741000.0,
4614000.0,2272000.0,1355000.0,6613000.0,3649000.0,1062000.0,370400.0,4892000.0,1751000.0,9676000.0,9699000.0,
4807000.0,2272000.0,1355000.0,6598000.0,3649000.0,1062000.0,370400.0,4892000.0,1839000.0,9588000.0,9505000.0,
4800000.0,2272000.0,1335000.0,6588000.0,3649000.0,1062000.0,370300.0,4892000.0,1839000.0,9588000.0,9523000.0,
4774000.0,2245000.0,1335000.0,6568000.0,3555000.0,1062000.0,370300.0,4892000.0,1839000.0,9636000.0,9635000.0,
4902000.0,2236000.0,1334000.0,6559000.0,3494000.0,1062000.0,370300.0,4892000.0,1859000.0,9615000.0,9567000.0,
4897000.0,2234000.0,1332000.0,6559000.0,3459000.0,1062000.0,370300.0,4892000.0,1912000.0,9563000.0,9602000.0,
5034000.0,2234000.0,1332000.0,6559000.0,3405000.0,1062000.0,370300.0,4892000.0,1980000.0,9543000.0,9508000.0,
5015000.0,2233000.0,1326000.0,6559000.0,3387000.0,1062000.0,370300.0,4892000.0,1980000.0,9590000.0,9547000.0,
5010000.0,2233000.0,1326000.0,6559000.0,3367000.0,1062000.0,370300.0,4892000.0,1980000.0,9638000.0,9567000.0,
4998000.0,2218000.0,1308000.0,6559000.0,3367000.0,1062000.0,370300.0,4892000.0,1980000.0,9638000.0,9592000.0,
5238000.0,2218000.0,1308000.0,6559000.0,3329000.0,1062000.0,370300.0,4892000.0,2006000.0,9612000.0,9389000.0,
5232000.0,2210000.0,1307000.0,6559000.0,3262000.0,1062000.0,370300.0,4892000.0,2061000.0,9558000.0,9456000.0,
5215000.0,2210000.0,1307000.0,6554000.0,3215000.0,1062000.0,370300.0,4892000.0,2061000.0,9558000.0,9516000.0,
