cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI,
0.0,1605.0,164.5,183.8,154.6,0.04903,5.632,0.2397,0.1645,0.9829,0.4028,0.0,343.6,0.1339,0.6707,0.6161,0.07124,0.1893,0.05927,0.08164,4.769,11.01,0.0,343.6,0.1339,0.6707,0.6161,0.07124,0.1893,0.05927,0.08164,4.769,11.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.1,100.1,37.73,821.3,165.2,3.317,3.693,30.57,4.163,0.0,45.19,6.762,11.94,64.07,42.59,0.1306,0.01362,0.01546,0.0119,0.01397,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,0.0,83370.0,89590.0,47810.0,2.239E7,45540.0,21470.0,24240.0,13490.0,24790.0,0.0,4.68E-36,2.439E-36,1.4120000000000002E-35,1.6810000000000002E-35,2.147E-36,3.9829999999999995E-37,1.252E-38,7.804E-39,4.854E-38,2.182E-38,2.08E-35,0.0,0.6631,1.195,3.037,1.58,0.2256,0.0437,0.003975,0.002625,0.01634,0.009706,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,1.0E-5,0.00942,0.01029,0.006469,0.2457,0.01391,0.001641,6.993E-4,0.005386,9.758E-4,
0.0,1607.0,156.6,185.7,157.1,0.04878,4.905,0.2263,0.1584,0.9839,0.4029,0.0,343.6,0.1287,0.6586,0.6232,0.07297,0.1849,0.05934,0.08109,4.77,11.01,0.0,343.6,0.1287,0.6586,0.6232,0.07297,0.1849,0.05934,0.08109,4.77,11.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.6,103.3,36.3,801.2,165.2,3.281,3.604,30.61,4.124,0.0,45.19,2.148,9.465,69.62,38.8,0.1228,0.01347,0.01538,0.01181,0.01386,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.571E-4,0.0,67.2,83860.0,85150.0,44300.0,2.139E7,42800.0,20290.0,22900.0,13160.0,23570.0,0.0,4.7400000000000004E-36,2.443E-36,1.381E-35,1.686E-35,2.1290000000000002E-36,3.489E-37,1.136E-38,7.749E-39,4.814E-38,2.182E-38,2.08E-35,0.0,0.6926,1.128,3.036,1.588,0.2212,0.03128,0.003699,0.00261,0.01635,0.009707,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,5.238E-5,0.009385,0.01018,0.006337,0.2433,0.0139,0.001642,6.939E-4,0.005389,9.752E-4,
0.0,1594.0,171.2,185.7,155.7,0.05139,6.305,0.2281,0.1607,0.9666,0.4066,0.0,343.6,0.1407,0.6413,0.6029,0.07388,0.1942,0.06059,0.08221,4.76,11.02,0.0,343.6,0.1407,0.6413,0.6029,0.07388,0.1942,0.06059,0.08221,4.76,11.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.4,104.6,34.87,764.5,165.1,3.244,3.58,29.74,4.192,0.0,45.37,2.158,8.661,66.85,37.58,0.07753,0.01345,0.01539,0.01178,0.01385,0.0,0.0,4789000.0,11250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.689E-4,0.0,353.2,76500.0,88250.0,35700.0,2.159E7,41630.0,20080.0,22720.0,13060.0,23520.0,0.0,4.063E-36,2.8750000000000002E-36,1.367E-35,1.6540000000000002E-35,2.011E-36,4.888E-37,1.135E-38,7.834999999999999E-39,4.654E-38,2.198E-38,2.08E-35,0.0,0.588,1.25,3.0,1.563,0.2173,0.04896,0.003729,0.002648,0.01607,0.009768,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,2.527E-4,0.0093,0.01006,0.006005,0.2447,0.01374,0.001648,6.939E-4,0.005405,9.75E-4,
0.0,1594.0,171.6,186.4,157.1,0.05146,5.947,0.2281,0.1576,0.9623,0.4048,0.0,343.6,0.1305,0.6518,0.6059,0.07239,0.1989,0.06117,0.07935,4.091,11.68,0.0,343.6,0.1305,0.6518,0.6059,0.07239,0.1989,0.06117,0.07935,4.091,11.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.9,105.7,36.07,755.8,165.0,3.215,3.546,29.71,4.165,0.0,45.37,1.515,8.464,66.04,36.59,0.0714,0.01338,0.01532,0.01177,0.0138,0.0,0.0,4789000.0,11250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.019E-4,0.0,436.9,79330.0,85660.0,36080.0,2.139E7,40460.0,19280.0,21860.0,12820.0,22860.0,0.0,4.063E-36,2.4500000000000002E-36,1.364E-35,1.651E-35,1.988E-36,4.386E-37,1.138E-38,7.835999999999999E-39,4.607E-38,2.195E-38,2.08E-35,0.0,0.588,1.24,3.011,1.567,0.2137,0.04518,0.003732,0.00265,0.01605,0.009777,0.0,0.0,2.529E-4,1.1E-4,8.259E-4,0.9961,0.001036,4.149E-4,5.444E-4,6.312E-5,6.613E-4,0.0,3.043E-4,0.009288,0.01007,0.006016,0.2431,0.01368,0.001653,6.878E-4,0.005401,9.715E-4,
0.0,1582.0,182.0,185.4,142.1,0.2289,5.946,0.2268,0.1617,0.9735,0.4012,0.0,343.6,0.1325,0.6546,0.5928,0.07215,0.1821,0.05978,0.08935,3.612,12.17,0.0,343.6,0.1325,0.6546,0.5928,0.07215,0.1821,0.05978,0.08935,3.612,12.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.8,105.0,36.39,726.1,165.0,3.069,3.63,30.33,3.9,0.0,44.3,1.754,12.56,78.36,36.28,0.06882,0.01331,0.01523,0.01176,0.01374,0.0,0.0,4779000.0,19360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,456.3,81490.0,81120.0,40690.0,2.106E7,39650.0,18890.0,21460.0,12710.0,22550.0,0.0,3.4270000000000004E-36,2.5540000000000003E-36,1.383E-35,1.608E-35,2.021E-36,4.371E-37,1.125E-38,8.055E-39,4.605E-38,2.179E-38,2.08E-35,0.0,0.496,1.322,3.002,1.561,0.2153,0.04516,0.003699,0.002714,0.01624,0.009714,0.0,0.0,2.529E-4,1.1E-4,8.259E-4,0.9961,0.001036,4.149E-4,5.444E-4,6.312E-5,6.613E-4,0.0,3.282E-4,0.009284,0.01006,0.006058,0.2425,0.01364,0.001663,7.163E-4,0.00535,9.733E-4,
0.0,1582.0,179.0,186.9,140.7,0.0511,7.47,0.2323,0.2024,0.9855,1.522,0.0,343.6,0.1325,0.6705,0.5907,0.07147,0.1958,0.0535,0.08968,1.905,13.86,0.0,343.6,0.1325,0.6705,0.5907,0.07147,0.1958,0.0535,0.08968,1.905,13.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317.5,104.9,36.06,711.5,164.9,3.092,4.852,28.55,3.84,0.0,44.3,2.003,11.31,78.22,36.25,0.06781,0.01318,0.01507,0.01179,0.01455,7.937E-16,0.0,4779000.0,18710.0,22.35,85.25,0.0,0.0,0.0,0.0,0.0,0.0,3.976E-18,0.0,0.0,3.112E-18,1.655E-20,6.310999999999999E-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1630000000000005E-26,1.754E-28,6.6900000000000005E-28,0.0,0.0,0.0,0.0,0.0,0.0,5.517E-4,0.0,615.0,82890.0,81320.0,40170.0,2.155E7,40050.0,19230.0,21850.0,12970.0,23460.0,0.0,3.4270000000000004E-36,2.5020000000000002E-36,1.379E-35,1.576E-35,2.0200000000000003E-36,6.662E-37,1.12E-38,9.223E-39,4.402E-38,2.418E-38,2.08E-35,0.0,0.496,1.303,3.012,1.545,0.2151,0.06046,0.003723,0.00315,0.01567,0.01113,0.0,0.0,2.529E-4,1.1E-4,8.259E-4,0.9961,0.001036,4.149E-4,5.444E-4,6.312E-5,6.613E-4,0.0,4.501E-4,0.009273,0.00998,0.006041,0.2419,0.01353,0.001658,6.957E-4,0.005388,0.001037,
0.0,1582.0,172.9,186.5,146.3,0.04101,6.725,0.2682,0.1827,1.004,1.522,0.0,343.6,0.1346,0.6489,0.5992,0.07614,0.199,0.05445,0.0887,1.905,13.86,0.0,343.6,0.1346,0.6489,0.5992,0.07614,0.199,0.05445,0.0887,1.905,13.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.3,104.4,37.53,690.7,165.1,3.056,3.848,29.48,3.802,0.0,44.3,1.931,15.38,73.8,36.18,0.06845,0.01298,0.01481,0.01177,0.01384,4.198E-15,0.0,4779000.0,18240.0,19.58,74.67,0.0,0.0,0.0,0.0,0.0,0.0,9.106E-17,0.0,0.0,3.376E-16,2.674E-17,3.152E-17,2.962E-18,1.054E-17,7.767E-18,2.444E-18,3.217E-17,3.279E-15,0.0,0.0,1.69E-23,1.373E-23,6.017E-24,6.374E-27,2.5150000000000003E-26,1.826E-29,6.569E-30,1.722E-28,1.608E-24,1.0E-4,0.0,728.1,84020.0,84410.0,40120.0,2.251E7,41010.0,19670.0,22430.0,12990.0,24040.0,0.0,3.4280000000000005E-36,2.5090000000000003E-36,1.346E-35,1.607E-35,2.102E-36,4.5569999999999995E-37,1.122E-38,8.315E-39,4.443E-38,2.415E-38,2.08E-35,0.0,0.4961,1.29,2.917,1.622,0.2293,0.06205,0.00441,0.002824,0.01598,0.01113,0.0,0.0,2.529E-4,1.1E-4,8.259E-4,0.9961,0.001036,4.149E-4,5.444E-4,6.312E-5,6.613E-4,0.0,5.601E-4,0.009176,0.009942,0.006122,0.2405,0.01343,0.001649,6.876E-4,0.00538,0.001029,
0.0,1582.0,170.3,188.5,148.4,0.03947,5.395,0.2416,0.1799,1.01,1.525,0.0,343.6,0.133,0.6621,0.5937,0.07376,0.1924,0.08749,0.1851,1.802,13.82,0.0,343.6,0.133,0.6621,0.5937,0.07376,0.1924,0.08749,0.1851,1.802,13.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.7,103.8,39.89,708.4,165.3,3.023,3.586,29.69,3.772,0.0,44.3,1.975,10.03,76.97,35.86,0.07038,0.01297,0.01476,0.01181,0.01367,7.325E-15,0.0,4779000.0,17760.0,16.82,64.16,0.0,0.0,0.0,0.0,0.0,0.0,3.546E-16,0.0,0.0,2.732E-15,4.393E-16,6.829E-16,4.655E-17,1.708E-16,1.921E-16,3.906E-16,6.511E-16,2.494E-14,0.0,0.0,3.102E-22,4.2339999999999995E-22,8.589E-21,7.080000000000001E-26,2.1810000000000003E-25,1.098E-27,1.511E-27,1.446E-26,1.006E-23,1.016E-4,0.0,834.0,86240.0,87190.0,40970.0,2.348E7,42290.0,20450.0,23360.0,13120.0,24970.0,0.0,3.432E-36,2.4770000000000003E-36,1.333E-35,1.602E-35,2.0810000000000003E-36,3.052E-37,1.092E-38,8.101E-39,4.427E-38,2.413E-38,2.08E-35,0.0,0.4973,1.269,2.933,1.622,0.2269,0.04462,0.003878,0.002741,0.01607,0.01114,0.0,0.0,2.547E-4,1.108E-4,8.32E-4,0.9961,0.001044,4.18E-4,5.484E-4,6.358E-5,6.661E-4,0.0,6.455E-4,0.009126,0.009927,0.006139,0.2388,0.01333,0.001637,6.886E-4,0.005398,0.001033,
0.0,1587.0,172.9,182.3,149.2,0.04083,5.423,0.2361,0.1798,1.009,1.525,0.0,343.6,0.1345,0.6546,0.5872,0.07263,0.1923,0.08732,0.1851,1.802,13.82,0.0,343.6,0.1345,0.6546,0.5872,0.07263,0.1923,0.08732,0.1851,1.802,13.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.2,103.4,39.68,689.2,165.9,2.898,3.487,29.94,3.485,0.0,44.63,2.019,10.74,73.39,35.78,0.05643,0.01975,0.0227,0.01828,0.01613,9.892E-15,0.0,4779000.0,17660.0,107.2,73.93,0.0,0.0,0.0,0.0,0.0,0.0,7.952E-16,0.0,0.0,9.189E-15,1.71E-15,3.29E-15,5.611E-16,6.15E-16,7.295E-16,1.524E-15,2.472E-15,7.754E-14,0.0,0.0,1.811E-21,2.629E-21,7.736E-20,3.691E-25,1.749E-24,8.557E-27,1.2800000000000001E-26,9.058000000000001E-26,2.645E-23,1.01E-4,0.0,1007.0,89680.0,85050.0,41340.0,2.256E7,45980.0,17980.0,20890.0,15370.0,20910.0,0.0,3.649E-36,2.558E-36,1.311E-35,1.585E-35,2.0610000000000002E-36,3.038E-37,1.072E-38,8.013999999999999E-39,4.387E-38,2.398E-38,2.08E-35,0.0,0.5301,1.297,2.857,1.639,0.2237,0.0446,0.003775,0.002739,0.01608,0.01112,0.0,0.0,2.547E-4,1.108E-4,8.32E-4,0.9961,0.001044,4.18E-4,5.484E-4,6.358E-5,6.661E-4,0.0,7.017E-4,0.009201,0.009828,0.006142,0.2382,0.01339,0.001553,6.097E-4,0.005436,9.366E-4,
0.0,1587.0,170.1,187.3,154.1,0.7499,6.901,0.2399,0.2518,1.071,1.417,0.0,343.6,0.1295,0.6504,0.5727,0.07735,0.1969,0.08744,0.1803,1.798,13.83,0.0,343.6,0.1295,0.6504,0.5727,0.07735,0.1969,0.08744,0.1803,1.798,13.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.1,104.2,44.83,679.8,167.1,2.979,3.577,29.98,3.53,0.0,44.63,2.151,10.89,61.88,35.76,0.127,0.01995,0.023,0.01834,0.01611,1.44E-14,0.0,4779000.0,17610.0,160.5,72.7,0.0,0.0,0.0,0.0,0.0,0.0,1.411E-15,0.0,9.184E-18,2.33E-14,1.746E-14,1.176E-14,1.687E-15,3.325E-15,1.75E-15,3.725E-15,3.159E-14,2.101E-13,0.0,1.875E-27,7.214E-21,1.5069999999999998E-20,2.434E-19,5.1939999999999995E-23,3.1439999999999996E-22,2.692E-25,3.7149999999999996E-24,2.905E-24,4.045E-23,1.0E-4,0.0,1186.0,88870.0,80670.0,41400.0,2.249E7,36470.0,17940.0,20870.0,15290.0,20870.0,0.0,3.649E-36,2.224E-36,1.322E-35,1.551E-35,2.12E-36,4.504E-37,1.066E-38,8.157999999999999E-39,4.358E-38,2.37E-38,2.08E-35,0.0,0.5302,1.259,2.864,1.622,0.2355,0.0578,0.003853,0.002837,0.01616,0.01098,0.0,0.0,2.547E-4,1.108E-4,8.32E-4,0.9961,0.001044,4.18E-4,5.484E-4,6.358E-5,6.661E-4,0.0,8.035E-4,0.008089,0.009354,0.007089,0.2382,0.01374,0.001564,6.225E-4,0.005442,9.409E-4,
