cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI,
0.0,1393.0,186.8,138.5,64.91,0.07159,3.083,0.5663,0.3116,0.3746,0.6156,0.0,344.0,0.1077,1.797,0.08994,0.1572,0.2836,0.1136,0.05162,1.627,11.94,0.0,344.0,0.1077,1.797,0.08994,0.1572,0.2836,0.1136,0.05162,1.627,11.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.9,71.15,39.93,1167.0,224.4,4.838,3.404,6.583,2.216,0.0,108.7,2.867,6.098,59.1,34.48,0.6775,0.004553,0.005819,0.01764,0.1907,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,0.0,99870.0,86310.0,49720.0,2.942E7,30850.0,20340.0,26720.0,21970.0,23110.0,0.0,1.81E-37,9.827E-38,6.558E-37,4.445E-37,4.237E-38,1.302E-38,3.298E-39,1.533E-39,1.6929999999999998E-39,1.451E-38,2.08E-35,0.0,0.2941,1.016,1.778,0.8056,0.1659,0.02714,0.00603,0.003031,0.004104,0.03369,0.0,0.0,3.565E-4,3.296E-4,6.052E-4,0.9966,4.709E-4,3.414E-4,7.72E-4,4.953E-5,4.702E-4,0.0,1.0E-5,0.001644,0.001916,0.001441,0.1712,0.005009,0.001035,5.406E-4,4.753E-4,2.781E-4,
0.0,1375.0,197.7,139.2,66.69,0.2441,3.645,0.5709,0.3179,0.3746,0.1207,0.0,344.0,0.1072,1.529,0.1172,0.1678,0.2513,0.1285,0.05513,1.479,12.26,0.0,344.0,0.1072,1.529,0.1172,0.1678,0.2513,0.1285,0.05513,1.479,12.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.8,73.06,40.91,1140.0,223.4,4.825,3.502,6.54,2.61,0.0,104.3,6.157,5.517,58.17,33.88,0.5966,0.004504,0.008351,0.01394,0.1614,0.0,0.0,4784000.0,16050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.158E-4,0.0,220.1,93000.0,86780.0,51340.0,2.728E7,33250.0,18950.0,25080.0,19950.0,21240.0,0.0,1.3819999999999999E-37,1.282E-37,6.5E-37,4.486E-37,4.984E-38,1.513E-38,3.308E-39,1.582E-39,1.237E-39,4.4399999999999997E-39,2.08E-35,0.0,0.224,1.046,1.781,0.8063,0.1779,0.0309,0.006059,0.003111,0.002201,0.0129,0.0,0.0,3.565E-4,3.296E-4,6.052E-4,0.9966,4.709E-4,3.414E-4,7.72E-4,4.953E-5,4.702E-4,0.0,5.823E-5,0.001622,0.001932,0.001456,0.1697,0.004939,0.00105,5.273E-4,4.721E-4,2.75E-4,
0.0,1375.0,177.4,161.4,66.68,0.00123,3.575,0.5191,0.2448,0.3499,0.1081,0.0,344.0,0.09998,1.506,0.2261,0.1445,0.1939,0.1239,0.04337,1.235,12.51,0.0,344.0,0.09998,1.506,0.2261,0.1445,0.1939,0.1239,0.04337,1.235,12.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.6,64.01,41.86,1090.0,224.4,5.154,2.919,5.869,2.15,0.0,104.3,2.963,6.82,48.91,32.99,6.768,0.05648,0.0664,0.03936,0.1693,0.0,0.0,4784000.0,15560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,330.7,87550.0,74210.0,46700.0,2.64E7,31540.0,17920.0,24140.0,18100.0,20060.0,0.0,1.3819999999999999E-37,8.394E-38,6.589E-37,4.3129999999999995E-37,3.842E-38,3.254E-38,3.248E-39,1.4399999999999999E-39,1.1929999999999999E-39,4.397E-39,2.08E-35,0.0,0.2241,0.9335,1.889,0.7787,0.1598,0.0526,0.005829,0.002727,0.002072,0.01277,0.0,0.0,3.565E-4,3.296E-4,6.052E-4,0.9966,4.709E-4,3.414E-4,7.72E-4,4.953E-5,4.702E-4,0.0,9.718E-5,0.001583,0.001887,0.001457,0.1694,0.00488,0.001062,5.185E-4,4.7E-4,2.717E-4,
0.0,1375.0,174.7,161.4,78.28,0.5394,1.798,0.5641,0.3066,0.3794,0.1374,0.0,344.0,0.0973,1.469,0.2691,0.164,0.1465,0.1266,0.04454,1.242,12.51,0.0,344.0,0.0973,1.469,0.2691,0.164,0.1465,0.1266,0.04454,1.242,12.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.2,78.11,42.72,1002.0,226.3,4.012,3.093,5.7,2.134,0.0,104.3,3.464,7.41,46.2,31.17,0.5634,0.00469,0.006465,0.01265,0.1416,0.0,0.0,4784000.0,15560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,453.0,97770.0,93340.0,44910.0,2.67E7,30400.0,17520.0,24240.0,16910.0,19750.0,0.0,1.3819999999999999E-37,8.212E-38,6.444E-37,4.513E-37,4.36E-38,8.387E-39,3.214E-39,1.4399999999999999E-39,1.1999999999999999E-39,4.401E-39,2.08E-35,0.0,0.2241,0.9218,1.852,0.8166,0.1841,0.0166,0.005763,0.002719,0.002081,0.01278,0.0,0.0,3.565E-4,3.296E-4,6.052E-4,0.9966,4.709E-4,3.414E-4,7.72E-4,4.953E-5,4.702E-4,0.0,1.08E-4,0.001597,0.001922,0.001461,0.1697,0.004889,0.001051,5.224E-4,4.678E-4,2.707E-4,
0.0,1371.0,182.0,158.6,67.73,0.008241,1.818,0.5636,0.3054,0.3797,0.1396,0.0,344.0,0.1471,1.382,0.2836,0.1588,0.1455,0.1265,0.0448,1.242,12.51,0.0,344.0,0.1471,1.382,0.2836,0.1588,0.1455,0.1265,0.0448,1.242,12.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.4,78.72,55.6,952.9,227.8,3.426,2.219,5.624,2.11,0.0,102.2,13.43,21.46,27.71,31.77,0.5427,0.004572,0.006706,0.01244,0.1395,0.0,0.0,4776000.0,23750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,621.0,89030.0,90190.0,43600.0,2.526E7,29090.0,16850.0,23390.0,16340.0,18960.0,0.0,1.2979999999999999E-37,1.241E-37,6.352E-37,3.906E-37,4.238E-38,8.38E-39,3.212E-39,1.4359999999999999E-39,1.1999999999999999E-39,4.401E-39,2.08E-35,0.0,0.2269,0.9903,1.829,0.7332,0.179,0.0166,0.005757,0.002713,0.002082,0.01278,0.0,0.0,3.585E-4,3.315E-4,6.087E-4,0.9966,4.736E-4,3.433E-4,7.765E-4,4.982E-5,4.729E-4,0.0,1.495E-4,0.001613,0.001933,0.001384,0.1676,0.004888,0.001045,5.22E-4,4.691E-4,2.704E-4,
0.0,1371.0,183.0,154.6,67.14,0.001195,3.625,0.5638,0.3054,0.3799,0.1407,0.0,344.0,0.1487,1.36,0.287,0.165,0.144,0.1267,0.04457,1.242,12.51,0.0,344.0,0.1487,1.36,0.287,0.165,0.144,0.1267,0.04457,1.242,12.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.6,78.89,57.97,874.9,227.5,3.319,2.105,5.406,2.045,0.0,102.2,10.63,19.73,26.83,33.08,0.5398,0.004487,0.006602,0.01222,0.1384,5.62E-17,0.0,4776000.0,23050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.397E-18,0.0,0.0,3.789E-19,3.414E-19,3.414E-19,4.4469999999999993E-20,3.719E-19,2.333E-19,1.458E-20,2.99E-19,6.693E-18,0.0,0.0,7.166E-25,9.503E-25,1.232E-24,6.527E-30,5.815E-29,7.526E-32,1.208E-32,3.47E-30,1.0040000000000001E-28,1.005E-4,0.0,738.4,88470.0,95270.0,43100.0,2.453E7,27630.0,16320.0,22690.0,15620.0,18430.0,0.0,1.3E-37,1.187E-37,6.32E-37,3.8209999999999996E-37,4.395E-38,1.186E-38,3.211E-39,1.435E-39,1.199E-39,4.4E-39,2.08E-35,0.0,0.2274,0.9821,1.807,0.719,0.1819,0.02614,0.005757,0.002712,0.002081,0.01278,0.0,0.0,3.585E-4,3.315E-4,6.087E-4,0.9966,4.736E-4,3.433E-4,7.765E-4,4.982E-5,4.729E-4,0.0,1.654E-4,0.001598,0.001961,0.001385,0.167,0.004876,0.001047,5.216E-4,4.668E-4,2.697E-4,
0.0,1372.0,162.2,156.3,71.33,0.07427,1.816,0.2718,0.1781,0.2774,0.1292,0.0,344.0,0.1223,1.328,0.3038,0.1649,0.1431,0.1254,0.04167,1.241,12.51,0.0,344.0,0.1223,1.328,0.3038,0.1649,0.1431,0.1254,0.04167,1.241,12.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.6,86.99,38.68,837.5,230.7,3.188,1.881,5.332,3.012,0.0,102.2,15.16,16.52,33.09,33.31,0.8384,0.1235,0.03632,0.04933,0.1368,3.702E-14,0.0,4776000.0,21670.0,520.1,51.37,11.46,0.0,0.0,0.0,0.0,0.0,3.406E-16,0.0,1.3499999999999998E-20,3.827E-15,2.11E-13,3.303E-16,1.594E-16,1.559E-16,5.649E-18,1.306E-17,9.561E-17,3.847E-17,0.0,2.434E-31,3.127E-21,1.004E-19,2.259E-21,1.3420000000000001E-21,4.169E-24,1.919E-24,4.809E-25,6.008E-25,2.099E-24,5.983E-4,0.0,2144.0,94430.0,95570.0,41420.0,2.475E7,26430.0,16290.0,22800.0,14960.0,17550.0,0.0,1.304E-37,9.155E-38,6.2679999999999996E-37,3.766E-37,4.112E-38,1.166E-38,1.773E-39,9.352E-40,7.178E-40,4.005E-39,2.08E-35,0.0,0.2319,0.8644,1.858,0.719,0.1804,0.02103,0.004356,0.002159,0.001608,0.01268,0.0,0.0,3.585E-4,3.315E-4,6.087E-4,0.9966,4.736E-4,3.433E-4,7.765E-4,4.982E-5,4.729E-4,0.0,2.212E-4,0.001696,0.001943,0.001167,0.1668,0.004854,0.001044,5.149E-4,4.685E-4,2.732E-4,
0.0,1370.0,171.2,152.7,75.88,0.0566,1.756,0.299,0.2121,0.2894,0.1112,0.0,344.0,0.1193,1.186,0.3082,0.2094,0.1372,0.1282,0.04261,1.39,12.39,0.0,344.0,0.1193,1.186,0.3082,0.2094,0.1372,0.1282,0.04261,1.39,12.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.3,73.88,39.28,832.2,229.9,3.362,2.088,5.375,3.479,0.0,100.8,7.776,13.38,33.05,32.69,0.7989,0.1251,0.03821,0.04968,0.1527,9.627E-14,0.0,4770000.0,26920.0,477.1,40.3,0.5148,0.0,0.0,0.0,0.0,0.0,2.512E-15,0.0,1.3489999999999999E-20,1.31E-14,4.66E-12,4.634E-15,3.888E-15,8.67E-16,1.169E-15,3.516E-16,3.811E-15,2.267E-14,0.0,2.4230000000000003E-31,1.609E-20,3.752E-18,1.377E-19,2.826E-20,1.6919999999999999E-22,7.95E-23,2.163E-23,2.854E-23,1.1749999999999998E-22,1.0E-4,0.0,2237.0,94340.0,93740.0,40260.0,2.547E7,25690.0,16230.0,22960.0,14240.0,21300.0,0.0,1.2889999999999999E-37,8.92E-38,6.212E-37,3.7E-37,3.687E-38,1.101E-38,1.951E-39,1.1389999999999999E-39,8.059E-40,1.6209999999999998E-39,2.08E-35,0.0,0.2372,0.8793,1.855,0.7023,0.1599,0.02014,0.004604,0.002442,0.001731,0.002413,0.0,0.0,3.585E-4,3.315E-4,6.087E-4,0.9966,4.736E-4,3.433E-4,7.765E-4,4.982E-5,4.729E-4,0.0,2.5E-4,0.001647,0.001922,0.001115,0.1662,0.004842,0.001047,5.081E-4,4.661E-4,2.836E-4,
0.0,1371.0,173.2,142.6,89.54,0.0393,1.734,0.2964,0.2114,0.289,0.1078,0.0,344.1,0.1253,1.167,0.3167,0.2001,0.1342,0.13,0.04076,1.268,12.51,0.0,344.1,0.1253,1.167,0.3167,0.2001,0.1342,0.13,0.04076,1.268,12.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.7,74.05,39.61,795.1,229.7,3.35,2.143,5.299,3.811,0.0,100.8,7.007,12.52,28.61,32.45,0.8067,0.128,0.03935,0.0506,0.1574,1.538E-13,0.0,4770000.0,26880.0,519.8,40.42,0.02242,0.0,0.0,0.0,0.0,0.0,8.148E-15,0.0,2.463E-17,2.621E-13,2.757E-11,3.431E-13,2.161E-14,5.837E-15,5.331E-15,1.926E-15,2.315E-14,3.017E-13,0.0,4.449E-28,7.43E-20,2.391E-17,1.189E-18,1.31E-19,7.675E-22,3.6659999999999997E-22,1.1109999999999998E-22,1.529E-22,9.085E-22,1.004E-4,0.0,2493.0,97610.0,89660.0,41730.0,2.662E7,25900.0,16490.0,23940.0,13920.0,21870.0,0.0,1.294E-37,9.569E-38,6.0809999999999995E-37,3.736E-37,3.675E-38,1.095E-38,1.951E-39,1.1389999999999999E-39,8.067999999999999E-40,1.622E-39,2.08E-35,0.0,0.2418,0.8898,1.78,0.7613,0.1593,0.02003,0.004607,0.002444,0.001733,0.002418,0.0,0.0,3.585E-4,3.315E-4,6.087E-4,0.9966,4.736E-4,3.433E-4,7.765E-4,4.982E-5,4.729E-4,0.0,3.163E-4,0.001649,0.001921,0.001123,0.1662,0.004778,0.001047,5.107E-4,4.659E-4,2.878E-4,
0.0,1365.0,188.0,133.3,95.08,0.02704,5.317,0.3288,0.2097,0.2895,0.105,0.0,344.1,0.146,1.138,0.3071,0.199,0.1401,0.1462,0.03804,1.258,12.51,0.0,344.1,0.146,1.138,0.3071,0.199,0.1401,0.1462,0.03804,1.258,12.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.7,74.85,39.69,746.0,229.0,3.377,2.088,5.238,3.837,0.0,99.22,6.597,11.28,19.08,32.72,0.9017,0.1315,0.03992,0.05098,0.1599,2.094E-13,0.0,4764000.0,31520.0,593.7,357.3,9.76E-4,0.0,0.0,0.0,0.0,0.0,1.727E-14,0.0,1.283E-13,2.186E-11,5.614E-11,1.038E-11,6.166E-14,2.862E-14,2.967E-14,9.322E-15,2.67E-13,1.742E-12,0.0,2.314E-19,2.649E-17,4.783E-17,1.403E-17,2.453E-19,1.1459999999999999E-20,9.913E-22,2.8329999999999997E-22,6.785E-22,3.389E-21,4.38E-4,0.0,2583.0,96880.0,86220.0,40870.0,2.798E7,26740.0,16900.0,24970.0,13700.0,22190.0,0.0,1.1859999999999999E-37,1.056E-37,6.002E-37,3.636E-37,3.703E-38,1.333E-38,1.974E-39,1.1369999999999999E-39,8.069E-40,1.6209999999999998E-39,2.08E-35,0.0,0.2287,0.9575,1.722,0.746,0.1595,0.02623,0.00467,0.00244,0.001737,0.002419,0.0,0.0,3.585E-4,3.315E-4,6.087E-4,0.9966,4.736E-4,3.433E-4,7.765E-4,4.982E-5,4.729E-4,0.0,3.452E-4,0.001649,0.00192,0.001118,0.1659,0.004749,0.001049,5.098E-4,4.646E-4,2.868E-4,
