entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
2.114,0.1648,0.1007,0.04748,0.02782,0.1389,0.1239,0.05188,0.02161,0.02631,0.03329,0.2073,0.2208,
2.108,0.1669,0.09832,0.04751,0.0279,0.1391,0.118,0.05189,0.02163,0.02634,0.03328,0.2079,0.2282,
2.11,0.1507,0.0999,0.04762,0.02797,0.1375,0.1179,0.05201,0.02168,0.02641,0.03336,0.2084,0.2273,
2.116,0.1402,0.1036,0.04765,0.02798,0.1367,0.1166,0.05204,0.02169,0.02642,0.03558,0.2074,0.2244,
2.114,0.1406,0.1031,0.04758,0.02796,0.1356,0.1161,0.05201,0.02168,0.0264,0.03556,0.2093,0.2247,
2.113,0.1522,0.1018,0.04762,0.02803,0.1351,0.1155,0.05211,0.02173,0.02647,0.03565,0.2098,0.2262,
2.112,0.1407,0.1015,0.04766,0.02802,0.1343,0.1147,0.05207,0.02172,0.0265,0.03569,0.2101,0.2277,
2.114,0.1405,0.102,0.04711,0.02808,0.1332,0.1146,0.05222,0.02179,0.02658,0.03657,0.211,0.2268,
2.115,0.1802,0.1009,0.04713,0.02818,0.1326,0.1139,0.05243,0.02187,0.02668,0.03793,0.2106,0.2278,
2.114,0.1293,0.1033,0.0466,0.02722,0.1312,0.1131,0.0526,0.02194,0.02676,0.03805,0.2113,0.228,
2.111,0.1241,0.101,0.04654,0.02733,0.1299,0.1115,0.05278,0.02203,0.02687,0.03821,0.2122,0.2316,
2.116,0.1154,0.1063,0.04655,0.02735,0.1298,0.1112,0.05281,0.02204,0.02689,0.03823,0.2123,0.2265,
2.116,0.1151,0.1078,0.04651,0.02736,0.1297,0.1103,0.05281,0.02206,0.02691,0.03825,0.2124,0.2259,
2.115,0.1187,0.1076,0.04652,0.02737,0.1297,0.1091,0.05283,0.02206,0.02691,0.03826,0.2125,0.2272,
2.112,0.1194,0.1073,0.04647,0.02684,0.1296,0.1073,0.05274,0.02204,0.02688,0.03822,0.2133,0.2293,
2.115,0.1174,0.1094,0.0463,0.02685,0.1295,0.1054,0.05276,0.02205,0.0269,0.03985,0.2118,0.2292,
2.113,0.129,0.1092,0.04632,0.02635,0.1294,0.1046,0.05278,0.02206,0.0269,0.03987,0.2119,0.2306,
