R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pepEn,pepMHCIEn,protonEn,solubleMarker,volume,
4.7999999999999997E-39,0.0073,1400.0,1300.0,2400.0,3899999.9999999995,1800.0,1300.0,3000.0,190.0,1800.0,0.15,3899999.9999999995,1.1E-5,0.1,0.1,0.0,510.0,4.9,0.0,0.0,0.0,2.4E7,1.0,7.2E8,
4.7999999999999997E-39,0.0073,1400.0,1300.0,2400.0,3899999.9999999995,1800.0,1300.0,3000.0,190.0,1800.0,0.15,3899999.9999999995,1.3E-5,0.1,0.1,0.0,490.0,4.9,0.0,0.0,0.0,2.3E7,1.0,7.2E8,
4.7999999999999997E-39,0.0073,1400.0,1300.0,2400.0,3899999.9999999995,1800.0,1300.0,3000.0,190.0,1800.0,0.15,3899999.9999999995,1.5E-5,0.1,0.1,0.0,480.0,4.8,0.0,0.0,0.0,2.2E7,1.0,7.2E8,
4.7999999999999997E-39,0.0073,1400.0,1300.0,2400.0,3899999.9999999995,1800.0,1300.0,3000.0,190.0,1800.0,0.15,3899999.9999999995,1.6E-5,0.1,0.1,0.0,450.0,4.8,0.0,0.0,0.0,2.1E7,1.0,7.2E8,
8.6E-39,0.013,2300.0,4400.0,6800.0,4800000.0,1100.0,1300.0,4700.0,190.0,1800.0,0.15,4900000.0,4.9E-5,0.086,0.086,0.0,540.0,14.0,0.0,0.0,0.0,2.1E7,1.0,7.3E8,
8.1E-39,0.013,2300.0,4300.0,6700.0,4099999.9999999995,1100.0,1300.0,4600.0,190.0,1800.0,0.15,4099999.9999999995,5.3E-5,0.076,0.076,0.0,520.0,13.0,0.0,0.0,0.0,2.0E7,1.0,7.3E8,
7.9E-39,0.012,2300.0,4300.0,6700.0,3899999.9999999995,1100.0,1300.0,4600.0,190.0,1800.0,0.14,3899999.9999999995,5.9E-5,0.074,0.074,0.0,510.0,13.0,0.0,0.0,0.0,1.9E7,1.0,7.2E8,
7.9E-39,0.012,2300.0,4300.0,6700.0,3899999.9999999995,1100.0,1300.0,4600.0,190.0,1800.0,0.14,3899999.9999999995,6.1E-5,0.074,0.074,0.0,500.0,13.0,0.0,0.0,0.0,1.9E7,1.0,7.2E8,
7.9E-39,0.012,2300.0,4300.0,6700.0,3899999.9999999995,1100.0,1300.0,4600.0,190.0,1800.0,0.14,3899999.9999999995,5.6E-5,0.074,0.074,0.0,470.0,13.0,0.0,0.0,0.0,1.9E7,1.0,7.2E8,
7.9E-39,0.012,2300.0,4300.0,6700.0,3899999.9999999995,1100.0,1300.0,4600.0,190.0,1800.0,0.14,3899999.9999999995,4.9E-5,0.074,0.074,0.0,410.0,13.0,0.0,0.0,0.0,2.0E7,1.0,7.2E8,
7.9E-39,0.012,2300.0,4300.0,6700.0,3899999.9999999995,1100.0,1300.0,4600.0,190.0,1800.0,0.14,3899999.9999999995,4.1E-5,0.074,0.074,0.0,410.0,13.0,0.0,0.0,0.0,2.1E7,1.0,7.2E8,
7.9E-39,0.012,2300.0,4300.0,6700.0,3899999.9999999995,1100.0,1300.0,4600.0,190.0,1800.0,0.14,3899999.9999999995,3.5E-5,0.074,0.074,0.0,410.0,13.0,0.0,0.0,0.0,2.3E7,1.0,7.2E8,
7.9E-39,0.012,2300.0,4300.0,6700.0,3899999.9999999995,1100.0,1300.0,4600.0,190.0,1800.0,0.14,3899999.9999999995,2.9E-5,0.074,0.074,0.0,400.0,13.0,0.0,0.0,0.0,2.4E7,1.0,7.2E8,
7.9E-39,0.012,2300.0,4300.0,6700.0,3899999.9999999995,1100.0,1300.0,4600.0,190.0,1800.0,0.14,3899999.9999999995,2.4E-5,0.074,0.074,0.0,400.0,13.0,0.0,0.0,0.0,2.6E7,1.0,7.2E8,
7.9E-39,0.012,2300.0,4300.0,6700.0,3899999.9999999995,1100.0,1300.0,4600.0,190.0,1800.0,0.14,3899999.9999999995,2.0E-5,0.074,0.074,0.0,400.0,13.0,0.0,0.0,0.0,2.8E7,1.0,7.2E8,
7.9E-39,0.012,2300.0,4300.0,6700.0,3899999.9999999995,1100.0,1300.0,4600.0,190.0,1800.0,0.14,3899999.9999999995,2.6E-5,0.074,0.074,0.0,400.0,13.0,0.0,5.6E-14,7.6E-25,2.5E7,1.0,7.2E8,
7.9E-39,0.012,2300.0,4300.0,6700.0,3899999.9999999995,1100.0,1300.0,4600.0,190.0,1800.0,0.14,3899999.9999999995,2.8E-5,0.074,0.074,0.0,400.0,13.0,0.0,1.3E-13,2.7999999999999998E-24,2.5E7,1.0,7.2E8,
7.9E-39,0.012,2300.0,4300.0,6700.0,3899999.9999999995,1100.0,1300.0,4600.0,190.0,1800.0,0.14,3899999.9999999995,2.7E-5,0.074,0.074,0.0,400.0,13.0,0.0,2.2E-13,5.699999999999999E-24,2.5E7,1.0,7.2E8,
7.9E-39,0.012,2300.0,4300.0,6700.0,3899999.9999999995,1100.0,1300.0,4600.0,190.0,1800.0,0.14,3899999.9999999995,2.5E-5,0.074,0.074,0.0,400.0,13.0,0.0,3.3E-13,8.899999999999999E-24,2.6E7,1.0,7.2E8,
1.8E-39,0.005,3000.0,2300.0,340.0,4300000.0,1100.0,1300.0,4600.0,190.0,1800.0,0.14,4400000.0,6.9E-6,0.052,0.052,0.0,440.0,5.8,0.0,4.6E-13,7.399999999999999E-22,2.5E7,1.0,7.3E8,
1.7E-39,0.0048,3000.0,2300.0,340.0,4099999.9999999995,1100.0,1300.0,4600.0,190.0,1800.0,0.14,4099999.9999999995,1.4E-5,0.05,0.05,0.0,440.0,5.6,0.0,5.4E-13,2.6999999999999997E-22,2.3E7,1.0,7.2E8,
1.7E-39,0.0046,3000.0,2300.0,340.0,3899999.9999999995,1100.0,1300.0,4600.0,190.0,1800.0,0.14,3899999.9999999995,1.5E-5,0.049,0.049,0.0,440.0,5.3,0.0,5.9E-13,1.5E-22,2.2E7,1.0,7.2E8,
1.7E-39,0.0046,3000.0,2300.0,340.0,3899999.9999999995,1100.0,1300.0,4600.0,190.0,1800.0,0.14,3899999.9999999995,1.7E-5,0.049,0.049,0.0,430.0,5.3,0.0,7.1E-13,5.5E-23,2.2E7,1.0,7.2E8,
1.7E-39,0.0046,3000.0,2300.0,340.0,3899999.9999999995,1100.0,1300.0,4600.0,190.0,1800.0,0.14,3899999.9999999995,1.7E-5,0.049,0.049,0.0,430.0,5.3,0.0,8.5E-13,2.9E-23,2.2E7,1.0,7.2E8,
1.7E-39,0.0046,3000.0,2300.0,340.0,3899999.9999999995,1100.0,1300.0,4600.0,190.0,1800.0,0.14,3899999.9999999995,1.5E-5,0.049,0.049,0.0,420.0,5.3,0.0,1.0E-12,2.3E-23,2.3E7,1.0,7.2E8,
1.7E-39,0.0046,3000.0,2300.0,340.0,3899999.9999999995,1100.0,1300.0,4600.0,190.0,1800.0,0.14,3899999.9999999995,1.3E-5,0.049,0.049,0.0,420.0,5.3,0.0,1.2E-12,2.2E-23,2.4E7,1.0,7.2E8,
1.7E-39,0.0046,3000.0,2300.0,340.0,3899999.9999999995,1100.0,1300.0,4600.0,190.0,1800.0,0.14,3899999.9999999995,1.1E-5,0.049,0.049,0.0,420.0,5.3,0.0,1.4E-12,2.2E-23,2.5E7,1.0,7.2E8,
1.7E-39,0.0046,3000.0,2300.0,340.0,3899999.9999999995,1100.0,1300.0,4600.0,190.0,1800.0,0.14,3899999.9999999995,9.6E-6,0.049,0.049,0.0,420.0,5.3,0.0,1.6E-12,2.2E-23,2.6E7,1.0,7.2E8,
1.7E-39,0.0046,3000.0,2300.0,340.0,3899999.9999999995,1100.0,1300.0,4600.0,190.0,1800.0,0.14,3899999.9999999995,8.2E-6,0.049,0.049,0.0,420.0,5.3,0.0,1.9E-12,2.2E-23,2.8E7,1.0,7.2E8,
1.7E-39,0.0046,3000.0,2300.0,340.0,3899999.9999999995,1100.0,1300.0,4600.0,190.0,1800.0,0.14,3899999.9999999995,7.0E-6,0.049,0.049,0.0,420.0,5.3,0.0,2.1E-12,2.1E-23,3.0E7,1.0,7.2E8,
1.7E-39,0.0046,3000.0,2300.0,340.0,3899999.9999999995,1100.0,1300.0,4600.0,190.0,1800.0,0.14,3899999.9999999995,9.0E-6,0.049,0.049,0.0,420.0,5.3,0.0,2.3E-12,2.4E-23,2.7E7,1.0,7.2E8,
1.7E-39,0.0046,3000.0,2300.0,340.0,3899999.9999999995,1100.0,1300.0,4600.0,190.0,1800.0,0.14,3899999.9999999995,9.9E-6,0.049,0.049,0.0,410.0,5.3,0.0,2.6E-12,3.1E-23,2.6E7,1.0,7.2E8,
1.7E-39,0.0046,3000.0,2300.0,340.0,3899999.9999999995,1100.0,1300.0,4600.0,190.0,1800.0,0.14,3899999.9999999995,9.8E-6,0.049,0.049,0.0,400.0,5.3,0.0,2.9E-12,3.6E-23,2.6E7,1.0,7.2E8,
1.7E-39,0.0046,3000.0,2300.0,340.0,3899999.9999999995,1100.0,1300.0,4600.0,190.0,1800.0,0.14,3899999.9999999995,9.1E-6,0.049,0.049,0.0,400.0,5.3,0.0,3.3E-12,4.0E-23,2.7E7,1.0,7.2E8,
