RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
4650000.0,2193000.0,1285000.0,6416000.0,5725000.0,2396000.0,998000.0,1216000.0,1538000.0,2400000.0,2400000.0,
4621000.0,2191000.0,1285000.0,6376000.0,5680000.0,2396000.0,998000.0,1215000.0,1538000.0,9671000.0,1.017E7,
4600000.0,2178000.0,1275000.0,6357000.0,5680000.0,2396000.0,998000.0,1215000.0,1537000.0,9720000.0,1.017E7,
4663000.0,2168000.0,1266000.0,6322000.0,5647000.0,2396000.0,997900.0,1215000.0,1611000.0,9694000.0,1.012E7,
4863000.0,2137000.0,1259000.0,6296000.0,5593000.0,2396000.0,997900.0,1215000.0,1723000.0,9678000.0,9931000.0,
4813000.0,2137000.0,1258000.0,6246000.0,5520000.0,2396000.0,997900.0,1215000.0,1723000.0,9678000.0,1.0E7,
4829000.0,2136000.0,1258000.0,6071000.0,5467000.0,2396000.0,997800.0,1215000.0,1777000.0,9624000.0,1.0E7,
5222000.0,2136000.0,1234000.0,5941000.0,5411000.0,2393000.0,997700.0,1215000.0,1827000.0,9574000.0,9636000.0,
5142000.0,2136000.0,1234000.0,5941000.0,5360000.0,2392000.0,997700.0,1215000.0,1827000.0,9574000.0,9689000.0,
5080000.0,2136000.0,1233000.0,5921000.0,5294000.0,2391000.0,997700.0,1215000.0,1827000.0,9574000.0,9777000.0,
5014000.0,2136000.0,1233000.0,5911000.0,5248000.0,2390000.0,997700.0,1215000.0,1827000.0,9574000.0,9846000.0,
5009000.0,2136000.0,1233000.0,5911000.0,5206000.0,2390000.0,997700.0,1215000.0,1827000.0,9574000.0,9888000.0,
5002000.0,2136000.0,1233000.0,5911000.0,5120000.0,2390000.0,997700.0,1215000.0,1827000.0,9670000.0,9981000.0,
5048000.0,2136000.0,1218000.0,5903000.0,5096000.0,2390000.0,997700.0,1215000.0,1929000.0,9568000.0,9967000.0,
5043000.0,2136000.0,1218000.0,5903000.0,4988000.0,2388000.0,997700.0,1215000.0,1929000.0,9568000.0,1.008E7,
5043000.0,2136000.0,1218000.0,5898000.0,4925000.0,2388000.0,997700.0,1215000.0,1929000.0,9568000.0,1.014E7,
5212000.0,2136000.0,1218000.0,5898000.0,4889000.0,2388000.0,997700.0,1215000.0,1929000.0,9616000.0,9991000.0,
5332000.0,2131000.0,1218000.0,5898000.0,4832000.0,2388000.0,997700.0,1215000.0,2005000.0,9540000.0,9913000.0,
5312000.0,2130000.0,1218000.0,5898000.0,4786000.0,2388000.0,997700.0,1215000.0,2005000.0,9635000.0,9959000.0,
5287000.0,2130000.0,1218000.0,5898000.0,4727000.0,2388000.0,997700.0,1215000.0,2005000.0,9684000.0,1.002E7,
5285000.0,2123000.0,1187000.0,5898000.0,4630000.0,2388000.0,997700.0,1215000.0,2005000.0,9684000.0,1.015E7,
5387000.0,2119000.0,1187000.0,5883000.0,4630000.0,2388000.0,997700.0,1215000.0,2050000.0,9638000.0,1.004E7,
5448000.0,2115000.0,1173000.0,5868000.0,4602000.0,2388000.0,997700.0,1215000.0,2152000.0,9585000.0,1.001E7,
5443000.0,2115000.0,1173000.0,5847000.0,4576000.0,2388000.0,997700.0,1215000.0,2152000.0,9585000.0,1.003E7,
5713000.0,2115000.0,1173000.0,5832000.0,4527000.0,2388000.0,997700.0,1215000.0,2152000.0,9585000.0,9813000.0,
5708000.0,2115000.0,1173000.0,5827000.0,4470000.0,2381000.0,997700.0,1215000.0,2152000.0,9585000.0,9878000.0,
5703000.0,2105000.0,1173000.0,5822000.0,4456000.0,2381000.0,997700.0,1215000.0,2152000.0,9585000.0,9892000.0,
5685000.0,2100000.0,1173000.0,5812000.0,4436000.0,2381000.0,997700.0,1215000.0,2152000.0,9633000.0,9924000.0,
5847000.0,2100000.0,1173000.0,5807000.0,4368000.0,2381000.0,997700.0,1215000.0,2327000.0,9506000.0,9830000.0,
5835000.0,2094000.0,1172000.0,5807000.0,4341000.0,2381000.0,997700.0,1215000.0,2327000.0,9506000.0,9864000.0,
5789000.0,2105000.0,1160000.0,5797000.0,4308000.0,2381000.0,997700.0,1215000.0,2327000.0,9553000.0,9910000.0,
5753000.0,2117000.0,1163000.0,5798000.0,4282000.0,2380000.0,1775000.0,476700.0,2283000.0,9553000.0,9942000.0,
5698000.0,2128000.0,1165000.0,5815000.0,4276000.0,2374000.0,1775000.0,493900.0,2265000.0,9553000.0,9954000.0,
5613000.0,2123000.0,1168000.0,5887000.0,4314000.0,2342000.0,1769000.0,528000.0,2231000.0,9553000.0,9954000.0,
5625000.0,2127000.0,1171000.0,5863000.0,4299000.0,2342000.0,1769000.0,644200.0,2191000.0,9525000.0,9929000.0,
5668000.0,2126000.0,1172000.0,5853000.0,4219000.0,2342000.0,1774000.0,702800.0,2128000.0,9525000.0,9942000.0,
5601000.0,2127000.0,1175000.0,5852000.0,4199000.0,2347000.0,1755000.0,757300.0,2073000.0,9525000.0,9998000.0,
5699000.0,2140000.0,1165000.0,5863000.0,4191000.0,2339000.0,1757000.0,771400.0,2053000.0,9573000.0,9872000.0,
5425000.0,2144000.0,1168000.0,6100000.0,4182000.0,2333000.0,1763000.0,782000.0,2036000.0,9573000.0,9886000.0,
5389000.0,2135000.0,1170000.0,6112000.0,4135000.0,2333000.0,1769000.0,776000.0,2036000.0,9620000.0,9933000.0,
5412000.0,2136000.0,1174000.0,6104000.0,4096000.0,3672000.0,432200.0,928800.0,1926000.0,9569000.0,9924000.0,
5529000.0,2144000.0,1176000.0,6099000.0,4102000.0,3654000.0,438200.0,1034000.0,1815000.0,9569000.0,9784000.0,
5565000.0,2147000.0,1177000.0,6094000.0,4023000.0,3654000.0,438200.0,1064000.0,1786000.0,9665000.0,9798000.0,
5527000.0,2150000.0,1177000.0,6099000.0,4398000.0,3266000.0,438200.0,1090000.0,1759000.0,9665000.0,9811000.0,
5691000.0,2147000.0,1177000.0,6113000.0,4452000.0,3212000.0,453300.0,1167000.0,1742000.0,9639000.0,9599000.0,
