cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI,
0.0,1393.0,186.8,138.5,64.91,0.07159,3.083,0.5663,0.3116,0.3746,0.6156,0.0,344.0,0.1077,1.797,0.08994,0.1572,0.2836,0.1136,0.05162,1.627,11.94,0.0,344.0,0.1077,1.797,0.08994,0.1572,0.2836,0.1136,0.05162,1.627,11.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.9,71.15,39.93,1167.0,224.4,4.838,3.404,6.583,2.216,0.0,108.7,2.867,6.098,59.1,34.48,0.6775,0.004553,0.005819,0.01764,0.1907,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,0.0,99870.0,86310.0,49720.0,2.942E7,30850.0,20340.0,26720.0,21970.0,23110.0,0.0,1.81E-37,9.827E-38,6.558E-37,4.445E-37,4.237E-38,1.302E-38,3.298E-39,1.533E-39,1.6929999999999998E-39,1.451E-38,2.08E-35,0.0,0.2941,1.016,1.778,0.8056,0.1659,0.02714,0.00603,0.003031,0.004104,0.03369,0.0,0.0,3.565E-4,3.296E-4,6.052E-4,0.9966,4.709E-4,3.414E-4,7.72E-4,4.953E-5,4.702E-4,0.0,1.0E-5,0.001644,0.001916,0.001441,0.1712,0.005009,0.001035,5.406E-4,4.753E-4,2.781E-4,
0.0,1375.0,198.5,130.4,66.73,0.02911,3.123,0.6585,0.4267,0.3766,0.1154,0.0,344.0,0.1062,1.241,0.2148,0.1609,0.785,0.1326,0.04602,1.153,12.25,0.0,344.0,0.1062,1.241,0.2148,0.1609,0.785,0.1326,0.04602,1.153,12.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.2,73.13,39.79,1103.0,224.4,3.871,2.437,6.108,3.784,0.0,104.5,2.646,18.41,56.01,32.48,0.6728,0.004559,0.005815,0.01409,0.1479,0.0,0.0,4784000.0,14330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.412E-4,0.0,262.2,93280.0,80950.0,43550.0,2.691E7,29250.0,18950.0,24700.0,20370.0,20790.0,0.0,1.385E-37,9.274E-38,6.5709999999999995E-37,4.488E-37,4.537E-38,1.706E-38,3.5929999999999996E-39,1.902E-39,1.2469999999999999E-39,2.055E-39,2.08E-35,0.0,0.2247,1.039,1.773,0.8251,0.1709,0.04024,0.006842,0.00404,0.002221,0.002714,0.0,0.0,3.576E-4,3.306E-4,6.071E-4,0.9966,4.724E-4,3.425E-4,7.745E-4,4.969E-5,4.717E-4,0.0,7.683E-5,0.001637,0.001902,0.001433,0.1687,0.004876,0.001028,5.482E-4,4.74E-4,2.769E-4,
0.0,1375.0,196.9,130.9,72.44,0.02948,1.769,0.6021,0.3583,0.3727,0.1069,0.0,344.0,0.1121,1.238,0.2489,0.1764,0.1784,0.1195,0.04112,0.5205,13.45,0.0,344.0,0.1121,1.238,0.2489,0.1764,0.1784,0.1195,0.04112,0.5205,13.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.8,71.96,40.48,1038.0,230.2,3.299,2.356,5.907,1.629,0.0,104.5,2.636,11.18,50.95,39.67,0.6218,0.004518,0.005792,0.01304,0.136,0.0,0.0,4784000.0,14330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.77E-4,0.0,346.3,87950.0,80380.0,42030.0,2.58E7,30690.0,18140.0,23740.0,19200.0,19740.0,0.0,1.385E-37,9.525E-38,6.663E-37,4.331E-37,5.221E-38,9.045E-39,3.345E-39,1.604E-39,1.2179999999999999E-39,1.947E-39,2.08E-35,0.0,0.2248,1.036,1.79,0.8123,0.1796,0.02034,0.006319,0.003412,0.002168,0.002459,0.0,0.0,3.576E-4,3.306E-4,6.071E-4,0.9966,4.724E-4,3.425E-4,7.745E-4,4.969E-5,4.717E-4,0.0,1.06E-4,0.001615,0.00191,0.001423,0.1683,0.004861,0.00102,5.519E-4,4.729E-4,2.711E-4,
0.0,1375.0,178.4,147.2,77.34,0.007508,1.767,0.6021,0.3576,0.3821,0.1603,0.0,344.0,0.1032,1.238,0.2565,0.1585,0.1638,0.1268,0.03454,0.4711,13.53,0.0,344.0,0.1032,1.238,0.2565,0.1585,0.1638,0.1268,0.03454,0.4711,13.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,73.49,40.76,1002.0,229.5,3.246,2.539,5.938,1.588,0.0,104.5,2.595,9.705,48.19,39.67,0.6184,0.004516,0.005791,0.01062,0.1357,0.0,0.0,4784000.0,14330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.441E-4,0.0,387.7,87290.0,77110.0,40930.0,2.571E7,29970.0,17600.0,23510.0,17840.0,19630.0,0.0,1.385E-37,8.864E-38,6.73E-37,4.3739999999999995E-37,4.432E-38,8.998E-39,3.337E-39,1.597E-39,1.2199999999999999E-39,1.997E-39,2.08E-35,0.0,0.2248,0.9565,1.861,0.8209,0.1688,0.02031,0.006319,0.003411,0.002178,0.002534,0.0,0.0,3.576E-4,3.306E-4,6.071E-4,0.9966,4.724E-4,3.425E-4,7.745E-4,4.969E-5,4.717E-4,0.0,1.206E-4,0.001622,0.001891,0.001422,0.1682,0.004843,0.00102,5.522E-4,4.597E-4,3.023E-4,
0.0,1375.0,176.9,148.9,82.8,0.003709,1.673,0.6021,0.3567,0.3834,0.1607,0.0,344.0,0.101,1.241,0.2631,0.1592,0.1541,0.1268,0.02895,0.4668,13.54,0.0,344.0,0.101,1.241,0.2631,0.1592,0.1541,0.1268,0.02895,0.4668,13.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.3,72.39,40.03,967.8,228.2,3.188,2.567,5.89,1.549,0.0,104.5,2.589,7.453,44.05,39.8,0.5689,0.004452,0.005756,0.01029,0.1354,0.0,0.0,4784000.0,14330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,468.3,87100.0,74480.0,39660.0,2.637E7,28010.0,17560.0,23910.0,17230.0,19580.0,0.0,1.385E-37,8.827E-38,6.709E-37,4.369E-37,4.481E-38,8.167E-39,3.327E-39,1.586E-39,1.217E-39,1.993E-39,2.08E-35,0.0,0.2248,0.9483,1.869,0.8184,0.1695,0.01895,0.006319,0.003409,0.002181,0.002534,0.0,0.0,3.576E-4,3.306E-4,6.071E-4,0.9966,4.724E-4,3.425E-4,7.745E-4,4.969E-5,4.717E-4,0.0,1.488E-4,0.001599,0.001883,0.001406,0.168,0.0048,0.001018,5.497E-4,4.587E-4,3.027E-4,
0.0,1377.0,177.8,137.3,86.17,0.002689,8.077,0.602,0.3573,0.3836,0.1608,0.0,344.0,0.1101,1.216,0.2302,0.1483,0.1989,0.1274,0.03023,0.4672,13.54,0.0,344.0,0.1101,1.216,0.2302,0.1483,0.1989,0.1274,0.03023,0.4672,13.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.5,71.37,40.61,945.9,228.1,3.139,2.776,5.906,1.514,0.0,104.5,3.203,9.481,40.37,39.4,0.5715,0.004452,0.005756,0.01019,0.1353,0.0,0.0,4784000.0,14330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01E-4,0.0,686.0,90190.0,73940.0,41050.0,2.747E7,28950.0,17880.0,24780.0,17050.0,19940.0,0.0,1.4739999999999999E-37,9.146E-38,6.667E-37,4.1E-37,3.945E-38,2.869E-38,3.317E-39,1.578E-39,1.2129999999999999E-39,1.989E-39,2.08E-35,0.0,0.2437,0.9624,1.794,0.8282,0.1614,0.05561,0.006318,0.003416,0.002184,0.002534,0.0,0.0,3.576E-4,3.306E-4,6.071E-4,0.9966,4.724E-4,3.425E-4,7.745E-4,4.969E-5,4.717E-4,0.0,1.703E-4,0.001594,0.00187,0.001383,0.1677,0.004798,0.001014,5.553E-4,4.569E-4,3.02E-4,
0.0,1377.0,177.1,138.0,95.15,0.001992,1.918,0.6021,0.3572,0.3861,0.1507,0.0,344.0,0.1147,1.289,0.275,0.1475,0.1531,0.1282,0.0296,0.4584,13.47,0.0,344.0,0.1147,1.289,0.275,0.1475,0.1531,0.1282,0.0296,0.4584,13.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.1,71.5,40.55,900.5,228.2,3.055,2.721,5.755,1.459,0.0,104.5,3.544,7.668,37.75,39.28,0.5717,0.004431,0.005745,0.01019,0.1363,0.0,0.0,4784000.0,14330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.364E-4,0.0,750.5,93320.0,74140.0,42420.0,2.885E7,29340.0,18510.0,25920.0,17360.0,21280.0,0.0,1.4739999999999999E-37,9.381E-38,6.587999999999999E-37,4.291E-37,3.918E-38,9.005999999999999E-39,3.309E-39,1.57E-39,1.562E-39,5.3639999999999995E-39,2.08E-35,0.0,0.2437,0.9654,1.779,0.8623,0.161,0.0217,0.006319,0.003415,0.002719,0.007632,0.0,0.0,3.576E-4,3.306E-4,6.071E-4,0.9966,4.724E-4,3.425E-4,7.745E-4,4.969E-5,4.717E-4,0.0,1.85E-4,0.001588,0.001866,0.001382,0.1675,0.004788,0.001017,5.516E-4,4.548E-4,3.058E-4,
0.0,1382.0,172.6,141.4,92.94,0.01752,1.868,0.4745,0.195,0.3871,0.1521,0.0,344.1,0.1029,1.294,0.2572,0.147,0.1641,0.1212,0.02689,0.4563,13.47,0.0,344.1,0.1029,1.294,0.2572,0.147,0.1641,0.1212,0.02689,0.4563,13.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,254.9,71.46,40.09,862.2,226.3,2.965,3.403,6.011,1.451,0.0,104.5,3.022,7.226,36.39,39.41,0.5665,0.004435,0.006297,0.01009,0.1356,5.718E-16,0.0,4784000.0,13750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.891E-18,0.0,0.0,8.21E-19,5.057E-19,2.39E-20,3.8199999999999996E-22,5.236E-19,1.045E-18,6.05E-21,2.217E-21,3.659E-21,0.0,0.0,1.217E-26,1.593E-25,2.6579999999999996E-29,6.297E-34,3.006E-30,2.5800000000000003E-31,5.16E-33,2.189E-33,7.406E-34,1.007E-4,0.0,946.5,95760.0,77080.0,43090.0,3.03E7,29590.0,18850.0,27550.0,16970.0,21710.0,0.0,1.6679999999999999E-37,8.793E-38,6.597E-37,4.132E-37,3.909E-38,8.615E-39,2.7639999999999998E-39,8.841E-40,1.56E-39,5.361E-39,2.08E-35,0.0,0.2852,0.9304,1.803,0.8313,0.161,0.02113,0.005148,0.001943,0.002725,0.007634,0.0,0.0,3.576E-4,3.306E-4,6.071E-4,0.9966,4.724E-4,3.425E-4,7.745E-4,4.969E-5,4.717E-4,0.0,2.425E-4,0.001589,0.001862,0.001357,0.1672,0.004736,0.001023,5.606E-4,4.573E-4,3.078E-4,
0.0,1373.0,185.9,141.0,92.58,0.004823,1.822,0.4765,0.1977,0.3888,0.1464,0.0,344.1,0.1141,1.281,0.2572,0.1468,0.1537,0.1344,0.03029,0.4605,13.46,0.0,344.1,0.1141,1.281,0.2572,0.1468,0.1537,0.1344,0.03029,0.4605,13.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9989,256.7,72.25,41.13,829.9,222.0,2.952,4.785,6.601,1.437,0.0,102.2,3.031,6.73,34.43,39.39,0.5664,0.004436,0.006333,0.01005,0.1354,2.141E-15,0.0,4775000.0,22410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.706E-17,0.0,0.0,1.403E-16,2.928E-17,4.183E-18,4.459E-19,2.095E-17,3.926E-17,3.361E-18,2.447E-17,2.385E-17,0.0,0.0,9.231E-24,2.844E-23,5.909E-26,2.151E-29,4.492E-28,4.06E-27,1.01E-27,1.341E-27,2.8360000000000005E-26,4.173E-4,0.0,987.4,98010.0,78090.0,44410.0,3.187E7,30330.0,19060.0,28440.0,16340.0,22250.0,0.0,1.424E-37,9.003E-38,6.57E-37,4.119E-37,3.902E-38,8.291E-39,2.756E-39,8.863999999999999E-40,1.561E-39,5.3549999999999995E-39,2.08E-35,0.0,0.2594,0.98,1.793,0.8162,0.1609,0.02067,0.005149,0.001973,0.002739,0.007631,0.0,0.0,3.576E-4,3.306E-4,6.071E-4,0.9966,4.724E-4,3.425E-4,7.745E-4,4.969E-5,4.717E-4,0.0,2.567E-4,0.0016,0.001859,0.001352,0.1673,0.004701,0.001021,5.666E-4,4.59E-4,3.144E-4,
0.0,1379.0,182.4,145.4,90.63,0.003458,1.822,0.4764,0.1985,0.3901,0.1461,0.0,344.1,0.08888,1.27,0.2731,0.146,0.1526,0.1309,0.02904,0.3506,13.57,0.0,344.1,0.08888,1.27,0.2731,0.146,0.1526,0.1309,0.02904,0.3506,13.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9989,263.0,69.44,42.11,784.5,220.4,2.888,5.477,6.735,1.38,0.0,102.2,3.925,7.001,27.37,39.33,0.5581,0.004443,0.006218,0.009726,0.1353,3.609E-15,0.0,4775000.0,21880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29E-16,0.0,8.953E-18,1.048E-15,1.762E-15,1.679E-16,1.21E-16,1.945E-16,2.013E-16,4.676E-17,8.607E-16,1.215E-14,0.0,6.986E-26,1.4979999999999998E-22,8.523E-22,2.77E-22,1.9780000000000001E-25,5.3320000000000005E-25,5.857E-26,1.4650000000000002E-26,4.015E-26,6.181E-25,1.0E-4,0.0,1210.0,97550.0,73790.0,44830.0,3.248E7,30250.0,18950.0,29110.0,15610.0,22230.0,0.0,1.5559999999999999E-37,8.499E-38,6.623E-37,3.95E-37,3.888E-38,8.153E-39,2.748E-39,8.816E-40,1.5579999999999998E-39,5.35E-39,2.08E-35,0.0,0.3114,0.9532,1.816,0.7628,0.1606,0.02061,0.00515,0.001984,0.002747,0.007629,0.0,0.0,3.576E-4,3.306E-4,6.071E-4,0.9966,4.724E-4,3.425E-4,7.745E-4,4.969E-5,4.717E-4,0.0,3.014E-4,0.001615,0.001812,0.001355,0.1668,0.004606,0.001023,5.705E-4,4.604E-4,3.136E-4,
