entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
2.113,0.1648,0.1006,0.04749,0.02782,0.1389,0.124,0.05188,0.02161,0.02632,0.03329,0.2073,0.2208,
2.113,0.1513,0.09887,0.04744,0.02789,0.139,0.1237,0.052,0.02166,0.02638,0.03337,0.2078,0.2219,
2.111,0.1321,0.09785,0.04755,0.02796,0.1374,0.1215,0.05214,0.02172,0.02645,0.03346,0.2084,0.2256,
2.11,0.1288,0.09821,0.0477,0.02806,0.1343,0.1209,0.0523,0.02179,0.02654,0.03358,0.2091,0.2275,
2.109,0.1368,0.09724,0.04765,0.02808,0.1332,0.1192,0.05242,0.02184,0.0266,0.03366,0.2096,0.2305,
2.107,0.1263,0.09608,0.04759,0.02807,0.133,0.1184,0.05247,0.02188,0.02664,0.03371,0.2099,0.2322,
2.106,0.1201,0.09651,0.04713,0.02798,0.1326,0.1175,0.05244,0.02187,0.02662,0.03368,0.212,0.2317,
2.104,0.1184,0.09539,0.04674,0.02801,0.1327,0.1162,0.05253,0.02191,0.02667,0.03374,0.2124,0.2337,
2.102,0.1274,0.09536,0.04613,0.02802,0.1328,0.1141,0.05257,0.02192,0.02669,0.03376,0.2126,0.236,
2.105,0.1257,0.09736,0.04616,0.02804,0.133,0.1143,0.05265,0.02196,0.02674,0.03407,0.2127,0.233,
2.11,0.1393,0.101,0.04619,0.02768,0.1325,0.1137,0.05271,0.02198,0.02676,0.03605,0.2109,0.2304,
2.109,0.1246,0.1009,0.04614,0.02765,0.1324,0.1133,0.05265,0.02196,0.02673,0.03601,0.2118,0.2305,
2.108,0.1281,0.1005,0.04609,0.02762,0.1323,0.1129,0.05259,0.02194,0.02671,0.03597,0.2126,0.2308,
2.114,0.1251,0.1021,0.04609,0.02762,0.1323,0.1123,0.0526,0.02194,0.02671,0.0389,0.2097,0.2298,
