RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
4644000.0,2193000.0,1285000.0,6416000.0,5725000.0,2396000.0,998000.0,1216000.0,1538000.0,9575000.0,1.02E7,
4556000.0,2186000.0,1285000.0,6406000.0,5700000.0,2396000.0,998000.0,1216000.0,1538000.0,9575000.0,1.023E7,
4497000.0,2185000.0,1285000.0,6317000.0,5584000.0,2396000.0,998000.0,1215000.0,1538000.0,9575000.0,1.037E7,
4496000.0,2184000.0,1285000.0,6148000.0,5533000.0,2395000.0,997900.0,1215000.0,1537000.0,9575000.0,1.042E7,
4442000.0,2177000.0,1283000.0,6083000.0,5445000.0,2395000.0,997900.0,1215000.0,1537000.0,9575000.0,1.053E7,
4382000.0,2171000.0,1280000.0,6065000.0,5402000.0,2393000.0,997800.0,1215000.0,1537000.0,9575000.0,1.059E7,
4404000.0,2151000.0,1277000.0,6049000.0,5363000.0,2393000.0,997700.0,1215000.0,1537000.0,9671000.0,1.057E7,
4344000.0,2129000.0,1276000.0,6043000.0,5291000.0,2392000.0,997600.0,1215000.0,1537000.0,9671000.0,1.064E7,
4339000.0,2099000.0,1275000.0,6042000.0,5194000.0,2392000.0,997500.0,1214000.0,1536000.0,9671000.0,1.074E7,
4423000.0,2097000.0,1274000.0,6041000.0,5194000.0,2392000.0,997500.0,1214000.0,1548000.0,9660000.0,1.058E7,
4584000.0,2096000.0,1256000.0,6015000.0,5159000.0,2392000.0,997500.0,1214000.0,1636000.0,9572000.0,1.046E7,
4584000.0,2096000.0,1256000.0,6015000.0,5147000.0,2392000.0,997500.0,1214000.0,1636000.0,9619000.0,1.047E7,
4572000.0,2096000.0,1256000.0,6015000.0,5132000.0,2392000.0,997500.0,1214000.0,1636000.0,9668000.0,1.05E7,
4642000.0,2096000.0,1256000.0,6015000.0,5105000.0,2392000.0,997500.0,1214000.0,1769000.0,9535000.0,1.045E7,
4926000.0,2096000.0,1256000.0,6015000.0,5061000.0,2392000.0,997500.0,1214000.0,1769000.0,9535000.0,1.02E7,
5065000.0,2090000.0,1256000.0,6015000.0,5046000.0,2392000.0,997500.0,1214000.0,1769000.0,9631000.0,1.006E7,
5127000.0,2090000.0,1256000.0,6010000.0,5021000.0,2390000.0,997500.0,1214000.0,1832000.0,9615000.0,1.001E7,
5171000.0,2090000.0,1256000.0,6006000.0,4995000.0,2390000.0,997500.0,1214000.0,1952000.0,9639000.0,9987000.0,
5139000.0,2086000.0,1253000.0,5999000.0,4981000.0,2390000.0,997500.0,1214000.0,1952000.0,9687000.0,1.0E7,
5314000.0,2084000.0,1240000.0,5980000.0,4927000.0,2390000.0,997400.0,1214000.0,1968000.0,9671000.0,9879000.0,
5301000.0,2082000.0,1240000.0,5975000.0,4909000.0,2390000.0,997400.0,1214000.0,1968000.0,9719000.0,9896000.0,
5282000.0,2080000.0,1240000.0,5975000.0,4876000.0,2390000.0,997400.0,1214000.0,1968000.0,9719000.0,9929000.0,
5262000.0,2075000.0,1240000.0,5975000.0,4838000.0,2390000.0,997400.0,1214000.0,1968000.0,9768000.0,9968000.0,
5232000.0,2070000.0,1225000.0,5975000.0,4798000.0,2390000.0,997400.0,1214000.0,1968000.0,9768000.0,1.002E7,
5222000.0,2060000.0,1225000.0,5975000.0,4764000.0,2390000.0,997400.0,1214000.0,1968000.0,9768000.0,1.006E7,
5266000.0,2060000.0,1225000.0,5975000.0,4745000.0,2389000.0,997400.0,1214000.0,2031000.0,9706000.0,1.001E7,
5241000.0,2059000.0,1225000.0,5970000.0,4712000.0,2389000.0,997400.0,1214000.0,2031000.0,9706000.0,1.004E7,
5236000.0,2052000.0,1225000.0,5970000.0,4676000.0,2389000.0,997400.0,1214000.0,2031000.0,9706000.0,1.008E7,
5221000.0,2052000.0,1225000.0,5970000.0,4631000.0,2389000.0,997400.0,1214000.0,2031000.0,9754000.0,1.013E7,
5206000.0,2052000.0,1225000.0,5970000.0,4559000.0,2389000.0,997400.0,1214000.0,2031000.0,9803000.0,1.02E7,
5201000.0,2052000.0,1225000.0,5970000.0,4496000.0,2389000.0,997400.0,1214000.0,2031000.0,9852000.0,1.026E7,
5363000.0,2054000.0,1213000.0,5970000.0,4453000.0,2379000.0,1883000.0,328400.0,2129000.0,9753000.0,1.015E7,
5529000.0,2069000.0,1215000.0,5974000.0,4396000.0,2334000.0,1892000.0,353300.0,2189000.0,9751000.0,1.004E7,
5613000.0,2069000.0,1219000.0,5985000.0,4313000.0,2316000.0,1892000.0,415500.0,2189000.0,9786000.0,9993000.0,
5570000.0,2070000.0,1223000.0,5995000.0,4266000.0,2331000.0,1878000.0,472000.0,2131000.0,9835000.0,1.004E7,
5762000.0,2072000.0,1226000.0,5990000.0,4196000.0,2331000.0,1878000.0,492100.0,2130000.0,9816000.0,9888000.0,
5909000.0,2080000.0,1228000.0,5990000.0,4114000.0,2949000.0,1259000.0,567100.0,2072000.0,9799000.0,9796000.0,
5862000.0,2077000.0,1234000.0,6004000.0,4046000.0,2937000.0,1259000.0,579200.0,2060000.0,9848000.0,9877000.0,
5808000.0,2087000.0,1235000.0,5987000.0,4006000.0,2937000.0,1253000.0,596300.0,2043000.0,9898000.0,9943000.0,
5729000.0,2087000.0,1238000.0,6047000.0,4011000.0,2931000.0,1251000.0,622900.0,2006000.0,9947000.0,9956000.0,
5701000.0,2085000.0,1244000.0,6047000.0,3953000.0,2931000.0,1251000.0,658500.0,1971000.0,9947000.0,1.001E7,
5825000.0,2099000.0,1246000.0,6063000.0,3872000.0,2925000.0,1251000.0,723200.0,1981000.0,9922000.0,9925000.0,
5855000.0,2112000.0,1247000.0,6065000.0,3792000.0,2919000.0,1251000.0,773800.0,1986000.0,9866000.0,9925000.0,
5778000.0,2115000.0,1252000.0,6119000.0,3677000.0,2919000.0,1251000.0,773800.0,1986000.0,9866000.0,1.004E7,
5707000.0,2120000.0,1253000.0,6149000.0,4179000.0,2370000.0,1251000.0,779800.0,1980000.0,9866000.0,1.009E7,
5641000.0,2130000.0,1256000.0,6177000.0,4198000.0,2336000.0,1251000.0,822000.0,1938000.0,9866000.0,1.01E7,
