entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
2.202,0.1895,0.1311,0.08179,0.04151,0.2172,0.08579,0.01698,0.04639,0.0526,0.04348,0.1427,0.1405,
2.203,0.1955,0.1276,0.08209,0.04141,0.2158,0.08545,0.01708,0.04667,0.05291,0.04373,0.1435,0.1438,
2.204,0.1662,0.126,0.08198,0.04139,0.2141,0.08485,0.01716,0.0469,0.05317,0.04395,0.1442,0.1464,
2.205,0.178,0.1252,0.08177,0.04123,0.2128,0.08486,0.01721,0.04702,0.05331,0.04406,0.1453,0.1472,
2.205,0.1734,0.124,0.08184,0.0413,0.2115,0.08467,0.01722,0.04712,0.05342,0.04415,0.1464,0.1484,
2.207,0.1664,0.1247,0.08201,0.04068,0.2097,0.08419,0.0173,0.04739,0.05373,0.04503,0.1473,0.148,
2.208,0.1865,0.1238,0.08156,0.04076,0.209,0.0841,0.01736,0.04757,0.05393,0.0452,0.1479,0.1489,
2.209,0.1591,0.1232,0.08161,0.04062,0.2067,0.08394,0.01741,0.04779,0.05419,0.04541,0.1486,0.1506,
2.211,0.1554,0.1217,0.08187,0.04079,0.2046,0.08403,0.01749,0.04803,0.05445,0.04564,0.1493,0.152,
2.213,0.1535,0.1216,0.08177,0.041,0.2021,0.08338,0.01757,0.04827,0.05475,0.0461,0.1507,0.1527,
2.211,0.149,0.1216,0.08161,0.04101,0.2021,0.08158,0.01746,0.04826,0.05477,0.04611,0.1507,0.1548,
2.211,0.1362,0.1209,0.0815,0.04096,0.2015,0.08141,0.01742,0.04822,0.05473,0.04607,0.1521,0.1551,
2.211,0.1474,0.1205,0.08126,0.04098,0.2014,0.08107,0.01744,0.04827,0.05478,0.04612,0.1523,0.1559,
2.211,0.1313,0.1226,0.0812,0.04066,0.2009,0.08061,0.01742,0.04824,0.05477,0.04647,0.1527,0.1544,
2.21,0.1436,0.1225,0.08112,0.04054,0.2005,0.08021,0.01737,0.04823,0.05476,0.04646,0.1534,0.1549,
2.209,0.1372,0.1218,0.08088,0.04025,0.2002,0.08013,0.01735,0.04818,0.05471,0.04642,0.1548,0.1553,
2.21,0.1456,0.1231,0.08071,0.04024,0.1997,0.078,0.01735,0.04819,0.05472,0.04823,0.1538,0.156,
2.21,0.1545,0.122,0.08076,0.04027,0.1992,0.07763,0.01735,0.04822,0.05477,0.04827,0.1539,0.1576,
2.211,0.1281,0.1221,0.08039,0.04013,0.199,0.07696,0.01733,0.04822,0.05477,0.05012,0.1528,0.1581,
2.213,0.1274,0.123,0.08041,0.04014,0.1984,0.07671,0.01733,0.04822,0.05478,0.05154,0.1522,0.1572,
2.213,0.12,0.1227,0.08008,0.04001,0.1977,0.07646,0.01734,0.04829,0.05488,0.05163,0.1525,0.1585,
2.213,0.1248,0.122,0.08009,0.03985,0.1965,0.07612,0.01736,0.04835,0.05495,0.05169,0.1535,0.1596,
2.213,0.1557,0.1219,0.07973,0.03973,0.1963,0.07621,0.01738,0.0484,0.05501,0.05175,0.1536,0.16,
2.212,0.1744,0.1216,0.07914,0.03969,0.1962,0.07615,0.01737,0.04837,0.05496,0.05171,0.155,0.1598,
2.214,0.1489,0.124,0.07875,0.03971,0.1963,0.07546,0.01738,0.0484,0.05501,0.05344,0.1535,0.1581,
2.216,0.1316,0.1259,0.07824,0.03974,0.1963,0.07517,0.0174,0.04845,0.05506,0.05578,0.1513,0.1567,
2.219,0.1125,0.1294,0.07806,0.03978,0.196,0.07452,0.01742,0.04851,0.05512,0.05744,0.1499,0.1539,
2.219,0.1067,0.1306,0.07774,0.03964,0.1955,0.0746,0.01744,0.04857,0.0552,0.05751,0.1501,0.1531,
2.22,0.1084,0.1329,0.07753,0.03962,0.1948,0.07457,0.01744,0.04855,0.05517,0.05828,0.1507,0.1503,
2.219,0.112,0.1323,0.07755,0.03933,0.1944,0.07366,0.01755,0.04851,0.05524,0.05835,0.1509,0.1521,
2.219,0.1246,0.1312,0.07757,0.03953,0.1939,0.07366,0.01747,0.04839,0.05697,0.05676,0.1511,0.1534,
2.219,0.1407,0.1297,0.07759,0.03968,0.1944,0.07333,0.01738,0.04865,0.05841,0.05531,0.1514,0.1542,
2.199,0.1486,0.1283,0.07745,0.03999,0.1943,0.08391,0.006669,0.04865,0.05898,0.05494,0.1516,0.1552,
2.198,0.1412,0.1272,0.0769,0.03993,0.1947,0.08422,0.006528,0.04874,0.06173,0.0524,0.1519,0.1557,
2.197,0.1361,0.1262,0.07677,0.04008,0.1948,0.08409,0.006424,0.0487,0.06255,0.05176,0.1522,0.1564,
2.199,0.1307,0.1278,0.07699,0.04011,0.1939,0.08427,0.006725,0.04851,0.06452,0.05099,0.1515,0.1546,
2.2,0.1336,0.1294,0.07705,0.04025,0.1932,0.08439,0.006542,0.04894,0.06505,0.05027,0.1518,0.1532,
2.2,0.134,0.1322,0.07686,0.04038,0.1927,0.08402,0.006545,0.04886,0.06543,0.04993,0.1526,0.1505,
2.201,0.1333,0.1315,0.07676,0.04053,0.1923,0.08428,0.00675,0.04867,0.0658,0.04979,0.1529,0.1508,
2.201,0.1469,0.1287,0.07708,0.04071,0.1933,0.0837,0.007187,0.04845,0.06642,0.04933,0.1532,0.1519,
2.201,0.1313,0.1282,0.07693,0.04076,0.1926,0.083,0.00728,0.0484,0.06676,0.04871,0.1547,0.1527,
2.203,0.1419,0.1284,0.07699,0.04096,0.1925,0.08117,0.007467,0.04818,0.06782,0.04998,0.1537,0.1529,
2.201,0.1448,0.1276,0.07683,0.04106,0.1922,0.07955,0.007376,0.0485,0.06803,0.04955,0.1546,0.1548,
2.2,0.1451,0.1275,0.07666,0.04098,0.1927,0.07789,0.007381,0.04873,0.06922,0.04844,0.1545,0.156,
2.199,0.1592,0.1269,0.07645,0.04108,0.1929,0.07747,0.007378,0.04891,0.06917,0.04825,0.1552,0.1563,
2.202,0.1545,0.1288,0.07606,0.04126,0.1946,0.07758,0.007389,0.04924,0.07007,0.04929,0.1534,0.1523,
2.201,0.1406,0.1281,0.07611,0.04138,0.1946,0.07704,0.007395,0.04919,0.07072,0.04874,0.1535,0.1532,
2.202,0.1526,0.1298,0.0763,0.04149,0.194,0.07644,0.007592,0.04921,0.07092,0.04842,0.1544,0.1515,
2.202,0.2015,0.1294,0.07639,0.0416,0.1937,0.0752,0.007888,0.04933,0.07079,0.04828,0.1545,0.1529,
2.201,0.1902,0.1289,0.07607,0.04173,0.1935,0.0744,0.007986,0.04933,0.07115,0.04784,0.1553,0.1538,
2.204,0.1789,0.1305,0.07591,0.04187,0.1938,0.07354,0.007991,0.04946,0.07145,0.04966,0.1532,0.1526,
2.203,0.1762,0.1301,0.07591,0.04193,0.1938,0.07325,0.008287,0.0492,0.07292,0.04828,0.1534,0.153,
2.213,0.1606,0.1291,0.07586,0.04222,0.1939,0.07278,0.01554,0.0421,0.07307,0.04816,0.1535,0.1537,
2.213,0.1579,0.1275,0.07577,0.04234,0.1949,0.07286,0.01566,0.04205,0.07464,0.04672,0.1537,0.1539,
2.213,0.1586,0.1268,0.07567,0.0425,0.195,0.07292,0.01596,0.0418,0.07506,0.0464,0.1538,0.154,
2.217,0.1866,0.1252,0.07566,0.0426,0.1959,0.07278,0.02317,0.03461,0.07582,0.04543,0.1546,0.1543,
2.216,0.1742,0.1246,0.07527,0.04269,0.1963,0.07203,0.02319,0.03484,0.07624,0.04491,0.1547,0.1552,
2.216,0.1825,0.1245,0.07515,0.04259,0.1967,0.07057,0.02338,0.03486,0.07664,0.04621,0.153,0.1564,
2.216,0.1804,0.1258,0.07479,0.04246,0.1967,0.07049,0.02341,0.03522,0.07655,0.04594,0.1531,0.1555,
2.215,0.1726,0.1265,0.07474,0.0426,0.1967,0.07026,0.02342,0.03534,0.07903,0.0434,0.1531,0.1549,
2.214,0.16,0.1283,0.07443,0.0427,0.197,0.06909,0.02345,0.03584,0.08015,0.04199,0.1533,0.1537,
2.213,0.1503,0.1276,0.07441,0.04275,0.1965,0.06754,0.02356,0.03595,0.08088,0.04114,0.1542,0.1554,
2.203,0.1667,0.1286,0.07406,0.04281,0.1965,0.06658,0.04844,0.01245,0.07986,0.04075,0.155,0.155,
2.203,0.1695,0.1314,0.07399,0.04269,0.1963,0.06576,0.04849,0.01256,0.08049,0.04016,0.1552,0.153,
2.202,0.1695,0.1283,0.0737,0.04296,0.1989,0.06549,0.04853,0.01281,0.08059,0.03992,0.1553,0.1535,
2.201,0.1669,0.1274,0.07342,0.04307,0.1988,0.06518,0.04857,0.01296,0.08147,0.03899,0.1562,0.1539,
2.201,0.1784,0.1274,0.07311,0.04324,0.1981,0.06528,0.04864,0.01339,0.08249,0.03774,0.1565,0.1542,
2.202,0.1661,0.1271,0.0732,0.04335,0.1968,0.06499,0.04869,0.01364,0.08252,0.0376,0.1574,0.1547,
2.202,0.1795,0.1267,0.07334,0.04346,0.1965,0.06463,0.04873,0.01379,0.08285,0.03722,0.1575,0.1552,
2.202,0.1683,0.1257,0.07335,0.04367,0.1968,0.06468,0.04877,0.01406,0.08291,0.037,0.1577,0.1554,
2.202,0.1544,0.1232,0.07334,0.04384,0.199,0.06471,0.0489,0.01417,0.08291,0.03683,0.1577,0.1554,
2.201,0.1435,0.1227,0.07337,0.0436,0.1991,0.06446,0.04893,0.01418,0.08363,0.0368,0.1572,0.1561,
2.202,0.1577,0.1221,0.07363,0.04376,0.199,0.06447,0.04894,0.01418,0.08401,0.03645,0.1572,0.1562,
2.168,0.1881,0.1216,0.07337,0.04389,0.1988,0.09882,0.0146,0.01428,0.08534,0.03591,0.1571,0.1562,
2.168,0.1708,0.1208,0.0732,0.04376,0.1985,0.09869,0.01461,0.01474,0.08565,0.03525,0.158,0.1568,
2.168,0.1698,0.1199,0.0736,0.04383,0.1986,0.09876,0.01462,0.01485,0.08599,0.03489,0.1581,0.1569,
2.166,0.1619,0.1168,0.07336,0.04389,0.2011,0.09877,0.01437,0.0151,0.08627,0.03453,0.1583,0.1575,
2.166,0.1515,0.1171,0.07358,0.04403,0.2008,0.09809,0.01439,0.01522,0.08732,0.03388,0.1582,0.1573,
2.166,0.145,0.1162,0.07362,0.04415,0.2007,0.09823,0.01429,0.01557,0.0874,0.03345,0.1591,0.1574,
2.165,0.1619,0.1147,0.07351,0.04416,0.201,0.09818,0.01428,0.01583,0.0876,0.03291,0.1606,0.1573,
2.164,0.1471,0.1142,0.07347,0.04435,0.2006,0.09839,0.0142,0.01585,0.08898,0.03168,0.1608,0.1575,
2.162,0.1571,0.1138,0.07349,0.04378,0.2004,0.09807,0.01421,0.01596,0.09049,0.03017,0.1609,0.1587,
2.168,0.1496,0.1156,0.07298,0.04376,0.2005,0.09626,0.01421,0.01624,0.09165,0.03373,0.1568,0.1583,
2.168,0.1693,0.1151,0.073,0.04396,0.2,0.09531,0.01443,0.01606,0.09198,0.03357,0.157,0.1596,
2.168,0.1608,0.1197,0.07278,0.04406,0.2,0.09502,0.01444,0.01607,0.09253,0.03309,0.1579,0.1543,
2.168,0.1807,0.1194,0.07295,0.04415,0.2001,0.09477,0.01434,0.01632,0.09268,0.03272,0.1579,0.1547,
2.168,0.1679,0.1189,0.07309,0.04424,0.2,0.0947,0.01427,0.01667,0.09306,0.03207,0.158,0.155,
2.166,0.1741,0.1182,0.07298,0.04432,0.1995,0.09377,0.01428,0.01678,0.09436,0.03074,0.1589,0.1561,
2.166,0.1675,0.1168,0.07323,0.04453,0.2003,0.0938,0.01429,0.01679,0.09529,0.03048,0.1583,0.1562,
2.169,0.1718,0.1159,0.07336,0.04462,0.2006,0.09298,0.01417,0.01725,0.09518,0.03178,0.1569,0.1572,
