cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI,
0.0,1270.0,198.2,384.2,231.9,1.68,15.84,1.077,1.033,1.059,0.9027,0.0,344.4,0.1495,2.606,0.1909,0.341,0.4815,0.4939,0.5958,7.216,18.2,0.0,344.4,0.1495,2.606,0.1909,0.341,0.4815,0.4939,0.5958,7.216,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,932.3,303.1,113.4,1831.0,1024.0,48.44,9.478,13.27,15.51,0.0,114.5,7.187,16.54,71.87,54.9,6.19,0.5438,0.09746,0.1679,0.408,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,0.0,187000.0,215600.0,101700.0,6.984E7,64170.0,90740.0,20710.0,75590.0,128600.0,0.0,1.12E-37,4.182E-38,4.59E-37,2.78E-37,2.711E-38,1.241E-38,2.515E-39,6.871E-40,1.3749999999999999E-39,7.651E-40,2.08E-35,0.0,0.5089,1.117,3.052,1.385,0.1723,0.07425,0.01204,0.009683,0.009485,0.008439,0.0,0.0,5.418E-4,0.001832,0.001048,1.989,6.899E-4,0.002169,1.157E-4,0.001535,0.002925,0.0,1.0E-5,0.002833,0.003783,0.002586,0.3479,0.007434,0.001079,0.001292,0.001404,0.001255,
0.0,1271.0,189.1,376.9,240.7,3.295,21.02,1.098,1.128,1.183,0.7469,0.0,344.4,0.1437,2.538,0.2546,0.3358,0.3449,0.4948,0.7191,7.068,18.35,0.0,344.4,0.1437,2.538,0.2546,0.3358,0.3449,0.4948,0.7191,7.068,18.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,965.6,328.6,113.3,1753.0,1024.0,48.31,9.49,13.16,15.33,0.0,114.5,5.836,19.79,68.09,50.54,3.824,0.5431,0.09801,0.174,0.3858,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001795,0.0,539.2,185300.0,274800.0,96450.0,6.419E7,58300.0,83610.0,19420.0,69420.0,117500.0,0.0,1.129E-37,4.054E-38,4.598E-37,2.73E-37,2.342E-38,1.574E-38,2.5199999999999997E-39,8.179E-40,1.374E-39,7.637E-40,2.08E-35,0.0,0.516,1.062,3.035,1.401,0.1594,0.08719,0.01226,0.009925,0.01057,0.007246,0.0,0.0,5.418E-4,0.001832,0.001048,1.989,6.899E-4,0.002169,1.157E-4,0.001535,0.002925,0.0,1.226E-4,0.002827,0.003832,0.002604,0.3454,0.007309,0.001077,0.001313,0.001385,0.001256,
0.0,1280.0,182.7,367.4,252.1,0.04749,19.82,1.1,1.148,1.224,0.4552,0.0,344.4,0.1881,2.394,0.3099,0.3197,0.3386,0.4943,0.6256,3.627,21.9,0.0,344.4,0.1881,2.394,0.3099,0.3197,0.3386,0.4943,0.6256,3.627,21.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,988.0,344.0,116.5,1641.0,1024.0,48.11,9.418,12.98,15.03,0.0,115.3,7.599,23.9,55.07,51.37,2.814,0.5427,0.09602,0.1293,0.3537,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,1177.0,180400.0,258600.0,92190.0,6.055E7,54630.0,79390.0,18620.0,65820.0,110800.0,0.0,1.208E-37,4.492E-38,4.4559999999999995E-37,2.745E-37,1.988E-38,1.208E-38,2.519E-39,7.86E-40,1.3029999999999999E-39,6.698E-40,2.08E-35,0.0,0.5726,1.058,2.968,1.411,0.1402,0.07472,0.01227,0.01013,0.01067,0.005226,0.0,0.0,5.448E-4,0.001838,0.001054,1.989,6.918E-4,0.002175,1.16E-4,0.001539,0.002933,0.0,1.949E-4,0.002827,0.003803,0.002611,0.3453,0.007283,0.001077,0.001312,0.001393,0.001249,
0.0,1285.0,185.5,370.0,248.0,0.04199,19.86,0.6851,1.26,1.602,0.4713,0.0,344.4,0.1676,2.366,0.3362,0.3158,0.331,0.4808,0.6322,3.261,22.26,0.0,344.4,0.1676,2.366,0.3362,0.3158,0.331,0.4808,0.6322,3.261,22.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.3,343.7,124.6,1623.0,1026.0,45.93,11.9,14.28,14.75,0.0,115.0,7.259,18.44,49.62,51.5,3.008,0.5716,0.09756,0.1344,0.3353,0.0,0.0,4798000.0,1914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,1729.0,172700.0,207500.0,89090.0,5.981E7,55770.0,78050.0,18490.0,64450.0,108700.0,0.0,1.224E-37,4.286E-38,4.426E-37,2.664E-37,1.825E-38,1.268E-38,1.4999999999999998E-39,9.909E-40,1.818E-39,6.411E-40,2.08E-35,0.0,0.5885,1.075,2.953,1.374,0.1331,0.07211,0.007818,0.01051,0.01264,0.005193,0.0,0.0,5.448E-4,0.001838,0.001054,1.989,6.918E-4,0.002175,1.16E-4,0.001539,0.002933,0.0,2.728E-4,0.002824,0.003663,0.002597,0.3461,0.007273,0.001057,0.001333,0.001412,0.00125,
0.0,1287.0,180.1,361.0,264.0,0.04154,13.96,0.697,1.24,1.525,0.597,0.0,344.4,0.1542,2.318,0.3713,0.3209,0.3314,0.4022,0.6127,3.484,22.12,0.0,344.4,0.1542,2.318,0.3713,0.3209,0.3314,0.4022,0.6127,3.484,22.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,988.5,364.1,123.2,1589.0,1027.0,46.28,11.89,14.82,14.33,0.0,115.0,7.291,18.11,42.48,51.31,2.995,0.5651,0.09587,0.1307,0.191,0.0,0.0,4798000.0,1914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.715E-4,0.0,2010.0,171200.0,195500.0,89900.0,6.081E7,55730.0,78980.0,18500.0,64750.0,109700.0,0.0,1.2569999999999999E-37,3.616E-38,4.317E-37,2.622E-37,2.077E-38,1.8479999999999999E-38,1.51E-39,9.63E-40,1.735E-39,6.177E-40,2.08E-35,0.0,0.6047,1.037,2.893,1.377,0.1425,0.08382,0.007872,0.01031,0.01216,0.005126,0.0,0.0,5.448E-4,0.001838,0.001054,1.989,6.918E-4,0.002175,1.16E-4,0.001539,0.002933,0.0,3.17E-4,0.002812,0.003625,0.002578,0.346,0.007256,0.00106,0.001336,0.001416,0.001241,
0.0,1305.0,190.9,346.4,252.7,0.04086,8.832,0.6829,1.39,1.486,0.6479,0.0,344.5,0.2166,2.231,0.3666,0.3157,0.3224,0.4013,0.6157,3.333,22.27,0.0,344.5,0.2166,2.231,0.3666,0.3157,0.3224,0.4013,0.6157,3.333,22.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,989.6,372.0,123.6,1550.0,1027.0,46.22,11.89,14.75,14.22,0.0,115.0,7.476,16.78,37.88,51.11,2.597,0.552,0.05442,0.09242,0.1366,0.0,0.0,4798000.0,1914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00102,0.0,2381.0,176800.0,189700.0,91220.0,6.292E7,56050.0,81200.0,18820.0,65450.0,112600.0,0.0,1.325E-37,5.088E-38,4.169E-37,2.58E-37,1.899E-38,1.237E-38,1.505E-39,9.667E-40,1.7199999999999998E-39,6.123E-40,2.08E-35,0.0,0.6455,1.11,2.791,1.349,0.1356,0.06088,0.007544,0.01119,0.01161,0.005113,0.0,0.0,5.448E-4,0.001838,0.001054,1.989,6.918E-4,0.002175,1.16E-4,0.001539,0.002933,0.0,3.512E-4,0.002809,0.003597,0.002554,0.3454,0.007247,0.001067,0.001341,0.001397,0.001245,
0.0,1307.0,191.1,340.7,215.3,1.815,10.66,0.6904,1.383,1.494,0.6356,0.0,344.5,0.2097,2.157,0.4002,0.3256,0.5648,0.2777,0.5666,2.403,23.13,0.0,344.5,0.2097,2.157,0.4002,0.3256,0.5648,0.2777,0.5666,2.403,23.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,993.2,379.7,125.9,1507.0,1027.0,46.36,11.6,14.68,14.08,0.0,113.9,8.021,19.2,68.83,54.07,2.512,0.5477,0.05414,0.09141,0.1469,0.0,0.0,4794000.0,5802.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,2864.0,191700.0,219600.0,125500.0,6.511E7,56730.0,83480.0,18570.0,66900.0,115100.0,0.0,1.312E-37,4.576E-38,4.1049999999999995E-37,2.509E-37,2.644E-38,1.344E-38,1.51E-39,9.578E-40,1.714E-39,6.078E-40,2.08E-35,0.0,0.6436,1.13,2.755,1.322,0.1643,0.06942,0.007572,0.01114,0.01164,0.005104,0.0,0.0,5.448E-4,0.001838,0.001054,1.989,6.918E-4,0.002175,1.16E-4,0.001539,0.002933,0.0,4.316E-4,0.002854,0.003627,0.002605,0.3445,0.007193,0.001071,0.001335,0.001403,0.001243,
0.0,1317.0,187.7,334.6,200.2,0.1684,15.77,0.8152,0.9009,1.696,0.9173,0.0,344.6,0.2523,2.044,0.4663,0.3155,0.8768,0.216,0.5772,2.481,22.75,0.0,344.6,0.2523,2.044,0.4663,0.3155,0.8768,0.216,0.5772,2.481,22.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1002.0,375.5,135.7,1503.0,1027.0,46.17,6.833,8.845,14.01,0.0,114.1,7.731,26.53,77.24,47.99,1.19,0.3773,0.9394,0.04655,0.1034,0.0,0.0,4794000.0,5802.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,3419.0,190600.0,205200.0,109700.0,6.322E7,70580.0,80690.0,18800.0,64900.0,112000.0,0.0,1.435E-37,5.206E-38,4.019E-37,2.4129999999999998E-37,1.676E-38,1.896E-38,1.561E-39,9.925E-40,2.074E-39,7.941E-40,2.08E-35,0.0,0.7093,1.142,2.735,1.275,0.1244,0.08375,0.00779,0.01129,0.01352,0.006203,0.0,0.0,5.468E-4,0.001843,0.001057,1.989,6.938E-4,0.002181,1.163E-4,0.001544,0.002941,0.0,5.011E-4,0.002833,0.003568,0.00251,0.3436,0.007279,0.001066,0.001326,0.001384,0.001248,
0.0,1308.0,179.3,352.1,198.2,0.0771,9.781,0.6898,0.884,1.565,0.8478,0.0,344.6,0.1677,2.091,0.5643,0.3053,0.2909,0.2052,0.5688,2.471,23.3,0.0,344.6,0.1677,2.091,0.5643,0.3053,0.2909,0.2052,0.5688,2.471,23.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1013.0,383.5,118.5,1464.0,1061.0,39.11,6.926,5.53,4.102,0.0,111.4,9.827,22.78,86.21,47.66,0.9595,0.3726,0.9387,0.04488,0.08457,0.0,0.0,4785000.0,14900.0,56.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001681,0.0,3602.0,196400.0,201400.0,105700.0,6.008E7,67510.0,77110.0,18550.0,62480.0,107000.0,0.0,1.219E-37,5.738E-38,4.153E-37,2.489E-37,1.663E-38,1.173E-38,1.311E-39,9.086E-40,1.356E-39,6.664E-40,2.08E-35,0.0,0.6052,1.096,2.863,1.302,0.1239,0.05814,0.006801,0.01094,0.01033,0.005694,0.0,0.0,5.468E-4,0.001843,0.001057,1.989,6.938E-4,0.002181,1.163E-4,0.001544,0.002941,0.0,5.516E-4,0.002847,0.003515,0.002505,0.3434,0.007311,0.001049,0.001326,0.001377,0.00123,
0.0,1307.0,192.7,346.0,191.5,0.04282,8.772,0.6758,0.887,1.483,0.7498,0.0,344.6,0.2022,2.038,0.5695,0.3044,0.2674,0.1641,0.7367,2.094,23.57,0.0,344.6,0.2022,2.038,0.5695,0.3044,0.2674,0.1641,0.7367,2.094,23.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,381.6,119.0,1409.0,1096.0,31.2,6.74,5.225,4.022,0.0,109.8,5.93,22.73,90.98,47.58,1.979,0.3713,0.9376,0.04437,0.07829,4.74E-16,0.0,4779000.0,20660.0,56.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.214E-17,0.0,1.985E-19,1.673E-17,3.166E-17,5.153E-18,6.925E-19,7.536E-18,4.75E-18,1.484E-17,5.077E-17,2.117E-16,0.0,1.954E-26,4.884E-25,1.1159999999999999E-23,1.191E-24,5.1490000000000005E-26,1.621E-25,3.164E-27,3.667E-27,2.263E-27,1.046E-25,1.007E-4,0.0,4247.0,191100.0,192500.0,104400.0,5.823E7,64690.0,75390.0,18560.0,61530.0,104800.0,0.0,1.147E-37,4.258E-38,4.045E-37,2.4529999999999997E-37,1.659E-38,1.293E-38,1.3009999999999999E-39,9.021E-40,1.2959999999999999E-39,5.217E-40,2.08E-35,0.0,0.5717,1.174,2.807,1.294,0.1238,0.06312,0.006791,0.01092,0.009942,0.004968,0.0,0.0,5.505E-4,0.001851,0.001064,1.989,6.962E-4,0.002189,1.167E-4,0.001549,0.002952,0.0,5.962E-4,0.002768,0.003488,0.002502,0.3425,0.007397,0.001043,0.001323,0.001376,0.001224,
