R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pepEn,pepMHCIEn,protonEn,solubleMarker,volume,
2.6E-39,0.0089,2200.0,4600.0,3800.0,3999999.9999999995,1400.0,4500.0,240.0,3200.0,6000.0,0.15,4099999.9999999995,1.4E-5,0.097,0.097,0.0,520.0,8.7,0.0,0.0,0.0,2.9E7,1.0,7.7E8,
9.2E-40,0.0065,30.0,2900.0,500.0,4099999.9999999995,1400.0,4400.0,230.0,3100.0,5900.0,0.15,4099999.9999999995,1.4E-5,0.1,0.1,0.0,500.0,8.5,0.0,0.0,0.0,2.9E7,1.0,7.8E8,
2.6E-39,0.0089,2200.0,4600.0,3800.0,3999999.9999999995,1400.0,4500.0,240.0,3200.0,6000.0,0.15,3999999.9999999995,1.7E-5,0.097,0.097,0.0,480.0,8.6,0.0,0.0,0.0,2.7E7,1.0,7.6E8,
9.2E-40,0.0065,30.0,2900.0,500.0,4099999.9999999995,1400.0,4400.0,230.0,3100.0,5900.0,0.15,4099999.9999999995,1.6E-5,0.1,0.1,0.0,450.0,8.5,0.0,0.0,0.0,2.8E7,1.0,7.8E8,
2.6E-39,0.0088,2200.0,4600.0,3800.0,3999999.9999999995,1400.0,4500.0,240.0,3200.0,6000.0,0.15,3999999.9999999995,2.0E-5,0.096,0.096,0.0,450.0,8.6,0.0,0.0,0.0,2.5E7,1.0,7.5E8,
9.2E-40,0.0065,30.0,2900.0,500.0,4099999.9999999995,1400.0,4400.0,230.0,3100.0,5900.0,0.15,4099999.9999999995,1.6E-5,0.1,0.1,0.0,420.0,8.5,0.0,0.0,0.0,2.8E7,1.0,7.8E8,
2.6E-39,0.0088,2200.0,4600.0,3800.0,3999999.9999999995,1400.0,4500.0,240.0,3200.0,6000.0,0.15,3999999.9999999995,2.4E-5,0.096,0.096,0.0,420.0,8.6,0.0,0.0,0.0,2.4E7,1.0,7.5E8,
9.2E-40,0.0065,30.0,2900.0,500.0,4099999.9999999995,1400.0,4400.0,230.0,3100.0,5900.0,0.15,4099999.9999999995,1.5E-5,0.1,0.1,0.0,410.0,8.5,0.0,0.0,0.0,2.9E7,1.0,7.8E8,
2.6E-39,0.0088,2200.0,4600.0,3800.0,3899999.9999999995,1400.0,4500.0,240.0,3200.0,6000.0,0.15,3999999.9999999995,2.7E-5,0.096,0.096,0.0,400.0,8.6,0.0,0.0,0.0,2.2E7,1.0,7.4E8,
9.1E-40,0.0065,30.0,2900.0,490.0,4099999.9999999995,1400.0,4400.0,230.0,3100.0,5900.0,0.15,4099999.9999999995,1.3E-5,0.1,0.1,0.0,360.0,8.4,0.0,0.0,0.0,3.0E7,1.0,7.8E8,
2.8E-38,0.19,4600.0,190000.0,33000.0,1.1E7,11000.0,1900.0,1200.0,6300.0,12000.0,0.3,1.1E7,1.1E-4,0.32,0.32,0.0,970.0,44.0,0.0,4.1E-15,4.0E-24,5.0E7,1.0,1.6E9,
1.5000000000000002E-38,0.098,4500.0,110000.0,310.0,1.1E7,3600.0,1900.0,1200.0,6200.0,4300.0,0.3,1.1E7,2.5E-5,0.19,0.19,0.0,900.0,11.0,0.0,2.0E-14,1.0999999999999998E-24,4.7E7,1.0,1.6E9,
1.8E-39,0.012,4500.0,3900.0,310.0,1.0E7,3600.0,1900.0,1200.0,6200.0,4300.0,0.3,1.0E7,4.0E-5,0.11,0.11,0.0,840.0,11.0,0.0,3.9E-14,4.2E-25,4.4E7,1.0,1.6E9,
1.8E-39,0.011,4500.0,3800.0,310.0,1.0E7,3500.0,1900.0,1200.0,6100.0,4300.0,0.29,1.0E7,4.5E-5,0.11,0.11,0.0,820.0,10.0,0.0,6.8E-14,1.0E-24,4.2E7,1.0,1.6E9,
1.7E-39,0.011,4500.0,3800.0,310.0,1.0E7,3500.0,1900.0,1200.0,6100.0,4300.0,0.29,1.0E7,4.9E-5,0.11,0.11,0.0,800.0,10.0,0.0,1.2E-13,2.1999999999999996E-24,4.1E7,1.0,1.6E9,
1.7E-39,0.011,4500.0,3800.0,310.0,9800000.0,3500.0,1900.0,1200.0,6100.0,4300.0,0.29,9900000.0,5.2E-5,0.1,0.1,0.0,800.0,10.0,0.0,1.8E-13,3.7E-24,4.0E7,1.0,1.6E9,
1.7E-39,0.011,4400.0,3800.0,310.0,9600000.0,3500.0,1900.0,1200.0,6100.0,4300.0,0.29,9700000.0,5.5E-5,0.1,0.1,0.0,790.0,9.9,0.0,2.6E-13,5.8E-24,3.9E7,1.0,1.6E9,
1.6E-39,0.011,4400.0,3800.0,310.0,9300000.0,3500.0,1900.0,1200.0,6100.0,4300.0,0.29,9300000.0,5.6E-5,0.1,0.1,0.0,780.0,9.6,0.0,3.7E-13,8.7E-24,3.8E7,1.0,1.6E9,
1.6E-39,0.011,4400.0,3800.0,310.0,9100000.0,3500.0,1900.0,1200.0,6100.0,4300.0,0.29,9100000.0,5.8E-5,0.099,0.099,0.0,780.0,9.4,0.0,5.0E-13,1.3E-23,3.7E7,1.0,1.6E9,
1.4999999999999998E-39,0.01,4400.0,3800.0,310.0,8400000.0,3500.0,1900.0,1200.0,6100.0,4200.0,0.29,8500000.0,5.7E-5,0.094,0.094,0.0,790.0,8.8,0.0,6.0E-13,1.6000000000000002E-23,3.6E7,1.0,1.6E9,
1.4999999999999998E-39,0.0096,4400.0,3800.0,310.0,7899999.999999999,3500.0,1900.0,1200.0,6100.0,4200.0,0.28,7899999.999999999,5.5E-5,0.09,0.09,0.0,770.0,8.2,0.0,6.8E-13,1.8E-23,3.5E7,1.0,1.5E9,
1.4999999999999998E-39,0.0095,4400.0,3800.0,310.0,7699999.999999999,3500.0,1900.0,1200.0,6100.0,4200.0,0.28,7699999.999999999,5.6E-5,0.089,0.089,0.0,770.0,8.0,0.0,8.2E-13,2.2E-23,3.5E7,1.0,1.5E9,
1.3999999999999999E-39,0.0092,4400.0,3800.0,310.0,7399999.999999999,3500.0,1800.0,1200.0,6100.0,4200.0,0.28,7399999.999999999,5.6E-5,0.086,0.086,0.0,760.0,7.7,0.0,9.8E-13,2.6E-23,3.4E7,1.0,1.5E9,
1.3E-39,0.0086,4400.0,3800.0,310.0,6699999.999999999,3500.0,1800.0,1200.0,6100.0,4200.0,0.28,6699999.999999999,5.2E-5,0.082,0.082,0.0,760.0,7.0,0.0,9.7E-13,2.5E-23,3.4E7,1.0,1.5E9,
1.3E-39,0.0085,4400.0,3800.0,310.0,6499999.999999999,3500.0,1800.0,1200.0,6100.0,4200.0,0.28,6499999.999999999,5.2E-5,0.08,0.08,0.0,750.0,6.8,0.0,1.2E-12,3.1E-23,3.4E7,1.0,1.5E9,
1.3E-39,0.0084,4400.0,3800.0,310.0,6399999.999999999,3500.0,1800.0,1200.0,6100.0,4200.0,0.28,6399999.999999999,5.1E-5,0.079,0.079,0.0,750.0,6.7,0.0,1.6E-12,4.2E-23,3.4E7,1.0,1.5E9,
1.3E-39,0.0084,4400.0,3800.0,310.0,6399999.999999999,3500.0,1800.0,1200.0,6100.0,4200.0,0.28,6399999.999999999,4.7E-5,0.079,0.079,0.0,740.0,6.7,0.0,2.2E-12,5.600000000000001E-23,3.5E7,1.0,1.5E9,
1.3E-39,0.0084,4400.0,3800.0,310.0,6399999.999999999,3500.0,1800.0,1200.0,6100.0,4200.0,0.28,6399999.999999999,4.0E-5,0.079,0.079,0.0,740.0,6.7,0.0,2.8E-12,6.7E-23,3.7E7,1.0,1.5E9,
1.3E-39,0.0084,4400.0,3800.0,310.0,6399999.999999999,3500.0,1800.0,1200.0,6100.0,4200.0,0.28,6399999.999999999,3.3E-5,0.079,0.079,0.0,730.0,6.7,0.0,3.6E-12,7.3E-23,4.0E7,1.0,1.5E9,
