RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
8770000.0,5472000.0,2777000.0,1.453E7,5739000.0,1136000.0,3104000.0,3519000.0,2909000.0,9545000.0,9398000.0,
8580000.0,5458000.0,2775000.0,1.438E7,5648000.0,1136000.0,3104000.0,3519000.0,2908000.0,9593000.0,9508000.0,
8493000.0,5417000.0,2751000.0,1.415E7,5613000.0,1136000.0,3103000.0,3519000.0,2908000.0,9641000.0,9564000.0,
8453000.0,5379000.0,2742000.0,1.396E7,5592000.0,1135000.0,3103000.0,3519000.0,2908000.0,9641000.0,9608000.0,
8385000.0,5307000.0,2736000.0,1.375E7,5547000.0,1135000.0,3103000.0,3519000.0,2908000.0,9641000.0,9672000.0,
8318000.0,5252000.0,2728000.0,1.367E7,5516000.0,1135000.0,3103000.0,3518000.0,2908000.0,9641000.0,9720000.0,
8434000.0,5248000.0,2726000.0,1.347E7,5472000.0,1135000.0,3103000.0,3518000.0,3002000.0,9547000.0,9580000.0,
8356000.0,5207000.0,2723000.0,1.329E7,5419000.0,1132000.0,3103000.0,3518000.0,3001000.0,9547000.0,9676000.0,
8465000.0,5182000.0,2711000.0,1.303E7,5333000.0,1132000.0,3101000.0,3518000.0,3001000.0,9547000.0,9604000.0,
8424000.0,5165000.0,2710000.0,1.286E7,5081000.0,1130000.0,3101000.0,3518000.0,3001000.0,9547000.0,9874000.0,
8369000.0,5164000.0,2709000.0,1.262E7,5067000.0,1130000.0,3101000.0,3518000.0,3001000.0,9594000.0,9906000.0,
8364000.0,5164000.0,2709000.0,1.256E7,5033000.0,1130000.0,3101000.0,3518000.0,3001000.0,9594000.0,9940000.0,
8467000.0,5163000.0,2708000.0,1.252E7,5005000.0,1128000.0,3100000.0,3518000.0,3001000.0,9594000.0,9865000.0,
8457000.0,5158000.0,2687000.0,1.25E7,4987000.0,1128000.0,3100000.0,3518000.0,3001000.0,9642000.0,9903000.0,
8522000.0,5144000.0,2674000.0,1.247E7,4945000.0,1128000.0,3100000.0,3518000.0,3063000.0,9580000.0,9870000.0,
8547000.0,5136000.0,2626000.0,1.246E7,4934000.0,1125000.0,3098000.0,3518000.0,3063000.0,9580000.0,9889000.0,
8498000.0,5134000.0,2626000.0,1.244E7,4862000.0,1125000.0,3098000.0,3518000.0,3063000.0,9628000.0,9977000.0,
8488000.0,5133000.0,2625000.0,1.241E7,4791000.0,1125000.0,3098000.0,3518000.0,3063000.0,9628000.0,1.005E7,
8712000.0,5113000.0,2602000.0,1.239E7,4745000.0,1125000.0,3098000.0,3518000.0,3208000.0,9530000.0,9874000.0,
8694000.0,5111000.0,2595000.0,1.238E7,4716000.0,1125000.0,3098000.0,3518000.0,3208000.0,9578000.0,9910000.0,
8788000.0,5108000.0,2578000.0,1.235E7,4674000.0,1123000.0,3098000.0,3518000.0,3208000.0,9674000.0,9837000.0,
8757000.0,5104000.0,2578000.0,1.231E7,4634000.0,1123000.0,3098000.0,3518000.0,3208000.0,9722000.0,9877000.0,
8706000.0,5101000.0,2519000.0,1.228E7,4600000.0,1123000.0,3098000.0,3518000.0,3208000.0,9771000.0,1.001E7,
