cMHCIEnEr;cMHCIEnPm;cMHCIEnRabA;cMHCIEnRabB;cMHCIEnRabC;cMHCIEnRabD;cMHCIEnRabE;cMHCIEnRabF;cMHCIEnRabG;cMHCIEnRabH;cMHCIEnRabI;exCxEnEr;exCxEnPm;exCxEnRabA;exCxEnRabB;exCxEnRabC;exCxEnRabD;exCxEnRabE;exCxEnRabF;exCxEnRabG;exCxEnRabH;exCxEnRabI;imCxEnEr;imCxEnPm;imCxEnRabA;imCxEnRabB;imCxEnRabC;imCxEnRabD;imCxEnRabE;imCxEnRabF;imCxEnRabG;imCxEnRabH;imCxEnRabI;membraneMarkerEr;membraneMarkerPm;membraneMarkerRabA;membraneMarkerRabB;membraneMarkerRabC;membraneMarkerRabD;membraneMarkerRabE;membraneMarkerRabF;membraneMarkerRabG;membraneMarkerRabH;membraneMarkerRabI;mvbEr;mvbPm;mvbRabA;mvbRabB;mvbRabC;mvbRabD;mvbRabE;mvbRabF;mvbRabG;mvbRabH;mvbRabI;oMHCIEnEr;oMHCIEnPm;oMHCIEnRabA;oMHCIEnRabB;oMHCIEnRabC;oMHCIEnRabD;oMHCIEnRabE;oMHCIEnRabF;oMHCIEnRabG;oMHCIEnRabH;oMHCIEnRabI;ovaCyCy;ovaEnEr;ovaEnPm;ovaEnRabA;ovaEnRabB;ovaEnRabC;ovaEnRabD;ovaEnRabE;ovaEnRabF;ovaEnRabG;ovaEnRabH;ovaEnRabI;pepCyCy;pepEnEr;pepEnPm;pepEnRabA;pepEnRabB;pepEnRabC;pepEnRabD;pepEnRabE;pepEnRabF;pepEnRabG;pepEnRabH;pepEnRabI;pepMHCIEnEr;pepMHCIEnPm;pepMHCIEnRabA;pepMHCIEnRabB;pepMHCIEnRabC;pepMHCIEnRabD;pepMHCIEnRabE;pepMHCIEnRabF;pepMHCIEnRabG;pepMHCIEnRabH;pepMHCIEnRabI;protonCyCy;protonEnEr;protonEnPm;protonEnRabA;protonEnRabB;protonEnRabC;protonEnRabD;protonEnRabE;protonEnRabF;protonEnRabG;protonEnRabH;protonEnRabI;R-TfaEnEr;R-TfaEnPm;R-TfaEnRabA;R-TfaEnRabB;R-TfaEnRabC;R-TfaEnRabD;R-TfaEnRabE;R-TfaEnRabF;R-TfaEnRabG;R-TfaEnRabH;R-TfaEnRabI;R-TfEnPm;REnEr;REnPm;REnRabA;REnRabB;REnRabC;REnRabD;REnRabE;REnRabF;REnRabG;REnRabH;REnRabI;solubleMarkerEr;solubleMarkerPm;solubleMarkerRabA;solubleMarkerRabB;solubleMarkerRabC;solubleMarkerRabD;solubleMarkerRabE;solubleMarkerRabF;solubleMarkerRabG;solubleMarkerRabH;solubleMarkerRabI;TfaEnEr;TfaEnPm;TfaEnRabA;TfaEnRabB;TfaEnRabC;TfaEnRabD;TfaEnRabE;TfaEnRabF;TfaEnRabG;TfaEnRabH;TfaEnRabI
0;1605;164.5;183.8;154.6;0.04902;5.632;0.2397;0.1645;0.9829;0.4028;0;343.6;0.1339;0.6699;0.6161;0.06901;0.1893;0.05927;0.08164;4.769;11.01;0;343.6;0.1339;0.6699;0.6161;0.06901;0.1893;0.05927;0.08164;4.769;11.01;0;0;0;0;0;0;0;0;0;0;0;0;0;270.6;90.88;37.71;794.2;165.2;3.317;3.693;30.57;4.163;0;45.19;6.712;11.05;64.07;39.95;0.1306;0.01362;0.01546;0.0119;0.01397;0;0;4800000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.00E-04;0;0;81620;58190;47750;2.23E+07;45540;21460;24230;13490;24790;0;4.68E-36;2.42E-36;1.37E-35;1.68E-35;8.85E-37;3.98E-37;1.25E-38;7.80E-39;4.85E-38;2.18E-38;2.08E-35;0;0.6631;1.194;3.006;1.58;0.1345;0.0437;0.003975;0.002625;0.01634;0.009706;0;0;2.51E-04;1.09E-04;8.20E-04;0.9961;0.001029;4.12E-04;5.41E-04;6.27E-05;6.57E-04;0;1.00E-05;0.009344;0.008912;0.006466;0.2417;0.01391;0.001641;6.99E-04;0.005386;9.76E-04
0;1605;159.9;178.4;159.6;0.05137;4.901;0.2254;0.1754;0.9553;0.4104;0;343.6;0.1473;0.6516;0.6238;0.07014;0.1843;0.06109;0.0918;4.779;10.98;0;343.6;0.1473;0.6516;0.6238;0.07014;0.1843;0.06109;0.0918;4.779;10.98;0;0;0;0;0;0;0;0;0;0;0;0;0;295.5;103.2;39.36;766.7;165.2;3.342;4.137;29.25;4.466;0;45.19;5.892;9.872;62.21;38.7;0.1228;0.01336;0.01527;0.01179;0.01377;0;0;4800000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.00E-04;0;47.24;75040;51960;44300;2.14E+07;42670;20170;22780;13120;23490;0;4.68E-36;2.26E-36;1.51E-35;1.68E-35;8.25E-37;3.48E-37;1.15E-38;8.34E-39;4.68E-38;2.22E-38;2.08E-35;0;0.6631;1.139;3.049;1.607;0.1289;0.03126;0.003727;0.002802;0.01588;0.009827;0;0;2.51E-04;1.09E-04;8.20E-04;0.9961;0.001029;4.12E-04;5.41E-04;6.27E-05;6.57E-04;0;4.96E-05;0.009307;0.008925;0.006453;0.2396;0.01385;0.001645;6.92E-04;0.005396;9.69E-04
0;1611;158.9;172.3;140.9;0.2198;4.906;0.2274;0.1757;0.9611;0.4038;0;343.6;0.1429;0.6306;0.5893;0.0775;0.1845;0.05919;0.1207;3.741;12;0;343.6;0.1429;0.6306;0.5893;0.0775;0.1845;0.05919;0.1207;3.741;12;0;0;0;0;0;0;0;0;0;0;0;0;0;294.1;115.6;40.3;738.2;165.1;3.248;4.046;29.54;4.034;0;48.79;5.866;15.66;67.02;40.82;0.1155;0.01325;0.01517;0.01175;0.01368;0;0;4800000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.24E-04;0;639.9;73960;59020;48930;2.13E+07;41270;20130;22460;12940;23240;0;5.13E-36;1.92E-36;1.49E-35;1.60E-35;1.12E-36;3.48E-37;1.13E-38;8.32E-39;4.64E-38;2.18E-38;2.08E-35;0;0.7337;1.135;2.962;1.536;0.1676;0.03126;0.003726;0.002808;0.01598;0.009719;0;0;2.51E-04;1.09E-04;8.20E-04;0.9961;0.001029;4.12E-04;5.41E-04;6.27E-05;6.57E-04;0;2.25E-04;0.00742;0.01018;0.006019;0.2399;0.01348;0.001998;6.94E-04;0.005397;9.68E-04
0;1608;163.8;165.5;144.4;1.686;4.866;0.2253;0.1758;0.961;0.4041;0;343.6;0.1354;0.6238;0.5936;0.08552;0.1831;0.05929;0.1207;3.331;12.41;0;343.6;0.1354;0.6238;0.5936;0.08552;0.1831;0.05929;0.1207;3.331;12.41;0;0;0;0;0;0;0;0;0;0;0;0;0;292.1;121.4;33.34;722.7;165;3.179;3.963;29.53;3.95;0;48.39;1.378;13.8;79.57;33.71;0.1082;0.01271;0.01448;0.01166;0.01286;0;0;4798000;1572;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.02E-04;0;798.9;95420;81750;50730;2.09E+07;35500;17810;19510;12510;19830;0;4.86E-36;1.95E-36;1.48E-35;1.61E-35;1.01E-36;3.47E-37;1.12E-38;8.29E-39;4.58E-38;2.18E-38;2.08E-35;0;0.7009;1.191;2.906;1.554;0.1735;0.03121;0.003717;0.00281;0.01598;0.009723;0;0;7.02E-04;7.56E-04;7.80E-04;0.9958;7.63E-04;3.06E-04;4.01E-04;4.65E-05;4.87E-04;0;3.67E-04;0.007312;0.01014;0.005943;0.2343;0.01332;0.001988;6.66E-04;0.005391;9.36E-04
0;1608;165.7;159.6;144;0.015;4.818;0.2241;0.1763;0.961;0.4042;0;343.6;0.1431;0.6129;0.594;0.08416;0.1791;0.06752;0.1209;2.741;13;0;343.6;0.1431;0.6129;0.594;0.08416;0.1791;0.06752;0.1209;2.741;13;0;0;0;0;0;0;0;0;0;0;0;0;0;306.1;118.8;30.08;699.8;164.9;3.129;3.908;29.52;3.907;0;48.39;1.408;15.14;81.86;34.25;0.1059;0.01276;0.01455;0.01168;0.01299;0;0;4798000;1572;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.52E-04;0;944.5;92380;79160;48100;2.01E+07;34430;17180;18780;12400;19200;0;4.89E-36;2.02E-36;1.46E-35;1.60E-35;9.91E-37;3.46E-37;1.09E-38;8.45E-39;4.54E-38;2.18E-38;2.08E-35;0;0.7068;1.199;2.881;1.553;0.1687;0.03114;0.003709;0.002812;0.01598;0.009726;0;0;7.23E-04;7.79E-04;8.04E-04;0.9956;7.87E-04;3.15E-04;4.13E-04;4.79E-05;5.02E-04;0;4.86E-04;0.007377;0.01012;0.005884;0.232;0.01303;0.002091;7.35E-04;0.0054;9.40E-04
0;1612;156.3;166.6;141;0.01194;4.996;0.2209;0.1642;0.9735;0.4033;0;343.6;0.1173;0.6377;0.5763;0.08272;0.176;0.06451;0.1213;2.746;13;0;343.6;0.1173;0.6377;0.5763;0.08272;0.176;0.06451;0.1213;2.746;13;0;0;0;0;0;0;0;0;0;0;0;0;0;312.1;118.8;29.95;687.7;164.9;3.003;3.537;30.35;3.838;0;48.39;1.401;13.7;81.85;34.05;0.105;0.01282;0.01464;0.0117;0.0132;2.76E-17;0;4798000;1523;19.53;15.8;0;0;0;0;0;0;1.38E-19;0;0;4.17E-19;5.27E-21;4.26E-21;0;0;0;0;0;0;0;0;8.96E-27;1.18E-28;9.56E-29;0;0;0;0;0;0;4.37E-04;0;1097;93220;79540;50140;1.95E+07;35840;17490;19400;12470;20050;0;5.60E-36;1.70E-36;1.49E-35;1.53E-35;9.87E-37;3.50E-37;1.03E-38;8.34E-39;4.60E-38;2.18E-38;2.08E-35;0;0.7434;1.109;2.93;1.539;0.1683;0.03336;0.003689;0.002713;0.01627;0.009712;0;0;8.49E-04;9.16E-04;9.44E-04;0.9949;9.24E-04;3.70E-04;4.85E-04;5.63E-05;5.90E-04;0;6.49E-04;0.007391;0.01014;0.005825;0.2285;0.01295;0.00199;7.89E-04;0.005452;9.48E-04
0;1614;154.9;166.8;124.2;0.01384;4.713;0.2406;0.1803;0.9603;0.4197;0;343.6;0.08799;0.6396;0.5672;0.0822;0.1753;0.06477;0.09134;2.729;13.07;0;343.6;0.08799;0.6396;0.5672;0.0822;0.1753;0.06477;0.09134;2.729;13.07;0;0;0;0;0;0;0;0;0;0;0;0;0;314.1;118.8;30.17;693.9;164.9;3.039;3.792;29.44;4.031;0;48.39;1.174;12.98;96.96;35.01;0.1057;0.01295;0.01475;0.01175;0.01334;1.71E-16;0;4798000;1367;17.45;14.12;0;0;0;0;0;0;6.32E-18;0;1.79E-20;1.27E-16;3.06E-18;6.49E-18;1.56E-18;4.12E-19;1.72E-18;1.35E-18;7.41E-18;2.78E-17;0;5.57E-30;1.83E-23;2.72E-25;2.09E-23;4.08E-29;9.64E-30;1.40E-30;8.96E-30;4.12E-29;1.72E-28;1.01E-04;0;1454;93110;80990;50030;1.90E+07;36390;17780;19720;12610;20420;0;5.70E-36;1.68E-36;1.50E-35;1.48E-35;9.92E-37;3.53E-37;1.30E-38;8.59E-39;4.47E-38;2.19E-38;2.08E-35;0;0.7653;1.098;2.932;1.509;0.1694;0.04216;0.004378;0.002827;0.01597;0.009735;0;0;8.98E-04;9.68E-04;9.98E-04;0.9946;9.77E-04;3.91E-04;5.13E-04;5.95E-05;6.23E-04;0;8.50E-04;0.007317;0.01017;0.005735;0.2251;0.01284;0.001994;7.61E-04;0.005489;9.66E-04
0;1617;154.1;170.6;115.3;0.1809;4.584;0.2411;0.1781;0.9602;0.4196;0;343.6;0.1032;0.6236;0.5653;0.08184;0.1683;0.06473;0.08677;2.726;13.08;0;343.6;0.1032;0.6236;0.5653;0.08184;0.1683;0.06473;0.08677;2.726;13.08;0;0;0;0;0;0;0;0;0;0;0;0;0;314.2;119.7;30.34;689.9;164.8;2.989;3.736;29.44;3.985;0;48.39;1.434;12.83;99.98;33.73;0.1069;0.013;0.01478;0.0118;0.01339;3.06E-16;0;4798000;1367;17.45;14.12;0;0;0;0;0;0;2.15E-17;0;3.36E-19;8.00E-16;2.76E-17;5.43E-17;1.31E-17;4.35E-18;7.95E-18;1.58E-17;5.76E-17;4.41E-16;0;1.01E-26;2.16E-22;6.77E-24;5.35E-22;2.25E-27;2.36E-28;2.77E-29;2.55E-28;1.50E-27;3.84E-27;6.24E-04;0;1669;93010;85570;51670;1.90E+07;36260;17510;19440;12580;20190;0;5.77E-36;1.69E-36;1.50E-35;1.47E-35;9.77E-37;3.03E-37;1.04E-38;8.78E-39;4.42E-38;2.18E-38;2.08E-35;0;0.7891;1.098;2.911;1.504;0.1697;0.03005;0.003806;0.002882;0.01597;0.009735;0;0;8.98E-04;9.68E-04;9.98E-04;0.9946;9.77E-04;3.91E-04;5.13E-04;5.95E-05;6.23E-04;0;9.14E-04;0.007301;0.01013;0.005714;0.2246;0.01282;0.001989;7.62E-04;0.005489;9.65E-04
0;1617;152.1;162.6;119.2;0.01339;4.323;0.2595;0.1875;0.9627;0.4196;0;343.6;0.09984;0.6189;0.5715;0.0826;0.1681;0.06355;0.08686;2.726;13.08;0;343.6;0.09984;0.6189;0.5715;0.0826;0.1681;0.06355;0.08686;2.726;13.08;0;0;0;0;0;0;0;0;0;0;0;0;0;318.8;117.2;29.59;667.8;164.8;2.954;3.695;29.43;3.947;0;48.39;1.227;17.36;102;31.53;0.1093;0.01283;0.01454;0.002538;0.01325;4.31E-16;0;4798000;1367;17.45;14.12;0;0;0;0;0;0;4.47E-17;0;6.26E-19;2.47E-15;1.35E-16;1.80E-16;3.63E-17;1.86E-17;3.42E-17;5.32E-17;1.72E-16;1.51E-15;0;1.01E-26;1.05E-21;4.91E-23;3.13E-21;6.37E-27;1.73E-27;4.87E-28;1.34E-27;9.18E-27;1.51E-26;1.00E-04;0;1809;95070;91120;54900;1.96E+07;36550;17540;19280;12060;20170;0;5.77E-36;1.68E-36;1.45E-35;1.51E-35;9.75E-37;2.84E-37;1.11E-38;9.17E-39;4.38E-38;2.18E-38;2.08E-35;0;0.7892;1.085;2.832;1.573;0.1769;0.02893;0.003935;0.002971;0.01597;0.009734;0;0;8.98E-04;9.68E-04;9.98E-04;0.9946;9.77E-04;3.91E-04;5.13E-04;5.95E-05;6.23E-04;0;0.001134;0.007245;0.01005;0.005737;0.2233;0.01263;0.00194;7.73E-04;0.005501;9.56E-04
0;1618;149.5;153.1;131;0.01325;6.015;0.2461;0.1761;0.9671;0.4222;0;343.6;0.0942;0.6156;0.5641;0.08014;0.1752;0.06612;0.08354;2.727;13.09;0;343.6;0.0942;0.6156;0.5641;0.08014;0.1752;0.06612;0.08354;2.727;13.09;0;0;0;0;0;0;0;0;0;0;0;0;0;337.9;113.8;30.54;661;164.8;2.979;3.377;29.65;4.145;0;48.39;4.167;21.71;87.73;31.37;0.08869;0.01275;0.01451;0.002464;0.01319;5.49E-16;0;4798000;1367;17.45;14.12;0;0;0;0;0;0;7.56E-17;0;2.06E-18;5.59E-15;5.56E-16;5.09E-16;7.35E-17;1.74E-16;9.21E-17;1.14E-16;2.43E-15;5.52E-15;0;2.71E-25;3.55E-21;3.62E-22;9.96E-21;4.78E-26;7.17E-24;3.02E-26;9.85E-27;4.90E-26;6.17E-26;1.00E-04;0;1884;91600;90500;55370;2.06E+07;37820;18100;20020;12110;20990;0;5.89E-36;1.82E-36;1.43E-35;1.46E-35;9.20E-37;5.60E-37;1.06E-38;8.67E-39;4.35E-38;2.17E-38;2.08E-35;0;0.806;1.092;2.82;1.538;0.1593;0.04481;0.003831;0.002828;0.01604;0.009734;0;0;8.98E-04;9.68E-04;9.98E-04;0.9946;9.77E-04;3.91E-04;5.13E-04;5.95E-05;6.23E-04;0;0.001177;0.007189;0.009985;0.005748;0.2232;0.01261;0.001941;7.73E-04;0.0055;9.56E-04
