RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
4647000.0,2434000.0,1406000.0,7412000.0,4033000.0,1065000.0,372700.0,4892000.0,1386000.0,9849000.0,9887000.0,
4551000.0,2406000.0,1403000.0,7339000.0,3993000.0,1065000.0,372600.0,4892000.0,1386000.0,9898000.0,9926000.0,
4626000.0,2395000.0,1402000.0,7334000.0,3962000.0,1065000.0,372500.0,4892000.0,1398000.0,9886000.0,9829000.0,
4581000.0,2392000.0,1396000.0,7269000.0,3856000.0,1064000.0,372400.0,4892000.0,1398000.0,9935000.0,9945000.0,
4668000.0,2386000.0,1393000.0,7141000.0,3784000.0,1062000.0,372400.0,4892000.0,1550000.0,9783000.0,9887000.0,
4608000.0,2384000.0,1392000.0,7007000.0,3744000.0,1062000.0,372300.0,4892000.0,1550000.0,9832000.0,9948000.0,
4546000.0,2381000.0,1375000.0,6862000.0,3655000.0,1060000.0,372200.0,4892000.0,1550000.0,9881000.0,1.006E7,
4719000.0,2379000.0,1345000.0,6729000.0,3564000.0,1060000.0,372100.0,4892000.0,1603000.0,9828000.0,9946000.0,
4678000.0,2371000.0,1344000.0,6709000.0,3549000.0,1060000.0,372100.0,4892000.0,1603000.0,9828000.0,9962000.0,
4628000.0,2359000.0,1338000.0,6698000.0,3504000.0,1060000.0,372100.0,4892000.0,1603000.0,9828000.0,1.001E7,
4759000.0,2359000.0,1337000.0,6684000.0,3504000.0,1060000.0,372000.0,4892000.0,1791000.0,9689000.0,9819000.0,
4759000.0,2359000.0,1337000.0,6684000.0,3460000.0,1060000.0,372000.0,4892000.0,1791000.0,9689000.0,9864000.0,
4753000.0,2357000.0,1337000.0,6679000.0,3431000.0,1059000.0,372000.0,4892000.0,1791000.0,9689000.0,9902000.0,
4753000.0,2357000.0,1337000.0,6679000.0,3390000.0,1059000.0,370500.0,4892000.0,1791000.0,9737000.0,9944000.0,
4815000.0,2355000.0,1337000.0,6669000.0,3375000.0,1059000.0,370500.0,4892000.0,1851000.0,9677000.0,9889000.0,
4907000.0,2354000.0,1337000.0,6669000.0,3282000.0,1059000.0,370500.0,4892000.0,1992000.0,9536000.0,9882000.0,
4901000.0,2351000.0,1337000.0,6669000.0,3275000.0,1059000.0,370500.0,4892000.0,1992000.0,9536000.0,9889000.0,
