cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI,
0.0,1605.0,164.5,183.8,154.6,0.04902,5.632,0.2397,0.1645,0.9829,0.4028,0.0,343.6,0.1339,0.6699,0.6161,0.06901,0.1893,0.05927,0.08164,4.769,11.01,0.0,343.6,0.1339,0.6699,0.6161,0.06901,0.1893,0.05927,0.08164,4.769,11.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.6,90.88,37.71,794.2,165.2,3.317,3.693,30.57,4.163,0.0,45.19,6.712,11.05,64.07,39.95,0.1306,0.01362,0.01546,0.0119,0.01397,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,0.0,81620.0,58200.0,47740.0,2.23E7,45540.0,21470.0,24240.0,13490.0,24790.0,0.0,4.68E-36,2.4150000000000002E-36,1.37E-35,1.6810000000000002E-35,8.848E-37,3.9829999999999995E-37,1.252E-38,7.804E-39,4.854E-38,2.182E-38,2.08E-35,0.0,0.6631,1.194,3.006,1.58,0.1345,0.0437,0.003975,0.002625,0.01634,0.009706,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,1.0E-5,0.009344,0.008912,0.006466,0.2417,0.01391,0.001641,6.993E-4,0.005387,9.758E-4,
0.0,1607.0,153.8,183.5,148.8,0.04876,4.498,0.2274,0.1607,0.9837,0.3991,0.0,343.6,0.1233,0.6832,0.63,0.115,0.1823,0.0592,0.08117,4.755,10.88,0.0,343.6,0.1233,0.6832,0.63,0.115,0.1823,0.0592,0.08117,4.755,10.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,95.02,36.91,776.9,165.2,3.267,3.59,30.6,4.741,0.0,48.6,1.688,9.797,77.28,37.96,0.1227,0.01328,0.01518,0.01178,0.1037,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,392.3,75860.0,54100.0,50420.0,2.136E7,42390.0,20190.0,22650.0,13110.0,27860.0,0.0,4.9580000000000004E-36,2.1160000000000002E-36,1.548E-35,1.642E-35,7.904999999999999E-37,3.237E-37,1.143E-38,7.75E-39,4.813E-38,2.542E-38,2.08E-35,0.0,0.7082,1.108,3.093,1.603,0.1271,0.02741,0.003707,0.002608,0.01635,0.01002,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,1.987E-4,0.009264,0.008871,0.006308,0.2395,0.01357,0.00183,6.886E-4,0.005389,0.001004,
0.0,1610.0,152.5,171.5,140.2,1.753,4.49,0.2083,0.1572,0.9824,0.4001,0.0,343.6,0.1232,0.6328,0.6175,0.1687,0.1899,0.0588,0.08138,4.341,11.3,0.0,343.6,0.1232,0.6328,0.6175,0.1687,0.1899,0.0588,0.08138,4.341,11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.4,100.3,36.27,756.7,165.0,3.156,3.537,30.55,4.195,0.0,48.6,1.424,16.41,84.42,40.64,0.9986,0.01473,0.01713,0.01197,0.04182,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.233E-4,0.0,456.2,77040.0,290000.0,58110.0,2.111E7,36930.0,17570.0,19540.0,12620.0,31640.0,0.0,4.9710000000000004E-36,2.17E-36,1.425E-35,1.627E-35,1.78E-36,4.987E-37,1.163E-38,8.230999999999999E-39,4.766E-38,2.299E-38,2.08E-35,0.0,0.7292,1.097,2.977,1.616,0.2074,0.03822,0.003463,0.002606,0.01633,0.00978,0.0,0.0,5.543E-4,0.013,0.001222,0.9828,7.384E-4,2.957E-4,3.879E-4,4.497E-5,9.573E-4,0.0,2.611E-4,0.009288,0.01114,0.006376,0.2362,0.01359,0.001657,6.79E-4,0.005377,0.001038,
0.0,1609.0,159.5,172.5,130.9,0.04918,5.452,0.4825,0.4722,1.373,0.3985,0.0,343.6,0.1239,0.6871,0.6019,0.1096,0.1824,0.05886,0.08143,4.342,11.3,0.0,343.6,0.1239,0.6871,0.6019,0.1096,0.1824,0.05886,0.08143,4.342,11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0,92.45,36.3,749.2,165.0,3.092,3.373,30.63,4.159,0.0,49.22,1.047,13.77,85.38,43.58,0.1138,0.01536,0.018,0.01239,0.04367,0.0,0.0,4798000.0,1581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.059E-4,0.0,776.4,76830.0,65390.0,56690.0,2.051E7,36510.0,17560.0,19550.0,12610.0,31610.0,0.0,4.918E-36,2.202E-36,1.518E-35,1.598E-35,7.083E-37,3.4189999999999997E-37,1.626E-38,1.395E-38,5.487E-38,2.202E-38,2.08E-35,0.0,0.7251,1.164,3.022,1.579,0.1203,0.03246,0.004985,0.004203,0.01835,0.0097,0.0,0.0,5.944E-4,7.705E-4,0.001311,0.9947,7.919E-4,3.171E-4,4.16E-4,4.823E-5,0.001027,0.0,3.771E-4,0.009271,0.008915,0.006319,0.234,0.01356,0.001657,6.694E-4,0.005392,0.001041,
0.0,1609.0,157.8,177.1,132.4,0.04904,4.288,0.5381,0.5417,1.46,0.3986,0.0,343.6,0.1215,0.6897,0.6023,0.1079,0.1804,0.05935,0.087,4.383,11.25,0.0,343.6,0.1215,0.6897,0.6023,0.1079,0.1804,0.05935,0.087,4.383,11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.1,92.43,36.33,742.3,165.0,3.051,3.329,30.62,4.139,0.0,49.22,1.067,12.1,83.33,43.42,0.1103,0.01511,0.0177,0.0121,0.0438,0.0,0.0,4798000.0,1581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.049E-4,0.0,860.0,77510.0,62560.0,55780.0,1.986E7,36420.0,17820.0,19850.0,12680.0,31720.0,0.0,4.919E-36,2.0940000000000003E-36,1.526E-35,1.591E-35,7.008E-37,3.211E-37,1.717E-38,1.525E-38,5.598E-38,2.201E-38,2.08E-35,0.0,0.7251,1.141,3.046,1.581,0.1196,0.02731,0.005254,0.004541,0.01877,0.009703,0.0,0.0,6.243E-4,8.092E-4,0.001377,0.9945,8.317E-4,3.33E-4,4.369E-4,5.065E-5,0.001078,0.0,5.051E-4,0.009234,0.008924,0.006312,0.2301,0.01344,0.001652,6.682E-4,0.005392,0.001044,
0.0,1605.0,161.9,179.3,133.2,0.05153,4.268,0.5401,0.5393,1.443,0.4156,0.0,343.6,0.1205,0.6928,0.5886,0.1071,0.1811,0.05241,0.1034,4.044,11.58,0.0,343.6,0.1205,0.6928,0.5886,0.1071,0.1811,0.05241,0.1034,4.044,11.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.2,92.42,36.49,719.8,164.9,3.06,3.289,29.98,4.098,0.0,50.38,1.185,10.84,81.54,42.02,0.09501,0.01524,0.01785,0.0121,0.04423,0.0,0.0,4797000.0,3047.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.296E-4,0.0,1515.0,79250.0,61200.0,54800.0,1.936E7,36690.0,18060.0,20140.0,12780.0,32020.0,0.0,4.898E-36,2.1260000000000003E-36,1.525E-35,1.555E-35,6.806E-37,3.1929999999999997E-37,1.715E-38,1.522E-38,5.483E-38,2.227E-38,2.08E-35,0.0,0.7033,1.174,3.058,1.557,0.117,0.02722,0.005284,0.004553,0.01856,0.009727,0.0,0.0,6.554E-4,8.495E-4,0.001445,0.9942,8.731E-4,3.496E-4,4.587E-4,5.317E-5,0.001132,0.0,6.975E-4,0.009153,0.00894,0.006303,0.2261,0.01329,0.001652,6.624E-4,0.005391,0.001087,
0.0,1602.0,168.4,173.8,129.8,0.05143,8.52,0.538,0.5394,1.443,0.4155,0.0,343.6,0.1203,0.6902,0.5481,0.1057,0.1976,0.05249,0.1034,4.044,11.58,0.0,343.6,0.1203,0.6902,0.5481,0.1057,0.1976,0.05249,0.1034,4.044,11.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.2,92.4,36.5,705.9,164.9,3.023,3.249,29.98,4.073,0.0,51.31,1.248,13.82,78.78,41.75,0.09449,0.0153,0.0179,0.01212,0.04454,0.0,0.0,4794000.0,6168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.286E-4,0.0,2195.0,81800.0,62030.0,55000.0,1.875E7,36080.0,17330.0,19390.0,12690.0,31650.0,0.0,5.111E-36,2.1390000000000003E-36,1.517E-35,1.425E-35,6.762E-37,9.227E-37,1.701E-38,1.52E-38,5.429E-38,2.224E-38,2.08E-35,0.0,0.6909,1.229,3.032,1.5,0.1167,0.06691,0.005275,0.004553,0.01856,0.009727,0.0,0.0,6.919E-4,8.968E-4,0.001526,0.9939,9.217E-4,3.69E-4,4.842E-4,5.613E-5,0.001195,0.0,9.745E-4,0.009145,0.008932,0.006218,0.2225,0.01313,0.001654,6.605E-4,0.005391,0.00109,
0.0,1603.0,173.1,166.2,129.9,0.05158,4.198,0.5341,0.5412,1.445,0.4159,0.0,343.6,0.1305,0.6882,0.5653,0.0959,0.1747,0.02156,0.09851,4.038,11.62,0.0,343.6,0.1305,0.6882,0.5653,0.0959,0.1747,0.02156,0.09851,4.038,11.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.4,92.97,36.5,692.5,164.8,2.947,3.162,29.96,3.961,0.0,51.31,1.329,13.12,82.21,41.88,0.09358,0.01473,0.01713,0.01208,0.04293,3.438E-19,0.0,4794000.0,6028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.407E-21,0.0,0.0,2.338E-22,5.2399999999999996E-23,1.387E-24,6.728E-24,4.2919999999999996E-24,2.3549999999999998E-23,4.543E-24,5.309E-24,2.255E-22,0.0,0.0,1.954E-29,1.673E-30,4.4290000000000004E-32,4.462E-34,2.518E-35,7.348E-36,1.418E-36,1.657E-36,8.163E-35,3.209E-4,0.0,2423.0,82740.0,59070.0,54030.0,1.832E7,33520.0,16050.0,17840.0,12510.0,28490.0,0.0,5.142E-36,2.3540000000000002E-36,1.469E-35,1.473E-35,9.028E-37,3.18E-37,1.618E-38,1.559E-38,5.434E-38,2.243E-38,2.08E-35,0.0,0.7039,1.301,2.926,1.529,0.132,0.02702,0.005249,0.004567,0.01857,0.009746,0.0,0.0,6.039E-4,6.705E-4,0.001441,0.9946,8.045E-4,3.221E-4,4.226E-4,4.9E-5,0.001043,0.0,0.001178,0.009099,0.008787,0.006182,0.2187,0.01293,0.00156,6.864E-4,0.005424,0.001061,
0.0,1609.0,165.4,173.0,124.8,0.05583,6.007,0.5422,0.5519,1.45,0.4738,0.0,343.6,0.1229,0.6989,0.5591,0.09466,0.1669,0.0214,0.09944,4.039,11.61,0.0,343.6,0.1229,0.6989,0.5591,0.09466,0.1669,0.0214,0.09944,4.039,11.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.3,98.64,34.06,688.4,164.8,2.931,3.143,29.93,3.956,0.0,51.31,1.422,12.75,77.43,41.54,0.2512,0.01459,0.1957,0.2355,2.403,1.246E-18,0.0,4794000.0,5970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0939999999999995E-20,0.0,3.4639999999999997E-22,1.195E-20,1.133E-20,1.814E-20,1.5249999999999998E-20,1.2029999999999999E-20,1.859E-21,3.9839999999999997E-22,4.0699999999999997E-20,1.053E-19,0.0,1.24E-29,3.0639999999999998E-27,2.7870000000000005E-26,3.099E-25,7.0600000000000005E-31,8.450000000000001E-30,1.367E-32,3.5E-32,2.2660000000000003E-30,2.13E-28,1.0E-4,0.0,2554.0,84820.0,58400.0,53650.0,1.8E7,33600.0,15960.0,17790.0,12510.0,28620.0,0.0,5.601E-36,2.16E-36,1.495E-35,1.365E-35,8.899E-37,4.359E-37,1.608E-38,3.601E-38,7.943E-38,2.917E-37,2.08E-35,0.0,0.7642,1.223,2.976,1.456,0.1309,0.04644,0.005287,0.005811,0.02008,0.02577,0.0,0.0,6.251E-4,6.94E-4,0.001492,0.9945,8.327E-4,3.334E-4,4.375E-4,5.072E-5,0.001079,0.0,0.001286,0.00909,0.008719,0.00614,0.2158,0.0129,0.001532,6.718E-4,0.005426,0.001098,
0.0,1611.0,165.1,172.1,124.4,0.05099,4.553,0.5452,0.5872,1.49,0.7255,0.0,343.7,0.1329,0.6896,0.5411,0.09307,0.1586,0.02142,0.1001,4.056,11.62,0.0,343.7,0.1329,0.6896,0.5411,0.09307,0.1586,0.02142,0.1001,4.056,11.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.8,106.8,28.32,670.7,164.8,2.894,3.102,29.91,3.926,0.0,51.31,2.403,14.8,76.13,41.14,0.08266,0.0144,0.01682,0.01202,0.04301,2.134E-18,0.0,4794000.0,5970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.456E-19,0.0,1.287E-21,2.143E-19,7.144E-19,4.802E-19,9.588999999999999E-20,2.078E-19,2.744E-20,4.3079999999999994E-20,5.63E-18,1.063E-17,0.0,6.075E-29,2.5070000000000002E-25,9.531E-25,4.088E-24,1.1180000000000001E-28,1.354E-27,2.084E-29,5.210000000000001E-28,5.83E-28,6.542E-27,3.968E-4,0.0,2685.0,82580.0,56300.0,52370.0,1.766E7,33440.0,16250.0,18150.0,12470.0,28850.0,0.0,5.626E-36,2.343E-36,1.408E-35,1.4660000000000002E-35,8.756E-37,2.028E-37,1.598E-38,1.979E-38,5.865E-38,5.823E-38,2.08E-35,0.0,0.7802,1.243,2.879,1.536,0.1294,0.02609,0.005303,0.004861,0.01887,0.01187,0.0,0.0,6.52E-4,7.239E-4,0.001556,0.9942,8.686E-4,3.478E-4,4.563E-4,5.29E-5,0.001126,0.0,0.001407,0.009128,0.008747,0.006026,0.2122,0.01279,0.001531,6.745E-4,0.005427,0.001104,
