entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
2.099,0.1607,0.09807,0.05136,0.02968,0.1564,0.08511,0.02249,0.007866,0.1032,0.02924,0.2079,0.2087,
2.096,0.1518,0.0953,0.05103,0.02924,0.1554,0.0845,0.02262,0.007912,0.1039,0.02935,0.2091,0.2116,
2.096,0.1504,0.09502,0.05108,0.02926,0.1548,0.08416,0.02265,0.007921,0.104,0.02939,0.2094,0.2123,
2.097,0.1398,0.09615,0.05104,0.02936,0.1521,0.08398,0.02273,0.007946,0.1044,0.02984,0.2098,0.2126,
2.096,0.135,0.09615,0.05107,0.02939,0.15,0.08322,0.02276,0.007954,0.1045,0.02988,0.2112,0.2139,
2.097,0.1319,0.09722,0.05113,0.02942,0.1491,0.0816,0.02278,0.007963,0.1046,0.03072,0.2106,0.2148,
2.098,0.1349,0.09926,0.0512,0.02912,0.1471,0.08006,0.02284,0.007981,0.1049,0.03173,0.2102,0.2156,
2.094,0.1509,0.09809,0.05132,0.02883,0.1454,0.07794,0.02287,0.008003,0.1052,0.03182,0.2108,0.2197,
2.093,0.1458,0.09804,0.05136,0.02837,0.1439,0.07778,0.02292,0.008017,0.1055,0.03189,0.2113,0.221,
2.092,0.1452,0.09781,0.05139,0.02843,0.1421,0.07724,0.02299,0.008038,0.1058,0.03198,0.2119,0.2224,
2.092,0.1437,0.09797,0.05156,0.02851,0.1382,0.07749,0.02306,0.008063,0.1061,0.03208,0.2137,0.2233,
2.096,0.1422,0.09918,0.05156,0.02824,0.1381,0.07609,0.02303,0.008064,0.1061,0.03465,0.2111,0.2238,
2.094,0.1423,0.09912,0.05158,0.02825,0.1378,0.07464,0.02304,0.008067,0.1062,0.03467,0.2112,0.2254,
2.094,0.1391,0.09915,0.05159,0.02826,0.1375,0.07416,0.02305,0.00807,0.1062,0.03468,0.2113,0.226,
2.093,0.1403,0.09879,0.05161,0.02827,0.1372,0.07345,0.02306,0.008073,0.1063,0.03469,0.2114,0.2272,
2.104,0.1329,0.1028,0.05138,0.02829,0.1371,0.07285,0.02307,0.008078,0.1063,0.03987,0.2064,0.2238,
2.104,0.1316,0.1028,0.05138,0.02829,0.1371,0.07285,0.02307,0.008078,0.1063,0.03987,0.2064,0.2238,
2.103,0.1315,0.1035,0.05138,0.02796,0.1371,0.07205,0.02308,0.00808,0.1063,0.03988,0.2064,0.2242,
2.101,0.14,0.103,0.05136,0.02794,0.1365,0.07134,0.02307,0.008076,0.1063,0.03986,0.2073,0.2252,
2.102,0.1334,0.1054,0.05124,0.02793,0.1362,0.07028,0.02306,0.008074,0.1063,0.03985,0.2083,0.2235,
2.101,0.1386,0.1052,0.05119,0.0279,0.136,0.07022,0.02304,0.008066,0.1062,0.03981,0.2092,0.2232,
2.103,0.1372,0.1073,0.05095,0.02789,0.1358,0.07018,0.02303,0.008062,0.1061,0.0405,0.2094,0.2209,
2.107,0.134,0.1118,0.05087,0.02755,0.1357,0.07019,0.02303,0.008063,0.1061,0.04169,0.2082,0.2168,
2.106,0.1465,0.1117,0.05073,0.02752,0.1354,0.06978,0.02301,0.008055,0.106,0.04166,0.2091,0.2169,
2.105,0.1371,0.1117,0.05071,0.02753,0.1355,0.06943,0.02288,0.008024,0.106,0.04166,0.2091,0.2175,
2.11,0.1349,0.1161,0.05071,0.02753,0.1355,0.06847,0.02288,0.008024,0.106,0.04359,0.2072,0.214,
2.108,0.1359,0.1155,0.05048,0.02699,0.1353,0.06842,0.02286,0.008017,0.106,0.04356,0.208,0.2148,
2.109,0.1484,0.1165,0.05018,0.02692,0.1352,0.06761,0.02285,0.008012,0.1059,0.04506,0.2074,0.2144,
2.108,0.1311,0.116,0.04988,0.02694,0.1351,0.06699,0.02286,0.008016,0.106,0.04509,0.2076,0.2155,
2.109,0.1354,0.1177,0.04977,0.02692,0.1351,0.06701,0.02287,0.008019,0.106,0.0451,0.2076,0.2138,
2.108,0.1318,0.1176,0.04971,0.02692,0.1351,0.06653,0.02288,0.008022,0.106,0.04512,0.2077,0.2144,
2.108,0.1311,0.117,0.04953,0.02698,0.135,0.06652,0.02314,0.008142,0.1058,0.04493,0.2087,0.2143,
2.111,0.1364,0.12,0.0497,0.02702,0.1349,0.0668,0.02315,0.008013,0.1078,0.04481,0.2068,0.2111,
2.113,0.1402,0.1212,0.05008,0.02667,0.1348,0.06683,0.02355,0.008279,0.1075,0.04452,0.2069,0.2097,
2.111,0.1424,0.1206,0.05012,0.02677,0.1347,0.06702,0.02371,0.008025,0.1091,0.04306,0.2071,0.2098,
2.108,0.1417,0.1201,0.05008,0.02685,0.1344,0.06713,0.02383,0.007759,0.1115,0.04055,0.2081,0.2098,
2.114,0.1385,0.1223,0.05048,0.02688,0.1348,0.06709,0.02429,0.007279,0.1114,0.04345,0.2061,0.206,
