entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
2.114,0.1648,0.1007,0.04748,0.02782,0.1389,0.1239,0.05188,0.02161,0.02631,0.03329,0.2073,0.2208,
2.112,0.1798,0.09997,0.04753,0.02787,0.1372,0.1225,0.05206,0.02167,0.02641,0.0334,0.2091,0.2224,
2.12,0.1492,0.1016,0.04693,0.0279,0.137,0.1221,0.05221,0.02173,0.02648,0.03705,0.2071,0.2199,
2.118,0.1458,0.1004,0.04669,0.02793,0.1365,0.1213,0.05226,0.02176,0.02651,0.0371,0.2084,0.2211,
2.115,0.1392,0.09954,0.04663,0.02742,0.1365,0.1199,0.05223,0.02177,0.02652,0.03712,0.2086,0.2238,
2.114,0.149,0.09872,0.04659,0.02743,0.1355,0.1189,0.05226,0.02178,0.02654,0.03714,0.2097,0.2254,
2.113,0.1591,0.09888,0.04666,0.02745,0.1341,0.1184,0.05235,0.02181,0.02658,0.0372,0.2101,0.2266,
2.112,0.1408,0.09777,0.04653,0.02747,0.1341,0.1169,0.05237,0.02183,0.02661,0.03724,0.2103,0.2289,
2.111,0.1325,0.09558,0.04658,0.02752,0.1343,0.1151,0.05251,0.02189,0.02668,0.03822,0.21,0.2317,
2.116,0.1245,0.1024,0.04663,0.02755,0.1344,0.1142,0.05257,0.02191,0.02671,0.03826,0.2102,0.2252,
2.116,0.1433,0.1021,0.04663,0.02756,0.1332,0.1127,0.05254,0.02193,0.02673,0.03918,0.2116,0.226,
2.115,0.1415,0.1017,0.04664,0.02757,0.1332,0.1112,0.05256,0.02194,0.02674,0.03919,0.2117,0.2276,
2.119,0.1542,0.1044,0.04659,0.02757,0.1332,0.11,0.05258,0.02195,0.02675,0.04066,0.2103,0.2261,
2.119,0.1513,0.1058,0.04661,0.02758,0.1332,0.1087,0.05261,0.02196,0.02676,0.04067,0.2104,0.2257,
2.12,0.1478,0.1093,0.04652,0.02753,0.133,0.1074,0.0525,0.02191,0.02671,0.04059,0.2121,0.2225,
2.121,0.1438,0.111,0.04655,0.02755,0.1324,0.106,0.05238,0.02193,0.02673,0.04126,0.2116,0.2226,
2.124,0.1474,0.1137,0.04658,0.02757,0.1325,0.1046,0.05241,0.02195,0.02674,0.04236,0.2106,0.221,
2.128,0.143,0.121,0.0464,0.02757,0.1326,0.104,0.05245,0.02196,0.02676,0.04239,0.2108,0.214,
2.126,0.144,0.1205,0.04632,0.02752,0.1323,0.103,0.05235,0.02192,0.02672,0.04232,0.2125,0.2145,
2.128,0.143,0.1234,0.04633,0.02753,0.1324,0.1024,0.05238,0.02193,0.02673,0.04268,0.2123,0.2119,
2.126,0.1413,0.1232,0.04634,0.02754,0.1324,0.1001,0.05229,0.02191,0.02674,0.04268,0.2123,0.2144,
2.125,0.1484,0.1231,0.04622,0.02754,0.1324,0.09935,0.05231,0.02191,0.02674,0.0427,0.2124,0.2153,
2.121,0.1609,0.1218,0.04625,0.02705,0.1325,0.0963,0.05234,0.02192,0.02676,0.04272,0.2125,0.2199,
2.12,0.1481,0.1208,0.04609,0.02707,0.1323,0.09565,0.0524,0.02195,0.02679,0.04277,0.2128,0.2214,
2.126,0.1437,0.1228,0.0458,0.02705,0.1321,0.09562,0.05239,0.02194,0.02678,0.04616,0.2104,0.2189,
2.124,0.1404,0.1224,0.04577,0.02703,0.132,0.0939,0.05236,0.02193,0.02677,0.04613,0.2113,0.2204,
2.123,0.1332,0.1214,0.0458,0.02705,0.1316,0.09293,0.0524,0.02195,0.02679,0.04617,0.2115,0.2224,
2.122,0.14,0.1207,0.04576,0.02703,0.1314,0.09286,0.05237,0.02193,0.02677,0.04614,0.2124,0.2226,
2.124,0.1144,0.1233,0.04566,0.027,0.1313,0.09188,0.05215,0.02191,0.02675,0.04733,0.212,0.2207,
2.123,0.124,0.1227,0.04566,0.027,0.1313,0.09097,0.05216,0.02192,0.02675,0.04734,0.212,0.2222,
2.122,0.1264,0.1226,0.04567,0.02701,0.1312,0.09023,0.05217,0.02192,0.02676,0.04735,0.2121,0.223,
2.122,0.1344,0.1219,0.04565,0.02704,0.1312,0.09028,0.05201,0.02191,0.02909,0.04484,0.213,0.2231,
2.122,0.1281,0.1201,0.04576,0.02711,0.1321,0.0907,0.05176,0.02192,0.02987,0.04395,0.2131,0.2236,
2.123,0.1282,0.1196,0.04577,0.02717,0.132,0.09091,0.05167,0.02257,0.0312,0.04204,0.2133,0.2238,
2.106,0.1399,0.119,0.04595,0.02719,0.132,0.09076,0.06439,0.009888,0.03155,0.0416,0.2134,0.2243,
2.11,0.1554,0.1212,0.04596,0.02729,0.1324,0.09005,0.06403,0.01003,0.03319,0.04121,0.2122,0.2225,
2.111,0.1409,0.1224,0.04636,0.0269,0.1321,0.08962,0.06367,0.01064,0.03349,0.04058,0.2121,0.2222,
2.11,0.1477,0.1219,0.04631,0.02699,0.1319,0.08957,0.06373,0.01052,0.03392,0.04022,0.2123,0.2227,
2.11,0.1568,0.1213,0.04621,0.0271,0.1319,0.08878,0.06369,0.01051,0.03621,0.03787,0.2132,0.2232,
2.115,0.1474,0.1254,0.04637,0.02712,0.1316,0.0877,0.06384,0.01032,0.0367,0.03982,0.2117,0.2194,
2.112,0.1466,0.1243,0.04644,0.02698,0.1314,0.08643,0.06375,0.01005,0.03829,0.03813,0.2135,0.2207,
2.088,0.1778,0.1255,0.0467,0.02698,0.1317,0.1206,0.02849,0.01026,0.03799,0.04072,0.2126,0.2184,
2.098,0.1755,0.1312,0.04665,0.02695,0.1313,0.1203,0.02819,0.01062,0.03816,0.04515,0.2093,0.2121,
2.096,0.1814,0.1302,0.04684,0.02704,0.1316,0.1193,0.02872,0.009844,0.04013,0.04324,0.2095,0.2136,
2.099,0.164,0.1346,0.04687,0.02718,0.1316,0.1197,0.02847,0.009848,0.04063,0.04277,0.2095,0.2088,
2.098,0.1644,0.1337,0.04702,0.02724,0.1318,0.1187,0.02823,0.009857,0.04224,0.04122,0.2097,0.2104,
2.097,0.161,0.1332,0.04695,0.02726,0.1317,0.119,0.02781,0.01009,0.04258,0.0406,0.2107,0.2102,
2.097,0.1808,0.1322,0.0471,0.02733,0.1321,0.1186,0.02782,0.01023,0.04269,0.0404,0.2107,0.2108,
2.097,0.1568,0.1309,0.04737,0.0274,0.1325,0.1178,0.02785,0.01024,0.04471,0.03845,0.2109,0.2118,
2.099,0.1507,0.1312,0.04736,0.02745,0.1324,0.1175,0.02771,0.01023,0.0447,0.03992,0.2105,0.2111,
2.1,0.1734,0.1337,0.04735,0.02751,0.1327,0.1169,0.02752,0.01024,0.04485,0.03981,0.2106,0.2089,
2.099,0.1812,0.1331,0.04772,0.02766,0.1322,0.1154,0.02755,0.01025,0.04511,0.03962,0.2108,0.2107,
2.097,0.1631,0.132,0.04788,0.0277,0.1326,0.1143,0.02885,0.008837,0.04559,0.0392,0.2109,0.2121,
2.102,0.16,0.1345,0.04827,0.02776,0.1325,0.1114,0.02883,0.008831,0.04656,0.04139,0.2086,0.2113,
2.1,0.1856,0.1332,0.04862,0.02781,0.1326,0.1094,0.02896,0.008695,0.0468,0.04112,0.2096,0.2132,
2.104,0.1841,0.1339,0.04858,0.02782,0.1328,0.1089,0.02891,0.008681,0.04718,0.04303,0.2089,0.2113,
2.105,0.1864,0.1338,0.04908,0.0279,0.1332,0.1084,0.02893,0.0089,0.04771,0.04236,0.209,0.2107,
2.103,0.2016,0.1332,0.04911,0.02787,0.1329,0.1075,0.029,0.008751,0.04888,0.04089,0.2107,0.2112,
2.103,0.1659,0.1319,0.04926,0.02795,0.1337,0.107,0.02901,0.008753,0.0494,0.0404,0.2108,0.2118,
2.106,0.1579,0.1364,0.04927,0.02804,0.1338,0.1071,0.02905,0.008899,0.04934,0.04046,0.2111,0.2065,
2.105,0.182,0.1347,0.04934,0.02809,0.1347,0.1063,0.02908,0.008908,0.05082,0.03907,0.2113,0.2076,
2.106,0.1557,0.1336,0.04921,0.02819,0.1345,0.1063,0.02908,0.009117,0.05082,0.03933,0.2118,0.208,
2.104,0.1558,0.1294,0.04882,0.02817,0.1378,0.1062,0.02905,0.009107,0.05219,0.03786,0.2137,0.2077,
2.105,0.1525,0.1277,0.04876,0.02832,0.138,0.1063,0.02906,0.00968,0.05188,0.03824,0.2133,0.2088,
2.105,0.1608,0.1268,0.04875,0.02851,0.1378,0.1055,0.02921,0.009799,0.05208,0.03796,0.2136,0.21,
2.105,0.1497,0.1264,0.04872,0.0286,0.1377,0.1045,0.02923,0.01,0.0523,0.03761,0.2137,0.2112,
2.103,0.1526,0.1254,0.0486,0.02812,0.138,0.1045,0.02922,0.009996,0.0531,0.03677,0.2147,0.2116,
2.106,0.1492,0.1271,0.04886,0.02816,0.138,0.104,0.02924,0.01,0.05423,0.03709,0.2135,0.2099,
2.11,0.1568,0.1266,0.04891,0.02817,0.1375,0.1039,0.02953,0.009218,0.05499,0.04047,0.2103,0.2104,
2.109,0.1561,0.1259,0.04905,0.02827,0.1371,0.1023,0.02987,0.008927,0.05579,0.0398,0.2106,0.2124,
2.109,0.1592,0.1265,0.04936,0.02833,0.1367,0.1015,0.02986,0.009135,0.05653,0.03881,0.2116,0.2117,
2.108,0.1609,0.1258,0.04933,0.02843,0.1371,0.1007,0.02987,0.009138,0.05655,0.03883,0.2117,0.2126,
2.113,0.1585,0.1265,0.04925,0.0285,0.1374,0.1005,0.02972,0.009348,0.05688,0.04072,0.21,0.2112,
2.112,0.1642,0.1259,0.04942,0.02803,0.1375,0.1005,0.02973,0.009565,0.05669,0.04074,0.2101,0.2118,
2.11,0.1576,0.1253,0.04952,0.02764,0.1374,0.1002,0.02999,0.009331,0.05702,0.04035,0.2103,0.2129,
2.11,0.1636,0.1249,0.04963,0.02769,0.1372,0.09933,0.02997,0.009503,0.0572,0.03991,0.2112,0.2135,
2.108,0.1647,0.1245,0.0496,0.02774,0.1371,0.09905,0.03012,0.009368,0.05956,0.0375,0.2113,0.2142,
2.107,0.1739,0.1237,0.04978,0.0278,0.1373,0.09787,0.03,0.009506,0.05987,0.03709,0.2114,0.2157,
2.107,0.1783,0.1256,0.04998,0.02789,0.1371,0.09588,0.03002,0.009513,0.06037,0.03667,0.2116,0.2154,
