RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
4650000.0,2193000.0,1285000.0,6416000.0,5725000.0,2396000.0,998000.0,1216000.0,1538000.0,9575000.0,1.02E7,
4602000.0,2188000.0,1283000.0,6313000.0,5639000.0,2396000.0,997500.0,1215000.0,1538000.0,9623000.0,1.024E7,
4662000.0,2154000.0,1281000.0,6289000.0,5604000.0,2396000.0,997500.0,1215000.0,1701000.0,9508000.0,1.009E7,
4604000.0,2140000.0,1280000.0,6260000.0,5560000.0,2396000.0,997400.0,1215000.0,1701000.0,9555000.0,1.014E7,
4561000.0,2137000.0,1257000.0,6255000.0,5495000.0,2393000.0,997400.0,1215000.0,1701000.0,9555000.0,1.025E7,
4521000.0,2134000.0,1256000.0,6206000.0,5445000.0,2393000.0,997400.0,1215000.0,1701000.0,9603000.0,1.032E7,
4520000.0,2133000.0,1255000.0,6128000.0,5411000.0,2393000.0,997000.0,1215000.0,1701000.0,9603000.0,1.036E7,
4464000.0,2125000.0,1255000.0,6123000.0,5337000.0,2392000.0,997000.0,1215000.0,1701000.0,9603000.0,1.045E7,
4354000.0,2122000.0,1254000.0,6118000.0,5243000.0,2392000.0,997000.0,1215000.0,1741000.0,9563000.0,1.055E7,
4658000.0,2121000.0,1253000.0,6114000.0,5194000.0,2392000.0,997000.0,1215000.0,1741000.0,9563000.0,1.025E7,
4640000.0,2120000.0,1253000.0,6054000.0,5122000.0,2389000.0,997000.0,1215000.0,1781000.0,9619000.0,1.027E7,
4620000.0,2120000.0,1253000.0,6054000.0,5054000.0,2389000.0,997000.0,1215000.0,1781000.0,9619000.0,1.034E7,
4740000.0,2116000.0,1252000.0,6049000.0,4996000.0,2389000.0,997000.0,1215000.0,1847000.0,9551000.0,1.027E7,
4802000.0,2116000.0,1252000.0,6049000.0,4937000.0,2389000.0,997000.0,1215000.0,1847000.0,9551000.0,1.025E7,
