cMHCIEnEr;cMHCIEnPm;cMHCIEnRabA;cMHCIEnRabB;cMHCIEnRabC;cMHCIEnRabD;cMHCIEnRabE;cMHCIEnRabF;cMHCIEnRabG;cMHCIEnRabH;cMHCIEnRabI;exCxEnEr;exCxEnPm;exCxEnRabA;exCxEnRabB;exCxEnRabC;exCxEnRabD;exCxEnRabE;exCxEnRabF;exCxEnRabG;exCxEnRabH;exCxEnRabI;imCxEnEr;imCxEnPm;imCxEnRabA;imCxEnRabB;imCxEnRabC;imCxEnRabD;imCxEnRabE;imCxEnRabF;imCxEnRabG;imCxEnRabH;imCxEnRabI;membraneMarkerEr;membraneMarkerPm;membraneMarkerRabA;membraneMarkerRabB;membraneMarkerRabC;membraneMarkerRabD;membraneMarkerRabE;membraneMarkerRabF;membraneMarkerRabG;membraneMarkerRabH;membraneMarkerRabI;mvbEr;mvbPm;mvbRabA;mvbRabB;mvbRabC;mvbRabD;mvbRabE;mvbRabF;mvbRabG;mvbRabH;mvbRabI;oMHCIEnEr;oMHCIEnPm;oMHCIEnRabA;oMHCIEnRabB;oMHCIEnRabC;oMHCIEnRabD;oMHCIEnRabE;oMHCIEnRabF;oMHCIEnRabG;oMHCIEnRabH;oMHCIEnRabI;ovaCyCy;ovaEnEr;ovaEnPm;ovaEnRabA;ovaEnRabB;ovaEnRabC;ovaEnRabD;ovaEnRabE;ovaEnRabF;ovaEnRabG;ovaEnRabH;ovaEnRabI;pepCyCy;pepEnEr;pepEnPm;pepEnRabA;pepEnRabB;pepEnRabC;pepEnRabD;pepEnRabE;pepEnRabF;pepEnRabG;pepEnRabH;pepEnRabI;pepMHCIEnEr;pepMHCIEnPm;pepMHCIEnRabA;pepMHCIEnRabB;pepMHCIEnRabC;pepMHCIEnRabD;pepMHCIEnRabE;pepMHCIEnRabF;pepMHCIEnRabG;pepMHCIEnRabH;pepMHCIEnRabI;protonCyCy;protonEnEr;protonEnPm;protonEnRabA;protonEnRabB;protonEnRabC;protonEnRabD;protonEnRabE;protonEnRabF;protonEnRabG;protonEnRabH;protonEnRabI;R-TfaEnEr;R-TfaEnPm;R-TfaEnRabA;R-TfaEnRabB;R-TfaEnRabC;R-TfaEnRabD;R-TfaEnRabE;R-TfaEnRabF;R-TfaEnRabG;R-TfaEnRabH;R-TfaEnRabI;R-TfEnPm;REnEr;REnPm;REnRabA;REnRabB;REnRabC;REnRabD;REnRabE;REnRabF;REnRabG;REnRabH;REnRabI;solubleMarkerEr;solubleMarkerPm;solubleMarkerRabA;solubleMarkerRabB;solubleMarkerRabC;solubleMarkerRabD;solubleMarkerRabE;solubleMarkerRabF;solubleMarkerRabG;solubleMarkerRabH;solubleMarkerRabI;TfaEnEr;TfaEnPm;TfaEnRabA;TfaEnRabB;TfaEnRabC;TfaEnRabD;TfaEnRabE;TfaEnRabF;TfaEnRabG;TfaEnRabH;TfaEnRabI
0;1393;186.8;138.5;64.91;0.07159;3.083;0.5663;0.3116;0.3746;0.6156;0;344;0.1077;1.797;0.08994;0.1572;0.2836;0.1136;0.05162;1.627;11.94;0;344;0.1077;1.797;0.08994;0.1572;0.2836;0.1136;0.05162;1.627;11.94;0;0;0;0;0;0;0;0;0;0;0;0;0;185.9;71.15;39.93;1167;224.4;4.838;3.404;6.583;2.216;0;108.7;2.867;6.098;59.1;34.48;0.6775;0.004553;0.005819;0.01764;0.1907;0;0;4800000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.00E-04;0;0;99870;86310;49720;2.94E+07;30850;20340;26720;21970;23110;0;1.81E-37;9.83E-38;6.56E-37;4.45E-37;4.24E-38;1.30E-38;3.30E-39;1.53E-39;1.69E-39;1.45E-38;2.08E-35;0;0.2941;1.016;1.778;0.8056;0.1659;0.02714;0.00603;0.003031;0.004104;0.03369;0;0;3.57E-04;3.30E-04;6.05E-04;0.9966;4.71E-04;3.41E-04;7.72E-04;4.95E-05;4.70E-04;0;1.00E-05;0.001644;0.001916;0.001441;0.1712;0.005009;0.001035;5.41E-04;4.75E-04;2.78E-04
0;1390;181.8;140.5;66.81;0.001666;2.724;0.6341;0.3963;0.377;0.1065;0;344;0.08693;1.389;0.1642;0.1567;0.2623;0.1284;0.2762;1.29;12.41;0;344;0.08693;1.389;0.1642;0.1567;0.2623;0.1284;0.2762;1.29;12.41;0;0;0;0;0;0;0;0;0;0;0;0;0;207;73.66;42.09;1096;221.1;5.442;3.978;6.777;2.379;0;107.9;2.544;7.801;54.74;34.53;0.6721;0.004506;0.005797;0.01372;0.1504;0;0;4799000;1348;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.22E-04;0;72.9;88710;78040;45540;2.73E+07;28650;18860;24790;19870;21240;0;1.72E-37;8.55E-38;6.72E-37;4.47E-37;4.23E-38;1.27E-38;3.50E-39;1.79E-39;1.24E-39;3.14E-39;2.08E-35;0;0.2793;0.9728;1.808;0.8176;0.1658;0.02605;0.00659;0.00373;0.002208;0.007433;0;0;3.57E-04;3.30E-04;6.05E-04;0.9966;4.71E-04;3.41E-04;7.72E-04;4.95E-05;4.70E-04;0;4.65E-05;0.001577;0.001928;0.001465;0.1708;0.004903;0.00104;5.41E-04;4.71E-04;2.82E-04
0;1383;189.6;140.3;68.4;0.003469;2.071;0.6127;0.366;0.3834;0.12;0;344;0.08808;1.345;0.2174;0.1569;0.2298;0.1296;0.2775;1.288;12.42;0;344;0.08808;1.345;0.2174;0.1569;0.2298;0.1296;0.2775;1.288;12.42;0;0;0;0;0;0;0;0;0;0;0;0;0;213.4;76.07;44.79;1041;204.3;9.516;7.944;8.416;3.681;0;106.2;2.455;7.865;53.12;34.53;0.6688;0.004496;0.005787;0.01288;0.1415;0;0;4794000;5588;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.00E-04;0;342.5;86470;74110;43240;2.66E+07;27630;18430;24200;19160;20640;0;1.54E-37;8.54E-38;6.61E-37;4.48E-37;4.23E-38;9.36E-39;3.38E-39;1.63E-39;1.36E-39;5.89E-39;2.08E-35;0;0.2508;1;1.79;0.8196;0.1658;0.02076;0.006375;0.003432;0.002463;0.01313;0;0;3.57E-04;3.30E-04;6.05E-04;0.9966;4.71E-04;3.41E-04;7.72E-04;4.95E-05;4.70E-04;0;9.41E-05;0.001571;0.001902;0.001471;0.1699;0.004734;0.001056;5.43E-04;4.77E-04;3.07E-04
0;1383;177.2;151.9;71.66;0.003601;2.397;0.6126;0.365;0.3848;0.123;0;344;0.09316;1.273;0.2596;0.1568;0.2361;0.1305;0.2762;1.288;12.42;0;344;0.09316;1.273;0.2596;0.1568;0.2361;0.1305;0.2762;1.288;12.42;0;0;0;0;0;0;0;0;0;0;0;0;0;222.9;76.1;44.77;983.6;204.3;9.442;7.866;8.314;3.626;0;106.2;2.419;7.607;43.81;34.53;4.281;0.004473;0.005773;0.01248;0.1384;1.16E-15;0;4794000;5313;277.8;48.21;0;0;0;0;0;0;1.23E-17;0;0;4.10E-16;2.34E-15;5.91E-18;2.61E-20;1.41E-18;2.78E-21;0;0;0;0;0;8.81E-25;1.14E-21;4.16E-25;8.01E-32;3.42E-30;4.55E-34;0;0;0;1.74E-04;0;451.3;86900;72150;43190;2.70E+07;27760;18570;24570;18950;20590;0;1.56E-37;8.93E-38;6.56E-37;4.30E-37;4.23E-38;2.05E-38;3.37E-39;1.62E-39;1.40E-39;5.73E-39;2.08E-35;0;0.2545;0.9814;1.803;0.7912;0.1658;0.03617;0.006374;0.003428;0.002556;0.01281;0;0;3.57E-04;3.30E-04;6.05E-04;0.9966;4.71E-04;3.41E-04;7.72E-04;4.95E-05;4.70E-04;0;1.13E-04;0.001575;0.001902;0.001452;0.1707;0.004642;0.001057;5.41E-04;4.78E-04;3.06E-04
0;1374;185.5;145.2;89.18;0.003661;2.062;0.6125;0.3647;0.3855;1.938;0;344;0.08641;1.233;0.2643;0.1566;0.2256;0.1317;0.2751;1.288;12.42;0;344;0.08641;1.233;0.2643;0.1566;0.2256;0.1317;0.2751;1.288;12.42;0;0;0;0;0;0;0;0;0;0;0;0;0;220.8;103.9;42.69;964;204.2;9.429;7.851;8.295;3.615;0;104.1;4.551;5.85;35.31;34.51;0.6621;0.004475;0.005774;0.01233;0.1373;3.91E-15;0;4788000;10840;267.9;84.88;0;0;0;0;0;22.12;7.47E-17;0;1.79E-18;3.23E-15;1.08E-13;1.01E-15;6.65E-18;4.34E-17;4.48E-17;1.01E-17;6.52E-19;9.54E-16;0;2.56E-29;1.10E-21;8.02E-20;1.05E-21;5.51E-29;2.72E-26;4.54E-29;7.83E-30;8.34E-31;3.68E-22;5.35E-04;0;639.1;86970;73200;41710;2.75E+07;27500;18260;24670;17820;20440;0;1.36E-37;1.12E-37;6.39E-37;4.31E-37;4.23E-38;9.28E-39;3.37E-39;1.61E-39;1.39E-39;6.98E-39;2.08E-35;0;0.222;1.003;1.756;0.8152;0.1657;0.02065;0.006372;0.003424;0.002562;0.02316;0;0;3.57E-04;3.30E-04;6.05E-04;0.9966;4.71E-04;3.41E-04;7.72E-04;4.95E-05;4.70E-04;0;1.70E-04;0.001547;0.001982;0.001377;0.1693;0.004541;0.001068;5.19E-04;4.83E-04;3.12E-04
0;1378;167.8;154.3;90.06;0.00303;2.973;0.603;0.3533;0.3804;0.1239;0;344.1;0.09231;1.178;0.2671;0.1637;0.2292;0.1296;0.2734;1.287;12.44;0;344.1;0.09231;1.178;0.2671;0.1637;0.2292;0.1296;0.2734;1.287;12.44;0;0;0;0;0;0;0;0;0;0;0;0;0;241.6;107.7;40.63;919.9;223.5;4.249;2.624;5.86;1.79;0;104.1;2.366;5.355;39.55;31.49;0.6566;0.004454;0.005762;0.01218;0.1368;5.77E-15;0;4788000;9630;310.4;27.08;0;0;0;0;0;22.12;1.74E-16;0;1.94E-14;2.07E-13;1.40E-13;1.16E-15;4.14E-17;4.69E-16;2.26E-16;5.01E-17;5.71E-18;3.82E-14;0;1.86E-20;5.48E-20;2.07E-19;1.25E-20;2.94E-24;1.53E-25;4.31E-28;1.25E-28;3.12E-29;3.43E-24;5.33E-04;0;848.3;92290;75950;41290;2.90E+07;28050;18440;25720;17260;20920;0;1.39E-37;9.61E-38;6.12E-37;4.24E-37;4.52E-38;1.65E-38;3.36E-39;1.59E-39;1.38E-39;5.71E-39;2.08E-35;0;0.2441;0.9114;1.789;0.8034;0.1713;0.03105;0.006325;0.003358;0.002532;0.01281;0;0;3.57E-04;3.30E-04;6.05E-04;0.9966;4.71E-04;3.41E-04;7.72E-04;4.95E-05;4.70E-04;0;2.54E-04;0.001572;0.001853;0.001378;0.1701;0.004494;0.001051;5.14E-04;4.78E-04;3.09E-04
0;1378;172;147.1;94.52;0.001491;1.913;0.5936;0.3487;0.38;0.09363;0;344.1;0.08661;1.055;0.3072;0.1774;0.1992;0.1304;0.2717;1.314;12.51;0;344.1;0.08661;1.055;0.3072;0.1774;0.1992;0.1304;0.2717;1.314;12.51;0;0;0;0;0;0;0;0;0;0;0;0;0;247.8;109.8;38.13;861.1;225.8;3.034;2.732;5.57;1.766;0;104.1;2.342;4.613;45.13;25.66;0.6569;0.004725;0.008412;0.01216;0.01124;8.35E-15;0;4788000;9332;320.3;26.79;0;0;0;0;0;22.12;2.86E-16;0;1.95E-14;2.03E-13;1.49E-13;2.10E-15;8.43E-16;1.08E-15;4.92E-16;1.09E-16;3.09E-16;5.83E-13;0;1.86E-20;1.24E-19;2.46E-19;4.94E-20;2.04E-24;4.39E-25;1.04E-27;3.89E-28;3.72E-25;1.28E-22;8.26E-04;0;986.8;131200;316800;30700;2.66E+07;24580;16020;28410;16900;36460;0;1.39E-37;9.40E-38;5.91E-37;4.36E-37;6.18E-38;1.01E-38;3.30E-39;1.59E-39;1.38E-39;3.10E-39;2.08E-35;0;0.2442;0.9341;1.734;0.8274;0.1926;0.0205;0.006243;0.00336;0.002536;0.006596;0;0;0.00214;0.01045;2.82E-04;0.9844;3.67E-04;2.66E-04;9.43E-04;3.86E-05;0.001126;0;2.96E-04;0.001813;0.003325;0.001313;0.1675;0.004451;0.001036;5.34E-04;4.79E-04;4.11E-04
0;1374;164.5;152.2;100.4;0.001536;1.903;0.5954;0.3605;0.3677;0.09434;0;344.1;0.08184;1.085;0.304;0.1531;0.1977;0.1291;0.2703;1.262;12.57;0;344.1;0.08184;1.085;0.304;0.1531;0.1977;0.1291;0.2703;1.262;12.57;0;0;0;0;0;0;0;0;0;0;0;0;0;253;109.3;38.36;838.7;225;3.047;3.012;5.53;1.801;0;103.3;2.562;5.481;39.56;30.03;0.6591;0.005904;0.01259;0.01228;0.01585;1.09E-14;0;4787000;10330;292.6;56.2;0;0;0;0;0;22.12;5.16E-16;0;1.95E-14;2.24E-13;2.39E-13;2.78E-14;1.85E-15;1.99E-15;1.19E-15;2.15E-16;9.61E-16;2.36E-12;0;1.86E-20;4.57E-20;4.11E-19;1.46E-19;4.05E-24;8.13E-25;3.14E-27;1.77E-27;4.01E-24;7.07E-22;1.01E-04;0;1435;93730;290000;30200;2.52E+07;24040;15830;27200;17050;34650;0;1.32E-37;8.92E-38;6.08E-37;4.39E-37;4.41E-38;1.00E-38;3.29E-39;1.58E-39;1.36E-39;3.07E-39;2.08E-35;0;0.2322;0.8804;1.794;0.8381;0.1839;0.02042;0.006246;0.003371;0.002534;0.006573;0;0;6.08E-04;0.009356;2.83E-04;0.987;3.68E-04;2.67E-04;9.45E-04;3.87E-05;0.001129;0;3.28E-04;0.00158;0.003214;0.001316;0.1662;0.004423;0.001038;5.39E-04;4.72E-04;4.09E-04
0;1371;168.6;155.6;102.9;0.001977;1.895;0.5972;0.3684;0.3613;0.09449;0;344.1;0.07829;1.103;0.3165;0.1211;0.1996;0.1334;0.2719;1.253;12.57;0;344.1;0.07829;1.103;0.3165;0.1211;0.1996;0.1334;0.2719;1.253;12.57;0;0;0;0;0;0;0;0;0;0;0;0;0;255.1;105.9;38.59;819.5;223.9;3.032;3.374;5.534;1.896;0;102.1;2.509;5.338;33.48;29.78;0.6599;0.005915;0.01262;0.01226;0.01574;1.35E-14;0;4785000;12630;292.5;29.01;0;0;0;0;0;22.12;8.02E-16;0;3.68E-14;2.21E-13;5.37E-13;1.63E-14;2.53E-15;3.73E-15;2.28E-15;4.67E-16;2.07E-15;6.09E-12;0;4.43E-20;2.89E-20;5.99E-19;3.26E-19;7.18E-24;1.30E-24;9.56E-27;5.52E-27;1.04E-23;1.82E-21;3.90E-04;0;1484;95510;109100;30200;2.42E+07;24260;16020;27870;16900;35160;0;1.23E-37;8.82E-38;6.27E-37;4.31E-37;3.03E-38;9.91E-39;3.31E-39;1.58E-39;1.35E-39;3.04E-39;2.08E-35;0;0.2277;0.8855;1.838;0.8247;0.1517;0.02034;0.006243;0.003364;0.002528;0.006541;0;0;6.59E-04;0.00124;3.07E-04;0.9948;3.99E-04;2.89E-04;0.001025;4.19E-05;0.001224;0;3.36E-04;0.001578;0.002068;0.001314;0.1639;0.0044;0.001054;5.53E-04;4.69E-04;4.18E-04
0;1352;176.4;166.2;103.4;0.002729;1.881;0.5965;0.3734;0.3647;0.09837;0;344.1;0.09061;1.065;0.3387;0.1196;0.1942;0.1365;0.2657;1.209;12.62;0;344.1;0.09061;1.065;0.3387;0.1196;0.1942;0.1365;0.2657;1.209;12.62;0;0;0;0;0;0;0;0;0;0;0;0;0;266.4;105.1;39.41;785.4;218.9;2.956;4.524;5.9;2.25;0;97.78;5.264;4.895;32.98;29.6;0.6524;0.005893;0.01261;0.009894;0.01517;1.60E-14;0;4772000;24770;292.5;29.01;0;0;0;0;0;22.12;1.26E-15;0;3.68E-14;2.25E-13;1.42E-12;3.45E-14;3.84E-15;6.53E-15;4.68E-15;1.09E-15;2.15E-14;1.25E-11;0;4.37E-20;3.73E-20;1.13E-18;5.87E-19;1.22E-23;6.13E-24;1.93E-25;7.73E-26;1.91E-23;3.73E-21;3.94E-04;0;1587;94290;100800;31470;2.31E+07;23670;15500;27550;15760;34670;0;9.04E-38;1.07E-37;6.20E-37;4.33E-37;3.03E-38;9.72E-39;3.30E-39;1.60E-39;1.36E-39;3.05E-39;2.08E-35;0;0.1673;0.8847;1.876;0.8313;0.1516;0.02012;0.006241;0.00341;0.002544;0.006567;0;0;6.89E-04;0.001297;3.21E-04;0.9946;4.17E-04;3.02E-04;0.001072;4.38E-05;0.00128;0;3.51E-04;0.001613;0.002026;0.00133;0.1602;0.004372;0.001052;5.62E-04;4.49E-04;4.42E-04
