cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI,
0.0,1393.0,186.8,138.5,64.91,0.07159,3.083,0.5663,0.3116,0.3746,0.6156,0.0,344.0,0.1077,1.797,0.08994,0.1572,0.2836,0.1136,0.05162,1.627,11.94,0.0,344.0,0.1077,1.797,0.08994,0.1572,0.2836,0.1136,0.05162,1.627,11.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.9,71.15,39.93,1167.0,224.4,4.838,3.404,6.583,2.216,0.0,108.7,2.867,6.098,59.1,34.48,0.6775,0.004553,0.005819,0.01764,0.1907,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,0.0,99870.0,86310.0,49720.0,2.942E7,30850.0,20340.0,26720.0,21970.0,23110.0,0.0,1.81E-37,9.827E-38,6.558E-37,4.445E-37,4.237E-38,1.302E-38,3.298E-39,1.533E-39,1.6929999999999998E-39,1.451E-38,2.08E-35,0.0,0.2941,1.016,1.778,0.8056,0.1659,0.02714,0.00603,0.003031,0.004104,0.03369,0.0,0.0,3.565E-4,3.296E-4,6.052E-4,0.9966,4.709E-4,3.414E-4,7.72E-4,4.953E-5,4.702E-4,0.0,1.0E-5,0.001644,0.001916,0.001441,0.1712,0.005009,0.001035,5.406E-4,4.753E-4,2.781E-4,
0.0,1393.0,177.1,139.7,63.28,0.5705,5.754,0.5578,0.3019,0.38,0.1173,0.0,344.0,0.1063,1.469,0.1211,0.1572,0.248,0.1138,0.04391,1.3,12.46,0.0,344.0,0.1063,1.469,0.1211,0.1572,0.248,0.1138,0.04391,1.3,12.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.1,70.36,40.42,1111.0,224.4,4.894,3.487,6.77,2.885,0.0,108.7,2.525,6.859,57.57,32.83,0.6762,0.004544,0.005813,0.01574,0.1571,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,195.0,89280.0,79350.0,44880.0,2.73E7,29470.0,19120.0,24890.0,20450.0,21250.0,0.0,1.81E-37,9.003E-38,6.637E-37,4.375E-37,4.358E-38,2.237E-38,3.1709999999999996E-39,1.378E-39,2.033E-39,3.876E-39,2.08E-35,0.0,0.2942,0.9684,1.798,0.7912,0.1649,0.04204,0.005952,0.002933,0.005546,0.01053,0.0,0.0,3.565E-4,3.296E-4,6.052E-4,0.9966,4.709E-4,3.414E-4,7.72E-4,4.953E-5,4.702E-4,0.0,1.05E-4,0.001604,0.001905,0.001445,0.1711,0.004854,0.001041,5.289E-4,4.821E-4,2.728E-4,
0.0,1394.0,186.2,125.3,67.0,0.002964,3.114,0.5472,0.286,0.3848,0.1303,0.0,344.1,0.123,1.378,0.1688,0.1558,0.2333,0.1182,0.04021,1.297,12.47,0.0,344.1,0.123,1.378,0.1688,0.1558,0.2333,0.1182,0.04021,1.297,12.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.7,71.01,42.31,1025.0,219.7,6.16,4.765,7.028,3.236,0.0,108.7,2.496,7.84,58.96,33.2,0.7445,0.004518,0.006306,0.01383,0.1456,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,520.7,88300.0,75690.0,44030.0,2.655E7,30190.0,18420.0,24350.0,19260.0,20400.0,0.0,1.862E-37,9.838E-38,6.517E-37,4.426E-37,4.28E-38,1.277E-38,3.123E-39,1.3139999999999999E-39,2.037E-39,3.878E-39,2.08E-35,0.0,0.3033,1.016,1.738,0.8067,0.1636,0.02721,0.005901,0.002854,0.005564,0.01054,0.0,0.0,3.565E-4,3.296E-4,6.052E-4,0.9966,4.709E-4,3.414E-4,7.72E-4,4.953E-5,4.702E-4,0.0,1.669E-4,0.001611,0.001901,0.001444,0.17,0.004743,0.001033,5.408E-4,4.821E-4,2.73E-4,
0.0,1394.0,179.8,129.5,68.5,0.003848,4.11,0.5465,0.2813,0.3914,1.049,0.0,344.1,0.1245,2.04,0.1718,0.1485,0.2227,0.1201,0.0419,1.298,11.8,0.0,344.1,0.1245,2.04,0.1718,0.1485,0.2227,0.1201,0.0419,1.298,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.3,75.23,45.5,960.7,206.5,9.248,7.746,8.257,4.316,0.0,108.7,2.458,7.499,59.32,30.79,0.7364,0.004492,0.00629,0.01303,0.2086,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,613.3,87920.0,74470.0,44450.0,2.679E7,29390.0,18450.0,24510.0,18990.0,20010.0,0.0,1.862E-37,9.334E-38,6.5349999999999996E-37,4.406E-37,3.291E-38,1.416E-38,3.088E-39,1.261E-39,2.047E-39,7.789E-39,2.08E-35,0.0,0.3034,0.9978,1.743,0.8031,0.1522,0.03273,0.00584,0.002752,0.0056,0.02118,0.0,0.0,3.565E-4,3.296E-4,6.052E-4,0.9966,4.709E-4,3.414E-4,7.72E-4,4.953E-5,4.702E-4,0.0,2.034E-4,0.00161,0.001905,0.001453,0.1701,0.004617,0.001039,5.459E-4,4.855E-4,2.806E-4,
0.0,1394.0,173.3,134.4,72.63,0.003907,3.576,0.5403,0.2713,0.3928,0.1479,0.0,344.1,0.1161,1.454,0.1803,0.1481,0.2156,0.1183,0.04205,1.298,12.39,0.0,344.1,0.1161,1.454,0.1803,0.1481,0.2156,0.1183,0.04205,1.298,12.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.8,74.46,45.48,921.7,205.5,9.379,7.87,8.242,4.34,0.0,108.7,2.47,7.443,55.86,30.62,0.7291,0.004517,0.006303,0.01273,0.2066,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,680.3,89860.0,73310.0,44390.0,2.787E7,29340.0,18870.0,25400.0,19030.0,20370.0,0.0,1.862E-37,9.099E-38,6.5519999999999995E-37,4.402E-37,3.281E-38,1.364E-38,3.048E-39,1.2089999999999999E-39,2.0439999999999998E-39,3.678E-39,2.08E-35,0.0,0.3035,0.9596,1.778,0.8076,0.152,0.03007,0.00577,0.002652,0.005607,0.01124,0.0,0.0,3.565E-4,3.296E-4,6.052E-4,0.9966,4.709E-4,3.414E-4,7.72E-4,4.953E-5,4.702E-4,0.0,2.25E-4,0.001611,0.0019,0.001451,0.1703,0.004578,0.001033,5.494E-4,4.845E-4,2.818E-4,
0.0,1394.0,168.6,129.6,73.08,0.01318,3.592,0.5407,0.2725,0.3887,0.1493,0.0,344.1,0.1343,1.372,0.2209,0.1736,0.2072,0.1215,0.04179,1.297,12.39,0.0,344.1,0.1343,1.372,0.2209,0.1736,0.2072,0.1215,0.04179,1.297,12.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.2,72.25,53.57,858.3,205.3,9.22,7.829,7.874,4.241,0.0,108.7,11.23,19.65,38.85,34.95,0.7129,0.004496,0.007314,0.0125,0.2058,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.848E-4,0.0,821.5,96330.0,81470.0,51210.0,2.894E7,29650.0,18700.0,26160.0,17800.0,20440.0,0.0,1.862E-37,1.118E-37,6.418E-37,4.096E-37,4.992E-38,1.357E-38,3.039E-39,1.1999999999999999E-39,2.0349999999999998E-39,3.6739999999999996E-39,2.08E-35,0.0,0.3035,0.9735,1.755,0.7799,0.1855,0.03003,0.005771,0.002655,0.005591,0.01124,0.0,0.0,3.565E-4,3.296E-4,6.052E-4,0.9966,4.709E-4,3.414E-4,7.72E-4,4.953E-5,4.702E-4,0.0,2.591E-4,0.001657,0.001946,0.001434,0.17,0.00455,0.001038,5.49E-4,4.828E-4,2.814E-4,
0.0,1388.0,178.1,126.8,74.81,0.01301,4.047,0.541,0.2725,0.3888,0.1498,0.0,344.1,0.1202,1.366,0.2308,0.1608,0.1987,0.1216,0.04178,1.297,12.39,0.0,344.1,0.1202,1.366,0.2308,0.1608,0.1987,0.1216,0.04178,1.297,12.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.8,78.07,56.55,851.1,205.2,9.157,8.003,7.758,4.201,0.0,107.3,7.532,13.19,42.75,33.31,0.7084,0.004521,0.006615,0.01245,0.2054,0.0,0.0,4796000.0,3472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.474E-4,0.0,912.8,99090.0,81910.0,50790.0,3.033E7,31150.0,19030.0,27390.0,17500.0,20950.0,0.0,1.702E-37,1.026E-37,6.366E-37,4.043E-37,4.2719999999999997E-38,1.913E-38,3.032E-39,1.189E-39,2.0299999999999998E-39,3.67E-39,2.08E-35,0.0,0.2775,0.9908,1.735,0.7716,0.1721,0.04033,0.005773,0.002654,0.005592,0.01124,0.0,0.0,3.565E-4,3.296E-4,6.052E-4,0.9966,4.709E-4,3.414E-4,7.72E-4,4.953E-5,4.702E-4,0.0,2.78E-4,0.001648,0.001962,0.001432,0.1699,0.004526,0.00104,5.502E-4,4.828E-4,2.814E-4,
0.0,1391.0,177.4,126.0,75.0,0.01112,2.714,0.5002,0.2211,0.389,0.1503,0.0,344.1,0.1194,1.333,0.3107,0.1561,0.1919,0.1205,0.04055,1.116,12.52,0.0,344.1,0.1194,1.333,0.3107,0.1561,0.1919,0.1205,0.04055,1.116,12.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.4,71.47,61.96,798.1,205.3,8.978,7.848,7.635,4.122,0.0,107.3,8.087,12.16,39.13,33.62,0.7089,0.004522,0.006615,0.01238,0.2051,0.0,0.0,4796000.0,3472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45E-4,0.0,1106.0,102800.0,79980.0,51660.0,3.18E7,31650.0,19150.0,28350.0,16710.0,21380.0,0.0,1.737E-37,1.036E-37,6.295E-37,4.034E-37,3.952E-38,1.057E-38,2.8539999999999998E-39,9.668E-40,2.028E-39,3.671E-39,2.08E-35,0.0,0.3015,0.9813,1.734,0.7616,0.1658,0.02428,0.005352,0.002126,0.005594,0.01125,0.0,0.0,3.565E-4,3.296E-4,6.052E-4,0.9966,4.709E-4,3.414E-4,7.72E-4,4.953E-5,4.702E-4,0.0,3.275E-4,0.001643,0.001905,0.001428,0.1699,0.004477,0.001041,5.525E-4,4.833E-4,2.865E-4,
0.0,1385.0,183.5,126.6,83.38,0.008786,4.586,0.5011,0.2224,0.3887,0.1508,0.0,344.1,0.11,1.334,0.3171,0.1554,0.1902,0.1205,0.04051,1.113,12.53,0.0,344.1,0.11,1.334,0.3171,0.1554,0.1902,0.1205,0.04051,1.113,12.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.4,71.88,62.2,767.9,204.6,9.012,7.927,7.812,4.083,0.0,105.9,7.857,11.56,29.71,33.43,0.7049,0.004499,0.006594,0.01231,0.205,0.0,0.0,4793000.0,6826.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.376E-4,0.0,1155.0,106700.0,81010.0,51980.0,3.204E7,32050.0,18810.0,28410.0,15790.0,21320.0,0.0,1.584E-37,9.485E-38,6.3629999999999994E-37,3.927E-37,3.944E-38,1.806E-38,2.8489999999999998E-39,9.63E-40,2.023E-39,3.667E-39,2.08E-35,0.0,0.275,0.9923,1.744,0.7538,0.1657,0.03286,0.005356,0.002133,0.005593,0.01125,0.0,0.0,3.572E-4,3.302E-4,6.063E-4,0.9966,4.718E-4,3.42E-4,7.735E-4,4.963E-5,4.711E-4,0.0,3.487E-4,0.001641,0.001906,0.001428,0.1686,0.004454,0.001039,5.509E-4,4.792E-4,2.856E-4,
0.0,1373.0,199.1,122.2,89.66,0.007544,3.575,0.5072,0.2294,0.3894,0.1518,0.0,344.1,0.1123,1.301,0.3099,0.1544,0.1869,0.1207,0.04056,1.113,12.53,0.0,344.1,0.1123,1.301,0.3099,0.1544,0.1869,0.1207,0.04056,1.113,12.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.5,81.88,59.57,760.7,204.5,8.995,7.922,7.788,4.069,0.0,107.4,7.821,10.41,20.65,33.37,0.6974,0.004476,0.006323,0.01175,0.2042,0.0,0.0,4787000.0,13000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,1595.0,104800.0,79100.0,50200.0,2.968E7,30690.0,17820.0,26480.0,15230.0,20030.0,0.0,1.3809999999999999E-37,1.036E-37,6.134E-37,3.883E-37,3.928E-38,1.456E-38,2.856E-39,9.76E-40,2.018E-39,3.663E-39,2.08E-35,0.0,0.2417,1.064,1.687,0.7449,0.1654,0.02814,0.005392,0.00218,0.005595,0.01125,0.0,0.0,3.572E-4,3.302E-4,6.063E-4,0.9966,4.718E-4,3.42E-4,7.735E-4,4.963E-5,4.711E-4,0.0,4.051E-4,0.001618,0.001964,0.001411,0.1686,0.004384,0.001044,5.521E-4,4.794E-4,2.87E-4,
