cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI,
0.0,1270.0,198.2,384.2,231.9,1.68,15.84,1.077,1.033,1.059,0.9027,0.0,344.4,0.1495,2.606,0.1909,0.341,0.4815,0.4939,0.5958,7.216,18.2,0.0,344.4,0.1495,2.606,0.1909,0.341,0.4815,0.4939,0.5958,7.216,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,932.3,303.1,113.4,1831.0,1024.0,48.44,9.478,13.27,15.51,0.0,114.5,7.187,16.54,71.87,54.9,6.19,0.5438,0.09746,0.1679,0.408,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,0.0,187000.0,215600.0,101700.0,6.984E7,64170.0,90740.0,20710.0,75590.0,128600.0,0.0,1.12E-37,4.182E-38,4.59E-37,2.78E-37,2.711E-38,1.241E-38,2.515E-39,6.871E-40,1.3749999999999999E-39,7.651E-40,2.08E-35,0.0,0.5089,1.117,3.052,1.385,0.1723,0.07425,0.01204,0.009683,0.009485,0.008439,0.0,0.0,5.418E-4,0.001832,0.001048,1.989,6.899E-4,0.002169,1.157E-4,0.001535,0.002925,0.0,1.0E-5,0.002833,0.003783,0.002586,0.3479,0.007434,0.001079,0.001292,0.001404,0.001255,
0.0,1273.0,189.7,385.5,237.5,0.04983,21.31,1.383,0.9917,1.467,0.9498,0.0,344.4,0.1815,2.473,0.2703,0.3401,0.4765,0.4939,0.6036,7.179,18.23,0.0,344.4,0.1815,2.473,0.2703,0.3401,0.4765,0.4939,0.6036,7.179,18.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,958.2,309.0,122.1,1762.0,1024.0,48.3,9.471,13.14,15.31,0.0,114.5,6.695,13.41,61.62,57.51,3.528,0.5438,0.0965,0.3317,0.2551,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,333.0,172500.0,206400.0,95930.0,6.383E7,58040.0,83520.0,19230.0,69340.0,117400.0,0.0,1.143E-37,4.942E-38,4.473E-37,2.705E-37,2.741E-38,1.533E-38,2.841E-39,6.432E-40,2.617E-39,6.801E-40,2.08E-35,0.0,0.5254,1.093,3.005,1.38,0.1739,0.08292,0.01331,0.009178,0.01393,0.008112,0.0,0.0,5.448E-4,0.001842,0.001054,1.989,6.937E-4,0.002181,1.163E-4,0.001544,0.002941,0.0,5.662E-5,0.002785,0.003761,0.00261,0.3459,0.007406,0.001082,0.001296,0.001411,0.001254,
0.0,1284.0,185.7,400.7,227.3,1.273,11.15,1.194,0.9407,1.442,0.9858,0.0,344.4,0.1704,2.329,0.3288,0.3374,0.4457,0.4741,0.7195,7.959,17.45,0.0,344.4,0.1704,2.329,0.3288,0.3374,0.4457,0.4741,0.7195,7.959,17.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,969.5,310.6,122.5,1718.0,1024.0,48.2,9.428,13.04,15.15,0.0,114.6,6.356,15.46,56.32,57.52,1.809,0.5431,0.09592,0.1675,0.2265,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.125E-4,0.0,1113.0,168600.0,201100.0,90750.0,6.016E7,54450.0,79140.0,18510.0,65420.0,110400.0,0.0,1.253E-37,4.404E-38,4.484E-37,2.635E-37,2.648E-38,1.417E-38,2.524E-39,5.791E-40,2.263E-39,5.229E-40,2.08E-35,0.0,0.5858,1.062,3.034,1.334,0.1684,0.06764,0.01182,0.008934,0.01313,0.007554,0.0,0.0,5.448E-4,0.001842,0.001054,1.989,6.937E-4,0.002181,1.163E-4,0.001544,0.002941,0.0,1.545E-4,0.002784,0.003749,0.002548,0.3436,0.007357,0.001078,0.001303,0.001419,0.001245,
0.0,1289.0,170.9,404.3,238.5,2.218,12.89,0.9792,0.9672,0.7701,0.9575,0.0,344.4,0.155,2.308,0.3645,0.3963,0.3078,0.4186,0.6554,5.071,20.5,0.0,344.4,0.155,2.308,0.3645,0.3963,0.3078,0.4186,0.6554,5.071,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.0,305.3,124.7,1635.0,1029.0,43.33,12.62,14.21,14.26,0.0,114.6,6.714,14.61,42.58,56.37,2.06,0.4754,0.1043,0.2219,0.2331,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,1548.0,169200.0,229900.0,88670.0,5.952E7,68360.0,75280.0,17080.0,62680.0,105100.0,0.0,1.3099999999999999E-37,4.041E-38,4.424E-37,2.5779999999999998E-37,3.181E-38,1.619E-38,2.0169999999999998E-39,7.449E-40,1.109E-39,4.667E-40,2.08E-35,0.0,0.6166,0.9858,3.023,1.324,0.1853,0.07703,0.01042,0.009306,0.006884,0.00732,0.0,0.0,5.448E-4,0.001842,0.001054,1.989,6.937E-4,0.002181,1.163E-4,0.001544,0.002941,0.0,2.48E-4,0.002841,0.00398,0.002527,0.343,0.007356,0.001004,0.00132,0.001408,0.001192,
0.0,1298.0,165.3,398.7,233.9,0.9351,11.01,0.9771,0.9698,0.8165,0.9828,0.0,344.5,0.1881,2.258,0.3424,0.3959,0.2452,0.3908,0.5707,2.501,23.19,0.0,344.5,0.1881,2.258,0.3424,0.3959,0.2452,0.3908,0.5707,2.501,23.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1024.0,305.4,122.1,1592.0,1019.0,43.21,13.25,13.67,14.87,0.0,114.6,6.095,18.92,42.73,55.82,0.6851,0.4186,0.151,0.1066,0.2531,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,2050.0,166300.0,200900.0,88640.0,6.027E7,60060.0,77080.0,17000.0,62310.0,105800.0,0.0,1.419E-37,4.389E-38,4.343E-37,2.527E-37,2.545E-38,1.365E-38,1.984E-39,7.52E-40,1.077E-39,4.651E-40,2.08E-35,0.0,0.6762,0.9606,3.014,1.288,0.1588,0.07116,0.01021,0.009384,0.006703,0.007384,0.0,0.0,5.448E-4,0.001842,0.001054,1.989,6.937E-4,0.002181,1.163E-4,0.001544,0.002941,0.0,2.944E-4,0.002789,0.003672,0.002468,0.3415,0.007319,0.001002,0.001324,0.001405,0.001188,
0.0,1289.0,184.2,382.5,216.5,6.771,8.983,0.5191,0.8818,0.6637,0.8393,0.0,344.5,0.1634,2.217,0.3881,0.3964,0.2357,0.3078,0.5548,2.337,23.45,0.0,344.5,0.1634,2.217,0.3881,0.3964,0.2357,0.3078,0.5548,2.337,23.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.992,1033.0,302.6,125.8,1577.0,1019.0,44.21,13.5,13.74,14.69,0.0,110.9,8.925,23.99,60.43,50.82,0.6851,0.419,0.1509,0.1068,0.2367,0.0,0.0,4790000.0,9755.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.021E-4,0.0,2547.0,161700.0,201400.0,117100.0,5.879E7,56670.0,75760.0,17110.0,61130.0,104000.0,0.0,1.151E-37,7.033E-38,4.3129999999999995E-37,2.452E-37,3.46E-38,1.114E-38,1.052E-39,5.673E-40,9.246E-40,3.352E-40,2.08E-35,0.0,0.5526,1.126,2.967,1.292,0.1588,0.05804,0.005778,0.008534,0.00573,0.006483,0.0,0.0,5.485E-4,0.00185,0.001061,1.989,6.961E-4,0.002189,1.167E-4,0.001549,0.002951,0.0,3.659E-4,0.002801,0.003632,0.002483,0.3352,0.007276,0.001008,0.001326,0.001408,0.001183,
0.0,1291.0,175.3,393.3,207.1,0.02737,8.945,0.5225,0.8759,0.6688,0.446,0.0,344.5,0.1681,2.192,0.3969,0.3942,0.2484,0.2895,0.5305,2.416,23.39,0.0,344.5,0.1681,2.192,0.3969,0.3942,0.2484,0.2895,0.5305,2.416,23.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.992,1042.0,306.5,122.0,1552.0,1019.0,44.52,13.18,13.79,14.75,0.0,110.9,5.518,19.52,79.14,46.19,2.662,0.6279,0.2643,0.09902,0.8397,0.0,0.0,4790000.0,7720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,2710.0,161800.0,193600.0,99700.0,5.493E7,57870.0,71060.0,17160.0,57360.0,101300.0,0.0,1.1759999999999999E-37,4.053E-38,4.234E-37,2.479E-37,2.587E-38,1.783E-38,1.798E-39,9.451E-40,9.246E-40,1.01E-39,2.08E-35,0.0,0.5657,1.058,2.975,1.315,0.1212,0.08796,0.009086,0.01021,0.005749,0.006876,0.0,0.0,5.51E-4,0.001861,0.001066,1.989,7.007E-4,0.002203,1.175E-4,0.001559,0.002971,0.0,3.922E-4,0.002795,0.003605,0.002442,0.3309,0.007275,0.001013,0.001325,0.001387,0.001241,
0.0,1296.0,172.0,382.1,180.8,0.02482,9.497,0.5514,0.9572,0.6694,0.4589,0.0,344.5,0.1464,2.102,0.4745,0.3847,0.2159,0.2871,0.5828,2.267,23.54,0.0,344.5,0.1464,2.102,0.4745,0.3847,0.2159,0.2871,0.5828,2.267,23.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.992,1054.0,267.7,162.8,1497.0,1019.0,43.55,12.65,13.76,13.61,0.0,110.9,5.758,17.55,132.7,27.8,2.266,0.4555,0.0272,0.04326,0.5289,0.0,0.0,4790000.0,5757.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001199,0.0,3719.0,219700.0,849800.0,101700.0,5.114E7,56990.0,29310.0,30230.0,48600.0,62220.0,0.0,1.222E-37,3.966E-38,4.129E-37,2.459E-37,3.695E-38,1.371E-38,1.206E-39,5.398E-40,9.178E-40,3.139E-40,2.08E-35,0.0,0.5938,1.037,2.916,1.313,0.1789,0.06718,0.006216,0.008357,0.005764,0.003717,0.0,0.0,0.001508,0.01498,4.614E-4,0.9807,3.682E-4,2.46E-4,3.471E-4,6.335E-4,7.208E-4,0.0,4.381E-4,0.003144,0.007529,0.002473,0.3233,0.007252,7.787E-4,0.001404,0.001351,0.001035,
0.0,1293.0,180.1,378.8,161.0,0.216,9.461,0.5427,0.9581,0.672,0.4708,0.0,344.6,0.1537,2.084,0.5019,0.3217,0.213,0.2852,0.59,2.011,23.8,0.0,344.6,0.1537,2.084,0.5019,0.3217,0.213,0.2852,0.59,2.011,23.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.987,1054.0,262.5,180.7,1448.0,1019.0,43.48,12.72,13.66,13.7,0.0,110.2,5.378,16.77,147.0,27.1,0.7201,0.6499,0.02683,0.04146,0.5162,0.0,0.0,4785000.0,10750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00118,0.0,4270.0,157700.0,580600.0,101900.0,4.87E7,56680.0,28410.0,29260.0,46660.0,59470.0,0.0,1.109E-37,3.929E-38,4.108E-37,2.442E-37,2.774E-38,1.163E-38,1.3479999999999999E-39,5.3559999999999995E-40,9.082E-40,3.06E-40,2.08E-35,0.0,0.5484,1.094,2.894,1.318,0.1338,0.06013,0.00707,0.008346,0.005751,0.003692,0.0,0.0,2.516E-5,0.009609,4.649E-4,0.9876,3.711E-4,2.479E-4,3.498E-4,6.384E-4,7.264E-4,0.0,5.336E-4,0.002706,0.005988,0.002527,0.3215,0.007176,7.728E-4,0.001409,0.001347,0.001031,
0.0,1301.0,179.3,343.7,139.3,0.03052,8.172,0.5191,0.9556,0.6825,0.4881,0.0,344.6,0.1791,2.1,0.4796,0.2445,0.2106,0.2904,0.5896,2.015,23.79,0.0,344.6,0.1791,2.1,0.4796,0.2445,0.2106,0.2904,0.5896,2.015,23.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.987,1068.0,214.4,221.2,1411.0,1019.0,43.37,12.71,13.6,13.6,0.0,112.7,12.95,39.84,162.3,25.9,0.6786,0.6744,0.02566,0.03978,0.4959,0.0,0.0,4785000.0,10750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.962E-4,0.0,5055.0,154100.0,163100.0,97150.0,4.709E7,53890.0,28230.0,28800.0,45730.0,58010.0,0.0,1.219E-37,4.789E-38,4.092E-37,2.325E-37,1.528E-38,9.756999999999999E-39,1.291E-39,5.1759999999999995E-40,9.052E-40,2.944E-40,2.08E-35,0.0,0.6026,1.132,2.878,1.272,0.07247,0.05409,0.006797,0.008301,0.005787,0.003645,0.0,0.0,2.554E-5,8.797E-5,4.72E-4,0.997,3.767E-4,2.516E-4,3.552E-4,6.481E-4,7.375E-4,0.0,6.163E-4,0.00273,0.003303,0.00255,0.3195,0.007155,7.763E-4,0.001413,0.001345,0.001026,
