entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
2.156,0.1873,0.1662,0.1037,0.05263,0.2754,0.1088,0.02153,0.05883,0.06671,0.05513,0.04549,0.04549,
2.203,0.1918,0.1288,0.08181,0.0416,0.2168,0.08544,0.01704,0.04656,0.05279,0.04363,0.1439,0.1416,
2.203,0.1933,0.128,0.08185,0.04169,0.2159,0.08463,0.01708,0.04667,0.05291,0.04373,0.1442,0.1433,
2.204,0.1988,0.1264,0.08154,0.04155,0.2152,0.08355,0.01712,0.04679,0.05305,0.04494,0.1442,0.1456,
2.205,0.1882,0.1248,0.08161,0.04137,0.2139,0.08375,0.01715,0.04701,0.05331,0.04516,0.145,0.147,
2.21,0.1801,0.1277,0.08174,0.04141,0.2113,0.08303,0.01718,0.04719,0.05351,0.0478,0.1438,0.1453,
2.211,0.1792,0.1275,0.08193,0.04156,0.2089,0.08281,0.01723,0.04737,0.05374,0.048,0.1444,0.1466,
2.212,0.1914,0.127,0.08205,0.04164,0.2077,0.08255,0.01728,0.04751,0.05389,0.04814,0.1448,0.1475,
2.212,0.1779,0.1292,0.08161,0.04085,0.2067,0.08165,0.01733,0.04766,0.05406,0.04829,0.1453,0.1474,
2.212,0.1603,0.1292,0.08089,0.0409,0.2056,0.08145,0.01734,0.04775,0.05417,0.04838,0.1463,0.148,
2.213,0.1526,0.1304,0.08105,0.04099,0.2045,0.08116,0.01738,0.04785,0.05428,0.04849,0.1466,0.1472,
2.213,0.1487,0.1304,0.08107,0.04101,0.2042,0.08021,0.01739,0.04788,0.05431,0.04851,0.1467,0.1483,
2.213,0.1485,0.1303,0.08076,0.04104,0.2039,0.08021,0.01738,0.04793,0.05438,0.04857,0.1469,0.1487,
2.212,0.1513,0.13,0.08066,0.04031,0.2038,0.07983,0.0174,0.04797,0.05442,0.04861,0.147,0.1501,
2.21,0.1343,0.1317,0.08053,0.03993,0.2036,0.07853,0.01737,0.04795,0.0544,0.04859,0.1477,0.1497,
2.21,0.1411,0.1309,0.08041,0.03966,0.2037,0.0786,0.01738,0.048,0.05445,0.04864,0.1478,0.1504,
2.21,0.141,0.1339,0.08029,0.03963,0.2034,0.07772,0.01736,0.048,0.05445,0.04864,0.1486,0.1481,
2.209,0.1412,0.1329,0.08015,0.03962,0.2031,0.07662,0.01736,0.048,0.05445,0.04864,0.1493,0.1499,
2.21,0.1513,0.1363,0.08003,0.03963,0.2028,0.07572,0.01736,0.04806,0.05452,0.04947,0.1487,0.1474,
2.21,0.1409,0.1359,0.07993,0.03963,0.2023,0.07572,0.01736,0.04806,0.05452,0.04947,0.1495,0.1476,
2.21,0.1557,0.1359,0.07992,0.03935,0.2016,0.07525,0.01738,0.04812,0.05459,0.04953,0.1497,0.1487,
2.21,0.1451,0.1357,0.07999,0.03939,0.2011,0.07464,0.0174,0.04818,0.05465,0.04958,0.1498,0.1496,
2.211,0.1505,0.1373,0.08006,0.03943,0.2007,0.07417,0.01741,0.04822,0.0547,0.05051,0.1491,0.1484,
2.211,0.1495,0.1366,0.08012,0.03946,0.2005,0.07411,0.01743,0.04826,0.05475,0.05055,0.1492,0.149,
2.211,0.1403,0.136,0.07978,0.03946,0.2005,0.07385,0.01745,0.04831,0.0548,0.0506,0.1494,0.1499,
2.211,0.1667,0.1381,0.07979,0.03895,0.1993,0.07389,0.01746,0.04835,0.05485,0.05064,0.1502,0.1484,
2.212,0.1665,0.1376,0.07973,0.03897,0.1993,0.07362,0.01748,0.0484,0.05491,0.05147,0.1496,0.1489,
2.211,0.1468,0.1361,0.07965,0.03894,0.1988,0.07331,0.01747,0.04839,0.05489,0.05145,0.1511,0.1499,
2.211,0.1267,0.1357,0.07922,0.03901,0.1986,0.07316,0.0175,0.04847,0.05499,0.05154,0.1514,0.1504,
2.212,0.1343,0.1364,0.079,0.03897,0.1983,0.0731,0.01749,0.04844,0.05494,0.05254,0.1517,0.1492,
2.212,0.1476,0.1357,0.07892,0.03871,0.1982,0.07289,0.0175,0.04847,0.05499,0.05258,0.1518,0.1502,
2.212,0.1478,0.1346,0.07879,0.03894,0.1987,0.0727,0.0176,0.04862,0.05598,0.05141,0.152,0.1507,
2.211,0.1426,0.1355,0.07873,0.03902,0.1988,0.07215,0.0176,0.04891,0.05933,0.0481,0.1523,0.1495,
2.21,0.1343,0.1346,0.0788,0.03888,0.1991,0.07239,0.01725,0.04932,0.06107,0.04598,0.1525,0.1501,
2.217,0.1528,0.1337,0.07902,0.03881,0.1992,0.07137,0.03494,0.03177,0.06251,0.04442,0.1526,0.1517,
2.219,0.1582,0.1359,0.07899,0.03821,0.199,0.07123,0.03515,0.03188,0.06351,0.04556,0.1502,0.1503,
2.218,0.1896,0.135,0.07922,0.03809,0.1992,0.07071,0.03508,0.0321,0.06367,0.0452,0.1503,0.1514,
2.217,0.1813,0.1336,0.07927,0.03786,0.1996,0.07013,0.03511,0.03201,0.06465,0.04413,0.1511,0.1525,
2.219,0.1707,0.1342,0.07955,0.03794,0.2008,0.06985,0.03494,0.03231,0.06566,0.04536,0.1488,0.1507,
2.218,0.1586,0.1335,0.07981,0.03769,0.2008,0.06988,0.03487,0.03243,0.06659,0.0443,0.1488,0.1513,
