RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
8770000.0,5472000.0,2777000.0,1.453E7,5739000.0,1136000.0,3104000.0,3519000.0,2909000.0,9545000.0,9398000.0,
8562000.0,5439000.0,2774000.0,1.44E7,5702000.0,1136000.0,3104000.0,3519000.0,2909000.0,9641000.0,9435000.0,
8403000.0,5429000.0,2773000.0,1.436E7,5583000.0,1136000.0,3104000.0,3519000.0,2908000.0,9641000.0,9613000.0,
8332000.0,5411000.0,2747000.0,1.423E7,5559000.0,1134000.0,3104000.0,3519000.0,2908000.0,9641000.0,9682000.0,
8347000.0,5389000.0,2745000.0,1.415E7,5508000.0,1134000.0,3103000.0,3519000.0,2923000.0,9675000.0,9652000.0,
8319000.0,5362000.0,2745000.0,1.41E7,5452000.0,1125000.0,3102000.0,3519000.0,2922000.0,9675000.0,9711000.0,
8483000.0,5352000.0,2736000.0,1.404E7,5442000.0,1125000.0,3102000.0,3519000.0,3022000.0,9575000.0,9531000.0,
8457000.0,5347000.0,2736000.0,1.398E7,5433000.0,1125000.0,3102000.0,3519000.0,3021000.0,9575000.0,9531000.0,
8412000.0,5334000.0,2734000.0,1.395E7,5427000.0,1125000.0,3102000.0,3519000.0,3021000.0,9575000.0,9531000.0,
8324000.0,5307000.0,2729000.0,1.384E7,5418000.0,1125000.0,3102000.0,3519000.0,3021000.0,9575000.0,9555000.0,
8208000.0,5290000.0,2729000.0,1.372E7,5352000.0,1125000.0,3102000.0,3518000.0,3021000.0,9623000.0,9632000.0,
8237000.0,5287000.0,2721000.0,1.371E7,5333000.0,1123000.0,3100000.0,3518000.0,3135000.0,9557000.0,9628000.0,
8170000.0,5254000.0,2721000.0,1.369E7,5309000.0,1123000.0,3100000.0,3518000.0,3135000.0,9605000.0,9702000.0,
8155000.0,5239000.0,2721000.0,1.364E7,5308000.0,1123000.0,3100000.0,3518000.0,3135000.0,9653000.0,9702000.0,
8257000.0,5222000.0,2675000.0,1.36E7,5307000.0,1123000.0,3100000.0,3518000.0,3236000.0,9553000.0,9648000.0,
8252000.0,5215000.0,2652000.0,1.359E7,5293000.0,1123000.0,3100000.0,3518000.0,3235000.0,9600000.0,9683000.0,
8280000.0,5200000.0,2651000.0,1.357E7,5280000.0,1123000.0,3100000.0,3518000.0,3292000.0,9544000.0,9638000.0,
8223000.0,5182000.0,2648000.0,1.355E7,5279000.0,1123000.0,3100000.0,3518000.0,3292000.0,9544000.0,9662000.0,
8286000.0,5171000.0,2648000.0,1.353E7,5255000.0,1123000.0,3100000.0,3518000.0,3292000.0,9544000.0,9607000.0,
8276000.0,5151000.0,2635000.0,1.351E7,5255000.0,1123000.0,3100000.0,3518000.0,3292000.0,9639000.0,9619000.0,
8265000.0,5138000.0,2634000.0,1.349E7,5236000.0,1121000.0,3100000.0,3518000.0,3292000.0,9639000.0,9640000.0,
8290000.0,5127000.0,2633000.0,1.347E7,5201000.0,1121000.0,3100000.0,3518000.0,3397000.0,9535000.0,9616000.0,
8273000.0,5054000.0,2616000.0,1.346E7,5195000.0,1120000.0,3100000.0,3518000.0,3397000.0,9535000.0,9717000.0,
8403000.0,5054000.0,2616000.0,1.345E7,5172000.0,1120000.0,3100000.0,3518000.0,3397000.0,9535000.0,9590000.0,
8560000.0,5040000.0,2615000.0,1.342E7,5152000.0,1120000.0,3100000.0,3518000.0,3397000.0,9535000.0,9426000.0,
8535000.0,5027000.0,2613000.0,1.342E7,5081000.0,1120000.0,3100000.0,3518000.0,3397000.0,9535000.0,9497000.0,
8512000.0,5012000.0,2612000.0,1.338E7,5079000.0,1120000.0,3100000.0,3518000.0,3397000.0,9535000.0,9497000.0,
8484000.0,4993000.0,2610000.0,1.337E7,5050000.0,1119000.0,3098000.0,3518000.0,3489000.0,9537000.0,9529000.0,
8463000.0,4984000.0,2610000.0,1.332E7,4999000.0,1119000.0,3098000.0,3518000.0,3489000.0,9537000.0,9580000.0,
8602000.0,4982000.0,2575000.0,1.329E7,4979000.0,1119000.0,3098000.0,3518000.0,3489000.0,9537000.0,9472000.0,
8569000.0,4981000.0,2576000.0,1.325E7,4930000.0,1119000.0,3098000.0,3518000.0,3489000.0,9537000.0,9540000.0,
8508000.0,4984000.0,2584000.0,1.325E7,4930000.0,1125000.0,3185000.0,3581000.0,3333000.0,9537000.0,9540000.0,
8474000.0,4983000.0,2590000.0,1.318E7,4892000.0,1125000.0,3210000.0,3640000.0,3249000.0,9585000.0,9576000.0,
8402000.0,4986000.0,2600000.0,1.315E7,4845000.0,1135000.0,4108000.0,2798000.0,3178000.0,9633000.0,9626000.0,
8560000.0,4996000.0,2606000.0,1.312E7,4841000.0,1122000.0,5453000.0,1506000.0,3136000.0,9616000.0,9420000.0,
8462000.0,5009000.0,2613000.0,1.311E7,4795000.0,1127000.0,5471000.0,1585000.0,3048000.0,9649000.0,9465000.0,
8406000.0,5015000.0,2622000.0,1.305E7,4770000.0,1145000.0,5459000.0,1646000.0,2982000.0,9745000.0,9489000.0,
8388000.0,5023000.0,2627000.0,1.3E7,4757000.0,1868000.0,4730000.0,1707000.0,2914000.0,9745000.0,9514000.0,
8340000.0,5033000.0,2633000.0,1.299E7,4777000.0,1860000.0,4718000.0,1741000.0,2881000.0,9745000.0,9514000.0,
8324000.0,5027000.0,2628000.0,1.29E7,4765000.0,1848000.0,4718000.0,1856000.0,2766000.0,9745000.0,9552000.0,
8288000.0,5025000.0,2620000.0,1.282E7,4775000.0,1838000.0,4737000.0,1895000.0,2876000.0,9673000.0,9564000.0,
8251000.0,5033000.0,2629000.0,1.278E7,4751000.0,1838000.0,4737000.0,1954000.0,2818000.0,9673000.0,9587000.0,
8228000.0,5033000.0,2633000.0,1.274E7,4751000.0,2901000.0,3684000.0,2005000.0,2756000.0,9721000.0,9587000.0,
8037000.0,5034000.0,2645000.0,1.289E7,4761000.0,2892000.0,3700000.0,2105000.0,2750000.0,9611000.0,9587000.0,
7974000.0,5022000.0,2655000.0,1.289E7,4731000.0,2897000.0,3693000.0,2150000.0,2699000.0,9611000.0,9622000.0,
7985000.0,5017000.0,2638000.0,1.289E7,4743000.0,2891000.0,3687000.0,2198000.0,2704000.0,9606000.0,9567000.0,
7943000.0,5008000.0,2644000.0,1.289E7,6856000.0,754800.0,3687000.0,2231000.0,2789000.0,9535000.0,9589000.0,
7902000.0,5008000.0,2655000.0,1.279E7,6856000.0,760900.0,3690000.0,2265000.0,2747000.0,9583000.0,9589000.0,
7871000.0,5001000.0,2667000.0,1.273E7,6856000.0,772900.0,3678000.0,2350000.0,2662000.0,9583000.0,9589000.0,
7803000.0,4994000.0,2670000.0,1.271E7,6856000.0,772900.0,3678000.0,2455000.0,2556000.0,9583000.0,9589000.0,
7733000.0,4986000.0,2653000.0,1.274E7,6862000.0,766900.0,3678000.0,2533000.0,2479000.0,9583000.0,9612000.0,
7631000.0,4985000.0,2661000.0,1.277E7,6841000.0,766900.0,3684000.0,2527000.0,2478000.0,9583000.0,9633000.0,
7558000.0,4971000.0,2669000.0,1.283E7,6816000.0,766900.0,3684000.0,2592000.0,2414000.0,9679000.0,9602000.0,
7517000.0,4979000.0,2672000.0,1.278E7,6825000.0,757600.0,3684000.0,2628000.0,2377000.0,9679000.0,9602000.0,
7534000.0,4958000.0,2675000.0,1.277E7,6799000.0,757600.0,3690000.0,2691000.0,2367000.0,9620000.0,9562000.0,
7481000.0,4950000.0,2659000.0,1.279E7,6768000.0,757600.0,3714000.0,2686000.0,2522000.0,9493000.0,9614000.0,
7528000.0,4948000.0,2641000.0,1.28E7,6734000.0,763600.0,5456000.0,963300.0,2496000.0,9493000.0,9542000.0,
7483000.0,4927000.0,2646000.0,1.282E7,6721000.0,777200.0,5456000.0,996500.0,2449000.0,9493000.0,9555000.0,
7414000.0,4931000.0,2655000.0,1.282E7,6704000.0,778400.0,5468000.0,1022000.0,2406000.0,9493000.0,9577000.0,
7380000.0,4910000.0,2662000.0,1.28E7,6672000.0,777100.0,5467000.0,1129000.0,2298000.0,9493000.0,9612000.0,
7344000.0,4907000.0,2667000.0,1.276E7,6520000.0,777100.0,5467000.0,1151000.0,2277000.0,9588000.0,9764000.0,
7240000.0,4923000.0,2675000.0,1.286E7,6465000.0,783200.0,5467000.0,1191000.0,2230000.0,9588000.0,9742000.0,
7213000.0,4912000.0,2687000.0,1.285E7,6437000.0,789200.0,5461000.0,1222000.0,2199000.0,9636000.0,9770000.0,
